lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
aktiv		1806	1	bib11653828_18060329_144028_72_0002_alto.xml-1-29	 	Lord Holland:" Man har försökt att af en Man, fom stundom och i roifja f ll » varit inkallad i hemliga Konseljen, göra en wcrkeligen aktiv Minister; och jemwäl har man bc&gt;.iödat si q ritt fasta answarighet wid personer, i anseende rill hwilka den icke äger rum.	133:138	0:264	Lord Holland : " Man har försökt att af en Man , fom stundom och i roifja f ll » varit inkallad i hemliga Konseljen , göra en wcrkeligen aktiv Minister ; och jemwäl har man bc&gt ; .iödat si q ritt fasta answarighet wid personer , i anseende rill hwilka den icke äger rum .	29	0:56	lord holland $ $ man ha försöka att af en man $ få stundom och i roifja f ll $ vara inkalla i hemlig konselj $ göra en wcrkeligen aktiv minister $ och jemwäl ha man $ $ $ si q ritt fasta answarighet wid person $ i anseende rill hwilka den icke äga rum $
aktiv		1828	1	bib11653828_18280315_144028_64_0003_alto.xml-11-37	 	— Lord Cochrane har akgätt till Paris, sör att söka förmä Grck-kommilt6erna pä kontinenten att befordra hans plan till hämmande af fjörösiverierna i Levanten, — T&gt; ll Chatbam bfl order ankommit att ofördröjligen till aktiv tjenstgöring utrusta ätta liniestcpp.	220:225	0:263	— Lord Cochrane har akgätt till Paris , sör att söka förmä Grck-kommilt6erna pä kontinenten att befordra hans plan till hämmande af fjörösiverierna i Levanten , — T&gt ; ll Chatbam bfl order ankommit att ofördröjligen till aktiv tjenstgöring utrusta ätta liniestcpp .	37	0:43	$ lord cochrane ha akgätt till paris $ sör att söka förmä $ pä kontinent att befordra han plan till hämma af fjörösiverierna i levanten $ $ $ $ ll chatbam bfl order ankomma att ofördröjligen till aktiv tjenstgöring utrusta ätta liniestcpp $
aktiv		1805	1	bib19520388_18050213_147487_7_0003_alto.xml-4-26	 	& gt; Frankrike för nästa ar, kommer likasom i ar att bestä af 60, coo Man, hwaraf hälften är bestämd för de aktiva arméerna, öst) hälften för Reserf-armeen.	109:115	0:157	& gt ; Frankrike för nästa ar , kommer likasom i ar att bestä af 60 , coo Man , hwaraf hälften är bestämd för de aktiva arméerna , öst ) hälften för Reserf-armeen .	26	0:35	$ gt $ frankrike för nästa ar $ komma likasom i ar att bestä af 60 $ coo man $ hwaraf hälft vara bestämd för en aktiv armé $ öst $ hälft för $ $
aktiv		1817	1	bib11653828_18170913_144028_212_0002_alto.xml-0-16	 	dtktS Intit, thuru it had- fij uppdraget att göra för Brittiska handeln sanssa fördel, aktiva propositioner, och deribland den, att för 20 är erbjusa Stora LZritannien en rxclufiv handel med Nya Grenada och Benezuela; detta oartadt, kunde Lon Ivs« Maria del Real, pä sin fira gånger férnpace anhällan, icke fS en » onserence n.cd Mmistern för uliifeé ärenverna.	87:93	0:361	dtktS Intit , thuru it had- fij uppdraget att göra för Brittiska handeln sanssa fördel , aktiva propositioner , och deribland den , att för 20 är erbjusa Stora LZritannien en rxclufiv handel med Nya Grenada och Benezuela ; detta oartadt , kunde Lon Ivs« Maria del Real , pä sin fira gånger férnpace anhällan , icke fS en » onserence n.cd Mmistern för uliifeé ärenverna .	16	0:67	dtkts intit $ thuru it $ fij uppdrag att göra för brittisk handel sanssa fördel $ aktiv proposition $ och deribland den $ att för 20 vara erbjusa stor lzritannien en rxclufiv handel med ny grenada och benezuela $ denna oartad $ kunna lo $ maria del real $ pä sig fira gång férnpace anhällan $ icke få en $ onserence $ mmistern för uliifeé ärenverna $
aktiv		1814	1	bib13506739_18140415_144030_85_0008_alto.xml-1-3	 	biljet till den aktiva ärteiäitn Nio i, pa Lael.	16:22	0:48	biljet till den aktiva ärteiäitn Nio i , pa Lael .	3	0:11	biljet till den aktiv ärteiäitn nio i $ pa lael $
aktiv		1793	1	bib11653828_17930814_144028_183_0004_alto.xml-6-19	 	11 Hwar och en stom angifwer förbrytelser emot detta Decret., erhäller «n trevje:idrk af warorne, som aktiv wid hivarje öswerträdelse komma at confisqueraS.	102:107	0:156	11 Hwar och en stom angifwer förbrytelser emot detta Decret . , erhäller «n trevje:idrk af warorne , som aktiv wid hivarje öswerträdelse komma at confisqueraS .	19	0:27	11 hwar och en stom angifwer förbrytelse emot denna decret $ $ erhälla $ $ af warorne $ som aktiv wid hivarje öswerträdelse komma at confisqueras $
aktiv		1828	1	bib11653828_18280324_144028_71_0003_alto.xml-13-22	 	Konungen en kraftig föreställning häremot, tillkännagifwande att medel wäl sunneS till utbetalande - af solden för manflap och underbefäl wld den aktiva armen, men att Lfficerarne mäste, i sörhällande t B stna grader, i&to en del af fina löner innesiKx tillika beswärade sig Hr Remisa öfwer widcrbörandes mistbrttk att tillsanda honom i Konungens namn utfärdade befallningar rörande mänadtliga gratifikationers utbeta, lande tit wisia flyddlingar och andra obehöriga personer, äsivensom han skildrade nödwändigheten att minsta utgifterna för bäsh^llningen.	146:152	0:556	Konungen en kraftig föreställning häremot , tillkännagifwande att medel wäl sunneS till utbetalande - af solden för manflap och underbefäl wld den aktiva armen , men att Lfficerarne mäste , i sörhällande t B stna grader , i&to en del af fina löner innesiKx tillika beswärade sig Hr Remisa öfwer widcrbörandes mistbrttk att tillsanda honom i Konungens namn utfärdade befallningar rörande mänadtliga gratifikationers utbeta , lande tit wisia flyddlingar och andra obehöriga personer , äsivensom han skildrade nödwändigheten att minsta utgifterna för bäsh^llningen .	22	0:84	konung en kraftig föreställning häremot $ tillkännagifwande att medel wäl sunnes till utbetala $ af sold för manflap och underbefäl wld den aktiv arm $ men att lfficerarne mäste $ i sörhällande t b stna grad $ $ en del af fin lön innesikx tillika beswärade sig hr remisa öfwer widcrbörandes mistbrttk att tillsanda han i konung namn utfärda befallning rörande mänadtliga gratifikation utbeta $ lande tit wisia flyddlingar och andra obehörig person $ äsivensom han skildra nödwändigheten att liten utgift för $ $
aktiv		1816	1	bib19225772_18160828_148004_98_0004_alto.xml-16-8	 	E. Magnus, svin afwenledes reglerar aua Bolagets Aktiva och	49:55	0:59	E. Magnus , svin afwenledes reglerar aua Bolagets Aktiva och	8	0:10	$ magnus $ svin afwenledes reglera aua bolag aktiv och
aktiv		1829	1	bib19277277_18290406_147682_79_0001_alto.xml-4-13	 	regclmästigt, och man pästär alt 20,000 man stola wara bestämda till ben aktiva Arln^en wid Donau och 30,000 man till Livadien.	73:79	0:127	regclmästigt , och man pästär alt 20,000 man stola wara bestämda till ben aktiva Arln^en wid Donau och 30,000 man till Livadien .	13	0:23	regclmästigt $ och man pästär alt $ man stola wara bestämd till ben aktiv $ wid donau och $ man till livadien $
aktiv		1830	1	bib11653828_18300111_144028_7_0002_alto.xml-0-8	 	infallande krig tvänna klasser beväring genast ingingo i aktiv tjenst, så återstode trenne.	57:62	0:91	infallande krig tvänna klasser beväring genast ingingo i aktiv tjenst , så återstode trenne .	8	0:15	infalla krig tvänna klass beväring genast ingingo i aktiv tjenst $ så återstå trenne $
