identifier1	identifier2	annotator	judgment	comment	lemma	round
bib11653806_18151104_145120_116_0001_alto.xml-0-17	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	4.0	 	anda	3
bib19225772_18100720_148004_81_0001_alto.xml-3-15	bib11653828_18180610_144028_130_0001_alto.xml-2-30	annotator2	4.0	 	anda	3
bib15760690_18950810_145050_121_0002_alto.xml-8-6	bib15975090_18960704_148377_82_0003_alto.xml-38-35	annotator2	1.0	 	anda	3
bib19227462_18951206_147640_285_0002_alto.xml-186-91	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	4.0	 	anda	3
bib11653828_18150513_144028_109_0001_alto.xml-10-11	bib11653828_18150623_144028_143_0003_alto.xml-5-50	annotator2	1.0	 	anda	3
bib15873936_18950622_147385_73_0002_alto.xml-77-34	bib11653828_18150513_144028_109_0001_alto.xml-10-11	annotator2	1.0	 	anda	3
bib11653823_18300701_144010_148_0002_alto.xml-18-22	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	1.0	 	anda	3
bib15975090_18960818_148377_102_0002_alto.xml-65-48	bib11653811_18951016_145317_160_0001_alto.xml-5-10	annotator2	1.0	 	anda	3
bib11653828_18230320_144028_66_0004_alto.xml-0-14	bib19225758_18950411_144022_85_0002_alto.xml-178-29	annotator2	4.0	 	anda	3
bib11653823_18230125_144010_20_0002_alto.xml-13-16	bib19277346_18171011_147394_41_0002_alto.xml-8-9	annotator2	1.0	 	anda	3
bib15760690_18950810_145050_121_0002_alto.xml-8-6	bib11653823_18260821_144010_192_0004_alto.xml-1-88	annotator2	4.0	 	anda	3
bib11653811_18951016_145317_160_0001_alto.xml-5-10	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	1.0	 	anda	3
bib11653828_18270628_144028_148_0004_alto.xml-11-34	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	4.0	 	anda	3
bib11653838_19031016_147024_42_0001_alto.xml-51-36	bib11653811_19030228_145317_34_0003_alto.xml-141-18	annotator2	1.0	 	anda	3
bib11653828_18281231_144028_300_0002_alto.xml-15-26	bib11653811_18980314_145317_41_0002_alto.xml-93-6	annotator2	4.0	 	anda	3
bib15873371_18950924_145112_260_0002_alto.xml-225-2	bib11653790_18970409_145648_28_0003_alto.xml-125-11	annotator2	1.0	 	anda	3
bib15975090_18960818_148377_102_0002_alto.xml-65-48	bib15761570_18951224_146176_212_0022_alto.xml-124-26	annotator2	4.0	 	anda	3
bib11653828_18190819_144028_190_0003_alto.xml-11-38	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	1.0	 	anda	3
bib15975090_18950730_148377_89_0004_alto.xml-24-12	bib11653806_18090407_145120_42_0002_alto.xml-0-3	annotator2	4.0	 	anda	3
bib15650837_18950726_146391_171_0003_alto.xml-6-56	bib11653811_18951016_145317_160_0001_alto.xml-5-10	annotator2	1.0	 	anda	3
bib15873936_18961119_147385_135_0003_alto.xml-22-14	bib19225758_18950824_144022_196_0006_alto.xml-15-2	annotator2	4.0	 	anda	3
bib19227291_18950430_145289_51_0003_alto.xml-125-1	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	1.0	 	anda	3
bib11653790_18970409_145648_28_0003_alto.xml-125-11	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	2.0	 	anda	3
bib11653828_18240528_144028_122_0001_alto.xml-3-2	bib11653811_18951016_145317_160_0001_alto.xml-5-10	annotator2	1.0	 	anda	3
bib11653828_17911003_144028_228_0002_alto.xml-0-65	bib11653828_18290126_144028_20_0002_alto.xml-2-80	annotator2	1.0	 	anda	3
bib19277301_18961205_145146_101_0003_alto.xml-39-16	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	1.0	 	anda	3
bib11653806_18190507_145120_51_0004_alto.xml-3-48	bib19225758_18950824_144022_196_0006_alto.xml-15-2	annotator2	1.0	 	anda	3
bib11653828_18081128_144028_277_0003_alto.xml-1-19	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator2	1.0	 	anda	3
bib11653828_18150513_144028_109_0001_alto.xml-10-11	bib11653811_18951016_145317_160_0001_alto.xml-5-10	annotator3	0.0	bad OCR -> different lemmas	anda	3
bib11653838_19031016_147024_42_0001_alto.xml-51-36	bib11653811_19030228_145317_34_0003_alto.xml-141-18	annotator3	1.0	 	anda	3
bib15873936_18961119_147385_135_0003_alto.xml-22-14	bib11653811_18951016_145317_160_0001_alto.xml-5-10	annotator3	3.0	 	anda	3
bib11653811_19011030_145317_168_0004_alto.xml-102-77	bib15650814_18951015_146365_241_0003_alto.xml-115-15	annotator3	1.0	 	anda	3
bib15873371_18950924_145112_260_0002_alto.xml-225-2	bib11653790_18970409_145648_28_0003_alto.xml-125-11	annotator3	1.0	 	anda	3
bib19277330_18951207_0_145_0004_alto.xml-15-5	bib11653811_18950202_145317_19_0003_alto.xml-7-36	annotator3	0.0	bad OCR -> different lemmas	anda	3
bib13506739_18280314_144030_63_0001_alto.xml-23-12	bib19277277_18951101_147683_298_0006_alto.xml-17-59	annotator3	4.0	 	anda	3
bib11653811_19030223_145317_31_0004_alto.xml-6-48	bib15650814_18951015_146365_241_0003_alto.xml-115-15	annotator3	2.0	 	anda	3
