lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
anda		1812	1	bib11653825_18121109_145134_130_0007_alto.xml-0-76	 	jande: ' ' Sfter ftendenS nederlag under Polotzk och sedan jag intagit!em ltc stad, erhöll j ' g underratttlse frän Aeneral-Licutenanten ©ref Steinheil, att han mölt en wida öfwerlägftn fiendtlig styrka och derföre börjat draga sig tillbaka t ll Däna I följe häraf detachera^e jag, för att förstärka honom, ra, coo man under General LisnteNanttn Las.rnoffv befäl, medforder att marcherä längs efter högra strån-, den af Döna anda till Dy?na, der han bor, de passera floden för att förena sig med bemätte Grefwe.	425:429	0:511	jande : ' ' Sfter ftendenS nederlag under Polotzk och sedan jag intagit !em ltc stad , erhöll j ' g underratttlse frän Aeneral-Licutenanten ©ref Steinheil , att han mölt en wida öfwerlägftn fiendtlig styrka och derföre börjat draga sig tillbaka t ll Däna I följe häraf detachera^e jag , för att förstärka honom , ra , coo man under General LisnteNanttn Las.rnoffv befäl , medforder att marcherä längs efter högra strån- , den af Döna anda till Dy ?na , der han bor , de passera floden för att förena sig med bemätte Grefwe .	76	0:96	jande $ $ $ sfter ftendens nederlag under polotzk och sedan jag inta $ ltc stad $ erhålla j $ g underratttlse frän $ $ steinheil $ att han mölt en wida öfwerlägftn fiendtlig styrka och derföre börja dra sig tillbaka t ll däna i följe häraf $ jag $ för att förstärka han $ ra $ coo man under general lisntenanttn $ befäl $ medforder att marcherä längs efter höger $ $ den af döna anda till dy $ $ der han bo $ de passera flod för att förena sig med bemätte grefwe $
anda		1811	1	bib11653806_18111231_145120_150_0003_alto.xml-0-19	 	1) Avilk » äro medlen att hos ett Folk wäck » och underhålla patriotism och en ratt nationlig anda?	94:98	0:99	1 ) Avilk » äro medlen att hos ett Folk wäck » och underhålla patriotism och en ratt nationlig anda ?	19	0:21	1 $ avilk $ äro medel att hos en folk wäck $ och underhålla patriotism och en ratt nationlig anda $
anda		1800	1	bib19520388_18000625_147487_26_0004_alto.xml-2-21	 	General Melas wille därföre sammandraga sin huftvndstyrka ivid fästningarne Tortona och Alessandria, äfwen i händelse Wejland stulle förloras, ty anda har han fritt återtåg mor Piacenza, ock kan nedanföre Manlua gä öfwer Po.	146:150	0:224	General Melas wille därföre sammandraga sin huftvndstyrka ivid fästningarne Tortona och Alessandria , äfwen i händelse Wejland stulle förloras , ty anda har han fritt återtåg mor Piacenza , ock kan nedanföre Manlua gä öfwer Po .	21	0:37	general melas wille därföre sammandra sig huftvndstyrka ivid fästning tortona och alessandria $ äfwen i händelse wejland stulle förlora $ ty anda ha han fri återtåg mor piacenza $ ock kunna nedanföre manlua gä öfwer po $
anda		1791	1	bib11653828_17911126_144028_275_0004_alto.xml-11-14	 	tväxlade utbrott af ömhet, förcbräelser, mod, svaghet, förtwiflan, och anda til ursinnighet, fortsatte i Grcfwcns narwaro som hon ännu ej känner, men hwars biständ hon anropar mot Fredrics Far; och ändteligen Fredrics ankomst, hans böner och förtwiflan - - hwilket faderligt hjerta kan emotstå-besia anfall?	71:75	0:307	tväxlade utbrott af ömhet , förcbräelser , mod , svaghet , förtwiflan , och anda til ursinnighet , fortsatte i Grcfwcns narwaro som hon ännu ej känner , men hwars biständ hon anropar mot Fredrics Far ; och ändteligen Fredrics ankomst , hans böner och förtwiflan - - hwilket faderligt hjerta kan emotstå-besia anfall ?	14	0:55	tväxlade utbrott af ömhet $ förcbräelser $ mod $ svaghet $ förtwiflan $ och anda til ursinnighet $ fortsätta i grcfwcns narwaro som hon ännu ej känna $ men hwars biständ hon anropa mot fredric far $ och ändteligen fredric ankomst $ han bön och förtwiflan $ $ hwilket faderlig hjerta kunna $ anfall $
anda		1820	1	bib19225772_18201219_148004_148_0001_alto.xml-1-8	 	10 f. m. hos Magistraten till den andan sig anmäla, och dä	34:39	0:58	10 f. m . hos Magistraten till den andan sig anmäla , och dä	8	0:14	10 $ m $ hos magistrat till den anda sig anmäla $ och dä
anda		1828	1	bib19227306_18281217_147700_51_0001_alto.xml-9-31	 	deras egenreliga beståndsdelar — startdragande Borgare — är allmänt erkänd och twistämnet synes således endast wara, huru detta stall kunna föreuaS med de förändringar uci fjelfwa systemet, som tidens anda, en stigande upplysning och utwidgad industri tyckas pc.kalla.	201:205	0:268	deras egenreliga beståndsdelar — startdragande Borgare — är allmänt erkänd och twistämnet synes således endast wara , huru detta stall kunna föreuaS med de förändringar uci fjelfwa systemet , som tidens anda , en stigande upplysning och utwidgad industri tyckas pc.kalla .	31	0:42	de egenreliga beståndsdel $ startdragande borgare $ vara allmän erkänd och twistämnet synas således endast wara $ huru denna stall kunna föreuas med en förändring uci fjelfwa system $ som tid anda $ en stiga upplysning och utwidgad industri tycka $ $
anda		1813	1	bib11653825_18130118_145134_9_0003_alto.xml-14-12	 	deras Rälningar nied wede, börande Kamcreiare derstädes, hwilka till den anda » alla för, cH eftermiddagar ärv uti Banken tillstädes.	73:77	0:133	deras Rälningar nied wede , börande Kamcreiare derstädes , hwilka till den anda » alla för , cH eftermiddagar ärv uti Banken tillstädes .	12	0:24	de rälningar nied wede $ böra kamcreiare derstädes $ hwilka till den anda $ all för $ ch eftermiddag ärva uti bank tillstädes $
anda		1825	1	bib19227291_18250209_145289_6_0002_alto.xml-15-9	 	Wår Flotta har förföljt qwarlefworna af Mehemed Alys Escadre anda till inemot Alexandria.	61:65	0:89	Wår Flotta har förföljt qwarlefworna af Mehemed Alys Escadre anda till inemot Alexandria .	9	0:14	wår flotta ha förfölja qwarlefworna af mehemed alys escadre anda till inemot alexandria $
anda		1824	1	bib11653828_18240528_144028_122_0001_alto.xml-3-2	 	i den anda, solli tidhrvarfwels ikarpspntaste teologer tänkt fig ben, nägonstn kunna tillwägabringas, ar det nödwändigt, att bearbetningen af särskilta artiklar föregärDels genom det känflans öfwerwälde öfwer begreppet, svin tillhör öster » himmel, dels genom den oöfwerwinfleliga kärlek för del en gäng antagnas beständ, som SUlofaiånten innehöll, förde och utwccklade, har del händt, att nied all den ögonflenliga olikheten emellan de enstilta författarena i det gamla testamentet, - wilken icke ens ben redigerande handen, om nägon sädan funnits, förmätt Ulpläna, de dock bidchälla en äfwensä omistkännelig likhet och enformighet i afseende pä de dogmer, de föredraga; om det annars är tillätet att nied detta namn beteckna utan all so » fistiff konstfärdighet tillkomna lärosatser, för hwilka nian andä icke uppfunnit nägon indelning i grundartiklar och icke-grundarliklar.	6:10	0:877	i den anda , solli tidhrvarfwels ikarpspntaste teologer tänkt fig ben , nägonstn kunna tillwägabringas , ar det nödwändigt , att bearbetningen af särskilta artiklar föregärDels genom det känflans öfwerwälde öfwer begreppet , svin tillhör öster » himmel , dels genom den oöfwerwinfleliga kärlek för del en gäng antagnas beständ , som SUlofaiånten innehöll , förde och utwccklade , har del händt , att nied all den ögonflenliga olikheten emellan de enstilta författarena i det gamla testamentet , - wilken icke ens ben redigerande handen , om nägon sädan funnits , förmätt Ulpläna , de dock bidchälla en äfwensä omistkännelig likhet och enformighet i afseende pä de dogmer , de föredraga ; om det annars är tillätet att nied detta namn beteckna utan all so » fistiff konstfärdighet tillkomna lärosatser , för hwilka nian andä icke uppfunnit nägon indelning i grundartiklar och icke-grundarliklar .	2	0:144	i den anda $ solli tidhrvarfwels ikarpspntaste teolog tänka fig ben $ nägonstn kunna tillwägabringas $ ar den nödwändigt $ att bearbetning af särskilta artikel föregärdels genom den känflans öfwerwälde öfwer begrepp $ svin tillhöra öster $ himmel $ dels genom den oöfwerwinfleliga kärlek för del en gäng anta beständ $ som sulofaiånten innehålla $ föra och utwccklade $ ha del händt $ att nied all den ögonflenliga olikhet emellan en enstilta författarena i den gammal testamente $ $ wilken icke ens ben redigera hand $ om nägon sädan finna $ förmätt ulpläna $ de dock bidchälla en äfwensä omistkännelig likhet och enformighet i afseende pä en dogm $ de föredra $ om den annars vara tillläte att nied denna namn beteckna utan all so $ fistiff konstfärdighet $ lärosats $ för hwilka nia andä icke uppfinna nägon indelning i grundartikel och $ $
anda		1806	1	bib11653825_18060630_145134_80_0002_alto.xml-1-10	 	af Ofwerhuset ffola harwid den ene ester- den andre » anda ifrån den yngste Baron till den äldste Hertig, afgifwa sinas röster, t det de, stående, och med obetäckt hufwud, samt mcd högra handen pä bröstet, utsäga ordet Skyldig eller Icke j?yldlg.	54:58	0:246	af Ofwerhuset ffola harwid den ene ester- den andre » anda ifrån den yngste Baron till den äldste Hertig , afgifwa sinas röster , t det de , stående , och med obetäckt hufwud , samt mcd högra handen pä bröstet , utsäga ordet Skyldig eller Icke j ?yldlg .	10	0:50	af ofwerhuset ffola harwid den ena ester den andra $ anda ifrån den ung baron till den gammal hertig $ afgifwa sina röst $ t det de $ stå $ och med obetäckt hufwud $ samt mcd höger hand pä bröst $ utsäga ord skyldig eller icke j $ $
