lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
annandag		1825	1	bib13506739_18250521_144030_115_0003_alto.xml-16-32	 	hwilket i öfrigt förenar all den fäkerhet, beqwämlighet och propreté, man vä lnst » refor stälige » for ' rar, föres af en stickllg Befälhafware i morgon Pingstdagen och Annandag Pingst, emellan Riddarholmen och Drottningholm fram och äter; och ster afresan härifrän hwardera dage » kl. I- till 10 f. m. Bilietter a 32 k.	170:178	0:321	hwilket i öfrigt förenar all den fäkerhet , beqwämlighet och propreté , man vä lnst » refor stälige » for ' rar , föres af en stickllg Befälhafware i morgon Pingstdagen och Annandag Pingst , emellan Riddarholmen och Drottningholm fram och äter ; och ster afresan härifrän hwardera dage » kl. I- till 10 f. m . Bilietter a 32 k .	32	0:62	hwilket i öfrig förena all den fäkerhet $ beqwämlighet och propreté $ man vä lnst $ refor stälige $ for $ rar $ föra af en stickllg befälhafware i morgon pingstdag och annandag pingst $ emellan riddarholmen och drottningholm fram och äta $ och ster afresa härifrän hwardera dage $ $ i till 10 $ m $ bilietter a 32 k $
annandag		1830	1	bib19277277_18300607_147682_128_0004_alto.xml-1-14	 	En Plänbok, innebällande penningar och diverse bres, upphittades p i Norrtnllsgatan, Annandag Pingst om aftonen, och kan oä rik.-g.h.	85:93	0:133	En Plänbok , innebällande penningar och diverse bres , upphittades p i Norrtnllsgatan , Annandag Pingst om aftonen , och kan oä rik.-g .h .	14	0:25	en plänbok $ innebällande penning och diverse bre $ upphitta p i norrtnllsgatan $ annandag pingst om afton $ och kunna oä $ $ $
annandag		1823	1	bib19225792_18230517_147359_19_0002_alto.xml-0-3	 	dom, forn Annandagen ämnar första gängen begå H.	10:20	0:48	dom , forn Annandagen ämnar första gängen begå H .	3	0:10	de $ forn annandag ämna första gäng begå h $
annandag		1827	1	bib19277277_18270602_147682_127_0002_alto.xml-29-0	 	Annandag Pingst den 4 Juni till Strengnäs och Westcräs kl. 7 f. m. Restauration och säugrnm mot serstild betalning finnes om bord, och Biljetter säljes hos Stads-Major Strindberg wid Stads-Smcdjcgatan.	0:8	0:201	Annandag Pingst den 4 Juni till Strengnäs och Westcräs kl. 7 f. m . Restauration och säugrnm mot serstild betalning finnes om bord , och Biljetter säljes hos Stads-Major Strindberg wid Stads-Smcdjcgatan .	0	0:33	annandag pingst den 4 juni till strengnäs och westcräs $ 7 $ m $ restauration och säugrnm mot serstild betalning finna om bord $ och biljett sälja hos $ strindberg wid $ $
annandag		1826	1	bib19277277_18260102_147682_1_0003_alto.xml-43-7	 	Ett Fotsteg till en Trilla är borttappadt Annandag Jul linder i ökandet ifrän Kungssiacken till Blasieholmen.	42:50	0:109	Ett Fotsteg till en Trilla är borttappadt Annandag Jul linder i ökandet ifrän Kungssiacken till Blasieholmen .	7	0:17	en fotsteg till en trilla vara borttappadt annandag jul linder i ökande ifrän kungssiacken till blasieholmen $
annandag		1824	1	bib13506739_18240605_144030_129_0004_alto.xml-0-5	 	Djurgärdeu upvförcS nästa Mändag eller Annandag Pingst den 7 dennes:	39:47	0:68	Djurgärdeu upvförcS nästa Mändag eller Annandag Pingst den 7 dennes :	5	0:11	djurgärdeu upvförcs nästa mändag eller annandag pingst den 7 denna $
annandag		1803	1	bib19225772_18030128_148004_13_0004_alto.xml-9-1	 	eller Annandag Jul borrstals utur elt hus i Boras Stad e » mörkbli	6:14	0:66	eller Annandag Jul borrstals utur elt hus i Boras Stad e » mörkbli	1	0:13	eller annandag jul borrstals utur elt hus i boras stad e $ mörkbli
annandag		1825	1	bib13506739_18250326_144030_70_0002_alto.xml-7-20	 	Den till Lördagen den l9 dennes utsatta sammankomst för Orden rinnocence » lopjliiitcS, för » icllankomne hinder, till Annandag P.isk.	119:127	0:134	Den till Lördagen den l9 dennes utsatta sammankomst för Orden rinnocence » lopjliiitcS , för » icllankomne hinder , till Annandag P.isk .	20	0:23	den till lördag den l9 denna $ sammankomst för ord rinnocence $ lopjliiitcs $ för $ icllankomne hinder $ till annandag $ $
annandag		1826	1	bib11653823_18260603_144010_126_0007_alto.xml-19-44	 	sten och Riddaren von Post, ehuru hindrad att, efter Bor » gerstapets åstundan, biwiffa middac&gt; smäl ' iden, likwäl sedermera infann sig ä Rådhuset och der en stund war wittne till de församlades glada känstor Högtidligheten fortsattes, derpäföljde Annandags, afton, » ned ä Rådhuset anställd Assemblé, deruti åtskillig » Officerare, jemte Ståndspersoner från landet, deltogo med innewänare i Sraden af bägge könen.	252:261	0:418	sten och Riddaren von Post , ehuru hindrad att , efter Bor » gerstapets åstundan , biwiffa middac&gt ; smäl ' iden , likwäl sedermera infann sig ä Rådhuset och der en stund war wittne till de församlades glada känstor Högtidligheten fortsattes , derpäföljde Annandags , afton , » ned ä Rådhuset anställd Assemblé , deruti åtskillig » Officerare , jemte Ståndspersoner från landet , deltogo med innewänare i Sraden af bägge könen .	44	0:74	sten och riddare von post $ ehuru hindra att $ efter bo $ gerstapets åstundan $ biwiffa $ $ smäl $ id $ likwäl sedermera $ sig ä rådhus och der en stund war wittne till en församla glad känstor högtidlighet fortsätta $ derpäföljde annandag $ afton $ $ ned ä rådhus anställa assemblé $ deruti åtskillig $ officer $ jemte ståndsperson från land $ deltogo med innewänare i sraden af bägge kön $
annandag		1817	1	bib19225772_18170402_148004_37_0002_alto.xml-3-5	 	Nästa Mändag, som ar Annandag Past, insamlas uti Stadens Kyrkor och Fat » tighus k wid alia Guvetjeniterna.	21:29	0:107	Nästa Mändag , som ar Annandag Past , insamlas uti Stadens Kyrkor och Fat » tighus k wid alia Guvetjeniterna .	5	0:21	nästa mändag $ som ar annandag past $ insamla uti stad kyrka och fat $ tighus k wid alia guvetjeniterna $
