identifier1	identifier2	annotator	judgment	comment	lemma	round
bib15650837_18000506_146391_50_0002_alto.xml-3-81	bib11653811_18950426_145317_63_0003_alto.xml-94-13	annotator2	4.0	 	antyda	3
bib19277277_18270626_147682_146_0001_alto.xml-1-94	bib11653823_18251010_144010_234_0001_alto.xml-17-9	annotator2	4.0	 	antyda	3
bib13506739_18200515_144030_110_0001_alto.xml-1-39	bib13506739_18071216_144030_292_0002_alto.xml-4-29	annotator2	4.0	 	antyda	3
bib11653828_18020218_144028_40_0002_alto.xml-16-11	bib13506739_17951230_144030_298_0004_alto.xml-1-18	annotator2	4.0	 	antyda	3
bib11653823_18211001_144010_229_0002_alto.xml-2-23	bib11653823_18240916_144010_215_0006_alto.xml-4-25	annotator2	4.0	 	antyda	3
bib19225772_18240804_148004_88_0001_alto.xml-5-19	bib19225772_18000306_148004_27_0003_alto.xml-12-57	annotator2	4.0	 	antyda	3
bib11653828_18220610_144028_132_0004_alto.xml-5-12	bib11653830_18970308_146968_19_0002_alto.xml-48-3	annotator2	3.0	 	antyda	3
bib19277277_18270626_147682_146_0001_alto.xml-1-94	bib15978012_18950207_148361_32_0003_alto.xml-93-6	annotator2	4.0	 	antyda	3
bib11653811_18960617_145317_91_0003_alto.xml-154-0	bib19277277_18950824_147683_229_0003_alto.xml-36-2	annotator2	4.0	 	antyda	3
bib11653790_18981216_145648_97_0003_alto.xml-142-14	bib19225792_18090128_147359_4_0007_alto.xml-3-6	annotator2	4.0	 	antyda	3
bib15978012_18950207_148361_32_0003_alto.xml-93-6	bib19277277_18290326_147682_70_0001_alto.xml-32-1	annotator2	3.0	 	antyda	3
bib15873936_18950321_147385_35_0002_alto.xml-146-8	bib11653823_18251026_144010_248_0001_alto.xml-12-6	annotator3	3.0	 	antyda	3
bib19225772_18240804_148004_88_0001_alto.xml-5-19	bib19225772_18000306_148004_27_0003_alto.xml-12-57	annotator3	4.0	 	antyda	3
bib19277277_18290326_147682_70_0001_alto.xml-32-1	bib13506739_18200515_144030_110_0001_alto.xml-1-39	annotator3	3.0	 	antyda	3
bib19277301_18950221_145146_15_0001_alto.xml-21-7	bib19277277_18950830_147683_235_0003_alto.xml-28-5	annotator3	3.0	 	antyda	3
bib15978012_18950327_148361_72_0002_alto.xml-77-14	bib19277277_18250322_147682_67_0002_alto.xml-15-87	annotator3	3.0	 	antyda	3
bib15650835_18950820_146472_70_0003_alto.xml-56-10	bib13506739_18120626_144030_145_0001_alto.xml-2-25	annotator3	3.0	 	antyda	3
bib19277277_18270626_147682_146_0001_alto.xml-1-94	bib15978012_18950207_148361_32_0003_alto.xml-93-6	annotator3	4.0	 	antyda	3
bib19277277_18290326_147682_70_0001_alto.xml-32-1	bib19277277_18270626_147682_146_0001_alto.xml-1-94	annotator3	4.0	 	antyda	3
bib13506739_18071216_144030_292_0002_alto.xml-4-29	bib19277277_18290326_147682_70_0001_alto.xml-32-1	annotator3	4.0	 	antyda	3
bib13506739_18280322_144030_70_0001_alto.xml-2-85	bib19277277_18280617_147682_139_0001_alto.xml-20-2	annotator3	3.0	 	antyda	3
