lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
antyda		1793	1	bib19225772_17930705_148003_52_0003_alto.xml-6-22	 	och öfwerenskoinma viii wrderböraudes härunder beroende rätt och bästa; ty mele Wi i näddr hafwa Eder änbefalt, det börén I antyda Prastcrstapet pa Landet och i Slädcrne, afhöra Husbönder.	124:130	0:188	och öfwerenskoinma viii wrderböraudes härunder beroende rätt och bästa ; ty mele Wi i näddr hafwa Eder änbefalt , det börén I antyda Prastcrstapet pa Landet och i Slädcrne , afhöra Husbönder .	22	0:33	och öfwerenskoinma viii wrderböraudes härunder bero rätt och bra $ ty mele wi i näddr hafwa ni änbefalt $ den börén i antyda prastcrstapet pa land och i slädcrne $ afhöra husbonde $
antyda		1829	1	bib19227291_18290513_145289_20_0003_alto.xml-15-35	 	Till detta ärs BewillningS Taxering, som & gt; ned Academifla Jurisdiclionen härstädes kommer att förrättas i Coiisistorii-Academiei Sessionsrum Mändagen den & gt; z Juni vch börjas kl. g s m., antydas wederbörande Skattskyldige att aflemna twefaldt författade uppgifter pä hwad embete eller tjenst jemte den lön och inkomst hmar och c » innehafwer, h!vilken rörelse och näring han idkar, äfwensoni hwilka fastigheter han under ägande eller nytt, ande rätt innehar eller som Förmyndare disponerar, med be&gt; stämmande derjemte af det warde hwartill han anser dem böra uppffaitas.	194:201	0:580	Till detta ärs BewillningS Taxering , som & gt ; ned Academifla Jurisdiclionen härstädes kommer att förrättas i Coiisistorii-Academiei Sessionsrum Mändagen den & gt ; z Juni vch börjas kl. g s m . , antydas wederbörande Skattskyldige att aflemna twefaldt författade uppgifter pä hwad embete eller tjenst jemte den lön och inkomst hmar och c » innehafwer , h !vilken rörelse och näring han idkar , äfwensoni hwilka fastigheter han under ägande eller nytt , ande rätt innehar eller som Förmyndare disponerar , med be&gt ; stämmande derjemte af det warde hwartill han anser dem böra uppffaitas .	35	0:99	till denna ära bewillnings taxering $ som $ gt $ ned academifla jurisdiclionen härstädes komma att förrätta i $ sessionsrum mändagen den $ gt $ z juni vch börja $ g s m $ $ antyda wederbörande skattskyldig att aflemna twefaldt författa uppgift pä hwad embete eller tjenst jemte den lön och inkomst hmar och c $ innehafwer $ h $ rörelse och näring han idka $ äfwensoni hwilka fastighet han under ägande eller ny $ ande rätt inneha eller som förmyndare disponera $ med $ $ stämma derjemte af den warde hwartill han anse de böra uppffaitas $
antyda		1811	1	bib11653828_18110417_144028_88_0003_alto.xml-9-20	 	Köpman, som förklarat sig hofwa Coloniwaror upplagde i Holstein och anmält sig till deras införande öfwer Franska gransen, antydas att fädant werkställa innan d.	123:130	0:161	Köpman , som förklarat sig hofwa Coloniwaror upplagde i Holstein och anmält sig till deras införande öfwer Franska gransen , antydas att fädant werkställa innan d .	20	0:27	köpman $ som förklara sig hofwa coloniwaror upplagd i holstein och anmäla sig till de införande öfwer fransk grans $ antyda att fädant werkställa innan d $
antyda		1825	1	bib19277277_18250322_147682_67_0002_alto.xml-15-87	 	De som weta kig hafwa Panter uti huset N:o - 3, Qwarteret Bergsklippan större ä Kungs!&gt; olinen, anmodas att dem igenlösa till de » & gt; 5 April, i annat fall b.ifwa de sin löse-rätt förlnstige och Panterna lagligen försälde, hwilket första gängen kungöreS^ Den eller de, som weta sig hafwa pantsatt LöSöreperiedlar, Sr elter annat, för erbällne penningel uti Hnset N:S - j och S wid Norrbro, men de » samma ej ännu inlöst, antydas härmed, att wid förlust af Lösningsrätt, de » samma Igenlösa hoS Längifwaren, uti Suset N:o & gt; 8, Qw.	427:434	0:539	De som weta kig hafwa Panter uti huset N:o - 3 , Qwarteret Bergsklippan större ä Kungs !&gt ; olinen , anmodas att dem igenlösa till de » & gt ; 5 April , i annat fall b.ifwa de sin löse-rätt förlnstige och Panterna lagligen försälde , hwilket första gängen kungöreS^ Den eller de , som weta sig hafwa pantsatt LöSöreperiedlar , Sr elter annat , för erbällne penningel uti Hnset N:S - j och S wid Norrbro , men de » samma ej ännu inlöst , antydas härmed , att wid förlust af Lösningsrätt , de » samma Igenlösa hoS Längifwaren , uti Suset N:o & gt ; 8 , Qw .	87	0:113	en som weta kig hafwa pant uti hus $ $ 3 $ qwar bergsklippan stor ä kung $ $ olinen $ anmoda att de igenlösa till en $ $ gt $ 5 april $ i annan fall $ en sig $ förlnstige och pant lagligen försälde $ hwilket första gäng $ den eller en $ som weta sig hafwa pantsätta lösöreperiedlar $ sr elter annan $ för erbällne penningel uti hnset $ $ j och s wid norrbro $ men de $ samma ej ännu inlösa $ antyda härmed $ att wid förlust af lösningsrätt $ de $ samma igenlösa hos längifwaren $ uti sus $ $ gt $ 8 $ qw $
antyda		1809	1	bib19225772_18090329_148004_36_0002_alto.xml-2-38	 	Dä är§tiden och infallen blidare wäderlek niedgifwa, att pä ätffillige gator har i Staden qwarliggande Is warder upphuggen och jemte annan öfwer wtntren samlad orenlighet bortförd; har Högwälboriie Hr Laudshöfdingcn och Magistraten stokat härmed alsivarlige » antyda och påminna wederbörande Stadens Jmvänare, att, wid En R dal.	260:266	0:328	Dä är§tiden och infallen blidare wäderlek niedgifwa , att pä ätffillige gator har i Staden qwarliggande Is warder upphuggen och jemte annan öfwer wtntren samlad orenlighet bortförd ; har Högwälboriie Hr Laudshöfdingcn och Magistraten stokat härmed alsivarlige » antyda och påminna wederbörande Stadens Jmvänare , att , wid En R dal .	38	0:52	dä $ och infall blid wäderlek nied $ att pä ätffillige gata ha i stad qwarliggande is warder upphuggen och jemte annan öfwer wtntren samla orenlighet bortföra $ ha högwälboriie hr laudshöfdingcn och magistrat stokat härmed alsivarlige $ antyda och påminna wederbörande stad jmvänare $ att $ wid en r dal $
antyda		1826	1	bib11653828_18260911_144028_210_0002_alto.xml-5-4	 	af detta blad sökt antyda stiilnadcn mellan Spontinis sätt att behandla recitativet emot de gamla Mästarnes, hwilka sistnämnde höllö sig ivid andon af tåtets mening och litade nägot pä sängarens urskiljning, hwaremot Spontin, utarbetat det med en sorgfällighet, som hans talang fanste bordt anse sig kfwer.	19:25	0:306	af detta blad sökt antyda stiilnadcn mellan Spontinis sätt att behandla recitativet emot de gamla Mästarnes , hwilka sistnämnde höllö sig ivid andon af tåtets mening och litade nägot pä sängarens urskiljning , hwaremot Spontin , utarbetat det med en sorgfällighet , som hans talang fanste bordt anse sig kfwer .	4	0:51	af denna blad söka antyda stiilnadcn mellan spontinis sätt att behandla recitativ emot en gammal mästarnes $ hwilka sistnämnd höllö sig ivid andon af tåtets mening och lita nägot pä sängar urskiljning $ hwaremot spontin $ utarbeta den med en sorgfällighet $ som han talang fanste bordt anse sig kfwer $
antyda		1819	1	bib13506739_18191013_144030_237_0001_alto.xml-0-19	 	tiden nu är i«ine, att tjenstsolket bör hafroa tillträdt sine tjenster, har jag welat härigenom päminna och antyda Huswudstabenö Inwänare, att icke utöfwer den tid, hwartill Qfwcr-Stäthällare-Embctet kan för serffilda fall lemna Kristlig tillåtelse, hysa- sådant tjenstfolk, som icke med laga tjenst nu är sörsedt,.	108:114	0:315	tiden nu är i«ine , att tjenstsolket bör hafroa tillträdt sine tjenster , har jag welat härigenom päminna och antyda Huswudstabenö Inwänare , att icke utöfwer den tid , hwartill Qfwcr-Stäthällare-Embctet kan för serffilda fall lemna Kristlig tillåtelse , hysa- sådant tjenstfolk , som icke med laga tjenst nu är sörsedt , .	19	0:53	tid nu vara $ $ att tjenstsolket böra hafroa tillträdt sine tjenst $ ha jag welat härigenom päminna och antyda huswudstabenö inwänare $ att icke utöfwer den tid $ hwartill $ kunna för serffilda fall lemna kristlig tillåtelse $ $ sån tjenstfolk $ som icke med laga tjenst nu vara sörsedt $ $
antyda		1809	1	bib19223423_18090201_145063_9_0002_alto.xml-11-48	 	Som den tid ridau förflutit, inom hwilken Krono- och Stads-utstylrerne för näsiledit är i8«8 bolde wara betalte, jemte den päbjudne resterande Krigsgärden; men, enligt wederbörandes nu stedds anmälan, en stor del af Stadens Inncwänarc sädan styldrghet annu icke fullgjordt; alltsä föranlätes Magistraten antyda en och hwar, som härutinnan brister, att berörde resterande skatter till Kronan och Staden, jemte Krigsgärden, inom medlet af nästkommande Februari, månad mi Uppbörds-Conkoiret ofelbart erlägga, sä wida utmätning undwikas stall, hwilken i annor händelse genast derefter iommer att werkställas.	304:310	0:604	Som den tid ridau förflutit , inom hwilken Krono- och Stads-utstylrerne för näsiledit är i8«8 bolde wara betalte , jemte den päbjudne resterande Krigsgärden ; men , enligt wederbörandes nu stedds anmälan , en stor del af Stadens Inncwänarc sädan styldrghet annu icke fullgjordt ; alltsä föranlätes Magistraten antyda en och hwar , som härutinnan brister , att berörde resterande skatter till Kronan och Staden , jemte Krigsgärden , inom medlet af nästkommande Februari , månad mi Uppbörds-Conkoiret ofelbart erlägga , sä wida utmätning undwikas stall , hwilken i annor händelse genast derefter iommer att werkställas .	48	0:97	som den tid ridau förflyta $ inom hwilken $ och $ för näsiledit vara $ bolde wara betala $ jemte den päbjudne restera krigsgärd $ men $ enligt wederbörandes nu stedds anmälan $ en stor del af stad inncwänarc sädan styldrghet annu icke fullgjordt $ alltsä föranlåta magistrat antyda man och hwar $ som härutinnan brist $ att beröra restera skatt till krona och stad $ jemte krigsgärd $ inom medel af nästkommande februari $ månad mi $ ofelbar erlägga $ sä wida utmätning undwikas stall $ hwilken i annor händelse genast derefter iommer att werkställas $
antyda		1799	1	bib11653792_17990511_146919_19_0002_alto.xml-2-5	 	Och warda Stadens Jnnewänare härigenom antydde, at dekförinnan läta bättra och i ständ sätta bristfälligt Tak, Husdelar, Murar, Eldstäder och SkersteNar, emedan i annor händelse, hwad som bristfälligt är, genast kommer at rifwa ».	39:46	0:230	Och warda Stadens Jnnewänare härigenom antydde , at dekförinnan läta bättra och i ständ sätta bristfälligt Tak , Husdelar , Murar , Eldstäder och SkersteNar , emedan i annor händelse , hwad som bristfälligt är , genast kommer at rifwa » .	5	0:42	och warda stad jnnewänare härigenom antyda $ at dekförinnan läta bättra och i ständ sätta bristfällig tak $ husdel $ mur $ eldstad och skerstenar $ emedan i annor händelse $ hwad som bristfällig vara $ genast komma at rifwa $ $
antyda		1812	1	bib13506739_18120626_144030_145_0001_alto.xml-2-25	 	Nästkommtmve Lördag den 27 Innit mönstras ^e Barn, som af Frimurare-Barnhuset njuta underhäll och sto boeade pä Norrmalm: hw.irlöre wcdcrdörande Föräldrar och Fosterlöräldrar antydas, att wid denna förrättning sig iemte Barnen.infinna, försedde med uppgift vä Qwarlcrets och Gatans namn samt Husets nummer der Barnen wistaS.	175:182	0:324	Nästkommtmve Lördag den 27 Innit mönstras ^e Barn , som af Frimurare-Barnhuset njuta underhäll och sto boeade pä Norrmalm : hw.irlöre wcdcrdörande Föräldrar och Fosterlöräldrar antydas , att wid denna förrättning sig iemte Barnen.infinna , försedde med uppgift vä Qwarlcrets och Gatans namn samt Husets nummer der Barnen wistaS .	25	0:50	nästkommtmve lördag den 27 innit mönstra $ barn $ som af $ njuta underhäll och sto boeade pä norrmalm $ $ wcdcrdörande förälder och fosterlöräldrar antyda $ att wid denna förrättning sig iemte $ $ förse med uppgift vä qwarlcrets och gata namn samt hus nummer der barn wistas $
antyda		1827	1	bib11653828_18270122_144028_17_0003_alto.xml-0-57	 	f5r despotismen, hwilket ej ens fallit honom s, ' elfin- öfwerhufwud stulle wi icke utförligt afhandla detta ämne, om det ej more karakterrstistt för tvär lid, samt i synnerhet för Frankrike, och om den strist, mi anmäla, ej innehölle nya öfwerty » gande demis för den äsigt, mi här antyda.	283:289	0:290	f5r despotismen , hwilket ej ens fallit honom s , ' elfin- öfwerhufwud stulle wi icke utförligt afhandla detta ämne , om det ej more karakterrstistt för tvär lid , samt i synnerhet för Frankrike , och om den strist , mi anmäla , ej innehölle nya öfwerty » gande demis för den äsigt , mi här antyda .	57	0:59	f5r despotism $ hwilket ej ens falla han s $ $ $ öfwerhufwud stulle wi icke utförlig afhandla denna ämne $ om den ej more karakterrstistt för tvär lid $ samt i synnerhet för frankrike $ och om den strist $ mi anmäla $ ej innehålla ny öfwerty $ gande demis för den äsigt $ mi här antyda $
antyda		1825	1	bib11653823_18251010_144010_234_0001_alto.xml-17-9	 	befanns han i Portugal, klef gripen, och antyd » des att wända om till Paraguay.	41:46	0:80	befanns han i Portugal , klef gripen , och antyd » des att wända om till Paraguay .	9	0:18	befinna han i portugal $ klef gripa $ och antyda $ des att wända om till paraguay $
antyda		1819	1	bib13506739_18190507_144030_104_0006_alto.xml-2-46	 	Hos öfwcr-Stäthällarc Embetet dr anmdidt att Tjufwar frän en Kammare i Huset N:o 9, Qwartcrct Terseus, wid Kövmansbrinken bortstulit, ett litet Franstt Guld-llr, tccknadt med Paris ä Taflan, samt ett större Swenflt Silswer Zick-Ur förfdrdigadt af Norman i Norrköping; vch antydeS alltfä en hwar, som om Tiufwen vch berörde llc hur eller far nägon kunffap, att fadant wid laga answar genast i Kgl.	272:279	0:396	Hos öfwcr-Stäthällarc Embetet dr anmdidt att Tjufwar frän en Kammare i Huset N:o 9 , Qwartcrct Terseus , wid Kövmansbrinken bortstulit , ett litet Franstt Guld-llr , tccknadt med Paris ä Taflan , samt ett större Swenflt Silswer Zick-Ur förfdrdigadt af Norman i Norrköping ; vch antydeS alltfä en hwar , som om Tiufwen vch berörde llc hur eller far nägon kunffap , att fadant wid laga answar genast i Kgl .	46	0:72	hos $ embete dr anmdidt att tjufwar frän en kammare i hus $ 9 $ qwartcrct terseus $ wid kövmansbrinken bortstulit $ en liten fran $ $ tccknadt med paris ä tafla $ samt en stor swenflt silswer $ förfdrdigadt af norman i norrköping $ vch antyda alltfä en hwar $ som om tiufwen vch beröra llc hur eller far nägon kunffap $ att fadant wid laga answar genast i kgl $
antyda		1813	1	bib13506739_18130330_144030_73_0003_alto.xml-7-5	 	framdeles fät nag-n funsi 0 antyds att sådant till undretfande as Laga answar i Kongl Pzliee-Kamui^, ren genast anmäla.	28:34	0:119	framdeles fät nag-n funsi 0 antyds att sådant till undretfande as Laga answar i Kongl Pzliee-Kamui^ , ren genast anmäla .	5	0:21	framdeles fä $ funsi 0 antyda att sån till undretfande as laga answar i kongl $ $ ren genast anmäla $
antyda		1829	1	bib11653828_18291002_144028_228_0002_alto.xml-7-17	 	Redan fjorton dagar hade Arabella bäfvat för sin älskade makes öde, då Grefvinnan erhöll befallning att antyda sin slägting, det lian borde bålla sig färdig alt till Durham åtfölja en kongl, emissarie, sorn dagen derpå skulle infinna sig hos henne.	104:110	0:248	Redan fjorton dagar hade Arabella bäfvat för sin älskade makes öde , då Grefvinnan erhöll befallning att antyda sin slägting , det lian borde bålla sig färdig alt till Durham åtfölja en kongl , emissarie , sorn dagen derpå skulle infinna sig hos henne .	17	0:45	redan fjorton dag ha arabella bäfvat för sig älska make öde $ då grefvinna erhålla befallning att antyda sig slägting $ den lian böra bålla sig färdig alt till durham åtfölja en kongl $ emissarie $ sorn dag derpå skola $ sig hos hon $
antyda		1824	1	bib19225792_18241204_147359_49_0006_alto.xml-10-7	 	ett mindre rum med nödige möbler / antyda fin avrest.	35:41	0:53	ett mindre rum med nödige möbler / antyda fin avrest .	7	0:11	en liten rum med nödig möbel $ antyda fin avresa $
antyda		1823	1	bib19225792_18230621_147359_24_0002_alto.xml-1-4	 	Desse Barns Foster-Föräldrar härigenom antydde att fig med Barnen nämnde dag kl. 8 f- m. p » Barnhuset inställa; börandes de tillika medhafwa fina Kontraster och Kontraböcker.	39:46	0:175	Desse Barns Foster-Föräldrar härigenom antydde att fig med Barnen nämnde dag kl. 8 f- m . p » Barnhuset inställa ; börandes de tillika medhafwa fina Kontraster och Kontraböcker .	4	0:30	desse barn $ härigenom antyda att fig med barn nämna dag $ 8 f m $ p $ barnhus inställa $ böra en tillika medhafwa fin kontrast och kontrabok $
antyda		1819	1	bib13506739_18190507_144030_104_0008_alto.xml-9-30	 	en Flotte fnrkantige Furu Bjelkar, äswrnsom eii Flotte Granspiror, utan att Agarne sedermera infunnit stg till Horans betalande, sä & gt; oarda wednbörande Ägare således härigenom antydde art inom nästkom.	180:187	0:205	en Flotte fnrkantige Furu Bjelkar , äswrnsom eii Flotte Granspiror , utan att Agarne sedermera infunnit stg till Horans betalande , sä & gt ; oarda wednbörande Ägare således härigenom antydde art inom nästkom .	30	0:35	en flotte fnrkantige furu bjelke $ äswrnsom eii flotta granspira $ utan att agarne sedermera infinna stg till hora betala $ sä $ gt $ oarda wednbörande ägare således härigenom antyda art inom nästkom $
antyda		1805	1	bib15650837_18050427_146391_34_0004_alto.xml-15-3	 	» Berg, antydes hwar och en som eger några fordringar eller äro styldige i wart Bo, de torre sine Räkningar ingifwa och de sednare sina stulder betala till niedlet af nasta Maj mänad; hwilket «ndra gängen tillkännagiswcs.	8:15	0:221	» Berg , antydes hwar och en som eger några fordringar eller äro styldige i wart Bo , de torre sine Räkningar ingifwa och de sednare sina stulder betala till niedlet af nasta Maj mänad ; hwilket «ndra gängen tillkännagiswcs .	3	0:41	$ berg $ antyda hwar och man som eger någon fordran eller äro styldige i wart bo $ en torr sine räkning ingifwa och en sednare sig stulder betala till niedlet af nasta maj mänad $ hwilket $ gäng tillkännagiswcs $
antyda		1800	1	bib19225772_18000312_148004_29_0003_alto.xml-0-67	 	deras Hamnkajer inrättade, härmed erinrade och tilsagde, at lota sig angeläget wara tille, det silke trappsteg och wartentilgängar, ej blifwa islupne och för ändamaler obrukbare. — Och som stentrappor wid et och annat ställe pa Otterhälleberget blifwit anlagde til pasiagens lättande därstädes /, men desto trappor om Wintrell ej sällan gro sa islnpne, at de nästan äro otilgängelige; alisa antydaS wederbörande Husägare och Jnnewanare pa Octerbällan, der de, i anseende til deras egen därunder beroende beqwämligliet, at up- och nedgången til deras boningsställen städse hålles ledig fran ishalka, flitigt uphugga vch renhälla vesta trappor och siurtanbe stigar.	391:398	0:663	deras Hamnkajer inrättade , härmed erinrade och tilsagde , at lota sig angeläget wara tille , det silke trappsteg och wartentilgängar , ej blifwa islupne och för ändamaler obrukbare . — Och som stentrappor wid et och annat ställe pa Otterhälleberget blifwit anlagde til pasiagens lättande därstädes / , men desto trappor om Wintrell ej sällan gro sa islnpne , at de nästan äro otilgängelige ; alisa antydaS wederbörande Husägare och Jnnewanare pa Octerbällan , der de , i anseende til deras egen därunder beroende beqwämligliet , at up- och nedgången til deras boningsställen städse hålles ledig fran ishalka , flitigt uphugga vch renhälla vesta trappor och siurtanbe stigar .	67	0:110	de hamnkaj inrätta $ härmed erinra och tilsagde $ at lota sig angelägen wara tille $ den silke trappsteg och wartentilgängar $ ej blifwa islupne och för ändamaler obrukbar $ $ och som stentrappa wid et och annan ställe pa otterhälleberget blifwit anlägga til pasiagens lättande därstädes $ $ men desto trappa om wintrell ej sällan gro säga islnpne $ at de nästan äro otilgängelige $ alisa antyda wederbörande husägare och jnnewanare pa octerbällan $ der de $ i anseende til de egen därunder bero beqwämligliet $ at $ och nedgång til de boningsställen städse hålla ledig fran ishalka $ flitig uphugga vch renhälla vesta trappa och siurtanbe stig $
antyda		1830	1	bib19225772_18300803_148004_86_0001_alto.xml-1-15	 	tugal befinna sig angelägenheterna ännu Uti samma beklagliga tillständ, och in) fet synes antyda, att Gtor-Brittanien stall ater inga uti de förvelaktiga föri hållanden, som det fordom underhållit med detta land.	90:96	0:212	tugal befinna sig angelägenheterna ännu Uti samma beklagliga tillständ , och in ) fet synes antyda , att Gtor-Brittanien stall ater inga uti de förvelaktiga föri hållanden , som det fordom underhållit med detta land .	15	0:36	tugal befinna sig angelägenhet ännu uti samma beklaglig tillständ $ och in $ fet synas antyda $ att $ stall ater ingen uti en förvelaktiga föri hållande $ som den fordom underhålla med denna land $
