lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
bearbeta		1825	1	bib19223423_18250212_145063_12_0002_alto.xml-8-9	 	Ett Engelskt Bolag tros söka tillständ, att fä bearbeta de rika Gellivare jernmalms » fälten t Lappland.	47:55	0:104	Ett Engelskt Bolag tros söka tillständ , att fä bearbeta de rika Gellivare jernmalms » fälten t Lappland .	9	0:19	en engelsk bolag tro söka tillständ $ att fä bearbeta en rik gellivare jernmalm $ fält t lappland $
bearbeta		1814	1	bib11653825_18141006_145134_112_0004_alto.xml-2-2	 	oswersatte och bearbetade af Glos Carling, med företal r.s Dockor Ioh.	15:25	0:70	oswersatte och bearbetade af Glos Carling , med företal r.s Dockor Ioh .	2	0:13	oswersatte och bearbeta af glo carling $ med företal $ docka ioh $
bearbeta		1805	1	bib13506739_18051115_144030_265_0005_alto.xml-4-54	 	# o » Mcgi^er Utter linnes till salu för i R:d. Banko: Karta öfwer Trollhättan med deS nya Kanal vch & lt; Pit; fjat, samt uifigt af alla Trollhät-efallen, jemte en Genersl^tarta öfwer hela Göra Elf, med Historiik urderrättelst om Kanal '.Arbeteli bör, «n och bearbetande derstädes frän äldre tider till deg stutlig » fullbordande wid Trollhätlan.	260:271	0:347	# o » Mcgi^er Utter linnes till salu för i R:d . Banko : Karta öfwer Trollhättan med deS nya Kanal vch & lt ; Pit ; fjat , samt uifigt af alla Trollhät-efallen , jemte en Genersl^tarta öfwer hela Göra Elf , med Historiik urderrättelst om Kanal ' .Arbeteli bör , «n och bearbetande derstädes frän äldre tider till deg stutlig » fullbordande wid Trollhätlan .	54	0:67	$ o $ $ utter linne till salu för i $ $ banko $ karta öfwer trollhättan med des ny kanal vch $ lt $ pi $ fjat $ samt uifigt af all $ $ jemte en $ öfwer hel göra elf $ med historiik urderrättelst om kanal $ $ böra $ $ och bearbeta derstädes frän gammal tid till deg stutlig $ fullborda wid trollhätlan $
bearbeta		1830	1	bib11653828_18300429_144028_97_0003_alto.xml-2-28	 	sköna proportion i den 2 våningar höga byggnaden, den prydliga och likväl ädla fördelningen af listen, den fulländning, hvarmed kapitälerna på de korintiska pelarena äro bearbetade, samt ändtligen stenens sköna hvitgula färg, gil va huset ett likaså vänligt sotn imponerande utseende, och man kan, i synnerhet i månskenet, icke föreställa sig någon ting mera grandiöst än det.	170:180	0:376	sköna proportion i den 2 våningar höga byggnaden , den prydliga och likväl ädla fördelningen af listen , den fulländning , hvarmed kapitälerna på de korintiska pelarena äro bearbetade , samt ändtligen stenens sköna hvitgula färg , gil va huset ett likaså vänligt sotn imponerande utseende , och man kan , i synnerhet i månskenet , icke föreställa sig någon ting mera grandiöst än det .	28	0:66	skön proportion i den 2 våning hög byggnad $ den prydlig och likväl ädel fördelning af list $ den fulländning $ hvarmed kapitäl på en korintisk pelarena äro bearbeta $ samt ändtligen sten skön hvitgul färg $ gil va hus en likaså vänlig sotn imponera utseende $ och man kunna $ i synnerhet i månsken $ icke föreställa sig någon ting mera grandiöst än den $
bearbeta		1825	1	bib11653828_18250416_144028_86_0003_alto.xml-7-22	 	" Mängfaldig i sina skrifter, likt sjelfwa Shakespeare — delta mäste de med » zifwa som känna hans Don Juan — bearbetade han hwarke förcmäl i det » leni? » liga lifwet och lockade frän hwarje sträng af den gudomliga harpan sä wäl de mildaste, som de kraftigaste, hjertskakande tonér.	110:120	0:283	" Mängfaldig i sina skrifter , likt sjelfwa Shakespeare — delta mäste de med » zifwa som känna hans Don Juan — bearbetade han hwarke förcmäl i det » leni ? » liga lifwet och lockade frän hwarje sträng af den gudomliga harpan sä wäl de mildaste , som de kraftigaste , hjertskakande tonér .	22	0:55	$ mängfaldig i sig skrift $ lik sjelfwa shakespeare $ delta mäste de med $ zifwa som känna han don juan $ bearbeta han hwarke förcmäl i den $ leni $ $ liga lifwet och locka frän hwarje sträng af den gudomlig harpa sä wäl en mild $ som en kraftig $ hjertskakande tonér $
bearbeta		1828	1	bib11653828_18280808_144028_179_0004_alto.xml-16-10	 	vch Pascha » hoppas, att Sultanen skall tilläla honom bearbeta desamma.	54:62	0:71	vch Pascha » hoppas , att Sultanen skall tilläla honom bearbeta desamma .	10	0:13	vch pascha $ hoppa $ att sultan skola tilläla han bearbeta densamma $
bearbeta		1825	1	bib11653828_18250715_144028_160_0004_alto.xml-1-59	 	Efter hwad mi här sagt, och hwad sjclfwa boken wida bättre säger, lärer ingen läsare iner wara willrädig i sitt omdöme öfwer det utmärkta rum den kolnmer att intaga, ej endast bland de nyare, men ibland alla alstren af wär litteratur, der den bildar, om icke en alldeles ny, likwäl en föga bearbetad genre-	290:299	0:306	Efter hwad mi här sagt , och hwad sjclfwa boken wida bättre säger , lärer ingen läsare iner wara willrädig i sitt omdöme öfwer det utmärkta rum den kolnmer att intaga , ej endast bland de nyare , men ibland alla alstren af wär litteratur , der den bildar , om icke en alldeles ny , likwäl en föga bearbetad genre-	59	0:61	efter hwad mi här sagd $ och hwad sjclfwa bok wida bra säga $ lärer ingen läsare iner wara willrädig i sig omdöme öfwer den utmärka rum den kolnmer att inta $ ej endast bland en ny $ men ibland all alster af wär litteratur $ der den bilda $ om icke en alldeles ny $ likwäl en föga bearbeta genre
bearbeta		1806	1	bib11653828_18060503_144028_100_0001_alto.xml-1-7	 	fa nila t, jemfört och sä bearbetat, art frukten af hans möda,	26:35	0:62	fa nila t , jemfört och sä bearbetat , art frukten af hans möda ,	7	0:15	fa nila t $ jemföra och sä bearbeta $ art frukt af han möda $
bearbeta		1809	1	bib11653828_18090720_144028_165_0001_alto.xml-6-1	 	ga bearbetad, under örn sednare hälften af sidst fbrflutne Srhundrade wunnik e,.	3:12	0:80	ga bearbetad , under örn sednare hälften af sidst fbrflutne Srhundrade wunnik e , .	1	0:15	ga bearbeta $ under örn sednare hälft af sidst fbrflutne srhundrade wunnik e $ $
bearbeta		1814	1	bib15650837_18140914_146391_73_0002_alto.xml-5-30	 	HoS Bokbindaren Lys-n: Eulebius eller Dygdens lon nu får tiden, » 8 D:n Heliga Skritts Berättelser vch Läror samlade af F. K?hlrauch, öfwcrsatte frän Tyskan vch bearbetade af Olof Lärling.	161:171	0:188	HoS Bokbindaren Lys-n : Eulebius eller Dygdens lon nu får tiden , » 8 D:n Heliga Skritts Berättelser vch Läror samlade af F. K ?hlrauch , öfwcrsatte frän Tyskan vch bearbetade af Olof Lärling .	30	0:35	hos bokbindare $ $ eulebius eller dygd lo nu få tid $ $ 8 d helig skritt berättelse vch lära samla af $ k $ $ öfwcrsatte frän tyska vch bearbeta af olof lärling $
bearbeta		1828	1	bib15650837_18280503_146391_36_0002_alto.xml-1-17	 	landtmanncn ej kunnat företaga nägot wä.arbete, emedan under de rcgnfria dagarne jorden warit för wät att bearbeta.	106:114	0:115	landtmanncn ej kunnat företaga nägot wä.arbete , emedan under de rcgnfria dagarne jorden warit för wät att bearbeta .	17	0:19	landtmanncn ej kunna företa nägot $ $ emedan under en rcgnfria dag jord warit för wät att bearbeta $
bearbeta		1830	1	bib19277277_18300611_147682_132_0001_alto.xml-19-11	 	Maj att furstendömeNäS nya konstitution, fom sedan 9 månader blifwit bearbetad i Bucharest af cn kommitzion moldauijka och wallachiffä bojarer, undertecknades af samtlige medlemmar » ne den 10 April, och stall nu med första affändaS till St. Petersburg, för att pröfwas af Kejsaren.	69:78	0:282	Maj att furstendömeNäS nya konstitution , fom sedan 9 månader blifwit bearbetad i Bucharest af cn kommitzion moldauijka och wallachiffä bojarer , undertecknades af samtlige medlemmar » ne den 10 April , och stall nu med första affändaS till St. Petersburg , för att pröfwas af Kejsaren .	11	0:48	maj att furstendömenäs ny konstitution $ få sedan 9 månad blifwit bearbeta i bucharest af cn kommitzion moldauijka och wallachiffä bojar $ underteckna af samtlig medlem $ ne den 10 april $ och stall nu med första affändas till $ petersburg $ för att pröfwas af kejsare $
bearbeta		1830	1	bib13506739_18300820_144030_191_0001_alto.xml-34-19	 	ett fvrliastadt begär till obestämd frihet skulle bemästra sig några ädclt tänkaude personer, öro defia fiender ifrige att bearbeta ett tänkesätt, som de äro ur stånd att begripa, och ultra royalister presentera sig under drägten af konungar mördande rcpublicaner.	123:131	0:264	ett fvrliastadt begär till obestämd frihet skulle bemästra sig några ädclt tänkaude personer , öro defia fiender ifrige att bearbeta ett tänkesätt , som de äro ur stånd att begripa , och ultra royalister presentera sig under drägten af konungar mördande rcpublicaner .	19	0:43	en fvrliastadt begär till obestämd frihet skola bemästra sig någon ädclt tänkaude person $ öro defia fiende ifrig att bearbeta en tänkesätt $ som de äro ur stånd att begripa $ och ultra royalister presentera sig under drägten af konung mörda rcpublicaner $
bearbeta		1830	1	bib13506739_18300604_144030_126_0001_alto.xml-17-14	 	den stund, d8 kammarns upplösning promnlgerades, vaflSteliqen i, verksamhet för att bearbeta allmänna opinionen efter sina 8sigler.	84:92	0:131	den stund , d8 kammarns upplösning promnlgerades , vaflSteliqen i , verksamhet för att bearbeta allmänna opinionen efter sina 8sigler .	14	0:21	den stund $ d8 kammarn upplösning promnlgerades $ vaflsteliqen i $ verksamhet för att bearbeta allmän opinion efter sig 8sigler $
bearbeta		1823	1	bib13506739_18231011_144030_235_0010_alto.xml-14-3	 	sv ni stola bearbetas, kunna af wederbörandes godtfinnande bestämmas.	12:21	0:69	sv ni stola bearbetas , kunna af wederbörandes godtfinnande bestämmas .	3	0:11	sv ni stola bearbeta $ kunna af wederbörande godtfinnande bestämma $
bearbeta		1830	1	bib15650837_18300526_146391_42_0003_alto.xml-6-27	 	- ads- och Laiids-Församlingar; eller tydliga underrättelser l konsten, att förekomma eldswädor, att stäcka de uppkomna, ■ att rädda lik och egendom; bearbetad efter Parisiska Sprut » ' sen?	150:159	0:190	- ads- och Laiids-Församlingar ; eller tydliga underrättelser l konsten , att förekomma eldswädor , att stäcka de uppkomna , ■ att rädda lik och egendom ; bearbetad efter Parisiska Sprut » ' sen ?	27	0:35	$ ada och $ $ eller tydlig underrättelse l konst $ att förekomma eldswädor $ att stäcka en uppkomma $ $ att rädda lik och egendom $ bearbeta efter parisisk sprut $ $ sen $
bearbeta		1795	1	bib13506739_17951221_144030_292_0001_alto.xml-1-6	 	Widare liiier den med största stil bearbeta fina gamla Bergwärk och uptagi nya, och	35:43	0:83	Widare liiier den med största stil bearbeta fina gamla Bergwärk och uptagi nya , och	6	0:15	widare liiier den med stor stil bearbeta fin gammal bergwärk och uptagi ny $ och
bearbeta		1803	1	bib11653828_18030202_144028_26_0003_alto.xml-2-6	 	hwrlfln i rikdom och preparaternas konstiga bearbetande _ icfe äger fln l:fe Uti Europa, betala 10o tusen R ksdaler, h varaf ena halsten erlägges strax, och ben andra pä Z terminer af ett ar bwardtra.	44:55	0:200	hwrlfln i rikdom och preparaternas konstiga bearbetande _ icfe äger fln l:fe Uti Europa , betala 10o tusen R ksdaler , h varaf ena halsten erlägges strax , och ben andra pä Z terminer af ett ar bwardtra .	6	0:39	hwrlfln i rikdom och preparat konstig bearbeta $ icfe äga fln $ uti europa $ betala 10o tusen r ksdaler $ h varaf ena halsten erlägga strax $ och ben andra pä z termin af en ar bwardtra $
bearbeta		1806	1	bib13506739_18061014_144030_237_0005_alto.xml-0-13	 	Els, mcb Hl » floriiT underrättelse om Canal betel » början och bearbetande dcrstädes irän äldre tider till de » ytliga fullbordande wid Trollhärran.	64:75	0:149	Els , mcb Hl » floriiT underrättelse om Canal betel » början och bearbetande dcrstädes irän äldre tider till de » ytliga fullbordande wid Trollhärran .	13	0:26	el $ mcb hl $ floriit underrättelse om canal betel $ början och bearbeta dcrstädes irän gammal tid till en $ ytlig fullbordande wid trollhärran $
