lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
bedömande		1827	1	bib19277277_18271108_147682_262_0001_alto.xml-12-5	 	ej inläta ost i något bedömande af ConseNen hwarkcn af det hela eller dekaljeradt; ty nian kan wara försäkrad, alt hwar för sig gör fin flit,, och kan säledcS aldrig tadel	22:31	0:171	ej inläta ost i något bedömande af ConseNen hwarkcn af det hela eller dekaljeradt ; ty nian kan wara försäkrad , alt hwar för sig gör fin flit , , och kan säledcS aldrig tadel	5	0:35	ej inläta ost i någon bedömande af consenen hwarkcn af den hel eller dekaljeradt $ ty nia kunna wara försäkra $ alt hwar för sig göra fin flit $ $ och kunna säledcs aldrig tadel
bedömande		1828	1	bib11653823_18280522_144010_118_0008_alto.xml-2-11	 	Undkligen uppläses ofwanberördc Oocumenter, HwilkaS giltighet un, derkastaS ElectorerneS bedömande och afgörande, bock sä, att icke nägon voterar i sin egen sak.	89:98	0:161	Undkligen uppläses ofwanberördc Oocumenter , HwilkaS giltighet un , derkastaS ElectorerneS bedömande och afgörande , bock sä , att icke nägon voterar i sin egen sak .	11	0:27	undkligen uppläsa ofwanberördc oocumenter $ hwilkas giltighet un $ derkasta electorernes bedömande och afgöra $ bock sä $ att icke nägon votera i sig egen sak $
bedömande		1828	1	bib19277277_18280512_147682_110_0002_alto.xml-15-1	 	bättre bedömande- i förwäg, med försäkringar olli denna Bad-Inrättnings fördelar framför andra, bwitka för samma ändamål, under senare äeen bllswit anlaggda pä Rikets westra kust: en blick pä kartan torde funna lemna öfivertpgelse derom, att Arswidswik, belägen helt udra Marstrand, tjär en ypperlig lokal såsom inrättning sör Bad utur salta hafwet.	7:17	0:349	bättre bedömande- i förwäg , med försäkringar olli denna Bad-Inrättnings fördelar framför andra , bwitka för samma ändamål , under senare äeen bllswit anlaggda pä Rikets westra kust : en blick pä kartan torde funna lemna öfivertpgelse derom , att Arswidswik , belägen helt udra Marstrand , tjär en ypperlig lokal såsom inrättning sör Bad utur salta hafwet .	1	0:59	bra bedömande i förwäg $ med försäkran olli denna $ fördel framför andra $ bwitka för samma ändamål $ under sen äeen bllswit anlaggda pä rike westra kust $ en blick pä karta torde finna lemna öfivertpgelse derom $ att arswidswik $ belägen hel udra marstrand $ tjär en ypperlig lokal såsom inrättning sör bad utur salt hafwet $
bedömande		1826	1	bib15650837_18261129_146391_95_0002_alto.xml-3-13	 	I afseende pä närwarande wattenbrist, framsialles k fy^merhet till Ot Heirar Wattenwerks-egares bedömande, som hafwa sine Wnttenwerk belägne i strömmen, som faller ur sjön Glan genom Norrköpings Stad, om icke det wore nyttigt, att wid Fiskeby utsätta en Kajdam öfwer hela utloppet, för att tillstängas d.	96:105	0:304	I afseende pä närwarande wattenbrist , framsialles k fy^merhet till Ot Heirar Wattenwerks-egares bedömande , som hafwa sine Wnttenwerk belägne i strömmen , som faller ur sjön Glan genom Norrköpings Stad , om icke det wore nyttigt , att wid Fiskeby utsätta en Kajdam öfwer hela utloppet , för att tillstängas d .	13	0:53	i afseende pä närwarande wattenbrist $ framsialles k $ till o heirar $ bedömande $ som hafwa sine wnttenwerk belägen i ström $ som falla ur sjö glan genom norrköping stad $ om icke den wore nyttig $ att wid fiskeby utsätta en kajdam öfwer hel utlopp $ för att tillstänga d $
bedömande		1830	1	bib11653823_18300914_144010_212_0001_alto.xml-0-13	 	senaste händelserna i Frankrike till fm princip, gro likwäl gansta stiliaktjga i bedömandet af äcstilliga detailförhällanden.	81:91	0:125	senaste händelserna i Frankrike till fm princip , gro likwäl gansta stiliaktjga i bedömandet af äcstilliga detailförhällanden .	13	0:18	sen händelse i frankrike till fm princip $ gro likwäl gansta stiliaktjga i bedömande af äcstilliga detailförhällanden $
bedömande		1827	1	bib11653823_18270227_144010_48_0004_alto.xml-9-24	 	försåld Skeppspart, men h, vilken Rättegång, enligt Sivarandcns begäran, blif&gt; v!t nedlagd, för att hänstjutaS till Creditvrerncs bedömande och afgörande.	133:142	0:157	försåld Skeppspart , men h , vilken Rättegång , enligt Sivarandcns begäran , blif&gt ; v !t nedlagd , för att hänstjutaS till Creditvrerncs bedömande och afgörande .	24	0:28	försälja skeppspart $ men h $ vilken rättegång $ enligt sivarandcns begäran $ $ $ v $ $ $ för att hänstjutas till creditvrerncs bedömande och afgöra $
bedömande		1828	1	bib13506739_18280331_144030_76_0003_alto.xml-19-26	 	för dem der är tillegnadt, som för musiklärare wid deras wal as stycken for sina elcver, och wägar för öfrigt ntbedja sig ett mildt bedömande öfwer ett företag, som mäste wara enkelt och anspråkslöst för art ej & lt; y°i °i ifrån sin bcstämmeise.	132:141	0:246	för dem der är tillegnadt , som för musiklärare wid deras wal as stycken for sina elcver , och wägar för öfrigt ntbedja sig ett mildt bedömande öfwer ett företag , som mäste wara enkelt och anspråkslöst för art ej & lt ; y°i °i ifrån sin bcstämmeise .	26	0:49	för de der vara tillegnadt $ som för musiklärare wid de wal as styck fara sig elcver $ och wägar för öfrig ntbedja sig en mild bedömande öfwer en företag $ som mäste wara enkel och anspråkslös för art ej $ lt $ $ $ ifrån sig bcstämmeise $
bedömande		1823	1	bib13506739_18230604_144030_125_0003_alto.xml-3-26	 	blifwit for första gängen införd, stola ofmannämnde Afhandlingar, som lära komma att utgöra 3 ark tillsantmans, läggas under Bokprcxcn, till Allmenhetens upplyfta bedömande; annars icke.	163:172	0:186	blifwit for första gängen införd , stola ofmannämnde Afhandlingar , som lära komma att utgöra 3 ark tillsantmans , läggas under Bokprcxcn , till Allmenhetens upplyfta bedömande ; annars icke .	26	0:31	blifwit fara första gäng införa $ stola ofmannämnde afhandling $ som lära komma att utgöra 3 ark tillsantmans $ lägga under bokprcxcn $ till allmenhet upplyft bedömande $ annars icke $
bedömande		1828	1	bib19227306_18281210_147700_50_0002_alto.xml-6-19	 	Mi återtaga icke detta yttrande; men förklara att H:r Prosten Gullander wisscrligen ej särstildt warit föremål för detta bedömande, utan att wi berunber inbegripit samtlige Deputerade frän Stadsförsamlingarne: och wär" förundran" och" förtrytelse" minstas ingalunda wid eftersinnande af ordalydelsen i den äberopade K:gl.	121:130	0:321	Mi återtaga icke detta yttrande ; men förklara att H:r Prosten Gullander wisscrligen ej särstildt warit föremål för detta bedömande , utan att wi berunber inbegripit samtlige Deputerade frän Stadsförsamlingarne : och wär " förundran " och " förtrytelse " minstas ingalunda wid eftersinnande af ordalydelsen i den äberopade K:gl .	19	0:51	mi återta icke denna yttrande $ men förklara att $ prost gullander wisscrligen ej särstildt warit föremål för denna bedömande $ utan att wi berunber inbegripa samtlig deputera frän stadsförsamlingarne $ och wär $ förundran $ och $ förtrytelse $ liten ingalunda wid eftersinna af ordalydelse i den äberopade $ $
bedömande		1819	1	bib11653825_18190403_145134_40_0006_alto.xml-7-23	 	att strisiva om sin samtid., fastän det är fwärare för » länga att dä alldeles nndwika smickret, eller ett omoqnadt bedömande.	116:125	0:126	att strisiva om sin samtid . , fastän det är fwärare för » länga att dä alldeles nndwika smickret , eller ett omoqnadt bedömande .	23	0:25	att strisiva om sig samtid $ $ fastän den vara fwärare för $ länga att dä alldeles nndwika smicker $ eller en omoqnadt bedömande $
