lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
beredning		1826	1	bib13506739_18260531_144030_112_0004_alto.xml-6-9	 	att hafwa öfwerinseendet wid Inrättningen, och sscr wattnens beredning pZ samma sätt som förut.	61:70	0:95	att hafwa öfwerinseendet wid Inrättningen , och sscr wattnens beredning pZ samma sätt som förut .	9	0:16	att hafwa öfwerinseendet wid inrättning $ och sscr wattn beredning pz samma sätt som förut $
beredning		1829	1	bib19227306_18290304_147700_9_0001_alto.xml-5-16	 	— S. d. pä eftermiddagen stedde votering hos Adeln öfwer Konstitutions-Utstc krets försiag att Allmänna Ärendcrnas Beredning mätte upphöra, hwilken votering utföll med 8 roster för och 189 röster enior sörflaget.	115:124	0:212	— S. d. pä eftermiddagen stedde votering hos Adeln öfwer Konstitutions-Utstc krets försiag att Allmänna Ärendcrnas Beredning mätte upphöra , hwilken votering utföll med 8 roster för och 189 röster enior sörflaget .	16	0:33	$ $ $ pä eftermiddag stedde votering hos adel öfwer $ krets försiag att allmän ärendcrnas beredning mäta upphöra $ hwilken votering utfalla med 8 roster för och 189 röst enior sörflaget $
beredning		1809	1	bib19223423_18090412_145063_29_0003_alto.xml-4-6	 	kunna de, sörledit är till beredning inlemnade SkiNnen, nu färdig » gjorda, äterlösas.	27:36	0:86	kunna de , sörledit är till beredning inlemnade SkiNnen , nu färdig » gjorda , äterlösas .	6	0:17	kunna en $ sörledit vara till beredning inlemna skinn $ nu färdig $ göra $ äterlösas $
beredning		1824	1	bib13506739_18240202_144030_26_0007_alto.xml-13-15	 	I anseende till förcjttcndc Bouppteckning ester framlidna Herr Revifims-Sckreteraren, Ledamoten i Rikets Allmänna ÄrendeiS Beredning, och Riddarci ' I.	123:132	0:151	I anseende till förcjttcndc Bouppteckning ester framlidna Herr Revifims-Sckreteraren , Ledamoten i Rikets Allmänna ÄrendeiS Beredning , och Riddarci ' I .	15	0:22	i anseende till förcjttcndc bouppteckning est framlida herr $ $ ledamot i rike allmän ärendei beredning $ och riddarci $ i $
beredning		1797	1	bib19520388_17970517_147487_20_0006_alto.xml-3-56	 	Något hwar torde gifwa mig ratt, om jag såsom en ordlar, hwarsöre hemwäfnader utaf Ull bland hnehallare här « Landet, icke halt dea framgång, som man billigt i anicende lil deras stora nytta borde förwånta, fnrnemligast räknar wära LandsmanS och Husmödrars mindre kunnighet om ullens tor * ädlings | ålt genom beredning och färgning med hirarjehanda couleurcr, samt ullwäfnaders rätta handtering.	310:319	0:396	Något hwar torde gifwa mig ratt , om jag såsom en ordlar , hwarsöre hemwäfnader utaf Ull bland hnehallare här « Landet , icke halt dea framgång , som man billigt i anicende lil deras stora nytta borde förwånta , fnrnemligast räknar wära LandsmanS och Husmödrars mindre kunnighet om ullens tor * ädlings | ålt genom beredning och färgning med hirarjehanda couleurcr , samt ullwäfnaders rätta handtering .	56	0:68	någon hwar torde gifwa jag ratt $ om jag såsom en ordlar $ hwarsöre hemwäfnader utaf ull bland hnehallare här $ land $ icke hal dea framgång $ som man billig i anicende lil de stor nytta böra förwånta $ fnrnemligast räkna wära landsmans och husmor liten kunnighet om ull tor $ ädling $ ålt genom beredning och färgning med hirarjehanda couleurcr $ samt ullwäfnaders rätt handtering $
beredning		1806	1	bib19520388_18060910_147487_36_0011_alto.xml-0-13	 	Efter Förf. Slutkonst är hwart och ett medikament otje« » llgl, bwars beredning är något be » sivärlig.	70:79	0:103	Efter Förf. Slutkonst är hwart och ett medikament otje« » llgl , bwars beredning är något be » sivärlig .	13	0:20	efter $ slutkonst vara hwart och en medikament $ $ llgl $ bwars beredning vara någon be $ sivärlig $
beredning		1828	1	bib13506739_18281211_144030_290_0002_alto.xml-3-27	 	förenade sig med Nils Mansion famt tillade, alt medborgarnes dyrbaraste rätiigket wore den art bestatta sig sjelfwe: denna rättighet ar sorgfälligt bewarad uti inrättningen af Beredningen mmitteerne: det wore ätit, fa ingalunda rätt Kcmdladt af folket?	176:187	0:252	förenade sig med Nils Mansion famt tillade , alt medborgarnes dyrbaraste rätiigket wore den art bestatta sig sjelfwe : denna rättighet ar sorgfälligt bewarad uti inrättningen af Beredningen mmitteerne : det wore ätit , fa ingalunda rätt Kcmdladt af folket ?	27	0:41	förena sig med nils mansion famt tillägga $ alt medborgarnes dyrbar rätiigket wore den art bestatta sig sjelfwe $ denna rättighet ar sorgfällig bewarad uti inrättning af beredning mmitteerne $ den wore äta $ fa ingalunda rätt kcmdladt af folk $
beredning		1827	1	bib19225772_18270921_148004_110_0003_alto.xml-5-0	 	beredning samt ett liret parti Läkter, 10 aln.	0:9	0:46	beredning samt ett liret parti Läkter , 10 aln .	0	0:10	beredning samt en lir parti läkt $ 10 aln $
beredning		1819	1	bib13506739_18190602_144030_124_0003_alto.xml-11-12	 	Grd rök-t Lax af Mörrums Kronofiffe i Blekinge Län, fångst och beredning, försälies till 16 fi.	63:72	0:95	Grd rök-t Lax af Mörrums Kronofiffe i Blekinge Län , fångst och beredning , försälies till 16 fi .	12	0:19	grd $ lax af mörrums kronofiffe i blekinge län $ fångst och beredning $ för till 16 fi $
beredning		1791	1	bib19520388_17911228_147487_52_0020_alto.xml-1-13	 	til Konungen af Swerige z Rnsta Laudtmaglens belopp z i Rikets Ärenders Allmänna Beredning 121	81:90	0:94	til Konungen af Swerige z Rnsta Laudtmaglens belopp z i Rikets Ärenders Allmänna Beredning 121	13	0:15	til konung af swerige z rnsta laudtmaglens belopp z i rike ärender allmän beredning 121
