identifier1	identifier2	annotator	judgment	comment	lemma	round
bib11653811_19010304_145317_36_0002_alto.xml-59-14	bib19277277_18950115_147683_14_0004_alto.xml-164-5	annotator2	2.0	 	blockera	3
bib11653830_18970311_146968_20_0002_alto.xml-57-7	bib11653825_18000310_145134_26_0002_alto.xml-12-6	annotator2	4.0	 	blockera	3
bib11653825_18050216_145134_20_0002_alto.xml-2-54	bib19225758_18950130_144022_25_0002_alto.xml-65-31	annotator2	4.0	 	blockera	3
bib11653825_18000310_145134_26_0002_alto.xml-12-6	bib11653811_19010222_145317_30_0003_alto.xml-37-23	annotator2	4.0	 	blockera	3
bib11653838_19021107_147024_45_0002_alto.xml-89-30	bib19277277_18950115_147683_14_0004_alto.xml-164-5	annotator2	2.0	 	blockera	3
bib19225772_18160227_148004_24_0001_alto.xml-10-10	bib19227291_18960721_145289_87_0002_alto.xml-68-39	annotator2	4.0	 	blockera	3
bib19225772_17940207_148003_11_0001_alto.xml-1-17	bib11653825_18040206_145134_16_0002_alto.xml-13-15	annotator2	4.0	 	blockera	3
bib11653790_18981115_145648_88_0003_alto.xml-110-7	bib19225772_18160227_148004_24_0001_alto.xml-10-10	annotator2	2.0	 	blockera	3
bib19277277_18950506_147683_122_0005_alto.xml-132-6	bib19520388_18041226_147487_52_0006_alto.xml-1-33	annotator2	4.0	 	blockera	3
bib11653825_18000310_145134_26_0002_alto.xml-12-6	bib19277349_18950430_147403_55_0004_alto.xml-56-7	annotator2	4.0	 	blockera	3
bib11653790_18970326_145648_24_0003_alto.xml-63-4	bib11653823_18230507_144010_104_0002_alto.xml-5-0	annotator2	4.0	 	blockera	3
bib19225772_18231125_148004_135_0002_alto.xml-2-56	bib19225772_17940401_148003_26_0002_alto.xml-8-6	annotator2	4.0	 	blockera	3
bib11653790_19020610_145648_45_0002_alto.xml-107-3	bib15650835_18950226_146472_17_0003_alto.xml-232-3	annotator2	3.0	 	blockera	3
bib15873936_18960423_147385_47_0003_alto.xml-63-3	bib19227291_18140512_145289_19_0001_alto.xml-8-7	annotator2	3.0	 	blockera	3
bib19223423_18010718_145063_58_0002_alto.xml-9-13	bib19520388_17990904_147487_36_0002_alto.xml-0-14	annotator2	4.0	 	blockera	3
bib19227291_18140512_145289_19_0001_alto.xml-8-7	bib11653790_18981115_145648_88_0003_alto.xml-110-7	annotator2	2.0	 	blockera	3
bib19277349_18950430_147403_55_0004_alto.xml-56-7	bib19277277_18950211_147683_41_0004_alto.xml-171-4	annotator2	2.0	 	blockera	3
bib15650837_18230723_146391_58_0002_alto.xml-10-9	bib19225758_18950130_144022_25_0002_alto.xml-65-31	annotator2	4.0	 	blockera	3
bib15873936_18950502_147385_52_0003_alto.xml-62-19	bib11653830_18971101_146968_87_0003_alto.xml-52-38	annotator3	4.0	 	blockera	3
bib11653825_18050221_145134_22_0002_alto.xml-1-10	bib11653823_18260608_144010_130_0002_alto.xml-14-57	annotator3	3.0	 	blockera	3
bib19349359_18950427_148383_50_0003_alto.xml-114-8	bib11653825_18040901_145134_105_0003_alto.xml-8-11	annotator3	4.0	 	blockera	3
bib15650837_18950119_146391_16_0006_alto.xml-109-9	bib15760600_18950521_146401_60_0002_alto.xml-37-41	annotator3	3.0	 	blockera	3
bib11653811_19010222_145317_30_0003_alto.xml-37-23	bib19227291_18140512_145289_19_0001_alto.xml-8-7	annotator3	3.0	 	blockera	3
bib11653811_18950313_145317_41_0003_alto.xml-0-21	bib11653828_18290328_144028_72_0002_alto.xml-13-13	annotator3	4.0	 	blockera	3
bib11653825_18010716_145134_83_0003_alto.xml-2-23	bib19223423_18010718_145063_58_0002_alto.xml-9-13	annotator3	4.0	 	blockera	3
bib15978012_18950131_148361_26_0003_alto.xml-31-7	bib11653828_18280318_144028_66_0003_alto.xml-11-12	annotator3	3.0	 	blockera	3
bib19277349_18950131_147403_15_0004_alto.xml-10-5	bib11653823_18210915_144010_216_0003_alto.xml-7-17	annotator3	4.0	 	blockera	3
bib19227291_18140512_145289_19_0001_alto.xml-8-7	bib11653825_18000310_145134_26_0002_alto.xml-12-6	annotator3	4.0	 	blockera	3
bib19225772_18160227_148004_24_0001_alto.xml-10-10	bib19227291_18960721_145289_87_0002_alto.xml-68-39	annotator3	4.0	 	blockera	3
bib11653825_18000405_145134_37_0002_alto.xml-7-49	bib11653838_19030814_147024_33_0002_alto.xml-168-2	annotator3	3.0	 	blockera	3
bib11653790_18981115_145648_88_0003_alto.xml-110-7	bib11653811_18990623_145317_94_0005_alto.xml-37-9	annotator3	3.0	 	blockera	3
bib19520388_18041226_147487_52_0006_alto.xml-1-33	bib19227291_18250119_145289_3_0002_alto.xml-23-3	annotator3	4.0	 	blockera	3
bib11653811_18970306_145317_36_0003_alto.xml-82-61	bib11653811_19000926_145317_149_0002_alto.xml-18-2	annotator3	3.0	 	blockera	3
bib15650835_18951004_146472_83_0003_alto.xml-260-6	bib11653825_18030711_145134_79_0003_alto.xml-4-24	annotator3	4.0	 	blockera	3
bib19225772_18231125_148004_135_0002_alto.xml-2-56	bib19225772_17940401_148003_26_0002_alto.xml-8-6	annotator3	4.0	 	blockera	3
bib19277349_18950430_147403_55_0004_alto.xml-56-7	bib19277277_18950211_147683_41_0004_alto.xml-171-4	annotator3	3.0	 	blockera	3
