lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
blockera		1803	1	bib19223423_18031123_145063_93_0002_alto.xml-9-7	 	— Hamnen i Genua är ännu icke blockerad af Engelsmännerna, utan fartygen löva der ännu obehindradt ut och in.	30:39	0:109	— Hamnen i Genua är ännu icke blockerad af Engelsmännerna , utan fartygen löva der ännu obehindradt ut och in .	7	0:21	$ hamn i genua vara ännu icke blockera af engelsmännerna $ utan fartyg löva der ännu obehindrad ut och in $
blockera		1805	1	bib11653825_18050216_145134_20_0002_alto.xml-2-54	 	den strifwelse härom, som Engelske KonterAmiralen Orde i sörrgär aflätit till Marki » sen af Solana, Eeneral-Kapiten i Andalusien och Guvernör i Cadixr „Som jag är efficielt underrättad, att Spanien förklarat Konungen min Herre krig, sä befinner jag mig i den obehagliga nödwändighet, att förklara hamnen i Cadix för blockerad, hwarom jag trott mig böra underrätta Ers Exellens, pä det hwarken ni, eller de i Cadix residerande främmande konsuler, mä kunna förebara nägon okunnighet.	317:326	0:482	den strifwelse härom , som Engelske KonterAmiralen Orde i sörrgär aflätit till Marki » sen af Solana , Eeneral-Kapiten i Andalusien och Guvernör i Cadixr „Som jag är efficielt underrättad , att Spanien förklarat Konungen min Herre krig , sä befinner jag mig i den obehagliga nödwändighet , att förklara hamnen i Cadix för blockerad , hwarom jag trott mig böra underrätta Ers Exellens , pä det hwarken ni , eller de i Cadix residerande främmande konsuler , mä kunna förebara nägon okunnighet .	54	0:84	den strifwelse härom $ som engelsk konteramiral orde i sörrgär aflätit till marki $ sen af solana $ $ i andalusien och guvernör i cadixr $ jag vara efficielt underrätta $ att spanien förklara konung jag herre krig $ sä befinna jag jag i den obehaglig nödwändighet $ att förklara hamn i cadix för blockera $ hwarom jag tro jag böra underrätta er exellens $ pä den hwarken ni $ eller de i cadix residera främmande konsul $ mä kunna förebara nägon okunnighet $
blockera		1814	1	bib19225772_18140729_148004_85_0001_alto.xml-6-4	 	— Deyen i Algier blockerar ännu hamnarna uti Tunis.	17:26	0:51	— Deyen i Algier blockerar ännu hamnarna uti Tunis .	4	0:10	$ dey i algier blockera ännu hamn uti tunis $
blockera		1810	1	bib19277346_18100908_147394_34_0002_alto.xml-12-18	 	krtigrn warit infperrad; den gjorde flera häftiga urfall, med hela sitt Äawalleri; enen dä den blockerande Rysta Armeen innehade gansta fördelaktiga ställningar, blefwp Larkarne hwarje gäng, genom en wäl riktad Artilleri-eld, med stor för » lust tillb staflagne.	95:106	0:262	krtigrn warit infperrad ; den gjorde flera häftiga urfall , med hela sitt Äawalleri ; enen dä den blockerande Rysta Armeen innehade gansta fördelaktiga ställningar , blefwp Larkarne hwarje gäng , genom en wäl riktad Artilleri-eld , med stor för » lust tillb staflagne .	18	0:45	krtigrn warit infperrad $ den göra flera häftig urfall $ med hel sig äawalleri $ en dä den blockera rysta armeen inneha gansta fördelaktig ställning $ blefwp larkarne hwarje gäng $ genom en wäl rikta $ $ med stor för $ lust tillb staflagne $
blockera		1807	1	bib13506739_18070406_144030_77_0001_alto.xml-5-3	 	nen, som blockerar Llben, förklarat, att ha » hädanefter ike mera tillåter något Fartyg pakera Farwattnet.	9:18	0:106	nen , som blockerar Llben , förklarat , att ha » hädanefter ike mera tillåter något Fartyg pakera Farwattnet .	3	0:20	nen $ som blockera llben $ förklara $ att ha $ hädanefter ike mera tillåta någon fartyg pakera farwattnet $
blockera		1796	1	bib19225772_17961223_148003_102_0001_alto.xml-8-5	 	Neuwied som hittils » varit blockerad ar nu aldeles öpen och fri.	28:37	0:65	Neuwied som hittils » varit blockerad ar nu aldeles öpen och fri .	5	0:13	neuwied som hittils $ vara blockera ar nu aldeles öpen och fri $
blockera		1827	1	bib19227291_18271031_145289_44_0002_alto.xml-18-24	 	— Till Portsmouth har bref ankommit frän Sir Codrington, dateradt Navarino den » ztte September, deri han förmäler, ali hans escadre blockerar den Turkifla i derwarande hamn befintliga stöt » tan, som bestär af 4 Linjeffepp,, 5 Fregatter,, 5 Corvetter och ett antal mindre fartyg.	133:142	0:280	— Till Portsmouth har bref ankommit frän Sir Codrington , dateradt Navarino den » ztte September , deri han förmäler , ali hans escadre blockerar den Turkifla i derwarande hamn befintliga stöt » tan , som bestär af 4 Linjeffepp , , 5 Fregatter , , 5 Corvetter och ett antal mindre fartyg .	24	0:54	$ till portsmouth ha bref ankomma frän sir codrington $ dateradt navarino den $ ztte september $ deri han förmäla $ ali han escadre blockera den turkifla i derwarande hamn befintlig stöt $ tana $ som bestvara af 4 linjeffepp $ $ 5 fregatt $ $ 5 corvetter och en antal liten fartyg $
blockera		1803	1	bib13506739_18031205_144030_278_0002_alto.xml-3-15	 	Det ar flldftts ogrundat hwad som i L.ivorno blifwit Utspridt, at wär hamn ar blockerad.	78:87	0:88	Det ar flldftts ogrundat hwad som i L.ivorno blifwit Utspridt , at wär hamn ar blockerad .	15	0:17	den ar flldftts ogrundad hwad som i $ blifwit utspridt $ at wär hamn ar blockera $
blockera		1813	1	bib19225772_18130820_148004_95_0002_alto.xml-5-18	 	Warren förklarat hela Amerikanska kusten frän Rhode-Island anda till Mitzisippi i blockadtillständ och stickat krigsstepp för att strängt blockera alla hamnar.	138:146	0:159	Warren förklarat hela Amerikanska kusten frän Rhode-Island anda till Mitzisippi i blockadtillständ och stickat krigsstepp för att strängt blockera alla hamnar .	18	0:22	warren förklara hel amerikansk kust frän $ anda till mitzisippi i blockadtillständ och sticka krigsstepp för att sträng blockera all hamn $
blockera		1825	1	bib19227291_18250119_145289_3_0002_alto.xml-23-3	 	de ej egenteligen blockerat ingängen till hafswiken wid Stanchio, och nägra framför densamma upp-	18:27	0:97	de ej egenteligen blockerat ingängen till hafswiken wid Stanchio , och nägra framför densamma upp-	3	0:15	de ej egenteligen blockera ingäng till hafswiken wid stanchio $ och nägra framför densamma upp
