lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
bolagsstämma		1828	1	bib11653823_18280523_144010_119_0003_alto.xml-19-11	 	besinr, bedagade Hrr Aeneägare i Stockholms SjöförfäkiingSBolag sammanträda till allmän Bolagsstämma, som kommer a » hällas i gu ' a satt » pä Börsen, Lördagen d.	88:100	0:162	besinr , bedagade Hrr Aeneägare i Stockholms SjöförfäkiingSBolag sammanträda till allmän Bolagsstämma , som kommer a » hällas i gu ' a satt » pä Börsen , Lördagen d .	11	0:30	besinr $ bedagad hrr aeneägare i stockholm sjöförfäkiingsbolag sammanträda till allmän bolagsstämma $ som komma a $ hälla i gu $ a sitta $ pä börsen $ lördag d $
bolagsstämma		1830	1	bib11653823_18300419_144010_88_0003_alto.xml-14-4	 	Nädiga Regkeniente, Lagtima Bolagsstämma kommer att hällas i Stockholn!	28:40	0:71	Nädiga Regkeniente , Lagtima Bolagsstämma kommer att hällas i Stockholn !	4	0:11	nädiga regkeniente $ lagtima bolagsstämma komma att hälla i stockholn $
bolagsstämma		1827	1	bib13506739_18270511_144030_109_0002_alto.xml-2-39	 	Samtlige Herrar Ledamöter af Samfundet W. 6c W. behagade allmänt sammanlräda dag Fredag den it denncS, kl. precis 6 e. m. Direktlonen af Stockholm * SjöiSrsäkringS-Bolag lär härigenom anmoda Her » rar Aktie-Ägare att sammanträda till Allmän Bolagsstämma, som Särdagen den 12 nSjlfom.	241:253	0:283	Samtlige Herrar Ledamöter af Samfundet W. 6c W. behagade allmänt sammanlräda dag Fredag den it denncS , kl. precis 6 e. m . Direktlonen af Stockholm * SjöiSrsäkringS-Bolag lär härigenom anmoda Her » rar Aktie-Ägare att sammanträda till Allmän Bolagsstämma , som Särdagen den 12 nSjlfom .	39	0:47	samtlig herre ledamot af samfund $ 6c $ behaga allmän sammanlräda dag fredag den it denncs $ $ precis 6 $ m $ direktlonen af stockholm $ $ lär härigenom anmoda her $ rar $ att sammanträda till allmän bolagsstämma $ som särdag den 12 nsjlfom $
bolagsstämma		1807	1	bib19520388_18070304_147487_8_0011_alto.xml-0-15	 	k Enligt samtelige närwarande LottägareS uti nya Warfs anläggningen härstädes, wid all » männ« Bolagsstämman den Z innewarande Februari tagne beslut.	95:108	0:149	k Enligt samtelige närwarande LottägareS uti nya Warfs anläggningen härstädes , wid all » männ« Bolagsstämman den Z innewarande Februari tagne beslut .	15	0:23	k enligt samtelige närwarande lottägare uti ny warfs anläggning härstädes $ wid all $ $ bolagsstämma den z innewarande februari tagen beslut $
bolagsstämma		1827	1	bib11653823_18270321_144010_67_0002_alto.xml-28-4	 	Till den wankiga ärkiga Bolagsstämman, behagade Interefenterne i Ångfartyget Föreningen sammanträda hos Grofihandlanden And.	24:37	0:124	Till den wankiga ärkiga Bolagsstämman , behagade Interefenterne i Ångfartyget Föreningen sammanträda hos Grofihandlanden And .	4	0:16	till den wankiga ärkiga bolagsstämma $ behaga interefenterne i ångfartyg förening sammanträda hos grofihandlanden and $
bolagsstämma		1825	1	bib19225772_18250323_148004_35_0002_alto.xml-10-12	 	kl. 10 f. m., sammanträda hos undertecknad till ben ordinarie Bolagsstämmans hällande.	62:76	0:86	kl. 10 f. m . , sammanträda hos undertecknad till ben ordinarie Bolagsstämmans hällande .	12	0:15	$ 10 $ m $ $ sammanträda hos underteckna till ben ordinarie bolagsstämma hällande $
bolagsstämma		1829	1	bib19225772_18291208_148004_140_0001_alto.xml-6-9	 	da Bolag, att, för fortsättande af den Bolagsstämma, som den r; näst!.	39:51	0:70	da Bolag , att , för fortsättande af den Bolagsstämma , som den r ; näst ! .	9	0:18	da bolag $ att $ för fortsätta af den bolagsstämma $ som den r $ näst $ $
bolagsstämma		1829	1	bib11653823_18291125_0_274_0002_alto.xml-16-31	 	CanalBolaget, ju tor desto hellre, afqifwer dch yttrande, l&gt; ar Göta öanalDirectionen härigenom skolat anmsda Hrr Aktieägare i nämnda Bolag, att, för fortsättasde af den Bolagsstämma, som d.	173:185	0:193	CanalBolaget , ju tor desto hellre , afqifwer dch yttrande , l&gt ; ar Göta öanalDirectionen härigenom skolat anmsda Hrr Aktieägare i nämnda Bolag , att , för fortsättasde af den Bolagsstämma , som d .	31	0:36	canalbolaget $ $ tor desto gärna $ afqifwer dch yttrande $ $ $ ar göta öanaldirectionen härigenom skola anmsda hrr aktieägare i nämna bolag $ att $ för fortsättasde af den bolagsstämma $ som d $
bolagsstämma		1827	1	bib19225772_18271107_148004_130_0002_alto.xml-10-21	 	Om Städerne Götheborg, Malmö, Norrköping och Upsala, hwilka tillsammans utgöra mera än f:öel af hela Stadsfonden, wid Bolagsstämman blif, wa representerade genom hwar sin Fullmäktig, sä kunna besia 4 Deputerade, hwilka tala för Brandförsäkrade egendomar till ett belopp af 6£ millioner R.d. Banko, enligt Reglementet icke tillsammans fa mera än 64 röster.	118:131	0:355	Om Städerne Götheborg , Malmö , Norrköping och Upsala , hwilka tillsammans utgöra mera än f:öel af hela Stadsfonden , wid Bolagsstämman blif , wa representerade genom hwar sin Fullmäktig , sä kunna besia 4 Deputerade , hwilka tala för Brandförsäkrade egendomar till ett belopp af 6£ millioner R.d. Banko , enligt Reglementet icke tillsammans fa mera än 64 röster .	21	0:61	om städerne götheborg $ malmö $ norrköping och upsala $ hwilka tillsammans utgöra mera än $ af hel stadsfonden $ wid bolagsstämma blif $ wa representera genom hwar sig fullmäktig $ sä kunna besia 4 deputerad $ hwilka tala för brandförsäkra egendom till en belopp af $ million $ banko $ enligt reglemente icke tillsammans fa mera än 64 röst $
bolagsstämma		1822	1	bib15650837_18220522_146391_41_0004_alto.xml-6-4	 	Sedan, wid allmanna Bolagsstämman i dag, nu utdelning af 10 procent blifwit faststäld, Actie?ne uti Linköpings Axcinble, och Spectakelhus; sä behagade Actie cga&gt; ne uppbära denna utdelnin^ cd) liwad för de förra aren äterstär.	20:33	0:229	Sedan , wid allmanna Bolagsstämman i dag , nu utdelning af 10 procent blifwit faststäld , Actie ?ne uti Linköpings Axcinble , och Spectakelhus ; sä behagade Actie cga&gt ; ne uppbära denna utdelnin^ cd ) liwad för de förra aren äterstär .	4	0:43	sedan $ wid allmanna bolagsstämma i dag $ nu utdelning af 10 procent blifwit faststäld $ actie $ uti linköping axcinble $ och spectakelhus $ sä behaga actie $ $ ne uppbära denna $ cd $ liwad för en förra ar äterstär $
bolagsstämma		1823	1	bib19225772_18230221_148004_21_0002_alto.xml-5-18	 	nästkommande Mars, kl. 10 f. m., för att taga kännedom af hwad sedan sista allmänna Bolagsstämma pasierat, och öfwerse Direktionens fluteliga redogörkl, se.	84:96	0:156	nästkommande Mars , kl. 10 f. m . , för att taga kännedom af hwad sedan sista allmänna Bolagsstämma pasierat , och öfwerse Direktionens fluteliga redogörkl , se .	18	0:29	nästkommande mars $ $ 10 $ m $ $ för att ta kännedom af hwad sedan sista allmän bolagsstämma pasierat $ och öfwerse direktion fluteliga redogörkl $ se $
bolagsstämma		1812	1	bib11653825_18120319_145134_34_0006_alto.xml-5-14	 	Intet allenast uragtlLtit och bcstridt te Bolagsstämmors hällande pä Bruket, som ä allmänna Bolagsstämmor blifwit bestämde och afgjorde till famfäldle Bolagets LäverlLggningar om Brukets angelägenhet r och hnShällsinäl, utan ock att de, font tillsammans äga minsta andelen af Brukets Lottetal, företagit sig, etti i Kalmar hälla ensidiga sammanträden och öfwerläggningar om Brukets oeconomi och andra angelägenheter, utan Bolagets hwarken kallande eller hörande, öfwerläggande och bestutandc, och fämedelst tillagt sig en olaglig och obehörig dispositionsrätt om z-dje mans Cgendoni.	92:105	0:583	Intet allenast uragtlLtit och bcstridt te Bolagsstämmors hällande pä Bruket , som ä allmänna Bolagsstämmor blifwit bestämde och afgjorde till famfäldle Bolagets LäverlLggningar om Brukets angelägenhet r och hnShällsinäl , utan ock att de , font tillsammans äga minsta andelen af Brukets Lottetal , företagit sig , etti i Kalmar hälla ensidiga sammanträden och öfwerläggningar om Brukets oeconomi och andra angelägenheter , utan Bolagets hwarken kallande eller hörande , öfwerläggande och bestutandc , och fämedelst tillagt sig en olaglig och obehörig dispositionsrätt om z-dje mans Cgendoni .	14	0:87	intet allenast uragtlltit och bcstridt te bolagsstämma hällande pä bruk $ som ä allmän bolagsstämma blifwit bestämma och afgöra till famfäldle bolag läverllggningar om bruk angelägenhet r och hnshällsinäl $ utan ock att de $ font tillsammans äga liten andel af bruk lottetal $ företa sig $ etti i kalmar hälla ensidig sammanträde och öfwerläggning om bruk oeconomi och andra angelägenhet $ utan bolag hwarken kalla eller höra $ öfwerläggande och bestutandc $ och fämedelst tillägga sig en olaglig och obehörig dispositionsrätt om $ man cgendoni $
bolagsstämma		1808	1	bib11653806_18080524_145120_57_0006_alto.xml-9-14	 	Skepps-Warfwet Gustaf Adolph i Landscrona bestämde termin i Iunii månad till betta ärs allmänna Bolagsstämma härstädes, har för mellankomne hinder mast utsättas till Fredagen den 1 iiästinstundsndc 3utii, kl. 9 förmidd., da jemwäl efter 4 §- wal förrättas lill ny efterträdare uti den afgående Föreståndarens ställe; hwilket till resp. Warfs Bokagclg underräkiclse kungöreS.	96:108	0:374	Skepps-Warfwet Gustaf Adolph i Landscrona bestämde termin i Iunii månad till betta ärs allmänna Bolagsstämma härstädes , har för mellankomne hinder mast utsättas till Fredagen den 1 iiästinstundsndc 3utii , kl. 9 förmidd . , da jemwäl efter 4 §- wal förrättas lill ny efterträdare uti den afgående Föreståndarens ställe ; hwilket till resp. Warfs Bokagclg underräkiclse kungöreS .	14	0:59	$ gustaf adolph i landscrona bestämma termin i iunii månad till bete ära allmän bolagsstämma härstädes $ ha för mellankomne hinder mast utsätta till fredag den 1 iiästinstundsndc 3utii $ $ 9 förmidd $ $ da jemwäl efter 4 $ wal förrätta lill ny efterträdare uti den afgå föreståndare ställe $ hwilket till $ warfs bokagclg underräkiclse kungöres $
bolagsstämma		1817	1	bib15650837_18170524_146391_41_0002_alto.xml-8-55	 	Sedan Bolagsstämman för Linköpings Asiemblöe » och Spcctaclehus, i dag bcflutit en utdelning till ic&gt; procent af det teknade Ackie-Capitalet, ega Respeclive Ackie-innehasware att inom nästa skummänad- flut lära uppwisa Actic.Sedlame bos Directcurcrne här i Staden, för att utbrkomma utdelningen; hwilken eljest blifmer innestäende i Casian till nä » fia Bolagsstämma.	357:369	0:370	Sedan Bolagsstämman för Linköpings Asiemblöe » och Spcctaclehus , i dag bcflutit en utdelning till ic&gt ; procent af det teknade Ackie-Capitalet , ega Respeclive Ackie-innehasware att inom nästa skummänad- flut lära uppwisa Actic.Sedlame bos Directcurcrne här i Staden , för att utbrkomma utdelningen ; hwilken eljest blifmer innestäende i Casian till nä » fia Bolagsstämma .	55	0:57	sedan bolagsstämma för linköping asiemblöe $ och spcctaclehus $ i dag bcflutit en utdelning till $ $ procent af den teknade $ $ ega respeclive $ att inom nästa $ flut lära uppwisa $ bo directcurcrne här i stad $ för att utbrkomma utdelning $ hwilken eljest blifmer innestäende i casian till nä $ fia bolagsstämma $
bolagsstämma		1822	1	bib11653823_18221218_144010_295_0003_alto.xml-9-32	 	är 1823, kl. 4 e. m. » förfcdde med deras Actiebrcf, hwilka komma ctt bestämma grunden för röstberäk » ningen, i händelse » ägo » af de wid Bolagsstämman förekommande fräqor icke skulle Funna annor » lunda S » genom omröstning afgöras.	140:153	0:235	är 1823 , kl. 4 e. m . » förfcdde med deras Actiebrcf , hwilka komma ctt bestämma grunden för röstberäk » ningen , i händelse » ägo » af de wid Bolagsstämman förekommande fräqor icke skulle Funna annor » lunda S » genom omröstning afgöras .	32	0:47	vara 1823 $ $ 4 $ m $ $ förfcdde med de actiebrcf $ hwilka komma ctt bestämma grund för röstberäk $ ningen $ i händelse $ ägo $ af en wid bolagsstämma förekomma fräqor icke skola finna annor $ lunda s $ genom omröstning afgöra $
bolagsstämma		1824	1	bib19225772_18240330_148004_36_0004_alto.xml-16-33	 	Samtelige Herrar Intressenter uti Sjuntorps Fabrik anmodas sammanträda hos underteknad, bsende uti Spegel-Fabrikör BergS huS wid Äonqsgatan, Tisdagen den 30 dennes, kl. 10 f. m., till den Ordinarie Bolagsstämmans hällande, bwarwid ibland annat äfwen förekommer wal af en ny Directeur i den afgäendes ställe.	198:212	0:307	Samtelige Herrar Intressenter uti Sjuntorps Fabrik anmodas sammanträda hos underteknad , bsende uti Spegel-Fabrikör BergS huS wid Äonqsgatan , Tisdagen den 30 dennes , kl. 10 f. m . , till den Ordinarie Bolagsstämmans hällande , bwarwid ibland annat äfwen förekommer wal af en ny Directeur i den afgäendes ställe .	33	0:51	samtelige herre intressent uti sjuntorps fabrik anmoda sammanträda hos underteknad $ bsende uti $ bergs hus wid äonqsgatan $ tisdag den 30 denna $ $ 10 $ m $ $ till den ordinarie bolagsstämma hälla $ bwarwid ibland annan äfwen förekomma wal af en ny directeur i den afgäendes ställe $
bolagsstämma		1822	1	bib19225772_18220322_148004_35_0002_alto.xml-6-37	 	Herror Aktie ägare uti Sjuntorps Fabrik, behagade mangrant sammanträda Tisdagcn den 26 dennes kl 10 f. m. hos ena Directerren Herr Commerce Rätet O. Wyk uti dest Hus wid lilia Torget, till den ordinarie Bolagsstämmans hällande.	203:217	0:227	Herror Aktie ägare uti Sjuntorps Fabrik , behagade mangrant sammanträda Tisdagcn den 26 dennes kl 10 f. m . hos ena Directerren Herr Commerce Rätet O. Wyk uti dest Hus wid lilia Torget , till den ordinarie Bolagsstämmans hällande .	37	0:40	herror aktie ägare uti sjuntorps fabrik $ behaga mangrann sammanträda tisdagcn den 26 denna kl 10 $ m $ hos ena directerren herr commerce rätet $ wyk uti dest hus wid lilia torg $ till den ordinarie bolagsstämma hällande $
bolagsstämma		1826	1	bib13506739_18260825_144030_185_0001_alto.xml-30-5	 	Till Me of det wid Bolagsstämman dcn 22 sistl. mZnad fattade besitt, bebagade Herrar Aktie-Ägare i Stvkkholins SlöförsäkringS Bolag enhälligt sammanträda i gnla Salen 8 Börsen Lördagen ben 2G dennes, klock.	19:32	0:206	Till Me of det wid Bolagsstämman dcn 22 sistl. mZnad fattade besitt , bebagade Herrar Aktie-Ägare i Stvkkholins SlöförsäkringS Bolag enhälligt sammanträda i gnla Salen 8 Börsen Lördagen ben 2G dennes , klock .	5	0:34	till me of den wid bolagsstämma dcn 22 $ mznad fatta besitta $ bebagade herre $ i stvkkholins slöförsäkrings bolag enhällig sammanträda i gnla sal 8 börs lördag ben 2g denna $ klocka $
bolagsstämma		1827	1	bib19225772_18271107_148004_130_0002_alto.xml-5-51	 	4) En gansta wäsendtlig orsak till misinöje samt till widtagandet^af ätgärder och beflut, som warit stridande mot Werkets sanna bästa, är det i grund felaktiga Representationssätt, som blifwit infördt genom 1822 ärs Reglemente, och hwilket, till följe af Direktionens kungörelse, jemwäl ffulle wid urtima Bolagsstämman den 3 Dec.	305:318	0:329	4 ) En gansta wäsendtlig orsak till misinöje samt till widtagandet^af ätgärder och beflut , som warit stridande mot Werkets sanna bästa , är det i grund felaktiga Representationssätt , som blifwit infördt genom 1822 ärs Reglemente , och hwilket , till följe af Direktionens kungörelse , jemwäl ffulle wid urtima Bolagsstämman den 3 Dec .	51	0:56	4 $ en gansta wäsendtlig orsak till misinöje samt till $ ätgärd och beflut $ som warit strida mot werkets sann bra $ vara den i grund felaktig representationssätt $ som blifwit infördt genom 1822 ära reglemente $ och hwilket $ till följe af direktion kungörelse $ jemwäl ffulle wid urtima bolagsstämma den 3 dec $
bolagsstämma		1814	1	bib11653806_18140705_145120_78_0004_alto.xml-0-6	 	Enligt be, stut wid hållen Bolagsstämma mcd Dell igorne uti härwarande Ti cons Werk, kommer fistledil Les behållne winst å betta Werer artin- nu ari utdelas, och klifwer, wid Nctie-Documenlern s intemnan » de till anteckning, utbetald, hår på Li e ni-Eonloret och!	27:39	0:264	Enligt be , stut wid hållen Bolagsstämma mcd Dell igorne uti härwarande Ti cons Werk , kommer fistledil Les behållne winst å betta Werer artin- nu ari utdelas , och klifwer , wid Nctie-Documenlern s intemnan » de till anteckning , utbetald , hår på Li e ni-Eonloret och !	6	0:50	enligt be $ stut wid hålla bolagsstämma mcd dell igorne uti härwarande ti cons werk $ komma fistledil les behålla winst å bete werer $ nu aria utdela $ och klifwer $ wid $ s intem $ de till anteckning $ utbetala $ hår på li e $ och $
bolagsstämma		1807	1	bib19520388_18070708_147487_26_0007_alto.xml-1-8	 	Med delägarne & gt; Ramlösa Brunnsinrättning hålles Bolagsstämma i Brunns-salen derstädes, OnSdagen den iz innewarande Julis, klock n lo föremivagrn.	52:64	0:149	Med delägarne & gt ; Ramlösa Brunnsinrättning hålles Bolagsstämma i Brunns-salen derstädes , OnSdagen den iz innewarande Julis , klock n lo föremivagrn .	8	0:24	med delägare $ gt $ ramlösa brunnsinrättning hålla bolagsstämma i $ derstädes $ onsdag den iz innewarande juli $ klocka n lo föremivagrn $
bolagsstämma		1820	1	bib19225772_18200623_148004_72_0006_alto.xml-2-11	 	b. rz December 179; Nädiglk utfärdade Reglemente till allman Bolagsstämmas hällande i Handels-Societeteris rum i Götheborg utsatt Mandagcn d.	61:74	0:141	b . rz December 179 ; Nädiglk utfärdade Reglemente till allman Bolagsstämmas hällande i Handels-Societeteris rum i Götheborg utsatt Mandagcn d .	11	0:22	b $ rz december 179 $ nädiglk utfärda reglemente till allman bolagsstämma hällande i $ rum i götheborg utsätta mandagcn d $
