lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
bröllop		1830	1	bib15650837_18300529_146391_43_0003_alto.xml-3-13	 	tanken: min brud wantar i den kalla grafwen, der jag tillställt bröllopet, jagade honom frän den ena - qwalenS afgrund till den andra, och han lärde der, under nogsamt befinna, att man ej bör gäckas med en ostvldig flickas hierta och kärlek.	64:73	0:241	tanken : min brud wantar i den kalla grafwen , der jag tillställt bröllopet , jagade honom frän den ena - qwalenS afgrund till den andra , och han lärde der , under nogsamt befinna , att man ej bör gäckas med en ostvldig flickas hierta och kärlek .	13	0:49	tank $ jag brud wantar i den kall grafwen $ der jag tillställa bröllop $ jaga han frän den ena $ qwalens afgrund till den andra $ och han lära der $ under nogsamt befinna $ att man ej böra gäcka med en ostvldig flicka hierta och kärlek $
bröllop		1819	1	bib11653828_18190528_144028_121_0004_alto.xml-14-2	 	Dagen till bröllop blir utsatt; ben gamle Brudgummen, affkräckt	11:18	0:63	Dagen till bröllop blir utsatt ; ben gamle Brudgummen , affkräckt	2	0:11	dag till bröllop bli $ $ ben gammal brudgum $ affkräckt
bröllop		1796	1	bib11653792_17961022_146919_42_0003_alto.xml-6-1	 	Pä Bröllop hos Nämndeman Sundberg i Rog, til Laz.	3:10	0:49	Pä Bröllop hos Nämndeman Sundberg i Rog , til Laz .	1	0:11	pä bröllop hos nämndeman sundberg i rog $ til laz $
bröllop		1792	1	bib19520388_17920321_147487_12_0002_alto.xml-4-16	 	anse, och nied nådigt wälbehag emottaga del anbud Riksens Släuber i underdånighet gora af en Bröllops-	93:102	0:102	anse , och nied nådigt wälbehag emottaga del anbud Riksens Släuber i underdånighet gora af en Bröllops-	16	0:17	anse $ och nied nådig wälbehag emotta del anbud riks släuber i underdånighet gora af en bröllop
bröllop		1824	1	bib19277277_18240529_147682_123_0003_alto.xml-4-8	 	gifwes: för tredje gängen: Resan till Bröllopet, Komedi i 3 Akter.	38:47	0:66	gifwes : för tredje gängen : Resan till Bröllopet , Komedi i 3 Akter .	8	0:15	gifwes $ för tredje gäng $ resa till bröllop $ komedi i 3 akt $
bröllop		1823	1	bib13506739_18230116_144030_12_0002_alto.xml-0-12	 	E. när man betienar sig af Hyrwagn att bjuda och notifie^a till Bröllop och Begrafi nlngar, i Staden och pä Malmarne, eller dä man pä flere hällen i Staden och pä Malmarne besöker eller far pä visiter, betalas för hwarje timma t » — i i _ Men eliest till Bröllop och Begrasningar samt andra ä render, dä man e&gt; kör mer än pZ twä a tre ställen, betalas för en Wagn, första timman - - - g _ Andra timman - - - - - - * _!	64:71	0:421	E. när man betienar sig af Hyrwagn att bjuda och notifie^a till Bröllop och Begrafi nlngar , i Staden och pä Malmarne , eller dä man pä flere hällen i Staden och pä Malmarne besöker eller far pä visiter , betalas för hwarje timma t » — i i _ Men eliest till Bröllop och Begrasningar samt andra ä render , dä man e&gt ; kör mer än pZ twä a tre ställen , betalas för en Wagn , första timman - - - g _ Andra timman - - - - - - * _ !	12	0:97	$ när man betienar sig af hyrwagn att bjuda och $ till bröllop och begrafi nlngar $ i stad och pä malmarne $ eller dä man pä flere häll i stad och pä malmarne besöka eller fara pä visit $ betala för hwarje timma t $ $ i i $ men eliest till bröllop och begrasningar samt annan ä render $ dä man $ $ köra mer än pz twä a tre ställe $ betala för en wagn $ första timma $ $ $ g $ andra timma $ $ $ $ $ $ $ $ $
bröllop		1803	1	bib13506739_18031223_144030_294_0003_alto.xml-3-0	 	Bröllop, Barndop och Begrafningar, hnart » nya moderna Korgar fin *	0:7	0:67	Bröllop , Barndop och Begrafningar , hnart » nya moderna Korgar fin *	0	0:13	bröllop $ barndop och begrafning $ hnart $ ny modern korg fin $
bröllop		1801	1	bib11653828_18010428_144028_94_0003_alto.xml-9-13	 	stag unter det hon strök kläder, som chon skulle nyttja pä ek bröllop, hwartil hon war brudén.	62:69	0:94	stag unter det hon strök kläder , som chon skulle nyttja pä ek bröllop , hwartil hon war brudén .	13	0:20	stag unter den hon stryka kläder $ som chon skola nyttja pä ek bröllop $ hwartil hon war brudén $
bröllop		1816	1	bib11653828_18160820_144028_192_0003_alto.xml-14-45	 	Denna lättfinnighet i lärosättet följdes äkwen af ett umgängessätt ochen umqänqee-ton » som paulus icke gillar, dä han bjuder Prcsterns orr wara hjorden en esterson, att häll, pä j rid och olid för att winna mennistor ät Guds Rike; ty wid bröllop och Olibra f mq-am wörö Peestcrfis icke sällan lustige säll star sbröder, sam aldrig beswä » rade nä on med andcliga samtal, utan deltogo med listighet i alla flags förlustelser.	239:246	0:425	Denna lättfinnighet i lärosättet följdes äkwen af ett umgängessätt ochen umqänqee-ton » som paulus icke gillar , dä han bjuder Prcsterns orr wara hjorden en esterson , att häll , pä j rid och olid för att winna mennistor ät Guds Rike ; ty wid bröllop och Olibra f mq-am wörö Peestcrfis icke sällan lustige säll star sbröder , sam aldrig beswä » rade nä on med andcliga samtal , utan deltogo med listighet i alla flags förlustelser .	45	0:79	denna lättfinnighet i lärosätt följa äkwen af en umgängessätt ochen $ $ som paulus icke gilla $ dä han bjuda prcsterns orre wara hjord en esterson $ att häll $ pä j rida och olid för att winna mennistor äta gud rike $ ty wid bröllop och olibra f $ wörö peestcrfis icke sällan lustig säll star sbröder $ simma aldrig beswä $ rada nä on med andcliga samtal $ utan deltogo med listighet i all flaga förlustelse $
bröllop		1803	1	bib15650837_18031005_146391_79_0004_alto.xml-7-27	 	Madam Catharina Petterston, wida känd af flere Herrffaper för snällhet uk i Matlagning samt fina Desärer och Konfekiurer » ärbiuder härmed sin tjenst widH ner och Bröllop, sä uti som ritoin Sraden; von är boende pä Norr Storgata hn man Blsmbergs Gärd, hoö ZZarnmorffan Margaretha Petterston.	163:170	0:291	Madam Catharina Petterston , wida känd af flere Herrffaper för snällhet uk i Matlagning samt fina Desärer och Konfekiurer » ärbiuder härmed sin tjenst widH ner och Bröllop , sä uti som ritoin Sraden ; von är boende pä Norr Storgata hn man Blsmbergs Gärd , hoö ZZarnmorffan Margaretha Petterston .	27	0:51	madam catharina petterston $ wida känd af flere herrffaper för snällhet uk i matlagning samt fin desärer och konfekiurer $ ärbiuder härmed sig tjenst widh ner och bröllop $ sä uti som ritoin sraden $ von vara bo pä norr storgata hen man blsmbergs gärd $ hoö zzarnmorffan margaretha petterston $
