identifier1	identifier2	annotator	judgment	comment	lemma	round
bib11653825_18090516_145134_55_0001_alto.xml-0-40	bib19227462_18950610_147640_132_0003_alto.xml-101-27	annotator2	2.0	 	central	3
bib15650837_18950323_146391_70_0004_alto.xml-40-12	bib11653790_19010723_145648_57_0002_alto.xml-55-56	annotator2	3.0	 	central	3
bib19225772_18021029_148004_125_0002_alto.xml-10-0	bib19227291_18250504_145289_18_0002_alto.xml-14-8	annotator2	4.0	 	central	3
bib19225758_18950511_144022_109_0004_alto.xml-143-12	bib15873371_18950606_145112_151_0004_alto.xml-119-30	annotator2	2.0	 	central	3
bib11653828_18290224_144028_45_0001_alto.xml-9-20	bib15978012_18950223_148361_46_0002_alto.xml-44-28	annotator2	4.0	 	central	3
bib11653823_18211008_144010_235_0002_alto.xml-3-15	bib11653838_19030123_147024_4_0004_alto.xml-113-2	annotator2	4.0	 	central	3
bib13506739_18290416_144030_88_0005_alto.xml-30-6	bib11653825_18081012_145134_120_0002_alto.xml-11-20	annotator2	4.0	 	central	3
bib11653790_19021104_145648_86_0004_alto.xml-64-22	bib19277277_18950525_147683_140_0009_alto.xml-14-4	annotator2	2.0	 	central	3
bib15873371_18950606_145112_151_0004_alto.xml-119-30	bib11653825_18081122_145134_138_0002_alto.xml-14-2	annotator2	2.0	 	central	3
bib19227291_18970701_145289_78_0002_alto.xml-13-39	bib19227291_18961126_145289_143_0004_alto.xml-11-1	annotator2	2.0	 	central	3
bib19277277_18290112_147682_8_0001_alto.xml-3-33	bib15761570_18951114_146176_188_0004_alto.xml-58-15	annotator2	2.0	 	central	3
bib15650814_18950411_146365_86_0004_alto.xml-102-1	bib19277277_18950525_147683_140_0009_alto.xml-14-4	annotator2	4.0	 	central	3
bib15650837_18121125_146391_94_0001_alto.xml-3-11	bib11653825_18110513_145134_56_0002_alto.xml-4-22	annotator2	3.0	 	central	3
bib11653790_19010723_145648_57_0002_alto.xml-55-56	bib15978012_18950704_148361_152_0004_alto.xml-59-11	annotator2	4.0	 	central	3
bib15873371_18950606_145112_151_0004_alto.xml-119-30	bib19277277_18950831_147683_236_0007_alto.xml-124-1	annotator2	2.0	 	central	3
bib19227291_18250504_145289_18_0002_alto.xml-14-8	bib11653825_18090516_145134_55_0001_alto.xml-0-40	annotator2	3.0	 	central	3
bib13506739_18251202_144030_280_0001_alto.xml-10-19	bib15873371_18950606_145112_151_0004_alto.xml-119-30	annotator2	2.0	 	central	3
bib15873371_18950920_145112_256_0002_alto.xml-23-17	bib19227291_18961126_145289_143_0004_alto.xml-11-1	annotator2	4.0	 	central	3
bib19277277_18950226_147683_56_0007_alto.xml-4-4	bib15873371_18950606_145112_151_0004_alto.xml-119-30	annotator2	2.0	 	central	3
bib19225758_18951127_144022_277_0004_alto.xml-128-3	bib13506739_18090206_144030_30_0001_alto.xml-12-4	annotator2	2.0	 	central	3
bib11653828_18290224_144028_45_0001_alto.xml-9-20	bib19225758_18951127_144022_277_0004_alto.xml-128-3	annotator2	2.0	 	central	3
bib19225758_18950105_144022_4_0004_alto.xml-20-6	bib11653838_19030123_147024_4_0004_alto.xml-113-2	annotator2	2.0	 	central	3
bib15650835_18950604_146472_48_0004_alto.xml-17-4	bib11653825_18090224_145134_16_0001_alto.xml-6-8	annotator2	2.0	 	central	3
bib19225758_18951127_144022_277_0004_alto.xml-128-3	bib15650837_18950401_146391_76_0004_alto.xml-128-8	annotator2	2.0	 	central	3
bib19225758_18951025_144022_249_0004_alto.xml-11-5	bib19225772_18021029_148004_125_0002_alto.xml-10-0	annotator2	2.0	 	central	3
bib19225758_18951127_144022_277_0004_alto.xml-128-3	bib11653825_18090516_145134_55_0001_alto.xml-0-40	annotator2	2.0	 	central	3
bib11653828_18220814_144028_187_0004_alto.xml-3-12	bib11653825_18081122_145134_138_0002_alto.xml-14-2	annotator2	4.0	 	central	3
bib15873371_18950606_145112_151_0004_alto.xml-119-30	bib15650814_18951220_146365_298_0003_alto.xml-118-1	annotator2	2.0	 	central	3
bib15873371_18950606_145112_151_0004_alto.xml-119-30	bib11653790_19000907_145648_71_0004_alto.xml-82-3	annotator2	2.0	 	central	3
bib11653825_18081122_145134_138_0002_alto.xml-6-22	bib11653828_18280531_144028_124_0001_alto.xml-0-8	annotator2	2.0	 	central	3
bib15873371_18950920_145112_256_0002_alto.xml-23-17	bib11653790_19021104_145648_86_0004_alto.xml-64-22	annotator2	2.0	 	central	3
bib11653830_18961228_146968_104_0002_alto.xml-49-11	bib19227462_18950817_147640_190_0003_alto.xml-279-48	annotator2	2.0	 	central	3
bib11653828_18240121_144028_16_0002_alto.xml-3-20	bib11653825_18110513_145134_56_0002_alto.xml-4-22	annotator2	4.0	 	central	3
bib15873371_18950606_145112_151_0004_alto.xml-119-30	bib11653828_18290328_144028_72_0002_alto.xml-9-7	annotator2	2.0	 	central	3
bib19277277_18950323_147683_81_0008_alto.xml-24-8	bib19225758_18951019_144022_244_0004_alto.xml-87-2	annotator2	4.0	 	central	3
bib19227462_18950610_147640_132_0003_alto.xml-101-27	bib11653825_18081122_145134_138_0002_alto.xml-12-6	annotator2	2.0	 	central	3
bib19277277_18950323_147683_81_0008_alto.xml-24-8	bib11653806_18151229_145120_135_0004_alto.xml-6-6	annotator2	2.0	 	central	3
bib19227462_18950411_147640_85_0002_alto.xml-68-29	bib11653811_18980604_145317_84_0003_alto.xml-68-14	annotator2	1.0	 	central	3
bib13506739_18251202_144030_280_0001_alto.xml-10-19	bib11653811_18980604_145317_84_0003_alto.xml-68-14	annotator2	3.0	 	central	3
bib19277301_18960413_145146_30_0003_alto.xml-45-2	bib11653825_18110513_145134_56_0002_alto.xml-4-22	annotator2	2.0	 	central	3
bib15873371_18950606_145112_151_0004_alto.xml-119-30	bib15975087_18950705_145596_101_0004_alto.xml-86-0	annotator2	2.0	 	central	3
bib11653830_18961228_146968_104_0002_alto.xml-49-11	bib11653790_19030224_12541_15_0002_alto.xml-66-19	annotator2	4.0	 	central	3
bib15978012_18951109_148361_262_0004_alto.xml-2-5	bib15873371_18950815_145112_220_0004_alto.xml-26-3	annotator2	2.0	 	central	3
bib11653811_19030103_145317_2_0001_alto.xml-91-13	bib15761570_18950413_146176_64_0003_alto.xml-1-5	annotator2	4.0	 	central	3
bib11653790_19030224_12541_15_0002_alto.xml-66-19	bib15873371_18950606_145112_151_0004_alto.xml-119-30	annotator2	2.0	 	central	3
bib11653825_18110513_145134_56_0002_alto.xml-4-22	bib15978012_18951109_148361_262_0004_alto.xml-2-5	annotator2	2.0	 	central	3
bib19225758_18951019_144022_244_0004_alto.xml-87-2	bib19227291_18961126_145289_143_0004_alto.xml-11-1	annotator2	4.0	 	central	3
bib15873371_18950606_145112_151_0004_alto.xml-119-30	bib19277277_18950924_147683_260_0009_alto.xml-17-1	annotator2	2.0	 	central	3
bib15873371_18950920_145112_256_0002_alto.xml-23-17	bib19225772_18021029_148004_125_0002_alto.xml-10-0	annotator2	2.0	 	central	3
bib19225772_18021029_148004_125_0002_alto.xml-10-0	bib15650814_18950511_146365_110_0004_alto.xml-68-8	annotator2	2.0	 	central	3
bib19227291_18970508_145289_55_0002_alto.xml-105-4	bib19227462_18950302_147640_52_0005_alto.xml-28-13	annotator2	3.0	 	central	3
bib19225758_18951025_144022_249_0004_alto.xml-11-5	bib19225758_18951019_144022_244_0004_alto.xml-87-2	annotator2	2.0	 	central	3
bib11653828_18300318_144028_64_0002_alto.xml-1-1	bib19225772_18191109_148004_129_0003_alto.xml-2-21	annotator3	4.0	 	central	3
bib19227462_18950610_147640_132_0003_alto.xml-101-27	bib11653825_18081122_145134_138_0002_alto.xml-12-6	annotator3	4.0	 	central	3
bib13506739_18261024_144030_236_0001_alto.xml-27-16	bib13506739_18251202_144030_280_0001_alto.xml-10-19	annotator3	4.0	 	central	3
