lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
central		1804	1	bib11653825_18041206_145134_146_0002_alto.xml-1-63	 	en af Provincial-Församlingen i New-Orleans till Amcrikanffa Kongressen ingifwcn skrift, hwaruli densamma mod en gansta decisif ton gör föreställningar mot äkstittiga sågne författningar, till exempel: mot ben i Lovisialias organisations«akt förordnade delning af provinsen uti twenne territorier, norr och söder om ^z:d, ' e ' e latituds graden; mot Guvernörens och de öfriga Embetsmäns provisorista tillsättande af Central » Regeringen, rikan afseende pä folkets mal; mot uraktlätander af ben klausul i aftrades - akten, sam bestämmer att Lovisiana stall införlifmas med de Förenta Staterna säsom en sjelsstandig provins; mot förbudet af Negrers införande m. m.	417:424	0:663	en af Provincial-Församlingen i New-Orleans till Amcrikanffa Kongressen ingifwcn skrift , hwaruli densamma mod en gansta decisif ton gör föreställningar mot äkstittiga sågne författningar , till exempel : mot ben i Lovisialias organisations«akt förordnade delning af provinsen uti twenne territorier , norr och söder om ^z:d , ' e ' e latituds graden ; mot Guvernörens och de öfriga Embetsmäns provisorista tillsättande af Central » Regeringen , rikan afseende pä folkets mal ; mot uraktlätander af ben klausul i aftrades - akten , sam bestämmer att Lovisiana stall införlifmas med de Förenta Staterna säsom en sjelsstandig provins ; mot förbudet af Negrers införande m . m .	63	0:107	en af $ i $ till amcrikanffa kongress ingifwcn skrift $ hwaruli densamma mod en gan decisif ton göra föreställning mot äkstittiga sågne författning $ till exempel $ mot ben i lovisialias $ förordna delning af provins uti twenne territorium $ norr och söder om $ $ $ e $ e latitud grad $ mot guvernör och en öfrig embetsman provisorista tillsättande af central $ regering $ rikan afseende pä folk mala $ mot uraktlätander af ben klausul i aftrades $ akt $ simma bestämma att lovisiana stall införlifmas med en $ stat säsom en sjelsstandig provins $ mot förbud af neger införande m $ m $
central		1813	1	bib19227291_18130123_145289_4_0008_alto.xml-11-32	 	vnfall med större Corpser, bör häidst attaqne en echclons nyttjas, ente dan » nan wid denna maneuvre är fullkomligen mästare, att styra anfallet e ' tee » mständigheterna — Central rörelser och de som wärkställas en cchiqniee Äro Lfwen otjenlige: de förra emedan därtill fodras contra marcher, helom » vändningar och rättningar vä Tören; isynnerhet farliga för Cawallerie; de senare emedan fumlige Cawalleriet lätteligen kan inrrälrga emellan dr » fantelige luckorna.	173:180	0:467	vnfall med större Corpser , bör häidst attaqne en echclons nyttjas , ente dan » nan wid denna maneuvre är fullkomligen mästare , att styra anfallet e ' tee » mständigheterna — Central rörelser och de som wärkställas en cchiqniee Äro Lfwen otjenlige : de förra emedan därtill fodras contra marcher , helom » vändningar och rättningar vä Tören ; isynnerhet farliga för Cawallerie ; de senare emedan fumlige Cawalleriet lätteligen kan inrrälrga emellan dr » fantelige luckorna .	32	0:79	vnfall med stor corpser $ böra häidst attaqne en echclons nyttja $ ente dag $ nan wid denna maneuvre vara fullkomligen mästare $ att styra anfall e $ tee $ mständigheterna $ central rörelse och de som wärkställas en cchiqniee äro lfwen otjenlig $ en förra emedan därtill fodra contra marcher $ hela $ vändning och rättning vä tören $ isynnerhet farlig för cawallerie $ en sen emedan fumlig cawalleriet lätteligen kunna inrrälrga emellan dr $ fantelige lucka $
central		1801	1	bib11653828_18010206_144028_30_0003_alto.xml-3-13	 	i ka » erne hade nedristvit det Mouinenr font har war uxrest är Central	64:71	0:71	i ka » erne hade nedristvit det Mouinenr font har war uxrest är Central	13	0:14	i ka $ ernå ha nedristvit den mouinenr font ha war uxrest vara central
central		1803	1	bib11653825_18030314_145134_31_0002_alto.xml-0-15	 	Otting, och ej kunbe, » tan med wäld, underläg » gas en central flprelfe m. m.; att denna un » dersökningen » swärighet och wigt föranlätit honom att träda i konferens med dt ro de » puttrade, dem de stridiga partiena sjelfwa utnämnt; och sedan han säledeS anwändt alla medel att lära känna HelvetiernaS intressen och wilja m. m., hade han, säsom Med, lare, utan all annan afsigt än de FolkenS bästa » hwilkaS intressen han hade att urstil » ia och reglera, och utan alt förnärma Hel » » etiens sielfständigher, bestulit följande: (här följa de enstilte Konstitutionerne för de iy Kantonerna).	56:63	0:593	Otting , och ej kunbe , » tan med wäld , underläg » gas en central flprelfe m . m . ; att denna un » dersökningen » swärighet och wigt föranlätit honom att träda i konferens med dt ro de » puttrade , dem de stridiga partiena sjelfwa utnämnt ; och sedan han säledeS anwändt alla medel att lära känna HelvetiernaS intressen och wilja m . m . , hade han , säsom Med , lare , utan all annan afsigt än de FolkenS bästa » hwilkaS intressen han hade att urstil » ia och reglera , och utan alt förnärma Hel » » etiens sielfständigher , bestulit följande : ( här följa de enstilte Konstitutionerne för de iy Kantonerna ) .	15	0:123	otting $ och ej kunbe $ $ tana med wäld $ under $ gas en central flprelfe m $ m $ $ att denna un $ dersökning $ swärighet och wigt föranlätit han att trä i konferens med dt ro en $ puttra $ de en stridig partiena sjelfwa utnämna $ och sedan han säledes anwändt all medel att lära känna helvetiernas intresse och wilja m $ m $ $ ha han $ säsom med $ lare $ utan all annan afsigt än en folk bra $ hwilkas intresse han ha att urstil $ ia och reglera $ och utan alt förnärma hel $ $ etiens sielfständigher $ bestjäla följande $ $ här följa en enstilte konstitutionerne för en iy kanton $ $
central		1809	1	bib11653825_18090224_145134_16_0001_alto.xml-6-8	 	depecher fran Hr Frére, Engelff Minister hos Central - Juntan, hivilken nu befinner sig i Sevilla.	45:52	0:98	depecher fran Hr Frére , Engelff Minister hos Central - Juntan , hivilken nu befinner sig i Sevilla .	8	0:19	depecher fran hr frére $ engelff minister hos central $ junta $ hivilken nu befinna sig i sevilla $
central		1812	1	bib15650837_18121212_146391_99_0001_alto.xml-1-8	 	Andalusien, för att werkjMa sin förening med Central » Armsen, närmade den sig inchilla, och Grefwe d ' Erlon, som commenderade Avantgardet, erhöll befallning att begtiga sig denna Plats.	45:52	0:187	Andalusien , för att werkjMa sin förening med Central » Armsen , närmade den sig inchilla , och Grefwe d ' Erlon , som commenderade Avantgardet , erhöll befallning att begtiga sig denna Plats .	8	0:35	andalusien $ för att werkjma sig förening med central $ armsen $ närma den sig inchilla $ och grefwe d $ erlon $ som commenderade avantgarde $ erhålla befallning att begtiga sig denna plats $
central		1829	1	bib11653828_18290227_144028_48_0002_alto.xml-0-16	 	åtminstone den fördelen, att hafva delat hans styrka och att sålunda närma oss det verkliga central ' örsvarets idé: den att med en samlad makt kunna kasta oss åt hvilket håll vi ville, och i detalj slå fienden när han anrycker än från en än från en annan sida.	92:99	0:261	åtminstone den fördelen , att hafva delat hans styrka och att sålunda närma oss det verkliga central ' örsvarets idé : den att med en samlad makt kunna kasta oss åt hvilket håll vi ville , och i detalj slå fienden när han anrycker än från en än från en annan sida .	16	0:53	åtminstone den fördel $ att hafva dela han styrka och att sålunda närma vi den verklig central $ örsvar idé $ den att med en samla makt kunna kasta vi åt hvilket håll vi vilja $ och i detalj slå fiende när han anrycker än från en än från en annan sida $
central		1826	1	bib11653823_18261103_144010_256_0001_alto.xml-6-17	 	co. Perus Minister Don Mannel Tudela, jemte Hans Lega » tions-feereterare, tillika tued Legations-secreteiaren för Central » America, hitwäntas inom fä dagar med briggen Tres Her » manos, och hafwa samma destination.	115:122	0:216	co. Perus Minister Don Mannel Tudela , jemte Hans Lega » tions-feereterare , tillika tued Legations-secreteiaren för Central » America , hitwäntas inom fä dagar med briggen Tres Her » manos , och hafwa samma destination .	17	0:37	$ peru minister don mannel tudela $ jemte han lega $ $ $ tillika tued $ för central $ america $ hitwäntas inom fä dag med brigg tres her $ manos $ och hafwa samma destination $
central		1808	1	bib11653825_18081109_145134_133_0002_alto.xml-1-2	 	och nied Central - Juntan i Spanien, som förer Styrelsen i Hanö Catholska Majestäts, Ferdinand Vilts namn.	9:16	0:106	och nied Central - Juntan i Spanien , som förer Styrelsen i Hanö Catholska Majestäts , Ferdinand Vilts namn .	2	0:20	och nied central $ junta i spanien $ som förer styrelse i hanö catholska majestät $ ferdinand vilt namn $
central		1829	1	bib13506739_18290416_144030_88_0005_alto.xml-22-17	 	Hwar och en, som med lugn och utan fördom betraktar saken, skall finna, att Centralförswaret ej kan komma i ft°8ga att anlitas fcrr, ^än gräyseförswaret swiktar, och nti en kamp p8 lif och död, s8dan den för Swenssar alltid har warit, alltid ntfye blifwa, d8 sjelfständighet är i.fraga, kan ingen mensslig magt garantera, ar. '	76:92	0:327	Hwar och en , som med lugn och utan fördom betraktar saken , skall finna , att Centralförswaret ej kan komma i ft°8ga att anlitas fcrr , ^än gräyseförswaret swiktar , och nti en kamp p8 lif och död , s8dan den för Swenssar alltid har warit , alltid ntfye blifwa , d8 sjelfständighet är i.fraga , kan ingen mensslig magt garantera , ar . '	17	0:66	hwar och man $ som med lugn och utan fördom betrakta sak $ skola finna $ att central ej kunna komma i $ att anlita fcrr $ $ gräyseförswaret swiktar $ och nti en kamp p8 lif och död $ s8dan den för swenssar alltid ha warit $ alltid ntfye blifwa $ d8 sjelfständighet vara $ $ kunna ingen mensslig magt garantera $ ar $ $
