lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
dun		1825	1	bib19277277_18250709_147682_155_0002_alto.xml-25-14	 	en med och utan omhängen, ett större parti Linne och goda Sängkläder af dun, fjäder tagel och här, Porcelatn, hwaribland e » ägta Ostindist Bordservice, samt ännu ei as M-inäbergS tillwerkning, i^zta och vägta Thekannor och Thekoppar m. m., flipade LLm- Dricks- och lHesertglaS, Gyltstälar och Karafinrr, ett LLägg-Ur, samt Husgeråd af alla stag, jemte ett större parti träd- och laggkärl, en modern, gult lakerad » Täckwagn, en dito Täckstada, en Wiencrwagn, Fagfwagnar, Schäfir, Slädar och Selar, Nio stycken Fikonträd, samt omkring Lo st. diverse Blomsterwärter i krukor och lador, 5 st. froarta Wagnsston i 8:de och » o:de Äret, 2 mila Hästar i 8:de och 9:de Äret samt 4 a ' 5 Wcrkhästar, omkring 160 Spanfla och Swensta Fär och Lamm, 21 st. Ewin, 20 st. goda Mjölkkor, mne tjurar, 5 Stutar och ätstillige Ungnöt, 20 Getter och Killingar, Gäst, Änkor, Kalkoner och Höns m. m.	72:75	0:879	en med och utan omhängen , ett större parti Linne och goda Sängkläder af dun , fjäder tagel och här , Porcelatn , hwaribland e » ägta Ostindist Bordservice , samt ännu ei as M-inäbergS tillwerkning , i^zta och vägta Thekannor och Thekoppar m . m . , flipade LLm- Dricks- och lHesertglaS , Gyltstälar och Karafinrr , ett LLägg-Ur , samt Husgeråd af alla stag , jemte ett större parti träd- och laggkärl , en modern , gult lakerad » Täckwagn , en dito Täckstada , en Wiencrwagn , Fagfwagnar , Schäfir , Slädar och Selar , Nio stycken Fikonträd , samt omkring Lo st. diverse Blomsterwärter i krukor och lador , 5 st. froarta Wagnsston i 8:de och » o:de Äret , 2 mila Hästar i 8:de och 9:de Äret samt 4 a ' 5 Wcrkhästar , omkring 160 Spanfla och Swensta Fär och Lamm , 21 st. Ewin , 20 st. goda Mjölkkor , mne tjurar , 5 Stutar och ätstillige Ungnöt , 20 Getter och Killingar , Gäst , Änkor , Kalkoner och Höns m . m .	14	0:182	en med och utan omhänge $ en stor parti linne och god sängkläder af dun $ fjäder tagel och här $ porcelatn $ hwaribland e $ ägta ostindist bordservice $ samt ännu ei as $ tillwerkning $ $ och vägta thekanna och thekoppar m $ m $ $ flipade $ $ och lhesertglas $ gyltstälar och karafinrr $ en $ $ samt husgeråd af all stag $ jemte en stor parti trä och laggkärl $ en modern $ gul lakerad $ täckwagn $ en dito täckstada $ en wiencrwagn $ fagfwagnar $ schäfir $ släde och sele $ nio styck fikonträd $ samt omkring lo $ diverse blomsterwärter i kruka och lada $ 5 $ froarta wagnsston i $ och $ $ äret $ 2 mila häst i $ och $ äret samt 4 a $ 5 wcrkhästar $ omkring 160 spanfla och swensta fär och lamm $ 21 $ ewin $ 20 $ god mjölkko $ mne tjur $ 5 stut och ätstillige ungnöt $ 20 get och killing $ gäst $ änka $ kalkon och höns m $ m $
dun		1815	1	bib19223423_18150823_145063_67_0002_alto.xml-1-0	 	dun alla nuna hästar blifwit dötssjutne, alldeles uttröttad, förlamad af kontusio » ncr och slutligen oförmögen att gä, jag hur en korporal wid gardet, som ledde mig under marschtN, och under hela rctränen cj ett ögonblick lemnade mig, att lacka för ni ill lif.	0:3	0:261	dun alla nuna hästar blifwit dötssjutne , alldeles uttröttad , förlamad af kontusio » ncr och slutligen oförmögen att gä , jag hur en korporal wid gardet , som ledde mig under marschtN , och under hela rctränen cj ett ögonblick lemnade mig , att lacka för ni ill lif .	0	0:51	dun all nuna häst blifwit dötssjutne $ alldeles uttrötta $ förlama af kontusio $ ncr och slutligen oförmögen att gä $ jag hur en korporal wid garde $ som leda jag under marschtn $ och under hel rctränen cj en ögonblick lemna jag $ att lacka för ni ill lif $
dun		1805	1	bib11653825_18051104_145134_132_0003_alto.xml-10-23	 	inträffar har en stafett med underrättelse, att en Corps Österrikiskt Kavalleri af 6002 man den - 8 mellan Nö; dlingen och Dun » kelsbäh!	123:126	0:137	inträffar har en stafett med underrättelse , att en Corps Österrikiskt Kavalleri af 6002 man den - 8 mellan Nö ; dlingen och Dun » kelsbäh !	23	0:27	inträffa ha en stafett med underrättelse $ att en corps österrikisk kavalleri af 6002 man den $ 8 mellan nö $ dlingen och dun $ kelsbäh $
dun		1790	1	bib13506739_17900723_144030_167_0005_alto.xml-3-11	 	Uti Huset N:o 24 i Stadsgärd-n försäljeS flere sorter GäS-sjäder och Dun, samt god Honing uti half » & gt; » a och qwart Fat; pä samma stÄile förfärdigas äfwen Sängkläder.	69:72	0:171	Uti Huset N:o 24 i Stadsgärd-n försäljeS flere sorter GäS-sjäder och Dun , samt god Honing uti half » & gt ; » a och qwart Fat ; pä samma stÄile förfärdigas äfwen Sängkläder .	11	0:35	uti hus $ 24 i $ försälja flere sort $ och dun $ samt god honing uti half $ $ gt $ $ a och qwart fat $ pä samma stäile förfärdiga äfwen sängkläder $
dun		1827	1	bib11653828_18271206_144028_286_0002_alto.xml-2-0	 	dun / att ett stepp frän Rio dit anländt med depescher frän Kejsaren, alla adresserade t ll Ecneral Saldanha säsom Krigsminister.	0:3	0:129	dun / att ett stepp frän Rio dit anländt med depescher frän Kejsaren , alla adresserade t ll Ecneral Saldanha säsom Krigsminister .	0	0:23	dun $ att en stepp frän rio dit anländt med depesch frän kejsare $ all adressera t ll ecneral saldanha säsom krigsminister $
dun		1803	1	bib13506739_18030820_144030_188_0007_alto.xml-5-24	 	En medelålders Änka ästundar at komma til mig.Ni Herre, antingen Ungkarl eller Änkling; hälst sä: ges om det tvm en til dun kommen Herre svin hon kunde fa hushätla före.	120:123	0:169	En medelålders Änka ästundar at komma til mig.Ni Herre , antingen Ungkarl eller Änkling ; hälst sä : ges om det tvm en til dun kommen Herre svin hon kunde fa hushätla före .	24	0:34	en medelålder änka ästundar at komma til $ herre $ antingen ungkarl eller änkling $ hälst sä $ ge om den tvm en til dun komma herre svin hon kunna fa hushätla före $
dun		1823	1	bib19225772_18230704_148004_74_0002_alto.xml-3-84	 	Den 2Z och 24 dennes, förfaljes genom oppen och friwillig Auktion p5 | Brnnsnäs Säteri, belägit nära Ulricebanms Stad, allehanda dyrbara och wackra Möbler, fäfom twenne stora inboiferade Speglar frän golf till tak, en dito nägot mindre, en Franst Bordstudsare med Glaskupa ofwer, Soffor, och Stolar med Tagel och Sivöswerdrag, en stor Divan med Dynor m. m., Bord af stera llag, dubbla och enkla Sängar med Sitzomhänge, fina Sängkläder med dun ochfjader, Tagelma?raj!er, Sänatäcken af Siden och Sitz ni.	439:442	0:502	Den 2Z och 24 dennes , förfaljes genom oppen och friwillig Auktion p5 | Brnnsnäs Säteri , belägit nära Ulricebanms Stad , allehanda dyrbara och wackra Möbler , fäfom twenne stora inboiferade Speglar frän golf till tak , en dito nägot mindre , en Franst Bordstudsare med Glaskupa ofwer , Soffor , och Stolar med Tagel och Sivöswerdrag , en stor Divan med Dynor m . m . , Bord af stera llag , dubbla och enkla Sängar med Sitzomhänge , fina Sängkläder med dun ochfjader , Tagelma ?raj !er , Sänatäcken af Siden och Sitz ni .	84	0:98	den 2z och 24 denna $ förfaljes genom oppen och friwillig auktion p5 $ brnnsnäs säteri $ belägit nära ulricebanms stad $ allehanda dyrbar och wackra möbel $ fäfom twenne stor inboiferade spegla frän golf till tak $ en dito nägot liten $ en franst bordstudsare med glaskupa ofwer $ soffa $ och stol med tagel och sivöswerdrag $ en stor divan med dyna m $ m $ $ bord af stera llag $ dubbel och enkel säng med sitzomhänge $ fin sängkläder med dun ochfjader $ tagelma $ $ $ sänatäcken af siden och sitz ni $
dun		1830	1	bib15650837_18300612_146391_47_0004_alto.xml-14-27	 	och ram, moderna Ljuskronor af siipadt glas, större och mindre Speglar; Jernsaker, hwaribland är Wågbalancer, allehanda trädwaror, mycket goda Sängkläder nied dun och ljäder samt Tagel, Golfmattor, ett större partte Linne, deribland filta Holländsta Damast-duktvger, dräller och andre finare och gröfre linnewäfuader.	159:162	0:317	och ram , moderna Ljuskronor af siipadt glas , större och mindre Speglar ; Jernsaker , hwaribland är Wågbalancer , allehanda trädwaror , mycket goda Sängkläder nied dun och ljäder samt Tagel , Golfmattor , ett större partte Linne , deribland filta Holländsta Damast-duktvger , dräller och andre finare och gröfre linnewäfuader .	27	0:53	och ram $ modern ljuskrona af siipadt glas $ stor och föga spegla $ jernsaker $ hwaribland vara wågbalancer $ allehanda trädwaror $ mycket god sängkläder nied dun och ljäder samt tagel $ golfmatta $ en stor partte linne $ deribland filta holländsta $ $ drälla och andra fin och gröfre linnewäfuader $
dun		1796	1	bib13506739_17960418_144030_87_0003_alto.xml-9-20	 	Uti Huset N:o 24 i Stadtgärden, försälies finare och gröfre Sängkläder och Madrasser; äfwen flere sorter GaSijäder^cch ^cch Dun, godt Dantziger- och Rysitagel, jämte hwit Honung i halsiva ock fjerdedelS Fat.	124:127	0:207	Uti Huset N:o 24 i Stadtgärden , försälies finare och gröfre Sängkläder och Madrasser ; äfwen flere sorter GaSijäder^cch ^cch Dun , godt Dantziger- och Rysitagel , jämte hwit Honung i halsiva ock fjerdedelS Fat .	20	0:36	uti hus $ 24 i stadtgärden $ försälies fin och gröfre sängkläder och madrass $ äfwen flere sort $ $ dun $ god $ och rysitagel $ jämte hwit honung i halsiva ock fjerdedel fat $
dun		1817	1	bib11653792_18170403_146919_14_0003_alto.xml-4-102	 	En wän, forn jag besökte, bad mig äta middag hos sig: jag gick hem at§ kläda om.mig; men pä bcmwägen bad den ene mig wåkla min härpung, den andre pästod att j g tapp t mitt stospänne, ben tredje warnade mig att taga wara pä min näsduk, den fjerde fade att jag hade en ände pä näsan, den jag trodde wara en silkesän.e, och säledcs famlade efter; — slutligen forn jag, för att äta middag, till min wän, med en narraktig ritning pä ryggen, med en hop dun och fjädrar i mitt hatt, och till öfwerflöd fann att min wän hwarken war hemma, eller ärnade komma hem till middagen.	448:451	0:569	En wän , forn jag besökte , bad mig äta middag hos sig : jag gick hem at§ kläda om .mig ; men pä bcmwägen bad den ene mig wåkla min härpung , den andre pästod att j g tapp t mitt stospänne , ben tredje warnade mig att taga wara pä min näsduk , den fjerde fade att jag hade en ände pä näsan , den jag trodde wara en silkesän.e , och säledcs famlade efter ; — slutligen forn jag , för att äta middag , till min wän , med en narraktig ritning pä ryggen , med en hop dun och fjädrar i mitt hatt , och till öfwerflöd fann att min wän hwarken war hemma , eller ärnade komma hem till middagen .	102	0:127	en wän $ forn jag besöka $ be jag äta middag hos sig $ jag gå hem $ klä om $ $ men pä bcmwägen be den ena jag wåkla jag härpung $ den andra pästod att j g tapp t jag stospänne $ ben tredje warnade jag att ta wara pä jag näsduk $ den fjerde fade att jag ha en ände pä näsa $ den jag tro wara en $ $ och säledcs famla efter $ $ slutligen forn jag $ för att äta middag $ till min wän $ med en narraktig ritning pä rygg $ med en hop dun och fjädra i mitt hatt $ och till öfwerflöd finna att min wän hwarken war hemma $ eller ärna komma hem $ middag $
