lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
färg		1805	1	bib13506739_18051023_144030_245_0003_alto.xml-4-5	 	SrctnjFa Fog larne med naturliga färger, säljas i Direktör Fyrbergs Boklada a i Rd.	33:39	0:83	SrctnjFa Fog larne med naturliga färger , säljas i Direktör Fyrbergs Boklada a i Rd .	5	0:16	srctnjfa fog larne med naturlig färg $ sälja i direktör fyrbergs boklada a i rd $
färg		1806	1	bib13506739_18060512_144030_107_0006_alto.xml-4-9	 	Ett par wackra och wäl inkörda WagnS-Hästar, till färgen foxar, finnas till solv.	50:56	0:81	Ett par wackra och wäl inkörda WagnS-Hästar , till färgen foxar , finnas till solv .	9	0:16	en par wackra och wäl inkörd $ $ till färg foxar $ finna till solv $
färg		1807	1	bib11653828_18071208_144028_285_0002_alto.xml-8-25	 	Men fiq Fels, fin egen tankes sanning v Och sill l&gt; jertas stridiga begär Känner ej den wise, hwilken lär Himlaljuset fina färgers blandning.	126:133	0:144	Men fiq Fels , fin egen tankes sanning v Och sill l&gt ; jertas stridiga begär Känner ej den wise , hwilken lär Himlaljuset fina färgers blandning .	25	0:28	men fiq fel $ fin egen tanke sanning v och sill $ $ jertas stridig begär känna ej den wise $ hwilken lär himlaljus fin färg blandning $
färg		1825	1	bib19277277_18250419_147682_88_0003_alto.xml-6-9	 	En selsri Häst i 7-de äret, grä till färgen, paxande bäde till magns- och schäs-häst.	37:43	0:85	En selsri Häst i 7-de äret , grä till färgen , paxande bäde till magns- och schäs-häst .	9	0:18	en selsri häst i $ äret $ grä till färg $ paxa bäde till $ och $ $
färg		1812	1	bib13506739_18120522_144030_116_0007_alto.xml-14-2	 	hwit till färgen, ined bruna öron och en brun	10:16	0:45	hwit till färgen , ined bruna öron och en brun	2	0:10	hwit till färg $ ined brun öra och en brun
färg		1827	1	bib19225792_18271124_147359_46_0005_alto.xml-0-2	 	Specerier och Färgwaror, bästa sort Skeppnings- och Wrakbjelkar, alla dimensioner Plankor, Mastträn, Spiror, Finst Tjära, Beck, Flensburgs Mursten, Jern, Spik och Stal, Eng.	14:23	0:173	Specerier och Färgwaror , bästa sort Skeppnings- och Wrakbjelkar , alla dimensioner Plankor , Mastträn , Spiror , Finst Tjära , Beck , Flensburgs Mursten , Jern , Spik och Stal , Eng .	2	0:34	specerier och färg $ bra sort skeppning och wrakbjelkar $ all dimension planka $ mastträ $ spira $ finst tjära $ beck $ flensburgs mursten $ jern $ spik och stjäla $ eng $
färg		1817	1	bib11653828_18170927_144028_224_0001_alto.xml-2-3	 	Ej rosen har färger, ' ' Ej lyran har strängar.	13:19	0:47	Ej rosen har färger , ' ' Ej lyran har strängar .	3	0:12	ej ros ha färg $ $ $ ej lyra ha sträng $
färg		1809	1	bib13506739_18090525_144030_118_0012_alto.xml-11-12	 	För omkring 14 dagar sedan bortsprang cn liren MoppShund, gul till färgen, med swart äl längs ryggen, samt swart nos.	67:73	0:117	För omkring 14 dagar sedan bortsprang cn liren MoppShund , gul till färgen , med swart äl längs ryggen , samt swart nos .	12	0:24	för omkring 14 dag sedan bortsprang cn lire moppshund $ gul till färg $ med swart äl längs rygg $ samt swart nos $
färg		1802	1	bib19520388_18020414_147487_15_0007_alto.xml-1-41	 	lili salen i öfre maningen af mitt huö blek förleden Söndags afton ben li dennas, klockan emellan 9 och ia borestulne följande persedlar: i:o En mörckblä font af fink wadmal, med bomuls lärft lil foder, af samma färg, men något urblekt: kragen war af ljusblått nianschester.	212:216	0:274	lili salen i öfre maningen af mitt huö blek förleden Söndags afton ben li dennas , klockan emellan 9 och ia borestulne följande persedlar : i:o En mörckblä font af fink wadmal , med bomuls lärft lil foder , af samma färg , men något urblekt : kragen war af ljusblått nianschester .	41	0:53	lili sal i öfre maning af jag huö blek förleden söndag afton ben lie denna $ klocka emellan 9 och ia borestulne följa persedel $ $ en mörckblä font af fink wadmal $ med bomuls lärft lil foder $ af samma färg $ men någon urblekt $ krage war af ljusblå nianschester $
färg		1824	1	bib13506739_18240424_144030_94_0013_alto.xml-7-8	 	En » äget fetlagd MoppSwalp, ljusgul till färgen, med swart nos, ock widkänue » namnet A, or, bortkom den iG dennes.	42:48	0:116	En » äget fetlagd MoppSwalp , ljusgul till färgen , med swart nos , ock widkänue » namnet A , or , bortkom den iG dennes .	8	0:27	en $ äget fetlagd moppswalp $ ljusgul till färg $ med swart nos $ ock widkänue $ namn a $ or $ bortkomma den ig denna $
