identifier1	identifier2	annotator	judgment	comment	lemma	round
bib19227291_18960718_145289_86_0002_alto.xml-101-18	bib11653825_18160328_145134_38_0002_alto.xml-13-1	annotator2	2.0	 	fången	3
bib11653828_18290912_144028_211_0002_alto.xml-12-14	bib11653828_17960514_144028_108_0001_alto.xml-2-14	annotator2	4.0	 	fången	3
bib11653811_19000730_145317_116_0003_alto.xml-75-8	bib19277349_18951015_147403_131_0003_alto.xml-55-2	annotator2	3.0	 	fången	3
bib19227462_18950810_147640_184_0005_alto.xml-160-6	bib15978012_18950910_148361_210_0002_alto.xml-28-21	annotator2	3.0	 	fången	3
bib13506739_17910517_144030_112_0004_alto.xml-9-13	bib11653828_18290918_144028_216_0002_alto.xml-11-22	annotator2	4.0	 	fången	3
bib11653828_18290722_144028_166_0003_alto.xml-17-14	bib19277301_18961116_145146_95_0003_alto.xml-29-14	annotator2	3.0	 	fången	3
bib19225758_18950420_144022_91_0006_alto.xml-149-12	bib11653828_18301119_144028_269_0004_alto.xml-2-6	annotator2	3.0	 	fången	3
bib15975087_18951228_145596_201_0003_alto.xml-92-32	bib11653811_18960905_145317_136_0003_alto.xml-134-1	annotator2	2.0	 	fången	3
bib11653828_18040224_144028_46_0003_alto.xml-7-23	bib11653790_18950823_145648_35_0003_alto.xml-163-1	annotator2	3.0	 	fången	3
bib15761570_18950403_146176_58_0003_alto.xml-147-5	bib19227462_18950903_147640_204_0002_alto.xml-69-36	annotator2	3.0	 	fången	3
bib11653811_19010220_145317_29_0003_alto.xml-47-0	bib15873936_18960917_147385_108_0003_alto.xml-171-2	annotator2	4.0	 	fången	3
bib11653825_18090810_145134_93_0002_alto.xml-13-3	bib11653828_18290902_144028_202_0002_alto.xml-14-2	annotator2	4.0	 	fången	3
bib11653811_18970203_145317_18_0003_alto.xml-206-6	bib13506739_18261013_144030_227_0002_alto.xml-7-1	annotator2	4.0	 	fången	3
bib19227291_18960718_145289_86_0002_alto.xml-101-18	bib11653825_18160328_145134_38_0002_alto.xml-13-1	annotator3	3.0	 	fången	3
bib11653828_18301120_144028_270_0004_alto.xml-5-25	bib11653830_18970329_146968_25_0003_alto.xml-24-11	annotator3	3.0	 	fången	3
