lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
fången		1793	1	bib19520388_17930306_147487_10_0003_alto.xml-0-115	 	du styrd lif en ffirfwMiq oifi föragtad Liga, fini * lil bine egne Uagar och dine friwilliqi » isne Deklarationer: Naiwuernr kunna icke mera ira dina löfttn, fia Du nied wald och fiåmnniit mil många Nne ©rännar al emot Deras öfwenygelfe andra De reger ingssåkk, hwarunder de lange befunnit sig lycklige, och du gör patagklige Ingrev & gt; Lllcurrale Maylere dmikövle och as dig garanterade rättigheter: dit förut ärorika namn är b.stäcka ', dä man bemist brott och twart emot din besiynriic bag, Du låtit förföra dig ar utan rallwiso, utan ädelmod eller medlidande sträcka under D ' lan Hufwudel af dea Konung, forn fången & gt; dm magt ivar nr stand ot widare stada bia, om ha » det ock tvelat; men forn d » lil » iwer stöd kände hade ek godt hjerta, el fromt finne, forn kunnat för.edas til » iitzlaa; men aldrig warit sjelfmant grym.	616:622	0:836	du styrd lif en ffirfwMiq oifi föragtad Liga , fini * lil bine egne Uagar och dine friwilliqi » isne Deklarationer : Naiwuernr kunna icke mera ira dina löfttn , fia Du nied wald och fiåmnniit mil många Nne ©rännar al emot Deras öfwenygelfe andra De reger ingssåkk , hwarunder de lange befunnit sig lycklige , och du gör patagklige Ingrev & gt ; Lllcurrale Maylere dmikövle och as dig garanterade rättigheter : dit förut ärorika namn är b.stäcka ' , dä man bemist brott och twart emot din besiynriic bag , Du låtit förföra dig ar utan rallwiso , utan ädelmod eller medlidande sträcka under D ' lan Hufwudel af dea Konung , forn fången & gt ; dm magt ivar nr stand ot widare stada bia , om ha » det ock tvelat ; men forn d » lil » iwer stöd kände hade ek godt hjerta , el fromt finne , forn kunnat för.edas til » iitzlaa ; men aldrig warit sjelfmant grym .	115	0:167	du styra lif en ffirfwmiq oifi föragtad liga $ fini $ lil bine egen uagar och dine friwilliqi $ isne deklaration $ naiwuernr kunna icke mera ira du löfttn $ fia du nied wald och fiåmnniit mil många nne $ al emot de öfwenygelfe andra en reger ingssåkk $ hwarunder de langa befinna sig lycklig $ och du göra patagklige ingrev $ gt $ lllcurrale maylere dmikövle och as du garantera rättighet $ dit förut ärorik namn vara $ $ $ dä man bemist brott och twart emot du besiynriic bag $ du låta förföra du ar utan rallwiso $ utan ädelmod eller medlidande sträcka under d $ lan hufwudel af dea konung $ forn fången $ gt $ dm magt ivar nr stand o widare stada bia $ om ha $ den ock tvelat $ men forn d $ lil $ iwer stöd känna ha ek god hjerta $ el from finne $ forn kunna $ til $ iitzlaa $ men aldrig warit sjelfmant grym $
fången		1816	1	bib11653825_18160328_145134_38_0002_alto.xml-13-1	 	fatt fången, innan ben inspärrades i tornet, är bibeyållen sådan som ben war för rz år sedan, och statt nu anwäpdas till Bonta, n » mare eller Capell.	5:11	0:150	fatt fången , innan ben inspärrades i tornet , är bibeyållen sådan som ben war för rz år sedan , och statt nu anwäpdas till Bonta , n » mare eller Capell .	1	0:33	fatt fången $ innan ben inspärra i torn $ vara bibeyållen sån som ben war för rz år sedan $ och stadd nu anwäpdas till bonta $ n $ mare eller capell $
fången		1829	1	bib11653828_18290815_144028_187_0001_alto.xml-10-12	 	sorn fången, meli likväl fri genom sina behag, oell Elisabet fången i andan oaktadt sin thron ' o. s. v.	61:67	0:104	sorn fången , meli likväl fri genom sina behag , oell Elisabet fången i andan oaktadt sin thron ' o. s. v.	12	0:22	sorn fången $ meli likväl fri genom sig behag $ oell elisabet fången i anda oaktadt sig thron $ $ $ $
fången		1790	1	bib11653792_17900410_146919_14_0002_alto.xml-6-36	 	derefter straxt i land och stormade; de Poster och Folk, som wörö i Fästningen, sprungo genast, utan at lossa stolt; gamla Invalider, svin intet hrmno sä fort undan, blefwo fångne, men sedermera återlämnade.	173:179	0:207	derefter straxt i land och stormade ; de Poster och Folk , som wörö i Fästningen , sprungo genast , utan at lossa stolt ; gamla Invalider , svin intet hrmno sä fort undan , blefwo fångne , men sedermera återlämnade .	36	0:42	derefter straxt i land och storma $ en post och folk $ som wörö i fästning $ sprungo genast $ utan at lossa stolt $ gammal invalid $ svin intet hrmno sä fort undan $ blefwo fången $ men sedermera återlämna $
fången		1800	1	bib11653828_18000628_144028_143_0004_alto.xml-0-8	 	hund frälste honom frän at bli dödad eller fången.	43:49	0:50	hund frälste honom frän at bli dödad eller fången .	8	0:10	hund frälsa han frän at bli döda eller fången $
fången		1830	1	bib11653828_18301119_144028_269_0004_alto.xml-2-6	 	Oin den medlidsamma qvinnan vet hvarest fången vistas, så smyger hon sig nattetid in i hans tält, och söker fästa en trådsända om hatts arm eller ben, eller gifva honom den i munnen; derefter begifver hon sig, uppvecklande nystanet, till nästa tält, väcker der en slumrande Arab och lägger nystanet på hans bröst, sägande: ' ' Se upp I jng besvär dig vid kärleken till Gud och dig sjelf, att taga detta under ditt beskydd."	40:46	0:423	Oin den medlidsamma qvinnan vet hvarest fången vistas , så smyger hon sig nattetid in i hans tält , och söker fästa en trådsända om hatts arm eller ben , eller gifva honom den i munnen ; derefter begifver hon sig , uppvecklande nystanet , till nästa tält , väcker der en slumrande Arab och lägger nystanet på hans bröst , sägande : ' ' Se upp I jng besvär dig vid kärleken till Gud och dig sjelf , att taga detta under ditt beskydd . "	6	0:87	oin den medlidsam qvinna veta hvarest fången vistas $ så smyga hon sig nattetid in i han tält $ och söka fästa en trådsända om hatt arm eller ben $ eller gifva han den i mun $ derefter begifver hon sig $ uppveckla nystan $ till nästa tält $ väcka der en slumra arab och lägga nystan på han bröst $ sägande $ $ $ se upp i jng besvär du vid kärlek till gud och du sjelf $ att ta denna under du beskydd $ $
fången		1808	1	bib19225772_18081118_148004_132_0001_alto.xml-3-265	 	Beredd att på denna tid, som redan förut war bestämd, emottaga attaque, wax det mig icke owantadt akt samma moment tiden utgick, erhålla Rapport att tm » förpostkedja blifwit attaquerad, och med den häftighet och öfwerlagftnhet i styrka, alt den måste drag » sig på denna sidan Wirda bro, hwilIen genom manstap som derwid woro i beredst.. p^ till hälften blef uppriswen^ Kort derpå börjades en haflig canoneld ifrån fiendens sida af det Artilleri han transporterat upoå de straxt bakom nämnde past bclagne höjder, men bkf ifrån wåra batierier, som woro placerade uppå de fsrmoniigaste liallen localen medgaf, med lika listighet beswarad, och erhöll General-Majoren Furst Dolgmucki, som förde Avantgardet, redan i hörja » as affairen en sä swär bletzure af en eanonkula, att han en kort stund derefter aflid, t Under detta drogo sig så wal deras Jagare som Infanteri öfwer bron, den de sä wida reparerade, alt någre man i sönder kunde komma öfwer på denna sidan patzet, och sedan de i skygd af en straxt derwid belägen gård, hunnit samla en betydlig styrka, begynte de sprida sig i kedja och avancerade på detta satt, oaktadt en oafbruten både Artilleri- och mousquettert-eld, under wåra batterier, som de med storm sökte intaga; men blefwo af wåra troppar med den bravoure och häftighet tillbakadrifne och förföljde ända bakom Wirda bro, att deras förlust under affairen, fom påstod i 6 timmar intill mörkningen, utgjorde, utom 2 st. fångne Officerare, Majoren wid 4:de Jägare-Regementet Abernibeston och Capitenen w&gt; d samma Regcniente Rusinoff, 2me Under - Officerare och 69 man, öfwer 200 dsdskjutne och 16 »	1434:1440	0:1614	Beredd att på denna tid , som redan förut war bestämd , emottaga attaque , wax det mig icke owantadt akt samma moment tiden utgick , erhålla Rapport att tm » förpostkedja blifwit attaquerad , och med den häftighet och öfwerlagftnhet i styrka , alt den måste drag » sig på denna sidan Wirda bro , hwilIen genom manstap som derwid woro i beredst .. p^ till hälften blef uppriswen^ Kort derpå börjades en haflig canoneld ifrån fiendens sida af det Artilleri han transporterat upoå de straxt bakom nämnde past bclagne höjder , men bkf ifrån wåra batierier , som woro placerade uppå de fsrmoniigaste liallen localen medgaf , med lika listighet beswarad , och erhöll General-Majoren Furst Dolgmucki , som förde Avantgardet , redan i hörja » as affairen en sä swär bletzure af en eanonkula , att han en kort stund derefter aflid , t Under detta drogo sig så wal deras Jagare som Infanteri öfwer bron , den de sä wida reparerade , alt någre man i sönder kunde komma öfwer på denna sidan patzet , och sedan de i skygd af en straxt derwid belägen gård , hunnit samla en betydlig styrka , begynte de sprida sig i kedja och avancerade på detta satt , oaktadt en oafbruten både Artilleri- och mousquettert-eld , under wåra batterier , som de med storm sökte intaga ; men blefwo af wåra troppar med den bravoure och häftighet tillbakadrifne och förföljde ända bakom Wirda bro , att deras förlust under affairen , fom påstod i 6 timmar intill mörkningen , utgjorde , utom 2 st. fångne Officerare , Majoren wid 4:de Jägare-Regementet Abernibeston och Capitenen w&gt ; d samma Regcniente Rusinoff , 2me Under - Officerare och 69 man , öfwer 200 dsdskjutne och 16 »	265	0:296	bereda att på denna tid $ som redan förut war bestämd $ emotta attaque $ wax den jag icke owantadt akt samma moment tid utgå $ erhålla rapport att tm $ förpostkedja blifwit attaquerad $ och med den häftighet och öfwerlagftnhet i styrka $ alt den måste drag $ sig på denna sida wirda bro $ hwilien genom manstap som derwid woro i beredst $ $ till hälft blef $ kort derpå börja en haflig canoneld ifrån fiende sida af den artilleri han transportera upoå en straxt bakom nämna past bclagne höjd $ men bkf ifrån wåra batierier $ som woro placera uppå en fsrmoniigaste liallen localen medgaf $ med lika listighet beswarad $ och erhålla $ furst dolgmucki $ som föra avantgarde $ redan i hörja $ as affairen en sä swär bletzure af en eanonkula $ att han en kort stund derefter aflid $ t under denna drogo sig så wal de jagare som infanteri öfwer bro $ den en sä wida reparera $ alt någre man i sönder kunna komma öfwer på denna sida patzet $ och sedan de i skygd af en straxt derwid belägen gård $ hinna samla en betydlig styrka $ begynna de sprida sig i kedja och avancera på denna sitta $ oaktadt en oafbruten både artilleri och $ $ under wåra batteri $ som de med storm söka inta $ men blefwo af wåra tropp med den bravoure och häftighet tillbakadrifne och förfölja ända bakom wirda bro $ att de förlust under affairen $ få påstå i 6 timme intill mörkning $ utgöra $ utom 2 $ fången officer $ major wid $ $ abernibeston och capitenen $ $ d samma regcniente rusinoff $ 2me under $ officer och 69 man $ öfwer 200 dsdskjutne och 16 $
fången		1830	1	bib11653828_18301109_144028_260_0002_alto.xml-22-3	 	biet lian likväl fången och upphängd tillika med sin tappre och olycklige anförvandt. ”	17:23	0:87	biet lian likväl fången och upphängd tillika med sin tappre och olycklige anförvandt . ”	3	0:15	bi lian likväl fången och $ tillika med sig tapper och olycklig anförvandt $ $
fången		1829	1	bib11653828_18290902_144028_202_0002_alto.xml-14-2	 	förevitade den fångne Konungen hans gudlöshet all tåla Kristi mördare i sitt land, befallte han, att alla, som icke födde sig med mekaniska och handarbeten, skulle utdrifvas.	15:21	0:174	förevitade den fångne Konungen hans gudlöshet all tåla Kristi mördare i sitt land , befallte han , att alla , som icke födde sig med mekaniska och handarbeten , skulle utdrifvas .	2	0:32	förevita den fången konung han gudlöshet all tåla kristi mördare i sig land $ befallte han $ att all $ som icke föda sig med mekanisk och handarbete $ skola utdrifvas $
fången		1829	1	bib11653828_18290618_144028_138_0002_alto.xml-7-23	 	fullföljde denna åtgärd med sådan stränghet, att han icke drog i betänkande att hålla Engelsmän, Italienare, Portugiser och andra fremlingar fångna i sina stater.	141:147	0:162	fullföljde denna åtgärd med sådan stränghet , att han icke drog i betänkande att hålla Engelsmän , Italienare , Portugiser och andra fremlingar fångna i sina stater .	23	0:28	fullfölja denna åtgärd med sån stränghet $ att han icke dra i betänkande att hålla engelsman $ italienare $ portugis och andra fremlingar fången i sig stat $
