lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
fack		1820	1	bib11653828_18201128_144028_277_0004_alto.xml-5-60	 	Har » anwander och begagnar sig af flera ibland dessa » vetenskaper till cn enoas beakbetande; han är hwarken en person, som ffrifwer poemer, eller en som för« fartar ashanolinzar pä prosa; gemenligen inträffar det, att han gör bäde det ena och det andra; - framför allt hinner Han ej till förträfflighet i nägot fack, Bin han ej besitter de kunskaper, den erfarenhet, och den färdighet, som erfordras i flera andra, Ibland hanS arbeten finnas sädana, i hwilka all HanS snillekraft är uttryckt, och?andra, pä hwilka han ej behöft anwända annat än flit.	313:317	0:552	Har » anwander och begagnar sig af flera ibland dessa » vetenskaper till cn enoas beakbetande ; han är hwarken en person , som ffrifwer poemer , eller en som för« fartar ashanolinzar pä prosa ; gemenligen inträffar det , att han gör bäde det ena och det andra ; - framför allt hinner Han ej till förträfflighet i nägot fack , Bin han ej besitter de kunskaper , den erfarenhet , och den färdighet , som erfordras i flera andra , Ibland hanS arbeten finnas sädana , i hwilka all HanS snillekraft är uttryckt , och ?andra , pä hwilka han ej behöft anwända annat än flit .	60	0:109	ha $ anwander och begagna sig af flera ibland denna $ vetenskap till cn enoas beakbetande $ han vara hwarken en person $ som ffrifwer poem $ eller man som $ farta ashanolinzar pä prosa $ gemenligen inträffa den $ att han göra bäde den ena och den andra $ $ framför all hinna han ej till förträfflighet i nägot fack $ bi han ej besitta en kunskap $ den erfarenhet $ och den färdighet $ som erfordra i flera annan $ ibland hans arbete finna sädana $ i hwilka all hane snillekraft vara uttrycka $ och $ $ pä hwilka han ej behöfva anwända annan än flit $
fack		1824	1	bib19223423_18240428_145063_34_0001_alto.xml-7-80	 	En wist Iva Hill frän Baltimore har hos Nord-Amerlkansta Kongresien begärt ia Acres land och lo, 020 DollarS, hwarföre han i Staden Washington will inrätta en geografist trägärd, som stall en miniature föreställa hela jorden med sina haf, floder, berg 0. s. w. Längd-och Bredd-grade », Equatorn och Ekliptikan stola pä det nogaste utmärkas, sä att, genom nägra timarö promenad, mera kan läros, än genom flerärigt studium l delta fack.	429:433	0:434	En wist Iva Hill frän Baltimore har hos Nord-Amerlkansta Kongresien begärt ia Acres land och lo , 020 DollarS , hwarföre han i Staden Washington will inrätta en geografist trägärd , som stall en miniature föreställa hela jorden med sina haf , floder , berg 0 . s. w. Längd-och Bredd-grade » , Equatorn och Ekliptikan stola pä det nogaste utmärkas , sä att , genom nägra timarö promenad , mera kan läros , än genom flerärigt studium l delta fack .	80	0:82	en wist iva hill frän baltimore ha hos $ kongresien begära ia acres land och lo $ 020 dollar $ hwarföre han i stad washington will inrätta en geografist trägärd $ som stall en miniature föreställa hel jord med sig haf $ flod $ berg 0 $ $ $ $ $ $ $ equatorn och ekliptika stola pä den nogaste utmärka $ sä att $ genom nägra timarö promenad $ mera kunna läros $ än genom flerärigt studium l delta fack $
fack		1830	1	bib19277277_18300120_147682_15_0004_alto.xml-27-16	 	genom eli mångårigt vistande lil rike », förenad med eli grundligt \ studium i detta fack, derjemte oek en tydlig, vacker, engelsk stil	85:89	0:135	genom eli mångårigt vistande lil rike » , förenad med eli grundligt \ studium i detta fack , derjemte oek en tydlig , vacker , engelsk stil	16	0:27	genom eli mångårig vistande lil rike $ $ förena med eli grundlig $ studium i denna fack $ derjemte oek en tydlig $ vacker $ engelsk stil
fack		1823	1	bib11653823_18230715_144010_160_0008_alto.xml-3-30	 	au pttra sig hurnwida be anbud Z Ribbingsholis Säteri och Skärblacka Bruk m. m„stin wid Al ctionen d. dennelkunna blifwa gjorda, stolaa tågås eller fallit i sednare facket bcsiuta, hwil?	165:171	0:186	au pttra sig hurnwida be anbud Z Ribbingsholis Säteri och Skärblacka Bruk m . m„ stin wid Al ctionen d. dennelkunna blifwa gjorda , stolaa tågås eller fallit i sednare facket bcsiuta , hwil ?	30	0:35	au pttra sig hurnwida be anbud z ribbingsholis säteri och skärblacka bruk m $ $ stin wid al ctionen $ dennelkunna blifwa göra $ stolaa tågås eller falla i sednare fack bcsiuta $ hwil $
fack		1798	1	bib19225772_17980515_148003_38_0003_alto.xml-17-4	 	hwara sinnes flere (facken goda fruktbärande träd ock tilräckelig jord för grönsaker at et större Hushall.	20:26	0:106	hwara sinnes flere ( facken goda fruktbärande träd ock tilräckelig jord för grönsaker at et större Hushall .	4	0:18	hwara sinne flere $ fack god fruktbärande träd ock tilräckelig jord för grönsak at et stor hushall $
fack		1821	1	bib11653823_18210216_144010_39_0007_alto.xml-1-4	 	utstaka; i annat fack sörsareS nied Egendomen, pS fatt Lag stadgar; forn tredje gängen knngöres.	17:21	0:96	utstaka ; i annat fack sörsareS nied Egendomen , pS fatt Lag stadgar ; forn tredje gängen knngöres .	4	0:19	utstaka $ i annan fack sörsares nied egendom $ p fatt lag stadgar $ forn tredje gäng knngöres $
fack		1824	1	bib19277277_18240514_147682_111_0008_alto.xml-20-22	 	Ägarx » tick ett parti Cayenne-Peppar, inlemnadt till försäljning Ivid Drvltninggatan, behagar det nied det snaraste afhämta, i widriat fack kan för samma e!	136:140	0:157	Ägarx » tick ett parti Cayenne-Peppar , inlemnadt till försäljning Ivid Drvltninggatan , behagar det nied det snaraste afhämta , i widriat fack kan för samma e !	22	0:28	ägarx $ tick en parti $ $ inlemnadt till försäljning ivid drvltninggatan $ behaga den nied den snar afhämta $ i widriat fack kunna för samma e $
fack		1795	1	bib19520388_17950708_147487_27_0007_alto.xml-1-3	 	källare af 6 facks storlek, färne en stor rymlig inkörfeiS port af (& gt; alnars högd.	13:18	0:86	källare af 6 facks storlek , färne en stor rymlig inkörfeiS port af ( & gt ; alnars högd .	3	0:20	källare af 6 fack storlek $ färne en stor rymlig inkörfeis port af $ $ gt $ aln högd $
fack		1823	1	bib11653823_18230814_144010_186_0002_alto.xml-7-19	 	osca dre n ställer fin kosa ät sundet., ^och gär troligen tick Eeuta, som i det facket är förlovad- för de oonWirtionelle.	80:86	0:122	osca dre n ställer fin kosa ät sundet . , ^och gär troligen tick Eeuta , som i det facket är förlovad- för de oonWirtionelle .	19	0:26	osca dre n ställa fin kosa äta sund $ $ $ gär troligen tick eeuta $ som i den fack vara $ för en oonwirtionelle $
fack		1821	1	bib19227291_18211205_145289_49_0004_alto.xml-1-8	 	med hel ZäkadSlotl och & gt; z Facks god Äbuzgnad, samt rymlig Gärd cch TrägärdSxlatS.	31:36	0:86	med hel ZäkadSlotl och & gt ; z Facks god Äbuzgnad , samt rymlig Gärd cch TrägärdSxlatS .	8	0:18	med hel zäkadslotl och $ gt $ z fack god äbuzgnad $ samt rymlig gärd cch trägärdsxlats $
