identifier1	identifier2	annotator	judgment	comment	lemma	round
bib19225772_18231121_148004_134_0002_alto.xml-12-10	bib19225758_18950722_144022_167_0001_alto.xml-35-17	annotator2	4.0	 	förhandling	3
bib19277346_18271215_147394_49_0003_alto.xml-2-11	bib15873936_18960305_147385_27_0003_alto.xml-83-27	annotator2	4.0	 	förhandling	3
bib19225772_18301103_148004_126_0001_alto.xml-5-10	bib19277277_18950826_147683_231_0006_alto.xml-65-4	annotator2	4.0	 	förhandling	3
bib19277277_18290309_147682_56_0001_alto.xml-9-12	bib19277346_18271215_147394_49_0003_alto.xml-2-11	annotator2	4.0	 	förhandling	3
bib19227462_18950220_147640_43_0002_alto.xml-9-42	bib19225758_18950225_144022_47_0002_alto.xml-143-0	annotator2	4.0	 	förhandling	3
bib15650814_18950919_146365_219_0002_alto.xml-160-10	bib19225772_18300604_148004_62_0001_alto.xml-4-11	annotator2	1.0	 	förhandling	3
bib13506739_18281209_144030_288_0001_alto.xml-6-19	bib19225772_18231210_148004_142_0003_alto.xml-5-4	annotator2	4.0	 	förhandling	3
bib15761097_18950402_145020_39_0003_alto.xml-88-2	bib19225758_18950219_144022_42_0002_alto.xml-82-36	annotator2	4.0	 	förhandling	3
bib15873371_18950606_145112_151_0003_alto.xml-80-14	bib19277277_18290520_147682_115_0001_alto.xml-7-138	annotator2	4.0	 	förhandling	3
bib11653830_18970902_146968_70_0004_alto.xml-22-7	bib19225758_18950227_144022_49_0003_alto.xml-183-48	annotator3	4.0	 	förhandling	3
bib11653830_18960206_146968_11_0003_alto.xml-65-40	bib13506739_18281209_144030_288_0001_alto.xml-6-19	annotator3	4.0	 	förhandling	3
bib15873371_18950606_145112_151_0003_alto.xml-80-14	bib19277277_18290520_147682_115_0001_alto.xml-7-138	annotator3	4.0	 	förhandling	3
bib19277277_18951128_147683_325_0004_alto.xml-87-1	bib15650814_18950418_146365_90_0003_alto.xml-40-78	annotator3	3.0	 	förhandling	3
bib19277277_18301204_147682_283_0001_alto.xml-4-0	bib19225772_18300430_148004_48_0002_alto.xml-9-0	annotator3	4.0	 	förhandling	3
bib19225758_18950225_144022_47_0002_alto.xml-143-0	bib19225758_18950315_144022_63_0003_alto.xml-97-51	annotator3	4.0	 	förhandling	3
bib13506739_18290122_144030_17_0002_alto.xml-3-2	bib11653790_18990905_145648_69_0003_alto.xml-110-1	annotator3	4.0	 	förhandling	3
bib15650814_18950417_146365_89_0003_alto.xml-147-10	bib19277277_18950826_147683_231_0006_alto.xml-65-4	annotator3	4.0	 	förhandling	3
bib15761570_18950109_146176_6_0003_alto.xml-150-11	bib15650814_18950417_146365_89_0003_alto.xml-147-10	annotator4	4.0	 	förhandling	3
bib11653823_18290706_144010_152_0001_alto.xml-7-1	bib11653811_18961214_145317_193_0002_alto.xml-71-33	annotator4	4.0	 	förhandling	3
bib15873371_18950606_145112_151_0003_alto.xml-80-14	bib19277277_18290520_147682_115_0001_alto.xml-7-138	annotator4	4.0	 	förhandling	3
bib19225772_18250111_148004_4_0001_alto.xml-3-24	bib19225758_18950221_144022_44_0002_alto.xml-245-13	annotator4	4.0	 	förhandling	3
bib11653828_18300916_144028_214_0003_alto.xml-19-6	bib19277277_18950508_147683_124_0007_alto.xml-15-11	annotator4	4.0	 	förhandling	3
bib13506739_18290122_144030_17_0002_alto.xml-3-2	bib11653790_18990905_145648_69_0003_alto.xml-110-1	annotator4	4.0	 	förhandling	3
bib19277277_18950819_147683_224_0005_alto.xml-168-12	bib15873936_18950615_147385_70_0002_alto.xml-104-25	annotator4	4.0	 	förhandling	3
