lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
förhandling		1830	1	bib19225772_18300219_148004_20_0002_alto.xml-1-2	 	de diplomatiska förhandlingarne mellan de stora Cabinetterna icke stulle kunna tvinnas.	16:31	0:87	de diplomatiska förhandlingarne mellan de stora Cabinetterna icke stulle kunna tvinnas .	2	0:12	en diplomatisk förhandling mellan en stor cabinetterna icke stulle kunna tvinna $
förhandling		1830	1	bib19225772_18300430_148004_48_0002_alto.xml-9-0	 	förhandlingarnes flut-prorokoll angående Greklands angelägenheter inträffat här genom en kurir hos harwarande Engelsta legationen.	0:16	0:130	förhandlingarnes flut-prorokoll angående Greklands angelägenheter inträffat här genom en kurir hos harwarande Engelsta legationen .	0	0:15	förhandling $ angående grekland angelägenhet inträffa här genom en kurir hos harwarande engelsta legation $
förhandling		1827	1	bib13506739_18270927_144030_226_0001_alto.xml-0-40	 	Hof-Rätten tillkänna, att sedan Rikets Ständers Herr Justitieombudsman i underdånighet anmält, del han, ivid granstning & lt;, f inkomne fänglistor, erfarit, hurusom Underdomare, särdeles inom Skaraborgs och Kronobergs Län, wid bilers förhandling till kroppsstraff^ ofta antagit till grund hwarje bötesbelopp	235:246	0:308	Hof-Rätten tillkänna , att sedan Rikets Ständers Herr Justitieombudsman i underdånighet anmält , del han , ivid granstning & lt ; , f inkomne fänglistor , erfarit , hurusom Underdomare , särdeles inom Skaraborgs och Kronobergs Län , wid bilers förhandling till kroppsstraff^ ofta antagit till grund hwarje bötesbelopp	40	0:49	$ tillkänna $ att sedan rike stånd herr justitieombudsman i underdånighet anmäla $ del han $ ivid granstning $ lt $ $ f inkomma fänglistor $ erfara $ hurusom underdomare $ särdeles inom skaraborg och kronoberg län $ wid biler förhandling till $ ofta anta till grund hwarje bötesbelopp
förhandling		1830	1	bib13506739_18301230_144030_303_0004_alto.xml-13-1	 	Då förhandlingarna i Jen inför Franska Pairskamma * ren nu anbängiga rälti ' gång mot f. d. Ministrarna Q Po / igtiac Pejronnet, Guernon de Ranviltem.	3:18	0:150	Då förhandlingarna i Jen inför Franska Pairskamma * ren nu anbängiga rälti ' gång mot f. d. Ministrarna Q Po / igtiac Pejronnet , Guernon de Ranviltem .	1	0:28	då förhandling i j inför fransk pairskamma $ ren nu anbängiga rälti $ gång mot $ $ minister q po $ igtiac pejronnet $ guernon de ranviltem $
förhandling		1829	1	bib13506739_18290126_144030_20_0001_alto.xml-7-7	 	utan i synnerhet dä ojsieiella dociimenter och förhandlingar upp, ' ärtas.	47:60	0:74	utan i synnerhet dä ojsieiella dociimenter och förhandlingar upp , ' ärtas .	7	0:13	utan i synnerhet dä ojsieiella dociimenter och förhandling upp $ $ ärta $
förhandling		1827	1	bib19225772_18271023_148004_123_0002_alto.xml-1-30	 	bring ägt runi i Qttomannista regeringens tänkesätt; densamma yttrade icke heller » agon lnst att aker taga deras förklaring i öfwerwägande, och ater bör » ja de diplomatiska förhandlingarne.	175:190	0:191	bring ägt runi i Qttomannista regeringens tänkesätt ; densamma yttrade icke heller » agon lnst att aker taga deras förklaring i öfwerwägande , och ater bör » ja de diplomatiska förhandlingarne .	30	0:32	bringa äga runi i qttomannista regering tänkesätt $ densamma yttra icke heller $ ago lnst att aker ta de förklaring i öfwerwägande $ och ater böra $ ja en diplomatisk förhandling $
förhandling		1830	1	bib19225772_18300324_148004_34_0001_alto.xml-1-9	 	ka Divansförsamiingarne, och man stuiar deraf, att förhandlingar af största wigt stro i werket.	51:64	0:95	ka Divansförsamiingarne , och man stuiar deraf , att förhandlingar af största wigt stro i werket .	9	0:17	ka divansförsamiingarne $ och man stuiar deraf $ att förhandling af stor wigt stro i werket $
förhandling		1829	1	bib13506739_18291001_144030_227_0002_alto.xml-1-48	 	som war, till följd af sitt afskiljda och kringflutna läge, sin bristande rikedom och sina naturföthöllynde i allmänhet mafie iakttaga en i vttersti marto paKiv politik borde man åtminstone ega den fördelen att icke behöfwa se Styrelsens politik rigtas 8t desia » vidsträcktare och mäktiga politiska förhandlingar, som aiiringen aktift monverka ' folkens framgång p8 upvlySnifhenS och frihetens flrSt, eller pasiift nudwerka till ctr sadänt mSt.	300:313	0:445	som war , till följd af sitt afskiljda och kringflutna läge , sin bristande rikedom och sina naturföthöllynde i allmänhet mafie iakttaga en i vttersti marto paKiv politik borde man åtminstone ega den fördelen att icke behöfwa se Styrelsens politik rigtas 8t desia » vidsträcktare och mäktiga politiska förhandlingar , som aiiringen aktift monverka ' folkens framgång p8 upvlySnifhenS och frihetens flrSt , eller pasiift nudwerka till ctr sadänt mSt .	48	0:71	som war $ till följd af sig afskilja och kringfluten läge $ sig brista rikedom och sig naturföthöllynde i allmänhet mafie iaktta en i vttersti marto pakiv politik böra man åtminstone ega den fördel att icke behöfwa se styrelse politik rigtas 8t desia $ vidsträckt och mäktig politisk förhandling $ som aiiringen aktift monverka $ folk framgång p8 upvlysnifhens och frihet flrst $ eller pasiift nudwerka till ctr sadänt mst $
förhandling		1829	1	bib19227291_18290318_145289_12_0001_alto.xml-0-16	 	sward yttrade, det han nri Srars-llrstotrecs äsigrer fann en afgjord böjelse till undseende med styrelsens förhandlingar, pä den stadgade ordningens bekostnad, och Friherren trodde sifl böra fordra, att Utskottet bestämdt förklarar, pä hwilka grunder Revisorernes anmärkningar warit otillbörlig?, eller att Utskottet ät dessa anmärkningar lemnar der afseende, de i annar fall förtjena.	107:120	0:385	sward yttrade , det han nri Srars-llrstotrecs äsigrer fann en afgjord böjelse till undseende med styrelsens förhandlingar , pä den stadgade ordningens bekostnad , och Friherren trodde sifl böra fordra , att Utskottet bestämdt förklarar , pä hwilka grunder Revisorernes anmärkningar warit otillbörlig ? , eller att Utskottet ät dessa anmärkningar lemnar der afseende , de i annar fall förtjena .	16	0:61	sward yttra $ den han nri $ äsigrer finna en afgjord böjelse till undseende med styrelse förhandling $ pä den stadga ordning bekostnad $ och friherre tro sifl böra fordra $ att utskott bestämdt förklara $ pä hwilka grund revisor anmärkning warit otillbörlig $ $ eller att utskott äta denna anmärkning lemna der afseende $ en i annar fall förtjena $
förhandling		1827	1	bib19277346_18271215_147394_49_0003_alto.xml-2-11	 	i detta ögonblick är Frankcrnes skydd och bestärm, har oafbrutit förhandlingar nied de tre makternas Sändebud, hwilka bedrifma pacifikationen.	65:78	0:142	i detta ögonblick är Frankcrnes skydd och bestärm , har oafbrutit förhandlingar nied de tre makternas Sändebud , hwilka bedrifma pacifikationen .	11	0:22	i denna ögonblick vara frankcrnes skydd och bestärm $ ha oafbrutit förhandling nied en tre makt sändebud $ hwilka bedrifma pacifikationen $
