lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
framlida		1827	1	bib11653823_18270115_144010_11_0004_alto.xml-27-55	 	— Slutligen fä wi försäkra, att wi med ali omstrg och sorgfällighet stol. » warda öst om wara lärjungars moralista bildning och fästa en noggrann uppmärksamhet pä deras uppförande, i synnerhet om de ej hafwa nägon enstild handledare, samt att » vi stole wänja ' wara lärjungar wid en i deras framlida lefnadSförhällandc » oundgänglig ordentligbet, och » vid jellin flit, sam icke far öfwergä till en för deras physista och intellectuclla krafter förderflig brädsta och wftvcrdrift; hwariemte wi förbinda osi, att i titz underrätta de föräldrar, som anförtro sine söner ät ivar ledning, o » n desie i följd af en trögare fatmingsgäfwa icke kunna draga fördel af ivar underwisning, eller oaktadt » vära fortsatta sain » vetsgranna och allivarliga bemödanden icke kunna förinas till flit, ordentlighet och goda seder, sa att nägon kostnad för deras härwarande underwisning icke ina ändamälslöst förspillas.	292:300	0:903	— Slutligen fä wi försäkra , att wi med ali omstrg och sorgfällighet stol . » warda öst om wara lärjungars moralista bildning och fästa en noggrann uppmärksamhet pä deras uppförande , i synnerhet om de ej hafwa nägon enstild handledare , samt att » vi stole wänja ' wara lärjungar wid en i deras framlida lefnadSförhällandc » oundgänglig ordentligbet , och » vid jellin flit , sam icke far öfwergä till en för deras physista och intellectuclla krafter förderflig brädsta och wftvcrdrift ; hwariemte wi förbinda osi , att i titz underrätta de föräldrar , som anförtro sine söner ät ivar ledning , o » n desie i följd af en trögare fatmingsgäfwa icke kunna draga fördel af ivar underwisning , eller oaktadt » vära fortsatta sain » vetsgranna och allivarliga bemödanden icke kunna förinas till flit , ordentlighet och goda seder , sa att nägon kostnad för deras härwarande underwisning icke ina ändamälslöst förspillas .	55	0:157	$ slutligen fä wi försäkra $ att wi med ali omstrg och sorgfällighet stol $ $ warda öst om wara lärjunge moralista bildning och fästa en noggrann uppmärksamhet pä de uppförande $ i synnerhet om de ej hafwa nägon enstild handledare $ samt att $ vi stola wänja $ wara lärjunge wid en i de framlida lefnadsförhällandc $ oundgänglig ordentligbet $ och $ vid jellin flit $ simma icke fara öfwergä till en för de physista och intellectuclla kraft förderflig brädsta och wftvcrdrift $ hwariemte wi förbinda osi $ att i titz underrätta en förälder $ som anförtro sine son äta ivar ledning $ o $ n desie i följd af en trög fatmingsgäfwa icke kunna dra fördel af ivar underwisning $ eller oaktadt $ vära fortsätta sain $ vetsgranna och allivarliga bemödande icke kunna förinas till flit $ ordentlighet och god sed $ säga att nägon kostnad för de härwarande underwisning icke i ändamälslöst förspilla $
framlida		1828	1	bib19227291_18280723_145289_30_0003_alto.xml-15-11	 	Nägra hotande moln bortskymma icke ben klara ulssge ten sör Inrättningens framlida bistånd och förkofran.	74:82	0:105	Nägra hotande moln bortskymma icke ben klara ulssge ten sör Inrättningens framlida bistånd och förkofran .	11	0:16	nägra hota moln bortskymma icke ben klara ulssge t sör inrättning framlida bistånd och förkofran $
framlida		1804	1	bib19225772_18040829_148004_100_0004_alto.xml-2-62	 	Qm någon, som äger habilite till Glasbruks anläggning och tom man äflven önstade förenade (Elefi gher ef en snäll Glasblåsare, were hågad il ga ackord om ett dylikt Bruks uppförande i Strömstads trakten, kun ben af HrkLars Claetzoni Götheborg ervalla närmare underrättelse om stället famr Manne » med hwilken en mera fkickelig Sökande torde winna ett för sin framlid nog förmånligt ackord.	359:366	0:389	Qm någon , som äger habilite till Glasbruks anläggning och tom man äflven önstade förenade ( Elefi gher ef en snäll Glasblåsare , were hågad il ga ackord om ett dylikt Bruks uppförande i Strömstads trakten , kun ben af HrkLars Claetzoni Götheborg ervalla närmare underrättelse om stället famr Manne » med hwilken en mera fkickelig Sökande torde winna ett för sin framlid nog förmånligt ackord .	62	0:67	qm någon $ som äga habilite till glasbruk anläggning och tom man äflven önstade förena $ elefi gher ef en snäll glasblåsare $ were hågad il ga ackord om en dylik bruk uppförande i strömstad trakt $ kun ben af hrklars claetzoni götheborg ervalla nära underrättelse om ställ famr manne $ med hwilken en mera fkickelig sökande torde winna en för sig framlida nog förmånlig ackord $
framlida		1822	1	bib13506739_18220215_144030_39_0003_alto.xml-2-15	 	.j cn ii & lt; Z stället Enligt det af BorgenSrerne uti Konkursen cttcr framlidne HrKommerse-RZdet Z.	72:81	0:101	.j cn ii & lt ; Z stället Enligt det af BorgenSrerne uti Konkursen cttcr framlidne HrKommerse-RZdet Z .	15	0:19	$ cn ii $ lt $ z ställ enligt den af borgensrerne uti konkurs cttcr framlida $ z $
framlida		1827	1	bib19225772_18271030_148004_126_0002_alto.xml-7-41	 	tillständ, utfärdade och i allmänna Tidningarne införde Kungörelse, hwarigenom delägarnc uti Släderneö Fond kallas alt den z instundande December ö allmän extra sammankomst sig i Stockholm infinna, för att öfwerlägga och bestuka om utwägar till försäkrande af Fondens framlida besiänd, äffat, det berörde Kungörelse, genom Magistratens försorg, mätte meddelas samtlige agare af sädane hus här i Staden, som äro uti nämnde Werk asiecurerade; och dä bland desie hus flere allmanne funnos, tillhörige dels Kongl.	268:276	0:509	tillständ , utfärdade och i allmänna Tidningarne införde Kungörelse , hwarigenom delägarnc uti Släderneö Fond kallas alt den z instundande December ö allmän extra sammankomst sig i Stockholm infinna , för att öfwerlägga och bestuka om utwägar till försäkrande af Fondens framlida besiänd , äffat , det berörde Kungörelse , genom Magistratens försorg , mätte meddelas samtlige agare af sädane hus här i Staden , som äro uti nämnde Werk asiecurerade ; och dä bland desie hus flere allmanne funnos , tillhörige dels Kongl .	41	0:85	till $ utfärda och i allmän tidning införa kungörelse $ hwarigenom delägarnc uti släderneö fond kalla alt den z instunda december ö allmän extra sammankomst sig i stockholm infinna $ för att öfwerlägga och bestuka om utwägar till försäkra af fond framlida besiänd $ äffat $ den beröra kungörelse $ genom magistrat försorg $ mäta meddela samtlig agare af sädane hus här i stad $ som äro uti nämna werk asiecurerade $ och dä bland desie hus flere allmanne funnos $ tillhörig dels kongl $
framlida		1830	1	bib19225792_18300612_147359_24_0008_alto.xml-0-13	 	De, som wid Auctionen pä Underäs den z och 9 dennes ä framlidna Enkefru SankesionS Lösörebo gjort inrop, behagade ju förr desto hellre afhemta räkningar dera pä Commerce-Radet Gantesions Conior.	54:63	0:194	De , som wid Auctionen pä Underäs den z och 9 dennes ä framlidna Enkefru SankesionS Lösörebo gjort inrop , behagade ju förr desto hellre afhemta räkningar dera pä Commerce-Radet Gantesions Conior .	13	0:33	de $ som wid auctionen pä underäs den z och 9 denna ä framlida enkefru sankesions lösörebo göra inrop $ behaga ju förr desto gärna afhemta räkning dera pä $ gantesions conior $
framlida		1811	1	bib13506739_18110608_144030_131_0008_alto.xml-10-23	 	Om nägon som äger förmögenhet, med ert ömt h&gt; crta och kärlek för att roit a uppfostra ett Barn till teh framlida bärgning, wille emottaga en dygdig Flicka pä n:te äret till uppfostran, fo ': i r.djn warit tiJfjsn tid hällen uli Helpension, hon är Moderlös och har endast en gammal rbemdlad Zader, men wiil öndcck sä länge han leswer, betala hwarje Qwa tal 10 3ib.	108:116	0:367	Om nägon som äger förmögenhet , med ert ömt h&gt ; crta och kärlek för att roit a uppfostra ett Barn till teh framlida bärgning , wille emottaga en dygdig Flicka pä n:te äret till uppfostran , fo ' : i r.djn warit tiJfjsn tid hällen uli Helpension , hon är Moderlös och har endast en gammal rbemdlad Zader , men wiil öndcck sä länge han leswer , betala hwarje Qwa tal 10 3ib .	23	0:75	om nägon som äga förmögenhet $ med ni öm $ $ crta och kärlek för att roit a uppfostra en barn till teh framlida bärgning $ wille emotta en dygdig flicka pä $ äret till uppfostran $ fo $ $ i $ warit tijfjsn tid häll uli helpension $ hon vara moderlös och ha endast en gammal rbemdlad zader $ men wiil öndcck sä länge han leswer $ betala hwarje qwa tal 10 3ib $
framlida		1809	1	bib19225772_18091205_148004_139_0002_alto.xml-6-9	 	Denna Ulla obetydliga händelse war första orsaken till Rudolphs framlid »	64:71	0:73	Denna Ulla obetydliga händelse war första orsaken till Rudolphs framlid »	9	0:11	denna ulla obetydlig händelse war första orsak till rudolphs framlida $
framlida		1830	1	bib13506739_18301112_144030_263_0004_alto.xml-14-47	 	— Fasta » sjelfwe närwarande, kunde de dock i anseende till den owanliga mängd af Åhörare, fom hedrade denna Likfärd, ej blikwa wittne till detta säkert sköna; och hwilket alltid blifwer en heder, mera för Hr öfwer-Hof.Pred., än ät de » framlidne » älflade minne.	237:246	0:263	— Fasta » sjelfwe närwarande , kunde de dock i anseende till den owanliga mängd af Åhörare , fom hedrade denna Likfärd , ej blikwa wittne till detta säkert sköna ; och hwilket alltid blifwer en heder , mera för Hr öfwer-Hof.Pred. , än ät de » framlidne » älflade minne .	47	0:52	$ fast $ sjelfwe närwarande $ kunna de dock i anseende till den owanliga mängd af åhörare $ få hedra denna likfärd $ ej blikwa wittne till denna säker skön $ och hwilket alltid blifwer en heder $ mera för hr $ $ än äta en $ framlida $ älflade minne $
framlida		1827	1	bib19227291_18271114_145289_46_0002_alto.xml-0-81	 	fcrar, samt Förwaltningen i allmänhet fallas pa bell huShållsaktigaste sot - Att minskning i års-afgif, en mätte aga rum för enwänings och andra mindre hus i jämförelse med större — Att någon fördel mä pä lika sätt tillskyndas numarande delägare för deras redan werkstålda insatser — Att försäkringswärdet mä bestämmas pä sa enkelt sätt som möjligt - och att anstalt mä midtagas dels för jemkning af Försäkrings wärdet ä en del redan assecurerade hus och dels till säkerhet i framliden mot försäkring utöfwer werkliga försäljningswärdet, i hwilka afseenden delägarns inom hwarje Stad synes böra anlitas.	476:485	0:603	fcrar , samt Förwaltningen i allmänhet fallas pa bell huShållsaktigaste sot - Att minskning i års-afgif , en mätte aga rum för enwänings och andra mindre hus i jämförelse med större — Att någon fördel mä pä lika sätt tillskyndas numarande delägare för deras redan werkstålda insatser — Att försäkringswärdet mä bestämmas pä sa enkelt sätt som möjligt - och att anstalt mä midtagas dels för jemkning af Försäkrings wärdet ä en del redan assecurerade hus och dels till säkerhet i framliden mot försäkring utöfwer werkliga försäljningswärdet , i hwilka afseenden delägarns inom hwarje Stad synes böra anlitas .	81	0:99	fcrar $ samt förwaltningen i allmänhet falla pa bell hushållsaktig sot $ att minskning i $ $ man mäta aga rum för enwänings och andra liten hus i jämförelse med stor $ att någon fördel mä pä lika sätt tillskynda numarande delägare för de redan werkstålda insats $ att försäkrings mä bestämma pä säga enkel sätt som möjlig $ och att anstalt mä midtagas dels för jemkning af försäkring wärdet ä en del redan assecurerade hus och dels till säkerhet i framlida mot försäkring utöfwer werkliga försäljnings $ i hwilka afseende delägarns inom hwarje stad synas böra anlita $
