lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
gagn		1800	1	bib19225772_18000604_148004_62_0007_alto.xml-3-6	 	— Detze mina tankar för Rikets gagn, för mine trogne Uaderfätares walfard, stola ätfölja Utstottets Betankande; jag har mig an ytterligare förbehällit at efter bestaffenheten af det Beslut, Standerne fatta i hwad til deras afgörande afgär, kunna lemna Eder och esterwerlden et nytt och öswertygande wedcrmale af min önstan och föresats at befrämja DratzelVerkets säkerhet och upratthällande, sä widt manstlig försigtighet kan förutse händelfer och misiöden och förmä at dem förekomma.	31:35	0:484	— Detze mina tankar för Rikets gagn , för mine trogne Uaderfätares walfard , stola ätfölja Utstottets Betankande ; jag har mig an ytterligare förbehällit at efter bestaffenheten af det Beslut , Standerne fatta i hwad til deras afgörande afgär , kunna lemna Eder och esterwerlden et nytt och öswertygande wedcrmale af min önstan och föresats at befrämja DratzelVerkets säkerhet och upratthällande , sä widt manstlig försigtighet kan förutse händelfer och misiöden och förmä at dem förekomma .	6	0:78	$ detze jag tank för rike gagn $ för mine trogen uaderfätares walfard $ stola ätfölja utstottets betankande $ jag ha jag an ytterlig förbehällit at efter bestaffenheten af den beslut $ standerne fatta i hwad til de afgöra afgär $ kunna lemna ni och esterwerlden et ny och öswertygande wedcrmale af jag önstan och föresats at befrämja dratzelverkets säkerhet och upratthällande $ sä widt manstlig försigtighet kunna förutse händelfer och misiöden och förmä at de förekomma $
gagn		1812	1	bib11653828_18120219_144028_41_0002_alto.xml-2-48	 	Men än en gäng widröreS i undersökningen" den fläda, som bäde Norarne och Soldaten siola lida geiwni hans commeNdcrande till publikt arbet-; ber päsiäs till och med, alt honom derigenom wägras uröfwa sina ädlare pligter närmare sitt hemwist, och att dista pligter i gagn för Slaten öfrverlvager det af honom utkräfva arbete."	266:270	0:325	Men än en gäng widröreS i undersökningen " den fläda , som bäde Norarne och Soldaten siola lida geiwni hans commeNdcrande till publikt arbet- ; ber päsiäs till och med , alt honom derigenom wägras uröfwa sina ädlare pligter närmare sitt hemwist , och att dista pligter i gagn för Slaten öfrverlvager det af honom utkräfva arbete . "	48	0:59	men än en gäng widröres i undersökning $ den fläda $ som bäde norarne och soldat siola lida geiwni han commendcrande till publik $ $ be päsiäs till och med $ alt han derigenom wägras uröfwa sig ädel pligt nära sig hemwist $ och att dista pligt i gagn för slaten öfrverlvager den af han utkräfva arbete $ $
gagn		1813	1	bib13506739_18130317_144030_63_0001_alto.xml-18-5	 	Upplysning, inänsslighii och Statens gagn fordra dä atr en närmare	37:41	0:66	Upplysning , inänsslighii och Statens gagn fordra dä atr en närmare	5	0:11	upplysning $ inänsslighii och stat gagn fordra dä atr en nära
gagn		1829	1	bib19227306_18290107_147700_1_0003_alto.xml-3-4	 	ty man ej nägot gagn kan göra, oin man ej denna lyckan har.	16:20	0:59	ty man ej nägot gagn kan göra , oin man ej denna lyckan har .	4	0:15	ty man ej nägot gagn kunna göra $ oin man ej denna lycka ha $
gagn		1828	1	bib11653823_18281106_144010_260_0001_alto.xml-5-40	 	rus listigaste och uppriktigaste tacksamhet ser walet af en Styresman, hwilken, kraftfull och lugn, lcka wördands 5^o » ungci!S, Fosterlandets och Medbo-gareS alltio oskiljaktiga wäl och rakt, i sin Konungs näd, sitt Foli.nandS gagn, och sine Medborgares tacks^mhe ', sett sine ge.ningar » vitsordad, och skördat den fhrfti belöning för en ädel nian.	228:232	0:350	rus listigaste och uppriktigaste tacksamhet ser walet af en Styresman , hwilken , kraftfull och lugn , lcka wördands 5^o » ungci !S , Fosterlandets och Medbo-gareS alltio oskiljaktiga wäl och rakt , i sin Konungs näd , sitt Foli.nandS gagn , och sine Medborgares tacks^mhe ' , sett sine ge.ningar » vitsordad , och skördat den fhrfti belöning för en ädel nian .	40	0:64	rus listig och uppriktig tacksamhet se walet af en styresman $ hwilken $ kraftfull och lugn $ lcka wördands $ $ ungci $ $ fosterland och $ alltio oskiljaktig wäl och rak $ i sig konung näd $ sig $ gagn $ och sine medborgare $ $ $ se sine $ $ vitsorda $ och skörda den fhrfti belöning för en ädel nia $
gagn		1829	1	bib11653823_18291002_0_228_0003_alto.xml-31-13	 	tid han, enligt denna wår disposition, kommer att Hemmanet till sitt gagn och basta nyttja och brula, answarande han endaft derföre, att de, samma under han » hand ej må blifwa genom wårdSlvSbet winstöit eller förstöidt- BegrafningSkostnad och alla andra utgifter för Sterbhulet » räkning äger Hr Kyrkoherden att » vid sitt afträ » de och wid blifwande flutliga Ärfsdelning af SterbhusetS lillgängar sig godtgöra, ulan afkortning pä den frukl han af Hemmane » njutit.	69:73	0:467	tid han , enligt denna wår disposition , kommer att Hemmanet till sitt gagn och basta nyttja och brula , answarande han endaft derföre , att de , samma under han » hand ej må blifwa genom wårdSlvSbet winstöit eller förstöidt- BegrafningSkostnad och alla andra utgifter för Sterbhulet » räkning äger Hr Kyrkoherden att » vid sitt afträ » de och wid blifwande flutliga Ärfsdelning af SterbhusetS lillgängar sig godtgöra , ulan afkortning pä den frukl han af Hemmane » njutit .	13	0:82	tid han $ enligt denna wår disposition $ komma att hemman till sig gagn och basta nyttja och brula $ answarande han endaft derföre $ att de $ samma under han $ hand ej må blifwa genom wårdslvsbet winstöit eller $ begrafningskostnad och all andra utgift för sterbhulet $ räkning äga hr kyrkoherde att $ vid sig afträ $ de och wid blifwande flutliga ärfsdelning af sterbhus lillgängar sig godtgöra $ ulan afkortning pä den frukl han af hemmane $ njuta $
gagn		1823	1	bib19223423_18230122_145063_7_0003_alto.xml-6-34	 	des att de, ffisoni ej ordinarier, saknade tour-beräkning; här tilläqges, ott de ock soknade pensionsrätt, som, när de wid sin befordran ändtligen wunno den, icke medförde Ssvttadt gagn.	181:185	0:186	des att de , ffisoni ej ordinarier , saknade tour-beräkning ; här tilläqges , ott de ock soknade pensionsrätt , som , när de wid sin befordran ändtligen wunno den , icke medförde Ssvttadt gagn .	34	0:36	des att de $ ffisoni ej ordinarier $ sakna $ $ här tilläqges $ ott de ock soknade pensionsrätt $ som $ när de wid sig befordran ändtligen wunno den $ icke medföra ssvttadt gagn $
gagn		1825	1	bib11653828_18251205_144028_282_0002_alto.xml-0-76	 	att samtycka till Znqvisilisnens ät-ruvprätlande, icke mera äro förbanden, lä blir detta institut onyttigt och ändamälslöst, och Hans Helighet anser det dessutom i närtvärande ögonblick säsom opolitiskt, emedan de lägande passionerna, i förening tued Menflliga swagheten, lätt skulle kunna göra Inqvisitions tribunalct ffadligt i parti, ernns händer, om de aswände del frän ben heliga, ursprungliga afstglen nied dess inrättande, hwarigenom det flulle Åstadkomma mera stada än gagn."	477:481	0:483	att samtycka till Znqvisilisnens ät-ruvprätlande , icke mera äro förbanden , lä blir detta institut onyttigt och ändamälslöst , och Hans Helighet anser det dessutom i närtvärande ögonblick säsom opolitiskt , emedan de lägande passionerna , i förening tued Menflliga swagheten , lätt skulle kunna göra Inqvisitions tribunalct ffadligt i parti , ernns händer , om de aswände del frän ben heliga , ursprungliga afstglen nied dess inrättande , hwarigenom det flulle Åstadkomma mera stada än gagn . "	76	0:79	att samtycka till znqvisilisnens $ $ icke mera äro förband $ lä bli denna institut onyttig och ändamälslöst $ och han helighet anse den dessutom i närtvärande ögonblick säsom opolitisk $ emedan en lägande passion $ i förening tued menflliga swagheten $ lätt skola kunna göra inqvisition tribunalct ffadligt i parti $ ernns hand $ om en aswände del frän ben helig $ ursprunglig afstglen nied den inrättande $ hwarigenom den flulle åstadkomma mera stada än gagn $ $
gagn		1805	1	bib11653828_18050411_144028_84_0004_alto.xml-3-6	 	Det år tor ö-rigk i tet gagn orf; cen redbara upplysning, Föräldrar och Lärare kunna anse sina Barn eller Distiplar hämta af della Nrbcie, loin Utgi, waren sökt si » enda belöning cch sin största tillfleLsställels Eu snyggt ungkarlsrum med de nödwjuvigaste möbler, i Kloralrokten, ästundas nu genast att hyra; underräli '!&gt; e VIII Hyresmannen fäs pä Hr Nordström den Lldr, e Boktryckeri, i huset N:o 49 wid Ny » Kungkho '.	24:28	0:425	Det år tor ö-rigk i tet gagn orf ; cen redbara upplysning , Föräldrar och Lärare kunna anse sina Barn eller Distiplar hämta af della Nrbcie , loin Utgi , waren sökt si » enda belöning cch sin största tillfleLsställels Eu snyggt ungkarlsrum med de nödwjuvigaste möbler , i Kloralrokten , ästundas nu genast att hyra ; underräli ' !&gt ; e VIII Hyresmannen fäs pä Hr Nordström den Lldr , e Boktryckeri , i huset N:o 49 wid Ny » Kungkho ' .	6	0:84	den år tor $ i te gagn orf $ c redbar upplysning $ förälder och lärare kunna anse sig barn eller distiplar hämta af della nrbcie $ loi utgi $ waren söka si $ enda belöning cch sig stor tillflelsställels eu snygg ungkarlsrum med en nödwjuvigaste möbel $ i kloralrokten $ ästundas nu genast att hyra $ underräli $ $ $ e viii hyresman fä pä hr nordström den lldr $ e boktryckeri $ i hus $ 49 wid ny $ kungkho $ $
gagn		1812	1	bib11653825_18120512_145134_55_0004_alto.xml-5-6	 	behof vnyitiee, mm för Privat gagn brukbara,.	30:34	0:45	behof vnyitiee , mm för Privat gagn brukbara , .	6	0:10	behof vnyitiee $ mm för privat gagn brukbar $ $
gagn		1829	1	bib13506739_18290328_144030_72_0001_alto.xml-7-45	 	FrZn denna sida syntes det ingalunda likgiltigt, om desiucet lipphäfdes — och man trodde, att en i!in utw.-ci?ii » g w gtig vrincrpe oftast re ward mera uppmärksamhet än den alltid sw^rr och osäkert uppgjorda b ' räkningen ' räkningen af gagnet för det närwarand».ögonblicket.	238:244	0:276	FrZn denna sida syntes det ingalunda likgiltigt , om desiucet lipphäfdes — och man trodde , att en i !in utw.-ci ?ii » g w gtig vrincrpe oftast re ward mera uppmärksamhet än den alltid sw^rr och osäkert uppgjorda b ' räkningen ' räkningen af gagnet för det närwarand».ögonblicket .	45	0:50	frzn denna sida synas den ingalunda likgiltig $ om desiucet lipphäfdes $ och man tro $ att en i $ $ $ $ g w gtig vrincrpe ofta re ward mera uppmärksamhet än den alltid $ och osäker $ b $ räkning $ räkning af gagn för den $ $
gagn		1806	1	bib13506739_18061219_144030_293_0006_alto.xml-3-27	 	lär » irara vmtänkte att göra stna Barn nugot nöje, har man n?elat genom sädune tillredningar lemna tät till ett medel, som » werkltgt gagn torde finnas swara mvt mänga andra ämnen som wid detta ulIfäBc •nmitfo *.	135:139	0:213	lär » irara vmtänkte att göra stna Barn nugot nöje , har man n ?elat genom sädune tillredningar lemna tät till ett medel , som » werkltgt gagn torde finnas swara mvt mänga andra ämnen som wid detta ulIfäBc •nmitfo * .	27	0:42	lär $ irara vmtänkte att göra stna barn nugot nöje $ ha man n $ genom sädune tillredning lemna tät till en medel $ som $ werkltgt gagn torde finna swara mvt mänga andra ämne som wid denna ulifäbc $ $ $
gagn		1810	1	bib11653828_18101205_144028_285_0004_alto.xml-2-75	 	Do t nr till förmodande att Ladet de valich, font cjjcri sig kand for älfiillige npttige uppfinningar, torde lila » belöning benäget uppgifw en fullständig befirifning pä sattet, sä mai att tillreda soll, tionen, svin huru ben lör nyttjas till ändamålets minnande, om Lonna upplvsning hos honom sökes; meri oni ock » ägon wcoorgällnixg ffulle fordras, borde den ej sparas för en uvptäckt som medförde sä allmänt gagn.	412:416	0:417	Do t nr till förmodande att Ladet de valich , font cjjcri sig kand for älfiillige npttige uppfinningar , torde lila » belöning benäget uppgifw en fullständig befirifning pä sattet , sä mai att tillreda soll , tionen , svin huru ben lör nyttjas till ändamålets minnande , om Lonna upplvsning hos honom sökes ; meri oni ock » ägon wcoorgällnixg ffulle fordras , borde den ej sparas för en uvptäckt som medförde sä allmänt gagn .	75	0:77	do t nr till förmodande att lad de valich $ font cjjcri sig kand for älfiillige npttige uppfinning $ torde lila $ belöning benägen uppgifw en fullständig befirifning pä sattet $ sä mai att tillreda soll $ tion $ svin huru ben lör nyttja till ändamål minnande $ om lonna upplvsning hos han söka $ meri oni ock $ ägon wcoorgällnixg ffulle fordra $ böra den ej spara för en uvptäckt som medföra sä allmän gagn $
gagn		1796	1	bib11653828_17960222_144028_43_0004_alto.xml-0-29	 	Ni hade inte sä brodd om; ffcfre efter min raklapp, — tanker resa nr.sian; brukar eljest inte sädant hemmä — en bie papper gör samma gagn.	133:137	0:138	Ni hade inte sä brodd om ; ffcfre efter min raklapp , — tanker resa nr .sian ; brukar eljest inte sädant hemmä — en bie papper gör samma gagn .	29	0:31	ni ha inte sä brodd om $ ffcfre efter jag raklapp $ $ tanker resa nr $ $ bruka eljest inte sädant hemmä $ en bie papper göra samma gagn $
gagn		1826	1	bib13506739_18260628_144030_135_0007_alto.xml-19-15	 	wilja för att lära hwad honom I ett eller annat afseende ka » bljswa till gagn.	74:78	0:79	wilja för att lära hwad honom I ett eller annat afseende ka » bljswa till gagn .	15	0:17	wilja för att lära hwad han i en eller annan afseende ka $ bljswa till gagn $
gagn		1803	1	bib19520388_18030406_147487_14_0003_alto.xml-2-26	 	Det är en billig fordran, akt wertenstavernes idkare böra ivid all theori, ej blott bafwa den systematista nyttan till ändamål, utan äfiven desi gagn, brukbarhet och anwandande i allmänna lefwerner Me » sä har det ltkwal ej alkid stelt.	145:149	0:236	Det är en billig fordran , akt wertenstavernes idkare böra ivid all theori , ej blott bafwa den systematista nyttan till ändamål , utan äfiven desi gagn , brukbarhet och anwandande i allmänna lefwerner Me » sä har det ltkwal ej alkid stelt .	26	0:44	den vara en billig fordran $ akt wertenstavernes idkare böra ivid all theori $ ej blott bafwa den systematista nytta till ändamål $ utan äfiven desi gagn $ brukbarhet och anwandande i allmän lefwerner me $ sä ha den ltkwal ej alkid stel $
gagn		1810	1	bib13506739_18100913_144030_214_0002_alto.xml-6-20	 	" iorde man kunna anmäla den starf som man genom beswäret och omkostnaden med denna inrättning welat offra till Fäderneslandets gagn.	128:132	0:133	" iorde man kunna anmäla den starf som man genom beswäret och omkostnaden med denna inrättning welat offra till Fäderneslandets gagn .	20	0:22	$ iorde man kunna anmäla den starf som man genom beswäret och omkostnad med denna inrättning welat offra till fädernesland gagn $
