lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
gloria		1823	1	bib19223423_18230510_145063_38_0002_alto.xml-6-28	 	Jag solblind bless af Zlärvens löga, Sam wäbligt stammar i ditt tjäll: Nu, — lät Lin gamla wän dig fräga; Är du t denna Gloria fäll?	120:126	0:132	Jag solblind bless af Zlärvens löga , Sam wäbligt stammar i ditt tjäll : Nu , — lät Lin gamla wän dig fräga ; Är du t denna Gloria fäll ?	28	0:31	jag solblind bless af zlärvens löga $ sam wäbligt stamma i du tjäll $ nu $ $ låta lin gammal wän du fräga $ vara du t denna gloria fäll $
gloria		1826	1	bib11653828_18261028_144028_251_0004_alto.xml-7-47	 	I^isrio fluminenje af den 12 Juli, enligt hwilkcn Portugisista lmiesteppet D. Zoao VI med det snaraste stulle afsegla frän Rio till Livorno, för att afhemta Dom Mt » gucl och med honom äterwända till Brasilien, der dans förmälning med den unga Drottningen Dona.Maria da Gloria stulle försiggä.	270:276	0:293	I^isrio fluminenje af den 12 Juli , enligt hwilkcn Portugisista lmiesteppet D. Zoao VI med det snaraste stulle afsegla frän Rio till Livorno , för att afhemta Dom Mt » gucl och med honom äterwända till Brasilien , der dans förmälning med den unga Drottningen Dona.Maria da Gloria stulle försiggä .	47	0:51	$ fluminenje af den 12 juli $ enligt hwilkcn portugisista lmiesteppet $ zoao vi med den snar stulle afsegla frän rio till livorno $ för att afhemta en mt $ gucl och med han äterwända till brasilien $ der dans förmälning med den ung drottning $ da gloria stulle försiggä $
gloria		1822	1	bib11653828_18220604_144028_127_0003_alto.xml-14-19	 	ligger en ung flicka, soln föreställer den heliga jungfrun pä sotsängen, med en stor, klart strälande gloria och mänga moln i fonden; omkring hennes bädd ligga 12 karlar pä knä, som föreställa de 12 apostlarna.	102:108	0:210	ligger en ung flicka , soln föreställer den heliga jungfrun pä sotsängen , med en stor , klart strälande gloria och mänga moln i fonden ; omkring hennes bädd ligga 12 karlar pä knä , som föreställa de 12 apostlarna .	19	0:41	ligga en ung flicka $ soln föreställa den helig jungfru pä sotsäng $ med en stor $ klar strälande gloria och mänga moln i fond $ omkring hon bädd ligga 12 karl pä knä $ som föreställa en 12 apostel $
gloria		1820	1	bib11653825_18200821_145134_92_0002_alto.xml-3-4	 	hnfwild omstralades af en gloria, i högra handen höll hon en fana, och frän hennes skuldror nedföll en witz siden-mantel.	26:32	0:121	hnfwild omstralades af en gloria , i högra handen höll hon en fana , och frän hennes skuldror nedföll en witz siden-mantel .	4	0:23	hnfwild omstralades af en gloria $ i höger hand hålla hon en fana $ och frän hon skuldra nedfalla en witz $ $
gloria		1819	1	bib19225772_18191116_148004_132_0001_alto.xml-10-24	 	med öfwersirjsk star iur (warde ljus) Allt detta fö-swalin iiiiedlertid med nämnda dag, och ritningen har nu hwarken allegorin, eller glorian, eller något tecken till tjus.	134:141	0:172	med öfwersirjsk star iur ( warde ljus ) Allt detta fö-swalin iiiiedlertid med nämnda dag , och ritningen har nu hwarken allegorin , eller glorian , eller något tecken till tjus .	24	0:32	med öfwersirjsk star iur $ warde ljus $ all denna $ iiiiedlertid med nämna dag $ och ritning ha nu hwarken allegori $ eller gloria $ eller någon tecken till tjus $
gloria		1828	1	bib11653823_18280827_144010_199_0002_alto.xml-13-17	 	Kejsar Don Pedro att till Ligabon öfwerfficka ben rättmätiga arfwingen kill Portugals thron, Donna Maria Da Gloria, ätföljd af en Junka af ansedda män.	108:114	0:151	Kejsar Don Pedro att till Ligabon öfwerfficka ben rättmätiga arfwingen kill Portugals thron , Donna Maria Da Gloria , ätföljd af en Junka af ansedda män .	17	0:27	kejsar don pedro att till ligabon öfwerfficka ben rättmätig arfwingen kill portugal thron $ donna maria da gloria $ ätföljd af en junka af anse man $
gloria		1830	1	bib11653823_18300305_144010_53_0002_alto.xml-15-35	 	— Förre Brasilianste Ambassadenren i London, ' Bizeonde de Jrabapana, har anländt hit frän Dr usiel, och begifwer sig härifrän till Dref?, der han wäntar fre§atten Donna Maria d » Gloria, hwilken frän Brasilien dirför den iinga Hertiginnan af Göpås, natrirlig dotter af Kejsaren af Drasilien och Marquisinnan af Santos, och hwars uppfostran stall widare otiibeförjaö i Frankrike.	180:186	0:379	— Förre Brasilianste Ambassadenren i London , ' Bizeonde de Jrabapana , har anländt hit frän Dr usiel , och begifwer sig härifrän till Dref ? , der han wäntar fre§atten Donna Maria d » Gloria , hwilken frän Brasilien dirför den iinga Hertiginnan af Göpås , natrirlig dotter af Kejsaren af Drasilien och Marquisinnan af Santos , och hwars uppfostran stall widare otiibeförjaö i Frankrike .	35	0:67	$ förra brasilianste ambassadenren i london $ $ bizeonde de jrabapana $ ha anländt hit frän dr usiel $ och begifwer sig härifrän till dref $ $ der han wäntar $ donna maria d $ gloria $ hwilken frän brasilien dirför den iinga hertiginna af göpås $ natrirlig dotter af kejsare af drasilien och marquisinnan af santos $ och hwars uppfostran stall widare otiibeförjaö i frankrike $
gloria		1823	1	bib11653828_18230326_144028_70_0003_alto.xml-7-1	 	Hans gloria sprider ljus öfwer alla föremälen och kastar en mild rofenstimmcr icke endast öfwer hans krovv, utan äfwcn öfwer Englarne, solli kommit att wara wittncn till hans utgäng frän grafwen.	5:11	0:195	Hans gloria sprider ljus öfwer alla föremälen och kastar en mild rofenstimmcr icke endast öfwer hans krovv , utan äfwcn öfwer Englarne , solli kommit att wara wittncn till hans utgäng frän grafwen .	1	0:34	han gloria sprida ljus öfwer all föremälen och kasta en mild rofenstimmcr icke endast öfwer han krovv $ utan äfwcn öfwer engel $ solli komma att wara wittncn till han utgäng frän grafwen $
gloria		1825	1	bib13506739_18250131_144030_24_0001_alto.xml-1-23	 	ren och pr-fi fitn måste rin.jj i, ed klockan för att stilla det uppkomna bullret, men tattlren ' rrble wid sin gloria liknelse och understöddes I fin proposition af en l&lt; daa-ot.	112:118	0:182	ren och pr-fi fitn måste rin.jj i , ed klockan för att stilla det uppkomna bullret , men tattlren ' rrble wid sin gloria liknelse och understöddes I fin proposition af en l&lt ; daa-ot .	23	0:36	ren och $ fitn måste $ i $ ed klocka för att stilla den uppkomma buller $ men tattlren $ rrble wid sig gloria liknelse och understödja i fin proposition af en $ $ $ $
gloria		1830	1	bib13506739_18300920_144030_217_0002_alto.xml-13-15	 	7) En Eclipse uti blå, grön och röd eld, stutande i en Gloria.	55:61	0:62	7 ) En Eclipse uti blå , grön och röd eld , stutande i en Gloria .	15	0:17	7 $ en eclipse uti blå $ grön och röd eld $ stuta i en gloria $
gloria		1828	1	bib11653823_18281009_144010_236_0002_alto.xml-13-52	 	Bräftlianste Kejsarens proklamation till Portugisiska Fo?ket börjas med följande ord:" Det ar ej k egettstap af Eder Konung jerg nu tillta » mr Eder » nu sedan min afsägelse är formligen förkunnad, utön såsom Fader till och Förmyndare fSv Eder lagliga Drottning och Rtgcntinna, Donna Moria da Gloria."	293:299	0:301	Bräftlianste Kejsarens proklamation till Portugisiska Fo ?ket börjas med följande ord : " Det ar ej k egettstap af Eder Konung jerg nu tillta » mr Eder » nu sedan min afsägelse är formligen förkunnad , utön såsom Fader till och Förmyndare fSv Eder lagliga Drottning och Rtgcntinna , Donna Moria da Gloria . "	52	0:55	bräftlianste kejsare proklamation till portugisisk fo $ börja med följa ord $ $ den ar ej k egettstap af ni konung jerg nu tillta $ mr ni $ nu sedan jag afsägelse vara formligen förkunna $ utö såsom fader till och förmyndare fsv ni laglig drottning och rtgcntinna $ donna moria da gloria $ $
gloria		1824	1	bib11653828_18240520_144028_116_0003_alto.xml-10-46	 	owilkorligen herrsta, och olli wi bulle tänka oss planen till en sädan tafla, skulle wi föreställa oss modren nied sitt barn, i förklarad gestalt med himmelsk frid och glans i sitt wäsende, swäfwa öfwer de kära minnen hon gwarlcmnat pä jorden och glorian af hennes uppenbarelse sträla ned öfwer de smä lif röet ö gäster, som man kunde efter behag läka se eller icke fe den borlgängna modren, hwilken dock alltid efter wär tanka borde wara hufwudfigurcn.	247:254	0:453	owilkorligen herrsta , och olli wi bulle tänka oss planen till en sädan tafla , skulle wi föreställa oss modren nied sitt barn , i förklarad gestalt med himmelsk frid och glans i sitt wäsende , swäfwa öfwer de kära minnen hon gwarlcmnat pä jorden och glorian af hennes uppenbarelse sträla ned öfwer de smä lif röet ö gäster , som man kunde efter behag läka se eller icke fe den borlgängna modren , hwilken dock alltid efter wär tanka borde wara hufwudfigurcn .	46	0:84	owilkorligen herrsta $ och olli wi bulle tänka vi plan till en sädan tafla $ skola wi föreställa vi modren nied sig barn $ i förklara gestalt med himmelsk frid och glans i sig wäsende $ swäfwa öfwer en kär minne hon gwarlcmnat pä jord och gloria af hon uppenbarelse sträla ned öfwer en smä lif rö ö gäst $ som man kunna efter behag läka se eller icke fe den borlgängna modren $ hwilken dock alltid efter wär tanka böra wara hufwudfigurcn $
gloria		1824	1	bib11653828_18240110_144028_7_0002_alto.xml-6-25	 	som kalla sig deras wänner, som bortstjäla deras förtroende, huru hafwa icke de bemödat sig, att nedsätta deras wärde, att befläcka glorian af deras majestät!	132:139	0:158	som kalla sig deras wänner , som bortstjäla deras förtroende , huru hafwa icke de bemödat sig , att nedsätta deras wärde , att befläcka glorian af deras majestät !	25	0:30	som kalla sig de wänner $ som bortstjäla de förtroende $ huru hafwa icke de $ sig $ att nedsätta de wärde $ att befläcka gloria af de majestät $
