lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
granskare		1818	1	bib11653828_18180312_144028_59_0004_alto.xml-7-17	 	fatta^en, en lockli » elev as Herder, med wärci-het recenserad of någon sakkunnig och länkande Granskare inom tvär, Fädernesland.	95:104	0:129	fatta^en , en lockli » elev as Herder , med wärci-het recenserad of någon sakkunnig och länkande Granskare inom tvär , Fädernesland .	17	0:23	$ $ en lockli $ elev as herder $ med $ recensera of någon sakkunnig och länka granskare inom tvär $ fädernesland $
granskare		1826	1	bib11653828_18260828_144028_198_0003_alto.xml-1-42	 	Hwar och en sam bebagar genomläsa recensionen af Ferdinand Cortez uti Neri- 143, 147 och 151 af detta blad, ftall smärligen deri upptäcka ett enda oro eller en enda mening, seni kan anses stötande, hwarföre ocksä författaren uti Granskaren N-o 52 högligen förtrhter det moderata och paölonfria s » amsiä:lnin.qssätt«t deri, hwilket dan anser" förtjena den flarpaste tillrättawiSning."	229:239	0:384	Hwar och en sam bebagar genomläsa recensionen af Ferdinand Cortez uti Neri- 143 , 147 och 151 af detta blad , ftall smärligen deri upptäcka ett enda oro eller en enda mening , seni kan anses stötande , hwarföre ocksä författaren uti Granskaren N-o 52 högligen förtrhter det moderata och paölonfria s » amsiä:lnin.qssätt«t deri , hwilket dan anser " förtjena den flarpaste tillrättawiSning . "	42	0:66	hwar och man simma bebagar genomläsa recension af ferdinand cortez uti $ 143 $ 147 och 151 af denna blad $ ftall smärligen deri upptäcka en enda oro eller en enda mening $ seni kunna anse stötande $ hwarföre ocksä författare uti granskare $ 52 högligen förtrhter den moderat och paölonfria s $ $ deri $ hwilket dag anse $ förtjena den flarpaste tillrättawisning $ $
granskare		1825	1	bib19277277_18250425_147682_93_0002_alto.xml-18-1	 	Af Granskaren fix i Sixdost och för i morgon fäs lösa exemplar uti Biörnstähls Bokl8da, efter 4 sk. B:k » arket.	3:13	0:112	Af Granskaren fix i Sixdost och för i morgon fäs lösa exemplar uti Biörnstähls Bokl8da , efter 4 sk. B:k » arket .	1	0:23	af granskare fix i sixdost och för i morgon fä lös exemplar uti biörnstähls bo $ efter 4 $ $ $ ark $
granskare		1815	1	bib11653828_18150626_144028_144_0002_alto.xml-3-43	 	syfta icke allenast de framföre hwarje säng meddelade innehäll af de ämnen sam » cr fortkomma, utan ock de wid flutet af Sängcrna lillagde anmärkningar, för hwil, ka i sörctalet rcdowisas, och hwilka, i anledning dels af framfarna granskares, sardeltS Addifons och Teil.tcS sällda omdömen,.dels af Lfwersättarens egna starpsynta ur, kill.	231:241	0:338	syfta icke allenast de framföre hwarje säng meddelade innehäll af de ämnen sam » cr fortkomma , utan ock de wid flutet af Sängcrna lillagde anmärkningar , för hwil , ka i sörctalet rcdowisas , och hwilka , i anledning dels af framfarna granskares , sardeltS Addifons och Teil.tcS sällda omdömen , .dels af Lfwersättarens egna starpsynta ur , kill .	43	0:61	syfta icke allenast en framföre hwarje säng meddela innehäll af en ämne simma $ cr fortkomma $ utan ock de wid flyta af sängcrna lillagde anmärkning $ för hwil $ ka i sörctalet rcdowisas $ och hwilka $ i anledning dels af framfaren granskare $ sardelts addifons och $ sällda omdöme $ $ af lfwersättarens egen starpsynta ur $ kille $
granskare		1823	1	bib13506739_18231227_144030_299_0003_alto.xml-1-2	 	Pä Tidningen Granskaren för är 182t kan i Björnstähl5 Bokhandel mid Stortorget prenumereras med 5 R:dr Biko och pä alla Post-Kontor t orterna med 7 R:dr samma mynt, PostwerketS arfwode inde räknadt.	13:23	0:198	Pä Tidningen Granskaren för är 182t kan i Björnstähl5 Bokhandel mid Stortorget prenumereras med 5 R:dr Biko och pä alla Post-Kontor t orterna med 7 R:dr samma mynt , PostwerketS arfwode inde räknadt .	2	0:34	pä tidning granskare för vara 182t kunna i björnstähl5 bokhandel mid stortorg prenumerera med 5 $ biko och pä all $ t ort med 7 $ samma mynt $ postwerkets arfwode inde räknadt $
granskare		1803	1	bib11653828_18030309_144028_55_0003_alto.xml-6-59	 	petins swar war sträft-" Jag har, sade han, upptäckt tusen sel i denna Historia.^ En annan än Mezerai ffulle ka » hända blifwic bestört och förlorat all fattning wid ett sä oförniodait swar; men han log och sade med en mild ironijk ton:" Jag har sjelf nxi » rit cn ckndä mera sträng Granskare an ni; tp jag har snnnit tmä tusens Digst sade att, efter hans erfarenhet, war bäiia tiden att köpa böcker dagen före och dagen efter stora Fester.	283:292	0:440	petins swar war sträft- " Jag har , sade han , upptäckt tusen sel i denna Historia.^ En annan än Mezerai ffulle ka » hända blifwic bestört och förlorat all fattning wid ett sä oförniodait swar ; men han log och sade med en mild ironijk ton : " Jag har sjelf nxi » rit cn ckndä mera sträng Granskare an ni ; tp jag har snnnit tmä tusens Digst sade att , efter hans erfarenhet , war bäiia tiden att köpa böcker dagen före och dagen efter stora Fester .	59	0:91	peti swar war $ $ jag ha $ säga han $ upptäcka tusen sel i denna $ en annan än mezerai ffulle ka $ hända blifwic bestört och förlora all fattning wid en sä oförniodait swar $ men han le och säga med en mild ironijk ton $ $ jag ha sjelf nxi $ rit cn ckndä mera sträng granskare an ni $ tp jag ha snnnit tmä tusen digst säga att $ efter han erfarenhet $ war bäiia tid att köpa bok dag före och dag efter stor fest $
granskare		1791	1	bib11653828_17910412_144028_84_0002_alto.xml-1-47	 	Läsarens förbindelse ökades ännu iner, om äswen i Posten träffades reflexioner, eris tiguer (ordet i sin rälta mening begripit) Sswer andra ämne » som förekomma Allmän » berens ögon och, i samma mohn de werka pä smaken, berättiga Kännare » och Granskaren at meddela sitt omdöme.	244:254	0:278	Läsarens förbindelse ökades ännu iner , om äswen i Posten träffades reflexioner , eris tiguer ( ordet i sin rälta mening begripit ) Sswer andra ämne » som förekomma Allmän » berens ögon och , i samma mohn de werka pä smaken , berättiga Kännare » och Granskaren at meddela sitt omdöme .	47	0:53	läsare förbindelse öka ännu iner $ om äswen i post träffa reflexion $ eris tiguer $ ord i sig rälta mening begripa $ sswer andra ämne $ som förekomma allmän $ berens öga och $ i samma mohn en werka pä smak $ berättiga kännare $ och granskare at meddela sig omdöme $
granskare		1824	1	bib13506739_18240913_144030_212_0003_alto.xml-1-2	 	och o.räldlge granskares omdömen, dä de kunna sätta honom i tillfälle att framdeles giswa.tr större fullkvmlighet ät delta stag » arbeten, fom i betydlig män stänka hensm trist ock lättnad under oftast l »" ga EmbetSmödor.	14:24	0:222	och o.räldlge granskares omdömen , dä de kunna sätta honom i tillfälle att framdeles giswa .tr större fullkvmlighet ät delta stag » arbeten , fom i betydlig män stänka hensm trist ock lättnad under oftast l » " ga EmbetSmödor .	2	0:41	och $ granskare omdöme $ dä de kunna sätta han i tillfälle att framdeles giswa $ stor fullkvmlighet äta delta stag $ arbete $ få i betydlig man stänka hensm trist ock lättnad under ofta l $ $ ga embetsmödor $
granskare		1826	1	bib11653828_18260911_144028_210_0006_alto.xml-4-38	 	Häraf torde synas, att den ringa del af tadel, mi tillätil öst mot numarande styrelse, fanns i bladet just wid början af desi förwaltning, hwaremot mi sedan antingen tegat eller berömt- — Widare säger Granskaren uti N:o zr, att mi" uppsöka hwarje lämpligt eller olämpligt tillfälle att upphöja en annan, icke längesedan af » gängen styrelse."	201:211	0:342	Häraf torde synas , att den ringa del af tadel , mi tillätil öst mot numarande styrelse , fanns i bladet just wid början af desi förwaltning , hwaremot mi sedan antingen tegat eller berömt- — Widare säger Granskaren uti N:o zr , att mi " uppsöka hwarje lämpligt eller olämpligt tillfälle att upphöja en annan , icke längesedan af » gängen styrelse . "	38	0:65	häraf torde syna $ att den ringa del af tadel $ mi tillätil öst mot numarande styrelse $ finna i blad just wid början af desi förwaltning $ hwaremot mi sedan antingen tegat eller $ $ widare säga granskare uti $ zr $ att mi $ uppsöka hwarje lämplig eller olämplig tillfälle att upphöja en annan $ icke längesedan af $ gäng styrelse $ $
granskare		1792	1	bib11653828_17920319_144028_66_0003_alto.xml-2-1	 	En Granskare bestrider bet Swartå: Wälan, har ina » icke sage	3:12	0:61	En Granskare bestrider bet Swartå : Wälan , har ina » icke sage	1	0:13	en granskare bestrida bita swartå $ wälan $ ha i $ icke sage
