lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
ingående		1797	1	bib19225772_17971027_148003_86_0003_alto.xml-2-3	 	som til fridens ingående stal wara imellan Exvenetianstä Statens folkflag.	16:24	0:74	som til fridens ingående stal wara imellan Exvenetianstä Statens folkflag .	3	0:11	som til frid ingående stjäla wara imellan exvenetianstä stat folkflag $
ingående		1828	1	bib19225792_18280426_147359_17_0008_alto.xml-5-11	 	Uti Chalmerska Indnstrie-Skolans Wäfnnderwisnings-ansialt här i Staden kunna, under snart ingående Wäfcermin, mindre bemedlade fruntimmer af allaclatzer, som önska en fullkomliqare kännedom i den mera » » vanliga » vafnadSkonsteu efter Ekeiiinarkska methoden, erhålla fri » nderivisiiing.	90:98	0:288	Uti Chalmerska Indnstrie-Skolans Wäfnnderwisnings-ansialt här i Staden kunna , under snart ingående Wäfcermin , mindre bemedlade fruntimmer af allaclatzer , som önska en fullkomliqare kännedom i den mera » » vanliga » vafnadSkonsteu efter Ekeiiinarkska methoden , erhålla fri » nderivisiiing .	11	0:42	uti chalmersk $ $ här i stad kunna $ under snar ingående wäfcermin $ föga bemedla fruntimmer af allaclatzer $ som önska en fullkomliqare kännedom i den mera $ $ vanlig $ vafnadskonsteu efter ekeiiinarkska methoden $ erhålla fri $ nderivisiiing $
ingående		1797	1	bib13506739_17970111_144030_8_0003_alto.xml-9-1	 	och ingåendet uti et Rum, följande Klädespersedlar: En grä Silkes-Chal, twänne st.	4:13	0:82	och ingåendet uti et Rum , följande Klädespersedlar : En grä Silkes-Chal , twänne st.	1	0:15	och ingående uti et rum $ följa klädespersedel $ en grä $ $ twänne $
ingående		1811	1	bib13506739_18111118_144030_269_0004_alto.xml-6-13	 	Stockholm, bli skjutsade ner och j ' å, efter approbation och ingående till tjenstgörinz, resten af Legan.	62:70	0:106	Stockholm , bli skjutsade ner och j ' å , efter approbation och ingående till tjenstgörinz , resten af Legan .	13	0:21	stockholm $ bli skjutsa ner och j $ å $ efter approbation och ingående till tjenstgörinz $ rest af lega $
ingående		1814	1	bib11653828_18140214_144028_36_0002_alto.xml-6-10	 	sta Riket pä denna sidan och Tullvisitationsstattet för ut- sch ingående resande.	64:72	0:81	sta Riket pä denna sidan och Tullvisitationsstattet för ut- sch ingående resande .	10	0:13	sta rike pä denna sida och tullvisitationsstattet för ut sch ingående resande $
ingående		1792	1	bib19225792_17920218_147359_7_0001_alto.xml-0-18	 	i, kas wär Frälsares JEsu Christi Pinos Historia tom » W ma uti Domkyrkan, under nu ingående Fastelags lid, följande stycken ö nedanstående dagar at förklaras, namnligen: Febr.	84:92	0:176	i , kas wär Frälsares JEsu Christi Pinos Historia tom » W ma uti Domkyrkan , under nu ingående Fastelags lid , följande stycken ö nedanstående dagar at förklaras , namnligen : Febr .	18	0:34	i $ kase wär frälsare jesu christi pinos historia tom $ w ma uti domkyrka $ under nu ingående fastelag lid $ följa styck ö nedanstående dag at förklara $ namnligen $ febr $
ingående		1808	1	bib11653825_18080625_145134_76_0007_alto.xml-18-81	 	Eric Ohlin- Som anwärsde Soldaten (F. Carlström, hwilken med mig trvlofwad ax, icke pä 6 LrS lid lätit höra af sig, eller äktenskapet sökt fullborda; sä och för att ej wid annat äktenskaps ingående wam hindrad, far iag i anledning af Kongl- Majestäts Nädigste Förordning ben 26 Oetober 1791, anmana honom, att inom ben tid Författningarne bjuda, hos HLrivarande Pastor sig anmäla, helst jag i annor händelse mig mi annat giftes ingående icke anser hindrad; hwilket andia gängen kungöres.	428:436	0:487	Eric Ohlin- Som anwärsde Soldaten ( F. Carlström , hwilken med mig trvlofwad ax , icke pä 6 LrS lid lätit höra af sig , eller äktenskapet sökt fullborda ; sä och för att ej wid annat äktenskaps ingående wam hindrad , far iag i anledning af Kongl- Majestäts Nädigste Förordning ben 26 Oetober 1791 , anmana honom , att inom ben tid Författningarne bjuda , hos HLrivarande Pastor sig anmäla , helst jag i annor händelse mig mi annat giftes ingående icke anser hindrad ; hwilket andia gängen kungöres .	81	0:91	eric $ som anwärsde soldat $ $ carlström $ hwilken med jag trvlofwad ax $ icke pä 6 lrs lid lätit höra af sig $ eller äktenskap söka fullborda $ sä och för att ej wid annan äktenskap ingående wam hindra $ fara iag i anledning af $ majestät nädigste förordning ben 26 oetober 1791 $ anmana han $ att inom ben tid författning bjuda $ hos hlrivarande pastor sig anmäla $ gärna jag i annor händelse jag mi annan giftas ingående icke anse hindra $ hwilket andia gäng kungöra $
ingående		1821	1	bib15650837_18210124_146391_7_0004_alto.xml-4-7	 	Den 14 i denne monad förlorades hwid ingåendet uti Tysta Kurkan cn Guldring ^ uti densaimr graverad C.	37:46	0:102	Den 14 i denne monad förlorades hwid ingåendet uti Tysta Kurkan cn Guldring ^ uti densaimr graverad C .	7	0:19	den 14 i denna monad förlora hwid ingående uti tyst kurkan cn guldring $ uti densaimr gravera c $
ingående		1809	1	bib19225792_18090211_147359_6_0002_alto.xml-0-24	 	I Garnizoitskyrkan blifwer wär Frälsares JEsti lz Christi Pinos Historia pä följande satt indelad p" till Tcxker för Afconsängs och weckopredikningar f under ingående Fastelag: Fastlags Sänd.	158:166	0:191	I Garnizoitskyrkan blifwer wär Frälsares JEsti lz Christi Pinos Historia pä följande satt indelad p " till Tcxker för Afconsängs och weckopredikningar f under ingående Fastelag : Fastlags Sänd .	24	0:30	i garnizoitskyrkan blifwer wär frälsare jesti lz christi pinos historia pä följa sitta indela p $ till tcxker för afconsängs och weckopredikningar f under ingående fastelag $ fastlag sända $
ingående		1827	1	bib19277277_18270818_147682_192_0001_alto.xml-23-36	 	bostapsfallet Därstädes, har ödet ocksä läcit » vederfaras rättwisa ät nägra af dessa talares förtjenst; ty t OtheniS Socken hafwa twennc grannar, och hwilka just warit bland de ifrigaste atl motsätta sig hwarje ingående pä löningsi bidrag, inom twenne dygi » hwardera niistat sina fyra par dragare, de enda de för sitt gärdsbruk ägde; icke nog der- f med, ty de » voro ej i ständ, af farhåga för smittan, att fa hjelp genom län af deras Sockneboer.	212:220	0:449	bostapsfallet Därstädes , har ödet ocksä läcit » vederfaras rättwisa ät nägra af dessa talares förtjenst ; ty t OtheniS Socken hafwa twennc grannar , och hwilka just warit bland de ifrigaste atl motsätta sig hwarje ingående pä löningsi bidrag , inom twenne dygi » hwardera niistat sina fyra par dragare , de enda de för sitt gärdsbruk ägde ; icke nog der- f med , ty de » voro ej i ständ , af farhåga för smittan , att fa hjelp genom län af deras Sockneboer .	36	0:88	bostapsfallet därstädes $ ha öde ocksä läcit $ vederfaras rätt äta nägra af denna talare förtjenst $ ty t othenis socken hafwa twennc granne $ och hwilka just warit bland en ifrig atl motsätta sig hwarje ingående pä löningsi bidrag $ inom twenne dygi $ hwardera niistat sig fyra par dragare $ en enda en för sig gärdsbruk äga $ icke nog $ f med $ ty de $ voro ej i ständ $ af farhåga för smitta $ att fa hjelp genom län af de sockneboer $
