identifier1	identifier2	annotator	judgment	comment	lemma	round
bib11653828_18250805_144028_178_0002_alto.xml-0-137	bib19227462_18951219_147640_296_0005_alto.xml-130-18	annotator2	4.0	 	jordisk	3
bib13506739_18030811_144030_180_0001_alto.xml-6-4	bib11653828_18290212_144028_35_0002_alto.xml-2-10	annotator2	4.0	 	jordisk	3
bib19225772_18290901_148004_98_0004_alto.xml-2-36	bib19277349_18950124_147403_12_0004_alto.xml-110-7	annotator2	4.0	 	jordisk	3
bib19227291_18260201_145289_5_0002_alto.xml-6-29	bib11653811_18980923_145317_146_0003_alto.xml-146-14	annotator2	3.0	 	jordisk	3
bib11653815_18950817_146944_97_0002_alto.xml-2-29	bib19277277_18950108_147683_7_0007_alto.xml-42-21	annotator2	3.0	 	jordisk	3
bib19227291_18270110_145289_2_0005_alto.xml-1-48	bib11653811_19010111_145317_6_0003_alto.xml-134-51	annotator2	4.0	 	jordisk	3
bib11653828_18220319_144028_66_0002_alto.xml-8-7	bib19277301_18960504_145146_36_0002_alto.xml-69-20	annotator2	4.0	 	jordisk	3
bib13506739_17951223_144030_294_0001_alto.xml-7-8	bib11653825_18070312_145134_31_0001_alto.xml-2-43	annotator2	4.0	 	jordisk	3
bib11653811_19011228_145317_201_0003_alto.xml-126-42	bib11653811_19001027_145317_167_0003_alto.xml-153-0	annotator2	4.0	 	jordisk	3
bib11653811_19011123_145317_182_0003_alto.xml-72-8	bib19277346_18180829_147394_35_0003_alto.xml-12-25	annotator2	3.0	 	jordisk	3
bib19277277_18950818_147683_223_0002_alto.xml-17-31	bib11653823_18300208_144010_31_0001_alto.xml-11-4	annotator3	4.0	 	jordisk	3
bib11653811_19011123_145317_182_0003_alto.xml-72-8	bib19277346_18180829_147394_35_0003_alto.xml-12-25	annotator3	4.0	 	jordisk	3
bib11653828_17981221_144028_295_0004_alto.xml-4-15	bib11653828_18251025_144028_247_0003_alto.xml-6-22	annotator3	4.0	 	jordisk	3
bib19227462_18951114_147640_266_0004_alto.xml-57-13	bib11653790_18951101_145648_45_0006_alto.xml-50-7	annotator3	4.0	 	jordisk	3
bib11653828_18251025_144028_247_0003_alto.xml-6-22	bib11653828_18240917_144028_216_0001_alto.xml-2-39	annotator3	4.0	 	jordisk	3
bib11653828_18280508_144028_106_0004_alto.xml-10-63	bib19225758_18950301_144022_51_0003_alto.xml-16-14	annotator3	4.0	 	jordisk	3
bib19227291_18270110_145289_2_0005_alto.xml-1-48	bib11653811_19010111_145317_6_0003_alto.xml-134-51	annotator3	4.0	 	jordisk	3
bib19277301_18960504_145146_36_0002_alto.xml-69-20	bib15975090_18960123_148377_10_0003_alto.xml-97-18	annotator3	4.0	 	jordisk	3
bib11653828_18241103_144028_256_0002_alto.xml-10-6	bib19277277_18950818_147683_223_0004_alto.xml-90-17	annotator3	4.0	 	jordisk	3
bib11653790_18980920_145648_72_0004_alto.xml-21-14	bib11653828_18100815_144028_189_0002_alto.xml-3-8	annotator3	4.0	 	jordisk	3
bib13506739_18030811_144030_180_0001_alto.xml-6-4	bib11653828_18290212_144028_35_0002_alto.xml-2-10	annotator3	4.0	 	jordisk	3
bib19277277_18950315_147683_73_0006_alto.xml-39-2	bib11653792_18020821_146919_33_0003_alto.xml-6-30	annotator3	4.0	 	jordisk	3
bib11653811_18970806_145317_119_0003_alto.xml-105-21	bib11653823_18290720_0_164_0003_alto.xml-34-17	annotator3	4.0	 	jordisk	3
bib11653811_18990414_145317_55_0003_alto.xml-159-25	bib15975090_18950413_148377_44_0003_alto.xml-34-3	annotator4	4.0	 	jordisk	3
bib11653811_19020901_145317_133_0004_alto.xml-29-4	bib11653811_18970806_145317_119_0003_alto.xml-105-21	annotator4	4.0	 	jordisk	3
bib11653828_17981221_144028_295_0004_alto.xml-4-15	bib11653828_18251025_144028_247_0003_alto.xml-6-22	annotator4	4.0	 	jordisk	3
bib19227291_18950820_145289_99_0004_alto.xml-5-21	bib19277349_18950509_147403_59_0004_alto.xml-22-12	annotator4	4.0	 	jordisk	3
bib13506739_18030811_144030_180_0001_alto.xml-6-4	bib11653828_18290212_144028_35_0002_alto.xml-2-10	annotator4	4.0	 	jordisk	3
bib13506739_17940122_144030_17_0001_alto.xml-8-5	bib19520388_18040208_147487_6_0005_alto.xml-2-2	annotator4	4.0	 	jordisk	3
bib11653828_18250805_144028_178_0002_alto.xml-0-137	bib11653790_19010423_145648_31_0002_alto.xml-70-5	annotator4	4.0	 	jordisk	3
bib19227291_18270110_145289_2_0005_alto.xml-1-48	bib11653811_19010111_145317_6_0003_alto.xml-134-51	annotator4	4.0	 	jordisk	3
bib19223423_18251210_145063_98_0001_alto.xml-0-119	bib11653811_18980617_145317_91_0003_alto.xml-174-34	annotator4	4.0	 	jordisk	3
bib11653811_19011123_145317_182_0003_alto.xml-72-8	bib11653790_18951101_145648_45_0006_alto.xml-50-7	annotator4	3.0	 	jordisk	3
bib19277277_18950315_147683_73_0006_alto.xml-39-2	bib11653792_18020821_146919_33_0003_alto.xml-6-30	annotator4	4.0	 	jordisk	3
bib11653790_18990825_145648_66_0009_alto.xml-37-17	bib11653828_18280508_144028_106_0004_alto.xml-10-63	annotator4	4.0	 	jordisk	3
bib11653828_18300515_144028_111_0004_alto.xml-14-8	bib11653830_18980328_146968_25_0003_alto.xml-59-55	annotator4	4.0	 	jordisk	3
bib19277277_18950215_147683_45_0005_alto.xml-7-32	bib15761570_18950403_146176_58_0004_alto.xml-24-23	annotator4	4.0	 	jordisk	3
bib19277277_18950818_147683_223_0002_alto.xml-17-31	bib11653823_18300208_144010_31_0001_alto.xml-11-4	annotator0	3.0	 	jordisk	3
bib19277346_18220119_147394_3_0003_alto.xml-0-12	bib13506739_18040118_144030_14_0006_alto.xml-2-5	annotator0	4.0	 	jordisk	3
bib11653815_18950817_146944_97_0002_alto.xml-2-29	bib19277277_18950108_147683_7_0007_alto.xml-42-21	annotator0	3.0	 	jordisk	3
bib11653811_19030330_145317_50_0002_alto.xml-159-13	bib19223423_18250305_145063_18_0002_alto.xml-9-24	annotator0	3.0	 	jordisk	3
bib19277180_18950311_147374_21_0002_alto.xml-104-5	bib11653828_18280508_144028_106_0004_alto.xml-10-63	annotator0	4.0	 	jordisk	3
bib11653828_18300213_144028_36_0002_alto.xml-6-102	bib11653811_18960311_145317_39_0003_alto.xml-87-28	annotator0	3.0	 	jordisk	3
bib11653811_19011228_145317_201_0003_alto.xml-126-42	bib11653811_19001027_145317_167_0003_alto.xml-153-0	annotator0	4.0	 	jordisk	3
bib11653828_18300401_144028_75_0002_alto.xml-13-2	bib11653811_18961211_145317_191_0003_alto.xml-122-9	annotator0	4.0	 	jordisk	3
bib11653790_19010416_145648_29_0002_alto.xml-147-3	bib11653792_17990330_146919_13_0004_alto.xml-0-10	annotator0	3.0	 	jordisk	3
bib11653811_19020901_145317_133_0004_alto.xml-29-4	bib11653811_18970806_145317_119_0003_alto.xml-105-21	annotator0	3.0	 	jordisk	3
bib11653811_18990414_145317_55_0003_alto.xml-159-25	bib15975090_18950413_148377_44_0003_alto.xml-34-3	annotator0	3.0	 	jordisk	3
bib11653811_18980729_145317_114_0003_alto.xml-132-33	bib19277180_18950311_147374_21_0002_alto.xml-104-5	annotator0	3.0	 	jordisk	3
bib11653811_19020215_145317_25_0003_alto.xml-135-8	bib19227462_18951219_147640_296_0005_alto.xml-130-18	annotator2	4.0	 	jordisk	2
bib19227291_18970330_145289_38_0004_alto.xml-27-15	bib11653830_18980613_146968_45_0003_alto.xml-75-63	annotator2	4.0	 	jordisk	2
bib11653828_18290202_144028_26_0004_alto.xml-3-6	bib19277301_18960504_145146_36_0002_alto.xml-69-20	annotator2	4.0	 	jordisk	2
bib11653825_18070312_145134_31_0001_alto.xml-2-43	bib15761570_18951207_146176_203_0002_alto.xml-3-4	annotator2	4.0	 	jordisk	2
bib15650835_18950416_146472_34_0003_alto.xml-259-29	bib11653828_18160615_144028_137_0001_alto.xml-5-13	annotator2	4.0	 	jordisk	2
bib19225792_18191204_147359_49_0002_alto.xml-7-35	bib19277301_18960504_145146_36_0002_alto.xml-69-20	annotator2	4.0	 	jordisk	2
bib11653828_18260310_144028_58_0004_alto.xml-5-17	bib19277277_18950108_147683_7_0007_alto.xml-42-21	annotator2	2.0	 	jordisk	2
bib11653828_18260102_144028_1_0002_alto.xml-2-12	bib11653828_18251025_144028_247_0003_alto.xml-6-22	annotator2	4.0	 	jordisk	2
bib11653811_19030220_145317_29_0004_alto.xml-19-7	bib15650837_18301127_146391_95_0001_alto.xml-10-10	annotator2	3.0	 	jordisk	2
bib19223423_18230312_145063_21_0001_alto.xml-5-25	bib11653830_18970830_146968_69_0004_alto.xml-24-17	annotator2	3.0	 	jordisk	2
bib11653828_18241215_144028_292_0002_alto.xml-11-32	bib15650837_17921121_146391_93_0003_alto.xml-10-7	annotator2	3.0	 	jordisk	2
bib15650837_18270630_146391_52_0001_alto.xml-8-21	bib19227462_18950802_147640_177_0004_alto.xml-1-22	annotator2	4.0	 	jordisk	2
bib11653790_19030717_12541_55_0003_alto.xml-54-24	bib19520388_18120610_147487_24_0007_alto.xml-7-15	annotator2	2.0	 	jordisk	2
bib19227291_18260201_145289_5_0002_alto.xml-6-29	bib11653823_18290720_0_164_0003_alto.xml-34-17	annotator2	4.0	 	jordisk	2
bib11653811_18970205_145317_19_0003_alto.xml-157-39	bib19520388_18120610_147487_24_0007_alto.xml-7-15	annotator2	3.0	 	jordisk	2
bib11653811_18961211_145317_191_0003_alto.xml-122-9	bib11653828_18300401_144028_75_0002_alto.xml-13-2	annotator2	2.0	 	jordisk	2
bib11653828_17981221_144028_295_0004_alto.xml-4-15	bib11653828_18251025_144028_247_0003_alto.xml-6-22	annotator2	2.0	 	jordisk	2
bib19520388_18040208_147487_6_0005_alto.xml-2-2	bib19277277_18950108_147683_7_0007_alto.xml-42-21	annotator2	4.0	 	jordisk	2
bib11653811_18980729_145317_114_0003_alto.xml-132-33	bib11653828_18160615_144028_137_0001_alto.xml-5-13	annotator2	2.0	 	jordisk	2
bib11653828_18240920_144028_218_0002_alto.xml-6-24	bib11653823_18290720_0_164_0003_alto.xml-34-17	annotator2	4.0	 	jordisk	2
bib15650837_17920411_146391_29_0001_alto.xml-1-46	bib19227462_18951219_147640_296_0005_alto.xml-130-18	annotator2	3.0	 	jordisk	2
bib11653828_18280508_144028_106_0004_alto.xml-10-63	bib11653828_18200815_144028_187_0002_alto.xml-10-5	annotator2	2.0	 	jordisk	2
bib15873371_18951111_145112_308_0002_alto.xml-184-17	bib11653828_18200815_144028_187_0002_alto.xml-10-5	annotator2	4.0	 	jordisk	2
bib11653836_18950503_147011_18_0004_alto.xml-109-17	bib11653828_18251025_144028_247_0003_alto.xml-6-22	annotator2	3.0	 	jordisk	2
bib11653811_18980923_145317_146_0003_alto.xml-146-14	bib11653828_18300401_144028_75_0002_alto.xml-13-2	annotator2	3.0	 	jordisk	2
bib11653828_18290625_144028_143_0003_alto.xml-2-45	bib19227462_18950802_147640_177_0004_alto.xml-1-22	annotator2	4.0	 	jordisk	2
bib15760600_18951231_146401_154_0002_alto.xml-17-32	bib15650837_18301127_146391_95_0001_alto.xml-10-10	annotator2	4.0	 	jordisk	2
bib11653825_18151031_145134_116_0002_alto.xml-4-5	bib11653828_18040728_144028_173_0004_alto.xml-6-9	annotator2	0.0	 	jordisk	2
bib19277346_18241127_147394_48_0004_alto.xml-0-15	bib11653828_18251025_144028_247_0003_alto.xml-6-22	annotator2	0.0	 	jordisk	2
bib15975090_18960123_148377_10_0003_alto.xml-97-18	bib19277301_18960504_145146_36_0002_alto.xml-69-20	annotator2	2.0	 	jordisk	2
bib11653828_18250805_144028_178_0002_alto.xml-0-137	bib11653790_19010423_145648_31_0002_alto.xml-70-5	annotator2	2.0	 	jordisk	2
bib19223423_18250305_145063_18_0002_alto.xml-9-24	bib15650837_18950627_146391_146_0003_alto.xml-87-17	annotator2	3.0	 	jordisk	2
bib11653811_19030330_145317_50_0002_alto.xml-159-13	bib11653828_18160615_144028_137_0001_alto.xml-5-13	annotator2	3.0	 	jordisk	2
bib11653828_18260102_144028_1_0002_alto.xml-2-12	bib15650837_18270630_146391_52_0001_alto.xml-8-21	annotator2	4.0	 	jordisk	2
bib11653830_18980328_146968_25_0003_alto.xml-59-55	bib11653830_18970830_146968_69_0004_alto.xml-24-17	annotator2	4.0	 	jordisk	2
bib11653811_19000124_145317_12_0002_alto.xml-37-16	bib11653823_18290720_0_164_0003_alto.xml-34-17	annotator2	3.0	 	jordisk	2
bib19277277_18950818_147683_223_0004_alto.xml-90-17	bib11653790_19010423_145648_31_0002_alto.xml-70-5	annotator2	4.0	 	jordisk	2
bib15650837_18130120_146391_6_0001_alto.xml-5-9	bib19227462_18950802_147640_177_0004_alto.xml-1-22	annotator2	3.0	 	jordisk	2
bib11653811_18971023_145317_164_0003_alto.xml-31-13	bib15650837_17921121_146391_93_0003_alto.xml-10-7	annotator2	4.0	 	jordisk	2
bib11653828_18150401_144028_74_0003_alto.xml-13-2	bib19227462_18950802_147640_177_0004_alto.xml-1-22	annotator2	4.0	 	jordisk	2
bib19277277_18951113_147683_310_0004_alto.xml-146-9	bib19277277_18950108_147683_7_0007_alto.xml-42-21	annotator2	4.0	 	jordisk	2
bib15760600_18950228_146401_25_0002_alto.xml-39-20	bib19277277_18950108_147683_7_0007_alto.xml-42-21	annotator2	2.0	 	jordisk	2
bib15975087_18951223_145596_199_0006_alto.xml-34-48	bib15650837_18301127_146391_95_0001_alto.xml-10-10	annotator2	4.0	 	jordisk	2
bib11653823_18290903_0_203_0003_alto.xml-6-19	bib11653828_18200815_144028_187_0002_alto.xml-10-5	annotator2	4.0	 	jordisk	2
bib19227291_18950507_145289_54_0003_alto.xml-16-37	bib11653830_18970830_146968_69_0004_alto.xml-24-17	annotator2	3.0	 	jordisk	2
bib15975087_18951019_145596_162_0002_alto.xml-33-44	bib11653823_18260720_144010_165_0001_alto.xml-0-2	annotator2	3.0	 	jordisk	2
bib11653828_18240917_144028_216_0001_alto.xml-2-39	bib11653828_18251025_144028_247_0003_alto.xml-6-22	annotator2	2.0	 	jordisk	2
bib13506739_18070313_144030_60_0001_alto.xml-2-46	bib15650837_18950627_146391_146_0003_alto.xml-87-17	annotator2	4.0	 	jordisk	2
bib11653828_18170620_144028_140_0002_alto.xml-10-6	bib11653828_18200815_144028_187_0002_alto.xml-10-5	annotator2	4.0	 	jordisk	2
bib11653828_18220319_144028_66_0002_alto.xml-8-7	bib11653823_18290720_0_164_0003_alto.xml-34-17	annotator2	4.0	 	jordisk	2
bib11653811_18980617_145317_91_0003_alto.xml-160-19	bib19227462_18950802_147640_177_0004_alto.xml-1-22	annotator2	4.0	 	jordisk	2
bib11653811_18981007_145317_154_0003_alto.xml-102-12	bib19227462_18951219_147640_296_0005_alto.xml-130-18	annotator2	4.0	 	jordisk	2
bib11653806_18150816_145120_87_0007_alto.xml-11-11	bib15650837_17921121_146391_93_0003_alto.xml-10-7	annotator2	4.0	 	jordisk	2
bib11653811_18981125_145317_182_0003_alto.xml-5-21	bib15650837_18950627_146391_146_0003_alto.xml-87-17	annotator2	3.0	 	jordisk	2
bib15650837_18190220_146391_15_0001_alto.xml-2-19	bib19227462_18950802_147640_177_0004_alto.xml-1-22	annotator2	4.0	 	jordisk	2
bib19223423_18251210_145063_98_0001_alto.xml-0-119	bib15650837_18301127_146391_95_0001_alto.xml-10-10	annotator2	4.0	 	jordisk	2
bib11653823_18280423_144010_94_0004_alto.xml-15-18	bib11653828_18300401_144028_75_0002_alto.xml-13-2	annotator2	4.0	 	jordisk	2
bib11653811_19000216_145317_25_0002_alto.xml-53-20	bib19277277_18950108_147683_7_0007_alto.xml-42-21	annotator2	4.0	 	jordisk	2
bib11653811_19010111_145317_6_0003_alto.xml-134-51	bib15650837_17921121_146391_93_0003_alto.xml-10-7	annotator2	4.0	 	jordisk	2
bib15975087_18951019_145596_162_0002_alto.xml-33-44	bib19520388_18120610_147487_24_0007_alto.xml-7-15	annotator2	3.0	 	jordisk	2
bib11653790_18990307_145648_18_0002_alto.xml-75-81	bib15650837_17921121_146391_93_0003_alto.xml-10-7	annotator2	4.0	 	jordisk	2
bib19520388_18040208_147487_6_0005_alto.xml-2-2	bib11653828_18160830_144028_201_0003_alto.xml-5-25	annotator2	4.0	 	jordisk	2
bib11653792_18020821_146919_33_0003_alto.xml-6-30	bib19227462_18950802_147640_177_0004_alto.xml-1-22	annotator2	4.0	 	jordisk	2
