lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
jordisk		1829	1	bib11653828_18290625_144028_143_0003_alto.xml-2-45	 	genom en genialisk man, genom Homér, Det Homeriska epos är icke såsom det Indiska, en Guds lefnad, den långa historien om en Krischna-inkarnation, utan här handlar menniskan på jorden, och med henne förena sig Gudar, för att utföra jordiska bragder.	232:240	0:249	genom en genialisk man , genom Homér , Det Homeriska epos är icke såsom det Indiska , en Guds lefnad , den långa historien om en Krischna-inkarnation , utan här handlar menniskan på jorden , och med henne förena sig Gudar , för att utföra jordiska bragder .	45	0:48	genom en genialisk man $ genom homér $ den homerisk epos vara icke såsom den indiska $ en gud lefnad $ den lång historia om en $ $ utan här handla menniska på jord $ och med hon förena sig gud $ för att utföra jordisk bragd $
jordisk		1819	1	bib19225772_18191228_148004_150_0002_alto.xml-1-25	 	mennlfkan till mera » värdiga föreställningar om det Gud milga was-ndet, gör henne ockjä mera upphöjd, mera stor i sina egna rent af jordiska förhällanden, och ax derföre af icke ringa betydelse.	133:141	0:195	mennlfkan till mera » värdiga föreställningar om det Gud milga was-ndet , gör henne ockjä mera upphöjd , mera stor i sina egna rent af jordiska förhällanden , och ax derföre af icke ringa betydelse .	25	0:36	mennlfkan till mera $ värdig föreställning om den gud milga $ $ göra hon ockjä mera upphöja $ mera stor i sig egen ren af jordisk förhällande $ och ax derföre af icke ringa betydelse $
jordisk		1826	1	bib11653828_18260310_144028_58_0004_alto.xml-5-17	 	drycker den som jag mest haller af; dest latta flygtiga änga, som innebar sa liten jordisk tyngd, gör detwärdigt att förtäras af andar, nar dc under menstliga stepnåder besöka jorden.	83:90	0:183	drycker den som jag mest haller af ; dest latta flygtiga änga , som innebar sa liten jordisk tyngd , gör detwärdigt att förtäras af andar , nar dc under menstliga stepnåder besöka jorden .	17	0:35	dryck den som jag mycket haller af $ dest latta flygtig änga $ som innebära säga liten jordisk tyngd $ göra detwärdigt att förtära af ande $ nar dc under menstliga stepnåder besöka jord $
jordisk		1810	1	bib11653792_18100623_146919_25_0002_alto.xml-4-6	 	och ära, som aldrig nägon jordisk höghet kan gifwa.	26:33	0:51	och ära , som aldrig nägon jordisk höghet kan gifwa .	6	0:11	och ära $ som aldrig nägon jordisk höghet kunna gifwa $
jordisk		1830	1	bib11653823_18300208_144010_31_0001_alto.xml-11-4	 	Men taflan af all jordisk lycka framstär i sin rätta dag, när WI lyste Wara tankar till en högre och fullkornligare werld.	18:25	0:122	Men taflan af all jordisk lycka framstär i sin rätta dag , när WI lyste Wara tankar till en högre och fullkornligare werld .	4	0:24	men tafla af all jordisk lycka framstär i sig rätt dag $ när wi lysa wara tank till en hög och fullkornligare werld $
jordisk		1827	1	bib15650837_18270630_146391_52_0001_alto.xml-8-21	 	I hwarje mennista bor en het, oändlig trängtan efter en den högsta himmel, bwilken älrä hon söler afkyla genom jordiska fröjder, liksom de Indista qwinnorna lägga ormar i barmen för att med dem swalka sig.	111:119	0:205	I hwarje mennista bor en het , oändlig trängtan efter en den högsta himmel , bwilken älrä hon söler afkyla genom jordiska fröjder , liksom de Indista qwinnorna lägga ormar i barmen för att med dem swalka sig .	21	0:39	i hwarje mennista bo en het $ oändlig trängtan efter en den hög himmel $ bwilken älrä hon söler afkyla genom jordisk fröjd $ liksom en indista qwinnorna lägga orm i barm för att med de swalka sig $
jordisk		1824	1	bib11653828_18240917_144028_216_0001_alto.xml-2-39	 	hwardagliga, mekaniska tillhör henne icke, säsom wi redan sagt; men om ock de ämnen hon behandlar ärp till sina besiändsdclar hemtade ur stoftet, sä omgluter hon deni i sin etherdegel, renar dem frän de jordiska partiklarne, kläder deni i stönare former och trycker fin himmelska stämpel pä alla sina werk.	203:211	0:306	hwardagliga , mekaniska tillhör henne icke , säsom wi redan sagt ; men om ock de ämnen hon behandlar ärp till sina besiändsdclar hemtade ur stoftet , sä omgluter hon deni i sin etherdegel , renar dem frän de jordiska partiklarne , kläder deni i stönare former och trycker fin himmelska stämpel pä alla sina werk .	39	0:57	hwardagliga $ mekanisk tillhöra hon icke $ säsom wi redan säga $ men om ock en ämne hon behandla ärp till sig besiändsdclar hemtade ur stoft $ sä omgluter hon deni i sig etherdegel $ rena de frän en jordisk partikel $ kläder deni i stönare form och trycka fin himmelsk stämpel pä all sig werk $
jordisk		1824	1	bib19225792_18240207_147359_6_0002_alto.xml-2-17	 	Tiukannagifwes, att förre Jägmästaren Kaspers kära Maka, Cajsa Kasper, född Jonston, lemnade detta jordiska den 24 Januarii, nti en alder af 41 är och 6 mänader; saknad af Maka och 4 B » rn.	99:107	0:190	Tiukannagifwes , att förre Jägmästaren Kaspers kära Maka , Cajsa Kasper , född Jonston , lemnade detta jordiska den 24 Januarii , nti en alder af 41 är och 6 mänader ; saknad af Maka och 4 B » rn .	17	0:41	tiukannagifwes $ att förra jägmästare kasper kär maka $ cajsa kasper $ föda jonston $ lemna denna jordisk den 24 januarii $ nti en alder af 41 vara och 6 mänader $ saknad af maka och 4 b $ rn $
jordisk		1815	1	bib11653825_18151031_145134_116_0002_alto.xml-4-5	 	Man ser werldsmennistan lemna sina jordiska bestyr för att bedja och lofwa Gud med den hop, som i Zion högtid häller; man ser, i sjelfwa hufwudstaden, höga och läga samla sig kring trogna Lärare, som predika den korssäffe Thristum, till bättring och tro.	35:43	0:254	Man ser werldsmennistan lemna sina jordiska bestyr för att bedja och lofwa Gud med den hop , som i Zion högtid häller ; man ser , i sjelfwa hufwudstaden , höga och läga samla sig kring trogna Lärare , som predika den korssäffe Thristum , till bättring och tro .	5	0:50	man se werldsmennistan lemna sig jordisk bestyr för att be och lofwa gud med den hop $ som i zion högtid hälla $ man se $ i sjelfwa hufwudstaden $ hög och läga samla sig kring trogen lärare $ som predika den korssäffe thristum $ till bättring och tro $
jordisk		1811	1	bib11653806_18110420_145120_44_0004_alto.xml-4-5	 	smaken, huru stor den jordiska sällHcten är att aftorrka olyckans och nödens tär«r„Eder får jag för de^e äfwen redowiste Gäfwor pä den otvcklige Fruns och tes blinda Dotters begäran betvga deras ödiujul », upprikti, - t wäisignande tacksägelser.	22:30	0:245	smaken , huru stor den jordiska sällHcten är att aftorrka olyckans och nödens tär«r„ Eder får jag för de^e äfwen redowiste Gäfwor pä den otvcklige Fruns och tes blinda Dotters begäran betvga deras ödiujul » , upprikti , - t wäisignande tacksägelser .	5	0:43	smak $ huru stor den jordisk sällhcten vara att aftorrka olycka och nöd $ ni få jag för $ äfwen redowiste gäfwor pä den otvcklige fru och tes blind dotter begäran betvga de ödiujul $ $ upprikti $ $ t wäisignande tacksägelse $
