lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
kemisk		1820	1	bib13506739_18201222_144030_298_0008_alto.xml-0-20	 	» nist frän Mayland, dcn äran att gifwa respektive Ällmenhetcn tisskanna, att man hos honom kan erhälla följande Kemiska Präparater, hmilkas godhet, grundade pa anställda prof, blttwit godkänd af mänga Utländssa Mcdicinal-Fakulteter, och af dem bestyrkt med trowärdigc bcwis, samt öswerallt upptagne med största bifall.	113:120	0:319	» nist frän Mayland , dcn äran att gifwa respektive Ällmenhetcn tisskanna , att man hos honom kan erhälla följande Kemiska Präparater , hmilkas godhet , grundade pa anställda prof , blttwit godkänd af mänga Utländssa Mcdicinal-Fakulteter , och af dem bestyrkt med trowärdigc bcwis , samt öswerallt upptagne med största bifall .	20	0:53	$ nist frän mayland $ dcn ära att gifwa respektive ällmenhetcn tisskanna $ att man hos han kunna erhälla följa kemisk präparater $ hmilkas godhet $ grunda pa anställda prof $ blttwit godkänd af mänga utländssa $ $ och af de bestyrka med trowärdigc bcwis $ samt öswerallt upptagen med stor bifall $
kemisk		1826	1	bib13506739_18260407_144030_68_0004_alto.xml-13-2	 	Wid mitt Kemiska Blekeri, som nu är styttadt frän Jakobsberns Malmgärd, till B.rgssundS Bruk, eller det sä kallade Stärkelse-Bruket.	9:16	0:132	Wid mitt Kemiska Blekeri , som nu är styttadt frän Jakobsberns Malmgärd , till B.rgssundS Bruk , eller det sä kallade Stärkelse-Bruket .	2	0:23	wid jag kemisk blekeri $ som nu vara styttadt frän jakobsberns malmgärd $ till $ bruk $ eller den sä kalla $ $
kemisk		1806	1	bib11653828_18060206_144028_30_0001_alto.xml-2-19	 	sista föreläsningen s. 127 upptäcker:" Herrarna, säger han, torde begvnna misttänka min föreläsning att wara kemisk.	109:115	0:116	sista föreläsningen s. 127 upptäcker : " Herrarna , säger han , torde begvnna misttänka min föreläsning att wara kemisk .	19	0:21	sista föreläsning $ 127 upptäcka $ $ herre $ säga han $ torde begvnna misttänka jag föreläsning att wara kemisk $
kemisk		1816	1	bib13506739_18160802_144030_177_0004_alto.xml-4-8	 	vi v e rse: De ffrut annonserade Kemiska Försöken fortfara Onsdagar och Lördagar, frän kl., till 7 eftermfdSaaen, hwarrill ännu extra Biljetter funna ttblSaå hos mig, boende uti Kammar Ri!det Osängii Hus wid GilH?	33:40	0:213	vi v e rse : De ffrut annonserade Kemiska Försöken fortfara Onsdagar och Lördagar , frän kl. , till 7 eftermfdSaaen , hwarrill ännu extra Biljetter funna ttblSaå hos mig , boende uti Kammar Ri !det Osängii Hus wid GilH ?	8	0:41	vi v e rse $ de ffrut annonsera kemisk försök fortfara onsdag och lördag $ frän $ $ till 7 eftermfdsaaen $ hwarrill ännu extra biljett finna ttblsaå hos jag $ boende uti kam ri $ osängii hus wid gilh $
kemisk		1820	1	bib13506739_18201214_144030_291_0004_alto.xml-12-22	 	O ir.er C e: ' Till beqwZmligbet för dem af resp. Publicum, som ästunda vägre af mine uti Tidningarne uppgisne Kemisk » Praparatcr, och bwarS tid ej mcdgiswa att besöka mig i mitt Logis, har jag uti Hr CastelliS Gakanteri-Magasin wid Mynttorget, hörnet af Stads Smedjegatan, t Kommistivn deras inlemnadt, sa wckl hela som halfwa satser, wäl konserverade och med mitt Sigill förfedde.	111:117	0:383	O ir.er C e : ' Till beqwZmligbet för dem af resp. Publicum , som ästunda vägre af mine uti Tidningarne uppgisne Kemisk » Praparatcr , och bwarS tid ej mcdgiswa att besöka mig i mitt Logis , har jag uti Hr CastelliS Gakanteri-Magasin wid Mynttorget , hörnet af Stads Smedjegatan , t Kommistivn deras inlemnadt , sa wckl hela som halfwa satser , wäl konserverade och med mitt Sigill förfedde .	22	0:72	o $ c e $ $ till beqwzmligbet för de af $ publicum $ som ästunda vägra af mine uti tidning uppgisne kemisk $ praparatcr $ och bwars tid ej mcdgiswa att besöka jag i jag logi $ ha jag uti hr castellis $ wid mynttorg $ hörn af stads smedjegatan $ t kommistivn de inlemnadt $ säga wckl hel som halfwa sats $ wäl konservera och med jag sigill förfedde $
kemisk		1820	1	bib13506739_18201103_144030_256_0008_alto.xml-10-6	 	9) Ett gansta nytt uppfunnit Kemiskt Bläckpulver, som öfwergär alla hittills Mante Pulver af detta slag; ty när en i matten doppad penna beströs dermed, kan man, i forhällandet till nmckenheten af det i pennan tagna matten, strifma t a 2 ark, fulla, utan att äter doppa pennan.	29:36	0:277	9 ) Ett gansta nytt uppfunnit Kemiskt Bläckpulver , som öfwergär alla hittills Mante Pulver af detta slag ; ty när en i matten doppad penna beströs dermed , kan man , i forhällandet till nmckenheten af det i pennan tagna matten , strifma t a 2 ark , fulla , utan att äter doppa pennan .	6	0:57	9 $ en gansta ny uppfinna kemisk bläckpulver $ som öfwergär all hittills mante pulver af denna slag $ ty när en i matte doppa penna beströ dermed $ kunna man $ i forhällande till nmckenheten af den i penna ta matte $ strifma t a 2 ark $ full $ utan att äta doppa penna $
kemisk		1820	1	bib13506739_18201124_144030_274_0008_alto.xml-14-6	 	0) Ett gansta nytt uppfunnit Kemiskt Bläckpulver, som öswergär alla hittills bekante Pulver of detta flaa; ty när en i watten doppad penna beströs dermed, kan man, i förhällandet till myckenheten af det k pennan tagna watten, strifwa i a 2 ark fulla, utan att äter doppa pennan.	29:36	0:278	0 ) Ett gansta nytt uppfunnit Kemiskt Bläckpulver , som öswergär alla hittills bekante Pulver of detta flaa ; ty när en i watten doppad penna beströs dermed , kan man , i förhällandet till myckenheten af det k pennan tagna watten , strifwa i a 2 ark fulla , utan att äter doppa pennan .	6	0:56	0 $ en gansta ny uppfinna kemisk bläckpulver $ som öswergär all hittills bekant pulver of denna flaa $ ty när en i watt doppa penna beströ dermed $ kunna man $ i förhällande till myckenhet af den k penna ta watt $ strifwa i a 2 ark full $ utan att äta doppa penna $
kemisk		1824	1	bib11653828_18240330_144028_74_0004_alto.xml-2-23	 	r * ^ en Berlinsk tidning berättas föliande: Twcnne onämnde wänner, hwilka i lä, p« gre lid systclsakt sig nied kemiska försök akt sönderdela sädana ämnen, som hiltilir ansetts för enkla, och för hwilka det lyckats dlt äswen sönderdela det hittills för odelbart ansedda qwicksilfret.	112:119	0:283	r * ^ en Berlinsk tidning berättas föliande : Twcnne onämnde wänner , hwilka i lä , p« gre lid systclsakt sig nied kemiska försök akt sönderdela sädana ämnen , som hiltilir ansetts för enkla , och för hwilka det lyckats dlt äswen sönderdela det hittills för odelbart ansedda qwicksilfret .	23	0:51	r $ $ en berlinsk tidning berätta föliande $ twcnne onämnd wänner $ hwilka i lä $ $ gre lid systclsakt sig nied kemisk försök akt sönderdela sädana ämne $ som hiltilir anse för enkel $ och för hwilka den lyckas dlt äswen sönderdela den hittills för odelbar anse qwicksilfret $
kemisk		1806	1	bib11653828_18060701_144028_147_0001_alto.xml-0-53	 	Dagen halsades med styckeskott, stom förkunnade den förcstäende Högtidligheten » Ester etr Sagen förut af Promotor Chemiä Profefloren Hr I^han Afzelius utfärdgdt xrogramm, hade en talrik samling af alla Ständ, sä wal Akademiens som Stadens Ämbetsmän, som flere till Sraden af denna anledning ankomne Främmande, infunnit sig i Kemiska LaborakoriiHflset chör att wara Procestionen följaktige till KatedralsKyrkan.	326:333	0:411	Dagen halsades med styckeskott , stom förkunnade den förcstäende Högtidligheten » Ester etr Sagen förut af Promotor Chemiä Profefloren Hr I^han Afzelius utfärdgdt xrogramm , hade en talrik samling af alla Ständ , sä wal Akademiens som Stadens Ämbetsmän , som flere till Sraden af denna anledning ankomne Främmande , infunnit sig i Kemiska LaborakoriiHflset chör att wara Procestionen följaktige till KatedralsKyrkan .	53	0:63	dag halsa med styckeskott $ stom förkunna den förcstäende högtidlighet $ ester etr sagen förut af promotor chemiä profefloren hr $ afzelius utfärdgdt xrogramm $ ha en talrik samling af all ständ $ sä wal akademi som stad ämbetsman $ som flere till sraden af denna anledning ankomma främmande $ $ sig i kemisk laborakoriihflset chör att wara procestionen följaktig till katedralskyrkan $
kemisk		1806	1	bib11653828_18060528_144028_119_0003_alto.xml-9-4	 	ingZ med hwarannan en kemisk förenma, dä jag twertom funnit st, i / att ' blott antaga tn blandning och sedan, att wattnet skiljer fig frSn spriten genom utdunstning och torkning pä kärlets yta; sä är klart, att träkarl eller deg porer aga förmåga » ister T. teori, att dekomponera bränwin, d, ä. att åtskilja den chemie?	22:28	0:321	ingZ med hwarannan en kemisk förenma , dä jag twertom funnit st , i / att ' blott antaga tn blandning och sedan , att wattnet skiljer fig frSn spriten genom utdunstning och torkning pä kärlets yta ; sä är klart , att träkarl eller deg porer aga förmåga » ister T. teori , att dekomponera bränwin , d , ä. att åtskilja den chemie ?	4	0:66	ingz med hwarannan en kemisk förenma $ dä jag twertom finna st $ i $ att $ blott anta ten blandning och sedan $ att wattn skilja fig frsn sprit genom utdunstning och torkning pä kärl yta $ sä vara klar $ att träkarl eller deg por aga förmåga $ ister $ teori $ att dekomponera bränwin $ d $ $ att åtskilja den chemie $
