lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
konduktör		1804	1	bib11653828_18040427_144028_96_0004_alto.xml-3-76	 	hemma nid Werkstaden, dä de skola uppge gatans namn och nummcrn pS huset der l&gt; e bo, samt deas dem, svin redan äro i arbete, skola ivara förledde imd sine arbetSpolletter för att fä dem pässrifne as Hr Konduktören Estenberg, som hädanefter kommer att sörestZ min Bvggmästare-Werfstad; och kominer ej att erkännas nägon Mästerräkning pä mina Arbetare, ester d. zo inmwarandc April, som ej är försedd med-Hr Konduktörens och nnvettecknads namn.	410:422	0:446	hemma nid Werkstaden , dä de skola uppge gatans namn och nummcrn pS huset der l&gt ; e bo , samt deas dem , svin redan äro i arbete , skola ivara förledde imd sine arbetSpolletter för att fä dem pässrifne as Hr Konduktören Estenberg , som hädanefter kommer att sörestZ min Bvggmästare-Werfstad ; och kominer ej att erkännas nägon Mästerräkning pä mina Arbetare , ester d. zo inmwarandc April , som ej är försedd med-Hr Konduktörens och nnvettecknads namn .	76	0:81	hemma nid werkstaden $ dä de skola uppge gata namn och nummcrn ps hus der $ $ e bo $ samt deas de $ svin redan äro i arbete $ skola ivara förleda imd sine arbetspolletter för att fä de pässrifne as hr konduktör estenberg $ som hädanefter komma att sörestz jag $ $ och komin ej att erkänna nägon mästerräkning pä jag arbetare $ est $ zo inmwarandc april $ som ej vara förse $ konduktör och nnvettecknads namn $
konduktör		1803	1	bib11653806_18030405_145120_36_0005_alto.xml-17-6	 	Kopist i Konungen » Kansli och Konduktör wid Kongl.	31:40	0:51	Kopist i Konungen » Kansli och Konduktör wid Kongl .	6	0:10	kopist i konung $ kansli och konduktör wid kongl $
konduktör		1802	1	bib11653825_18020821_145134_100_0008_alto.xml-15-20	 	Larl Fredric Malmöns egen beaäran, förordnat Hfwerstcn wid samma Stat och Riddaren Herr Hinric Georg von Kjerting till bcmnltL Konduktörs Förmyndare, warder härmed, jemlikt Kongl.	127:137	0:179	Larl Fredric Malmöns egen beaäran , förordnat Hfwerstcn wid samma Stat och Riddaren Herr Hinric Georg von Kjerting till bcmnltL Konduktörs Förmyndare , warder härmed , jemlikt Kongl .	20	0:29	larl fredric malmöns egen beaäran $ förordna hfwerstcn wid samma stat och riddare herr hinric georg von kjerting till bcmnltl konduktör förmyndare $ warder härmed $ jemlikt kongl $
konduktör		1804	1	bib11653806_18040427_145120_46_0004_alto.xml-3-58	 	Liwen alla till undertecknad- Werkstad hörande ri Gkfällrr vch 6-Drängar, bemma wid Werkstaden, dä de (fela upogr gatan- namn och nummcka vä Huset der Se bo, samt de af dem, som redan är » i arbete, stola wara siesedde med si w arbett-polletter, sör akt fä dem pästrisne af & « Konduktören Ekenberg, forn hädanefter kommer att förestå min BogginSstarc-Werkstad; och kommer «j att erkänna- nägvn mister-räkning pä mina arbetare efter Ven 30 inner warande Spritt, som ek Lr försedd med tzr Konbukr tiren- vch nade&gt; tecknad« namn.	278:289	0:530	Liwen alla till undertecknad- Werkstad hörande ri Gkfällrr vch 6-Drängar , bemma wid Werkstaden , dä de ( fela upogr gatan- namn och nummcka vä Huset der Se bo , samt de af dem , som redan är » i arbete , stola wara siesedde med si w arbett-polletter , sör akt fä dem pästrisne af & « Konduktören Ekenberg , forn hädanefter kommer att förestå min BogginSstarc-Werkstad ; och kommer «j att erkänna- nägvn mister-räkning pä mina arbetare efter Ven 30 inner warande Spritt , som ek Lr försedd med tzr Konbukr tiren- vch nade&gt ; tecknad« namn .	58	0:100	liwen all till $ werkstad höra ri gkfällrr vch $ $ bemma wid werkstad $ dä de $ fela upogr $ namn och nummcka vä hus der se bo $ samt de af de $ som redan vara $ i arbete $ stola wara siesedde med si w $ $ sör akt fä de pästrisne af $ $ konduktör ekenberg $ forn hädanefter komma att förestå jag $ $ och komma $ att $ nägvn $ pä jag arbetare efter ven 30 inner warande spritt $ som ek lr förse med tzr konbukr $ vch $ $ $ namn $
konduktör		1824	1	bib13506739_18240727_144030_171_0002_alto.xml-0-14	 	Wid den för Bankens räkning pästäende Bvggnad erfordras ätjkilligt GlaSmästare-arbcie, om hwarS beskaffenhet Konduktören Sifwert, som alla Söcknedcgar träffas mid Byggnaden, lemuar närmare upplys, ning; och kunna hugade Spekulanter inlemna förseglade anbud derä, inom denna mänad » flut » i Bankens Revisions-Kontor en trapva upp i Gamla Bankohufet, alla Söcknedagar ifrän klock.	109:120	0:379	Wid den för Bankens räkning pästäende Bvggnad erfordras ätjkilligt GlaSmästare-arbcie , om hwarS beskaffenhet Konduktören Sifwert , som alla Söcknedcgar träffas mid Byggnaden , lemuar närmare upplys , ning ; och kunna hugade Spekulanter inlemna förseglade anbud derä , inom denna mänad » flut » i Bankens Revisions-Kontor en trapva upp i Gamla Bankohufet , alla Söcknedagar ifrän klock .	14	0:60	wid den för bank räkning pästäende bvggnad erfordra ätjkilligt $ $ om hwars beskaffenhet konduktör sifwert $ som all söcknedcgar träffa mid byggnad $ lemuar nära upplysa $ ning $ och kunna hugad spekulant inlemna försegla anbud derä $ inom denna mänad $ flut $ i bank $ en trapva upp i gammal bankohufet $ all söcknedagar ifrän klocka $
konduktör		1826	1	bib19277277_18261220_147682_296_0002_alto.xml-18-10	 	En samling OljesärgS-Malningar af utmärkte Jtalienfle Mästare, litt Herr Konduktören WesterlingS Konsthandel wid Regeringsgatan.	73:84	0:128	En samling OljesärgS-Malningar af utmärkte Jtalienfle Mästare , litt Herr Konduktören WesterlingS Konsthandel wid Regeringsgatan .	10	0:16	en samling $ af utmärka jtalienfle mästare $ litt herr konduktör westerlings konsthandel wid regeringsgatan $
konduktör		1827	1	bib19277277_18271008_147682_235_0002_alto.xml-1-1	 	I Konduktör WcsterlingS Konsthandel, sol » lill mera hällrs öppen hela dagen, en trappa nsp uti Huset 7?	2:11	0:104	I Konduktör WcsterlingS Konsthandel , sol » lill mera hällrs öppen hela dagen , en trappa nsp uti Huset 7 ?	1	0:21	i konduktör wcsterlings konsthandel $ sol $ lill mera hällrs öppen hel dag $ en trappa nsp uti hus 7 $
konduktör		1824	1	bib13506739_18241106_144030_259_0006_alto.xml-8-1	 	Herr Konduktör Westerling wid Regeringsgatan, finnas till salu af undertecknade tillwerkningar: större Ritlädor af Mahognv med Glas och Färgkoppar m.	5:14	0:149	Herr Konduktör Westerling wid Regeringsgatan , finnas till salu af undertecknade tillwerkningar : större Ritlädor af Mahognv med Glas och Färgkoppar m .	1	0:23	herr konduktör westerling wid regeringsgatan $ finna till salu af underteckna tillwerkningar $ stor ritlädor af mahognv med glas och färgkopp m $
konduktör		1828	1	bib11653828_18281118_144028_265_0004_alto.xml-1-63	 	Som utgi vandet af ett dylikt arbete är förbundet med ganska stora kostnader, önskas Subskription derå för att åtminstone bli betäckt för utgifterna, då de som antingen behöfva dessa Etuder eller eljest vilja uppmuntra företaget, behagade anteckna sina namn å dertill upprättade listor, åtföljda af ett profhäfte, som finnas att tillgå i de flesta Boklådor, hos Hr Konduktör Westerling vid Rege¬	365:374	0:395	Som utgi vandet af ett dylikt arbete är förbundet med ganska stora kostnader , önskas Subskription derå för att åtminstone bli betäckt för utgifterna , då de som antingen behöfva dessa Etuder eller eljest vilja uppmuntra företaget , behagade anteckna sina namn å dertill upprättade listor , åtföljda af ett profhäfte , som finnas att tillgå i de flesta Boklådor , hos Hr Konduktör Westerling vid Rege¬	63	0:67	som utgi vandet af en dylik arbete vara förbund med ganska stor kostnad $ önska subskription derå för att åtminstone bli betäcka för utgift $ då de som antingen behöfva denna etuder eller eljest vilja uppmuntra företag $ behaga anteckna sig namn å dertill upprättad lista $ åtfölja af en profhäfte $ som finna att tillgå i en mången boklåda $ hos hr konduktör westerling vid $
konduktör		1827	1	bib13506739_18270914_144030_215_0004_alto.xml-2-5	 	derrättclse torde lemna S till Konduktör Blom, hwtlken träffas alla dagar nid Brobnggnaden Z Blasieholinen.	31:40	0:107	derrättclse torde lemna S till Konduktör Blom , hwtlken träffas alla dagar nid Brobnggnaden Z Blasieholinen .	5	0:17	derrättclse torde lemna s till konduktör blom $ hwtlken träffa all dag nid brobnggnaden z blasieholinen $
