lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
krita		1804	1	bib19225772_18040307_148004_28_0004_alto.xml-3-13	 	och Stärkelse, god Matolja pa flalkor, Kamfert, röd och swart Krita,	62:67	0:68	och Stärkelse , god Matolja pa flalkor , Kamfert , röd och swart Krita ,	13	0:15	och stärkelse $ god matolja pa flalkor $ kamfert $ röd och swart krita $
krita		1821	1	bib13506739_18210807_144030_182_0006_alto.xml-6-1	 	malen Krita och linolja, samt dubbel Batavia Arrack, finnas till fala i parti uti Hufct N:o	6:11	0:91	malen Krita och linolja , samt dubbel Batavia Arrack , finnas till fala i parti uti Hufct N:o	1	0:18	mal krita och linolja $ samt dubbel batavia arrack $ finna till fal i parti uti hufct $
krita		1824	1	bib19225772_18241217_148004_146_0003_alto.xml-1-21	 	Lädor med fina Enselsta och Franssa Sastsärgor, alla sorter fina Penstar, Blyartspennor, Fransk swart, röd och hwit Krita, Estamper af Kork och Läder, Pergament, Färgor till Pastells Miniatur- och Gouache-malning, alla sorter Strängar, Skrifpennor, Rof- och Canariefrö m. m.	116:121	0:274	Lädor med fina Enselsta och Franssa Sastsärgor , alla sorter fina Penstar , Blyartspennor , Fransk swart , röd och hwit Krita , Estamper af Kork och Läder , Pergament , Färgor till Pastells Miniatur- och Gouache-malning , alla sorter Strängar , Skrifpennor , Rof- och Canariefrö m . m .	21	0:51	lädor med fin enselsta och franssa sastsärgor $ all sort fin penstar $ blyartspennor $ fransk swart $ röd och hwit krita $ estamper af kork och läder $ pergament $ färgor till pastell miniatur och $ $ all sort sträng $ skrifpenna $ $ och canariefrö m $ m $
krita		1823	1	bib19225772_18230604_148004_62_0003_alto.xml-11-10	 	Cockenille, malen Sandel, Krapp, röd ock hwit Krita, Eugeist	46:51	0:60	Cockenille , malen Sandel , Krapp , röd ock hwit Krita , Eugeist	10	0:13	cockenille $ mala sandel $ krapp $ röd ock hwit krita $ eugeist
krita		1807	1	bib11653806_18070918_145120_107_0001_alto.xml-5-10	 	^ Eller i dch ställe ungefär dubbelt sa mycket flammad krita, allt etter sem anstrvkuiiiHeii faT blifwa bwit eller af andra sarger.	55:60	0:131	^ Eller i dch ställe ungefär dubbelt sa mycket flammad krita , allt etter sem anstrvkuiiiHeii faT blifwa bwit eller af andra sarger .	10	0:24	$ eller i dch ställe ungefär dubbel säga mycket flammad krita $ all etter sem anstrvkuiiiheii fat blifwa bwit eller af andra sarg $
krita		1829	1	bib13506739_18290319_144030_65_0004_alto.xml-3-1	 	finmalen Krita, till billiga priser, i Kryddboden wid Stortorget.	9:14	0:65	finmalen Krita , till billiga priser , i Kryddboden wid Stortorget .	1	0:12	finmalen krita $ till billig pris $ i kryddbod wid stortorg $
krita		1824	1	bib11653823_18241129_144010_278_0008_alto.xml-1-3	 	swart och röd Krita, fina Blyarts-pennor, flere sorter C hine sist swart Tusch, större och mindre Penslar, samt swart märkfärg, m. m. Silwén riri FärgMagaffnet emottages till Grawering i Koppar tillika nied aiirockning deraf, Kartor, samt afla sorter Plancher och Tabeller, Titelblad och VifltKvrt nied watkra stilar, som allt fcrmt och wäl crpedicraS.	14:19	0:352	swart och röd Krita , fina Blyarts-pennor , flere sorter C hine sist swart Tusch , större och mindre Penslar , samt swart märkfärg , m . m . Silwén riri FärgMagaffnet emottages till Grawering i Koppar tillika nied aiirockning deraf , Kartor , samt afla sorter Plancher och Tabeller , Titelblad och VifltKvrt nied watkra stilar , som allt fcrmt och wäl crpedicraS .	3	0:65	swart och röd krita $ fin $ $ flere sort c hine sist swart tusch $ stor och liten pensel $ samt swart märkfärg $ m $ m $ silwén riri färgmagaffnet emotta till grawering i kopp tillika nied aiirockning deraf $ karta $ samt afla sort plancher och tabell $ titelblad och vifltkvrt nied watkra stil $ som all fcrmt och wäl crpedicras $
krita		1828	1	bib19225772_18280813_148004_92_0003_alto.xml-6-3	 	Pipleka och malen Krita, Krita i stycken,.	18:23	0:42	Pipleka och malen Krita , Krita i stycken , .	3	0:10	pipleka och mal krita $ krita i styck $ $
krita		1806	1	bib15650837_18060712_146391_55_0004_alto.xml-3-36	 	Konfekt-och sina Fikon, Walnötter, Danille, sockradt och osockradt Chokolad, Pudersocker, Li gerblad, Ostindiskt mod flere dags Fnösken, ordinära och fina hwitå Fruntimmers och Mans Handske » skurit Postpapper, Krita i stycken och fin Malm, större och mindre Liar, Slipstenar och Brynen, jan ftista Citroner finnes hos, Jeremia Moberg.	211:216	0:335	Konfekt-och sina Fikon , Walnötter , Danille , sockradt och osockradt Chokolad , Pudersocker , Li gerblad , Ostindiskt mod flere dags Fnösken , ordinära och fina hwitå Fruntimmers och Mans Handske » skurit Postpapper , Krita i stycken och fin Malm , större och mindre Liar , Slipstenar och Brynen , jan ftista Citroner finnes hos , Jeremia Moberg .	36	0:61	$ sig fikon $ walnötter $ danille $ sockradt och osockradt chokolad $ pudersocker $ li gerblad $ ostindisk mod flere dags fnöske $ ordinär och fin hwitå fruntimmer och mans handske $ skära postpapper $ krita i styck och fin malm $ stor och liten lie $ slipsten och bryn $ ja ftista citron finna hos $ jeremia moberg $
krita		1817	1	bib19223423_18170709_145063_54_0003_alto.xml-0-7	 	Win # Tobak t Tjära t Stenkol Krita » Kalk *	30:35	0:44	Win # Tobak t Tjära t Stenkol Krita » Kalk *	7	0:11	win $ tobak t tjära t stenkol krita $ kalk $
krita		1802	1	bib11653806_18021119_145120_127_0002_alto.xml-8-24	 	De undersökta ämnen wörö smä strimlor af Gull » Silfwer, Koppar, Bly, Tenn, smä eylindrar af Glas, stycken af Krita, Ben » och flere sorter Träsplittror.	110:115	0:153	De undersökta ämnen wörö smä strimlor af Gull » Silfwer , Koppar , Bly , Tenn , smä eylindrar af Glas , stycken af Krita , Ben » och flere sorter Träsplittror .	24	0:33	en undersöka ämne wörö smä strimla af gull $ silfwer $ kopp $ bly $ tenn $ smä eylindrar af glas $ styck af krita $ ben $ och flere sort träsplittror $
