identifier1	identifier2	annotator	judgment	comment	lemma	round
bib19227462_18950102_147640_1_0003_alto.xml-33-24	bib15873371_18950723_145112_197_0002_alto.xml-185-14	annotator2	4.0	 	ledning	3
bib11653811_19030506_145317_69_0003_alto.xml-34-10	bib11653811_19021003_145317_151_0003_alto.xml-32-9	annotator2	4.0	 	ledning	3
bib15975087_18950503_145596_67_0002_alto.xml-141-2	bib11653811_18960415_145317_56_0001_alto.xml-49-23	annotator2	1.0	 	ledning	3
bib11653790_19000109_145648_3_0001_alto.xml-15-11	bib19277277_18951221_147683_348_0005_alto.xml-10-204	annotator2	4.0	 	ledning	3
bib11653811_18960415_145317_56_0001_alto.xml-49-23	bib19227462_18950725_147640_170_0004_alto.xml-67-9	annotator2	4.0	 	ledning	3
bib11653811_19031209_145317_191_0002_alto.xml-161-13	bib19277277_18951009_147683_275_0001_alto.xml-35-7	annotator2	4.0	 	ledning	3
bib11653838_19010208_147024_6_0001_alto.xml-59-16	bib15873371_18950723_145112_197_0002_alto.xml-185-14	annotator2	4.0	 	ledning	3
bib19277277_18950625_147683_169_0003_alto.xml-90-14	bib19227462_18951112_147640_264_0001_alto.xml-52-6	annotator2	1.0	 	ledning	3
bib11653811_18950713_145317_106_0001_alto.xml-38-40	bib11653828_18260325_144028_69_0004_alto.xml-4-2	annotator2	3.0	 	ledning	3
bib15650814_18951128_146365_279_0004_alto.xml-96-14	bib13506739_18251231_144030_304_0003_alto.xml-14-0	annotator2	4.0	 	ledning	3
bib15873371_18950723_145112_197_0002_alto.xml-185-14	bib19277277_18950715_147683_189_0005_alto.xml-1-5	annotator2	1.0	 	ledning	3
bib11653790_18951129_145648_49_0005_alto.xml-93-27	bib19227462_18951112_147640_264_0001_alto.xml-52-6	annotator2	4.0	 	ledning	3
bib19277277_18950217_147683_47_0003_alto.xml-208-62	bib19277277_18950823_147683_228_0005_alto.xml-168-27	annotator2	4.0	 	ledning	3
bib11653811_19010726_145317_113_0003_alto.xml-41-34	bib11653811_18960415_145317_56_0001_alto.xml-49-23	annotator2	4.0	 	ledning	3
bib11653811_18960415_145317_56_0001_alto.xml-49-23	bib19227291_18230226_145289_9_0002_alto.xml-3-106	annotator2	1.0	 	ledning	3
