lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
ledning		1820	1	bib11653828_18201212_144028_289_0002_alto.xml-11-31	 	jag nanina, att om nägon cnstild man will framträda, och i tryckt ffrift bewisa, att den Ande, som btef utgjuten öfwer Christi Apostlar, och giswen till ledning ät alla fraintida Christi bekännare, icke är densamme, till hwilkens dyrkan och bekännelse mi, enligt Jesu egen befallning, are döpte, sä stall jag aldrig ffrifwa ett ord dereniot.	153:160	0:341	jag nanina , att om nägon cnstild man will framträda , och i tryckt ffrift bewisa , att den Ande , som btef utgjuten öfwer Christi Apostlar , och giswen till ledning ät alla fraintida Christi bekännare , icke är densamme , till hwilkens dyrkan och bekännelse mi , enligt Jesu egen befallning , are döpte , sä stall jag aldrig ffrifwa ett ord dereniot .	31	0:66	jag nanina $ att om nägon cnstild man will framträda $ och i trycka ffrift bewisa $ att den ande $ som btef utgjuta öfwer christi apostlar $ och giswen till ledning äta all fraintida christi bekännare $ icke vara densamma $ till hwilkens dyrkan och bekännelse mi $ enligt jesu egen befallning $ are döpa $ sä stall jag aldrig ffrifwa en ord dereniot $
ledning		1820	1	bib13506739_18200216_144030_38_0012_alto.xml-1-22	 	En ordentlig och anständig, ensam Enka, med goda och säkra b tyg, som i flote Se besörjt Klädtwärt, ledning och uppatzning HoS åldrige personer, » ed jemwäl skört hushällningen / ästundar den i Avril dylik emploj hos någon äldre Herre eller Enkescu, mot Rum och wid^re öfwerenskommelse.	100:107	0:286	En ordentlig och anständig , ensam Enka , med goda och säkra b tyg , som i flote Se besörjt Klädtwärt , ledning och uppatzning HoS åldrige personer , » ed jemwäl skört hushällningen / ästundar den i Avril dylik emploj hos någon äldre Herre eller Enkescu , mot Rum och wid^re öfwerenskommelse .	22	0:54	en ordentlig och anständig $ ensam enka $ med god och säker b tyg $ som i flote se besörja klädtwärt $ ledning och uppatzning hos åldrig person $ $ ed jemwäl skör hushällning $ ästundar den i avril dylik emploj hos någon gammal herre eller enkescu $ mot rum och $ öfwerenskommelse $
ledning		1830	1	bib19227291_18300324_145289_12_0007_alto.xml-13-47	 	Att nägra enstilta personer kunna föra ett oordentligt lefnadssätt, och akt en och annan ytterlighet deraf kan wisa sig, kan icke förekomma owäntadt inom en Personal af sä manga ftån alla häll samlade, ät sig sjelfwa, och till stor del ät sin egen ledning, kemnade unge män; och Consistorium har icke heller hast nägon möda ospard alt ifrän Academien sädane frän de öfriga afflilja.	248:255	0:382	Att nägra enstilta personer kunna föra ett oordentligt lefnadssätt , och akt en och annan ytterlighet deraf kan wisa sig , kan icke förekomma owäntadt inom en Personal af sä manga ftån alla häll samlade , ät sig sjelfwa , och till stor del ät sin egen ledning , kemnade unge män ; och Consistorium har icke heller hast nägon möda ospard alt ifrän Academien sädane frän de öfriga afflilja .	47	0:71	att nägra enstilta person kunna föra en oordentlig lefnadssätt $ och akt en och annan ytterlighet deraf kunna wisa sig $ kunna icke förekomma owäntadt inom en personal af sä manga ftån all hälla samla $ äta sig sjelfwa $ och till stor del äta sig egen ledning $ kemnade ung man $ och consistorium ha icke heller hast nägon möda ospard alt ifrän academien sädane frän en öfrig afflilja $
ledning		1793	1	bib11653828_17930529_144028_119_0001_alto.xml-0-0	 	ledning af de ingifne Petitionerne rörande en ParlamentsReforme; och flutet Klef, forn man wäl kunde föreställa sig, at hesta Petitioner förkastades med stor pluralitet eller nied 282 röster mot 43.	0:7	0:198	ledning af de ingifne Petitionerne rörande en ParlamentsReforme ; och flutet Klef , forn man wäl kunde föreställa sig , at hesta Petitioner förkastades med stor pluralitet eller nied 282 röster mot 43 .	0	0:34	ledning af en ingifne petitionerne rörande en parlamentsreforme $ och flyta klef $ forn man wäl kunna föreställa sig $ at hesta petition förkasta med stor pluralitet eller nied 282 röst mot 43 $
ledning		1826	1	bib11653828_18260325_144028_69_0004_alto.xml-4-2	 	ensam öfwertagit ledningen af belägringen, och att Nedschid Pascha erhållit order, att bryta upp emot Attika.	17:26	0:109	ensam öfwertagit ledningen af belägringen , och att Nedschid Pascha erhållit order , att bryta upp emot Attika .	2	0:19	ensam öfwertagit ledning af belägring $ och att nedschid pascha erhålla order $ att bryta upp emot attika $
ledning		1801	1	bib11653792_18011212_146919_49_0003_alto.xml-9-34	 	i dag förer mig; men det wet jag, at de, huru de ock för öfrigt må wara beskaffade, stola, då jag upmärksamt betraktar dem, gifwa mig ar, ledning at bekänna:	138:145	0:157	i dag förer mig ; men det wet jag , at de , huru de ock för öfrigt må wara beskaffade , stola , då jag upmärksamt betraktar dem , gifwa mig ar , ledning at bekänna :	34	0:38	i dag förer jag $ men den wet jag $ at de $ huru de ock för öfrig må wara beskaffad $ stola $ då jag upmärksamt betrakta de $ gifwa jag ar $ ledning at bekänna $
ledning		1826	1	bib11653828_18260119_144028_15_0002_alto.xml-0-9	 	wändighet för deras deltagande i öfwerläggningarna och den synliga ledning deraf sZelfwa frägornaS utweckling ofta behöfde; inånga platser son.	67:74	0:143	wändighet för deras deltagande i öfwerläggningarna och den synliga ledning deraf sZelfwa frägornaS utweckling ofta behöfde ; inånga platser son .	9	0:21	wändighet för de deltagande i öfwerläggning och den synlig ledning deraf szelfwa frägornas utweckling ofta behöfva $ inånga plats son $
ledning		1814	1	bib11653828_18140524_144028_117_0003_alto.xml-9-42	 	Förlusten af snillerike Män är känbar, äfmsn dä naturens ordning gör den sund, wiklig: men trösten härwid blifwcr, att Snillet icke utdör, och geniet, wisierligen lat, tadt i dess flygt genom ledning, dock, ledning förutan, af egen drift, willigt uppfckt, ihärdig flit och ädel riktning, mägtar tränga till höjden af menstlig fullkomlighet, om också mer och mindre sammanhopade hinder more att öfwersiiga.	207:214	0:405	Förlusten af snillerike Män är känbar , äfmsn dä naturens ordning gör den sund , wiklig : men trösten härwid blifwcr , att Snillet icke utdör , och geniet , wisierligen lat , tadt i dess flygt genom ledning , dock , ledning förutan , af egen drift , willigt uppfckt , ihärdig flit och ädel riktning , mägtar tränga till höjden af menstlig fullkomlighet , om också mer och mindre sammanhopade hinder more att öfwersiiga .	42	0:77	förlust af snillerike man vara känbar $ äfmsn dä natur ordning göra den sund $ wiklig $ men tröst härwid blifwcr $ att snille icke utdör $ och geni $ wisierligen lat $ tadt i den flygt genom ledning $ dock $ ledning förutan $ af egen drift $ willigt uppfckt $ ihärdig flit och ädel riktning $ mägtar tränga till höjd af menstlig fullkomlighet $ om också mer och föga sammanhopa hinder more att öfwersiiga $
ledning		1830	1	bib19277277_18300222_147682_43_0001_alto.xml-42-19	 	- börjar ock tala om Chateaubriailds inträdande i Ministeren och pastar att sjelfwa genom en Artikel, gifwit an- ledning till detta rykte.	113:120	0:138	- börjar ock tala om Chateaubriailds inträdande i Ministeren och pastar att sjelfwa genom en Artikel , gifwit an- ledning till detta rykte .	19	0:24	$ börja ock tala om chateaubriailds inträdande i ministeren och pastar att sjelfwa genom en artikel $ gifwit an ledning till denna rykte $
ledning		1821	1	bib19225772_18210202_148004_14_0001_alto.xml-4-5	 	och detze stola under min ledning med all sorgfällighel blifwa irärdade.	26:33	0:72	och detze stola under min ledning med all sorgfällighel blifwa irärdade .	5	0:12	och detze stola under jag ledning med all sorgfällighel blifwa irärdade $
ledning		1829	1	bib11653828_18290915_144028_213_0003_alto.xml-13-25	 	ba erhållit befallning att öfverlemna Schumlas försvar åt den bekante HusseinPascha, för närvarande Kommendant i Rustschuk, och för sin egen person öfvertaga högsta ledningen af militär-operationerna på denna sidan örn Balkan.	165:174	0:226	ba erhållit befallning att öfverlemna Schumlas försvar åt den bekante HusseinPascha , för närvarande Kommendant i Rustschuk , och för sin egen person öfvertaga högsta ledningen af militär-operationerna på denna sidan örn Balkan .	25	0:34	ba erhålla befallning att öfverlemna schumlas försvar åt den bekant husseinpascha $ för närvara kommendant i rustschuk $ och för sig egen person öfvertaga hög ledning af $ på denna sida örn balkan $
ledning		1826	1	bib19227291_18260621_145289_25_0001_alto.xml-0-17	 	H r Professorn Doctor Munck af Rrfenschöld ra » gen förut utkärdabk Program underrättade om an » ledningen till denna Academifla Fest.	97:106	0:134	H r Professorn Doctor Munck af Rrfenschöld ra » gen förut utkärdabk Program underrättade om an » ledningen till denna Academifla Fest .	17	0:23	h r professor doctor munck af rrfenschöld ra $ gen förut utkärdabk program underrätta om an $ ledning till denna academifla fest $
ledning		1816	1	bib19225772_18160214_148004_19_0002_alto.xml-7-7	 	Med full förtröstan till en Högre Hands ledning, och med etcaf erfarenheten stadgadt förtroende till tankesättet i Si ' liskapers Hufwudort, har Det dristat, att, med ringa återstod, anwända de erhallna gnfrvorne till fvrl.	40:47	0:223	Med full förtröstan till en Högre Hands ledning , och med etcaf erfarenheten stadgadt förtroende till tankesättet i Si ' liskapers Hufwudort , har Det dristat , att , med ringa återstod , anwända de erhallna gnfrvorne till fvrl .	7	0:40	med full förtröstan till en hög hand ledning $ och med etcaf erfarenhet stadgadt förtroende till tankesätt i si $ liskapers hufwudort $ ha den dristat $ att $ med ringa återstod $ anwända en erhallna gnfrvorne till fvrl $
