lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
medium		1804	1	bib11653806_18040828_145120_96_0008_alto.xml-4-32	 	De som weta Sg uti astidne Krono Befallningsmannen Georg StierndalS Sterbhus wara skyldige eller möjliatwiS hafwa att fordra, anmodas att i afseeede oä förestående Bouppteckning, sädant hot undertecknad tillkännagifwa inom mediet af Sept.	223:229	0:238	De som weta Sg uti astidne Krono Befallningsmannen Georg StierndalS Sterbhus wara skyldige eller möjliatwiS hafwa att fordra , anmodas att i afseeede oä förestående Bouppteckning , sädant hot undertecknad tillkännagifwa inom mediet af Sept .	32	0:36	de som weta sg uti astidne krono befallningsman georg stierndals sterbhus wara skyldig eller möjliatwis ha att fordra $ anmoda att i afseeede oä förestå bouppteckning $ sädant hot underteckna tillkännagifwa inom medium af sept $
medium		1814	1	bib19225772_18140315_148004_31_0004_alto.xml-14-10	 	Uti mellanwaningen as ett wät beläget stenhuswid Hamnegatan utbytes omkring media April till en hederlig Ungkarl i a 2 stora och glada Rnm, med eller utan propert amenblement; äfwenledes upplätes nu genast eit beqämligt Magasin i stenhus; adretz sas pa Tryckeriet.o Twenue Bodar sä wäl lill waters som åkdons rymmande äro att fa hyras; adretz pg Tryck.	76:81	0:352	Uti mellanwaningen as ett wät beläget stenhuswid Hamnegatan utbytes omkring media April till en hederlig Ungkarl i a 2 stora och glada Rnm , med eller utan propert amenblement ; äfwenledes upplätes nu genast eit beqämligt Magasin i stenhus ; adretz sas pa Tryckeriet.o Twenue Bodar sä wäl lill waters som åkdons rymmande äro att fa hyras ; adretz pg Tryck .	10	0:62	uti mellanwaningen as en wät belägen stenhuswid hamnegatan utbyte omkring medium april till en hederlig ungkarl i a 2 stor och glad rnm $ med eller utan proper amenblement $ äfwenledes upplätes nu genast eit beqämligt magasin i stenhus $ adretz säga pa $ twenue bodar sä wäl lill waters som åkdon rymmande äro att fa hyra $ adretz pg tryck $
medium		1825	1	bib19223423_18251207_145063_97_0003_alto.xml-1-20	 	ka wid andra delens uttagande godtgöra » - Hud » fFriptton dr Loven hvS de flefie Dvkdaadlare t Riket till medier al Januaris månad nästa är.	107:113	0:141	ka wid andra delens uttagande godtgöra » - Hud » fFriptton dr Loven hvS de flefie Dvkdaadlare t Riket till medier al Januaris månad nästa är .	20	0:27	ka wid andra del uttagande godtgöra $ $ hud $ ffriptton dr lov hvs en flefie dvkdaadlare t rike till medium al januari månad nästa vara $
medium		1820	1	bib13506739_18201010_144030_235_0007_alto.xml-10-24	 	hälft sage han att det wid Garden fanns en eller 2 Gotzur med lust för studier, hwlika han dfiucn, om tiden det medias, wille nnderwisa.	112:118	0:136	hälft sage han att det wid Garden fanns en eller 2 Gotzur med lust för studier , hwlika han dfiucn , om tiden det medias , wille nnderwisa .	24	0:29	hälft sage han att den wid garden finna en eller 2 gotzur med lust för studie $ hwlika han dfiucn $ om tid den medium $ wille nnderwisa $
medium		1822	1	bib19223423_18221106_145063_89_0004_alto.xml-0-5	 	Undertecknad, som ämnar i media af denna Mänad med fin Teater-Truvv anlända kill Tarfs » krona, far äran avertera Aesvekfive tzerrstover, att Abonemente-kista qr att klligä hos Handels » man Wickbom wlö Aiii:ts gatan, för dem svin behaga fata anteckna fia.	26:31	0:256	Undertecknad , som ämnar i media af denna Mänad med fin Teater-Truvv anlända kill Tarfs » krona , far äran avertera Aesvekfive tzerrstover , att Abonemente-kista qr att klligä hos Handels » man Wickbom wlö Aiii:ts gatan , för dem svin behaga fata anteckna fia .	5	0:46	underteckna $ som ämna i medium af denna mänad med fin $ anlända kill tarfs $ krona $ fara ära avertera aesvekfive tzerrstover $ att $ qr att klligä hos handels $ man wickbom wlö $ gata $ för de svin behaga fata anteckna fia $
medium		1830	1	bib19277277_18300402_147682_76_0002_alto.xml-23-33	 	bäde pä termin, mäiiad och wecka, stc i dref till Drnnns-Konlorot pa Helsingborg, och upplysningar i allt hwab Bninnsvrickningen och Baden beträffa, lemnar undertecknad BrnnNs-JNtcNdent, hwars abretz till medium af Juni är pä Lund.	205:211	0:231	bäde pä termin , mäiiad och wecka , stc i dref till Drnnns-Konlorot pa Helsingborg , och upplysningar i allt hwab Bninnsvrickningen och Baden beträffa , lemnar undertecknad BrnnNs-JNtcNdent , hwars abretz till medium af Juni är pä Lund .	33	0:40	bäde pä termin $ mäiiad och wecka $ stc i dref till $ pa helsingborg $ och upplysning i all hwab bninnsvrickningen och bad beträffa $ lemna underteckna $ $ hwars abretz till medium af juni vara pä lund $
medium		1801	1	bib11653806_18010320_145120_33_0004_alto.xml-1-36	 	fåfcflnt tltfanna, med anhållan dt den tile: de, loin antingen äga någon fordran hos mia, eller öro mia skyldige, behagade sådant offluta rch liqnidera anrinaen med mi- här på Carlscrona innan mediet al Instundande April, eller efter den tiden ock » t, inan Nästk, Maji månads utgång, med min Måg Herr Lagmannen Ioh.	193:199	0:316	fåfcflnt tltfanna , med anhållan dt den tile : de , loin antingen äga någon fordran hos mia , eller öro mia skyldige , behagade sådant offluta rch liqnidera anrinaen med mi- här på Carlscrona innan mediet al Instundande April , eller efter den tiden ock » t , inan Nästk , Maji månads utgång , med min Måg Herr Lagmannen Ioh .	36	0:63	fåfcflnt tltfanna $ med anhållan dt den tile $ en $ loi antingen äga någon fordran hos mia $ eller öro mia skyldig $ behaga sån offluta rch liqnidera anrinaen med $ här på carlscrona innan medium al instunda april $ eller efter den tid ock $ t $ inan nästk $ maji månad utgång $ med jag måg herr lagman ioh $
medium		1807	1	bib19225772_18071023_148004_121_0003_alto.xml-0-135	 	öfning, och sedan glada öfwer sina älsklingars utmarkning, eller med sina hatade, för deras dygder oa) bragder, försonade, förde dem upp med sig till Olympen, för att der lata dem dela sättheten, och i en glad fygelfattning ag » njutningen af en fod?ojo rillwarclse; rwerksm de likna de Älsta i himlen, som strälande af kronor, och ined palmer i händerna, sitta pä troner ikring ett al-&gt; tare, hrvilketS rök omgrfwer deras h) rstor med en oförändrad Nimbus; under dem sta otaliga skaror af ödmjuka och bedjande, som endast täfla i sträckning, an förr än andra hinna.upp ined sina rökelsekar, och för sina häfoffer Mwinna sig blickar af bifall: Ogar ser allr genom der magiska medium af rök, allt gcnljuder af lofsänger, altr badar friden och hwilan."	679:685	0:753	öfning , och sedan glada öfwer sina älsklingars utmarkning , eller med sina hatade , för deras dygder oa ) bragder , försonade , förde dem upp med sig till Olympen , för att der lata dem dela sättheten , och i en glad fygelfattning ag » njutningen af en fod ?ojo rillwarclse ; rwerksm de likna de Älsta i himlen , som strälande af kronor , och ined palmer i händerna , sitta pä troner ikring ett al-&gt ; tare , hrvilketS rök omgrfwer deras h ) rstor med en oförändrad Nimbus ; under dem sta otaliga skaror af ödmjuka och bedjande , som endast täfla i sträckning , an förr än andra hinna.upp ined sina rökelsekar , och för sina häfoffer Mwinna sig blickar af bifall : Ogar ser allr genom der magiska medium af rök , allt gcnljuder af lofsänger , altr badar friden och hwilan . "	135	0:151	öfning $ och sedan glad öfwer sig älskling utmarkning $ eller med sig hata $ för de dygd oa $ bragd $ försona $ föra de upp med sig till olympen $ för att der lata de dela sättheten $ och i en glad fygelfattning ag $ njutning af en fod $ rillwarclse $ rwerksm de likna en älsta i himmel $ som strälande af krona $ och ined palm i hand $ sitta pä tron ikring en $ $ tare $ hrvilkets rök omgrfwer de h $ rstor med en oförändrad nimbus $ under de sta otalig skara af ödmjuk och be $ som endast täfla i sträckning $ an förr än andra $ ined sig rökelsekar $ och för sig häfoffer mwinna sig blick af bifall $ ogar se allr genom der magisk medium af rök $ all gcnljuder af lofsänger $ altr bada frid och hwilan $ $
medium		1825	1	bib19277346_18251112_147394_45_0004_alto.xml-4-11	 	Dem af Respektiwe Tegelbruksägare tom wid fdrsta Wardag eller sednast lill medier af Iur cti månad nästa ät / wilia lefwerera ett större rarkie Takregel samt något Murtegel fritt ombord wid narmtra hamn eller lallatztplgtS, behagade med fnarane lill Cowmerce.Radtl C.	75:81	0:267	Dem af Respektiwe Tegelbruksägare tom wid fdrsta Wardag eller sednast lill medier af Iur cti månad nästa ät / wilia lefwerera ett större rarkie Takregel samt något Murtegel fritt ombord wid narmtra hamn eller lallatztplgtS , behagade med fnarane lill Cowmerce.Radtl C .	11	0:43	de af respektiwe tegelbruksägare tom wid fdrsta wardag eller sednast lill medium af iur cti månad nästa äta $ wilia lefwerera en stor rarkie takregel samt någon murtegel fri ombord wid narmtra hamn eller lallatztplgts $ behaga med fnarane lill $ c $
medium		1828	1	bib19223423_18281224_145063_103_0001_alto.xml-3-14	 	hemma härstäoeS, och söranve Skeppet Kronprinsen härilrän Staden, sol » afgick i media af förra mänatzen, har, efter att lsafwa legat i hamn i Norrige och wid utgäenvet rerifrän af stark westanstorm blifwit drifwen mor Swensta kusten, ren 3 dennes lidit ffeppsdrott i GäSöffären, 3 mil ftårutifrån.	81:86	0:298	hemma härstäoeS , och söranve Skeppet Kronprinsen härilrän Staden , sol » afgick i media af förra mänatzen , har , efter att lsafwa legat i hamn i Norrige och wid utgäenvet rerifrän af stark westanstorm blifwit drifwen mor Swensta kusten , ren 3 dennes lidit ffeppsdrott i GäSöffären , 3 mil ftårutifrån .	14	0:54	hemma härstäoes $ och söranve skepp kronprins härilrän stad $ sol $ afgick i medium af förra mänatzen $ ha $ efter att lsafwa ligga i hamn i norrige och wid utgäenvet rerifrän af stark westanstorm blifwit drifwen mor swensta kust $ ren 3 denna lida ffeppsdrott i gäsöffären $ 3 mil ftårutifrån $
