lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
mode		1825	1	bib19227291_18251221_145289_51_0003_alto.xml-1-26	 	Undertecknad, svin härstädes ivunnit Burstap ä Skräddare-Professionen, lär härigenoni reeommendera mig till förfärdigande sä wäl af Uliikorms- som andra Kläder, efter no aste mode, och för billigt pris.	175:179	0:202	Undertecknad , svin härstädes ivunnit Burstap ä Skräddare-Professionen , lär härigenoni reeommendera mig till förfärdigande sä wäl af Uliikorms- som andra Kläder , efter no aste mode , och för billigt pris .	26	0:33	underteckna $ svin härstädes ivunnit burstap ä $ $ lär härigenoni reeommendera jag till förfärdigande sä wäl af $ som andra kläder $ efter no aste mode $ och för billig pris $
mode		1824	1	bib13506739_18241228_144030_301_0001_alto.xml-20-41	 	Men, ehuru mycket man söker att gagna, glömmer man cj berf5re att hckr As, wen roa sig, och pä mer än ett sätt, soni jag hoppas ingen skall neka wara i cnlighct med tidens anda och mode.	181:185	0:186	Men , ehuru mycket man söker att gagna , glömmer man cj berf5re att hckr As , wen roa sig , och pä mer än ett sätt , soni jag hoppas ingen skall neka wara i cnlighct med tidens anda och mode .	41	0:43	men $ ehuru mycken man söka att gagna $ glömma man cj berf5re att hckr as $ wen roa sig $ och pä mer än en sätt $ soni jag hoppa ingen skola neka wara i cnlighct med tid anda och mode $
mode		1828	1	bib19225792_18280607_147359_23_0008_alto.xml-8-25	 	Undertecknas, som bor uti Glasmästaren Wen« nergrens hus wid Sillegatan, förfärdigar alla sorter Tygskänger samt andra fina Skosorter, allt pt&gt; finaste moden arbetadt.	155:160	0:170	Undertecknas , som bor uti Glasmästaren Wen« nergrens hus wid Sillegatan , förfärdigar alla sorter Tygskänger samt andra fina Skosorter , allt pt&gt ; finaste moden arbetadt .	25	0:28	underteckna $ som bo uti glasmästare $ nergren hus wid sillegatan $ förfärdiga all sort tygskänger samt andra fin skosort $ all $ $ fin mode arbetadt $
mode		1800	1	bib19225772_18001219_148004_146_0004_alto.xml-1-5	 	Ser stycken Stolar pa nya moden med lösa såten, en Soffa och en Sele som kan nyttjas lil Chais eller Släda, äro kil salu pa et ställe, wiil nämnes pa Trycke, iet.	26:31	0:162	Ser stycken Stolar pa nya moden med lösa såten , en Soffa och en Sele som kan nyttjas lil Chais eller Släda , äro kil salu pa et ställe , wiil nämnes pa Trycke , iet .	5	0:37	se styck stola pa ny mode med lös såt $ en soffa och en sele som kunna nyttja lil chais eller släda $ äro kil salu pa et ställe $ wiil nämna pa trycke $ i $
mode		1829	1	bib11653828_18290616_144028_136_0003_alto.xml-4-17	 	är medelpunkten för hela det närvarande Berlinska lif vet, samtalsämnet i högre oell lägre kretsar, mode- och galanteri-handlares lösen, tidningarnes thema och poeternas ämne.	100:105	0:175	är medelpunkten för hela det närvarande Berlinska lif vet , samtalsämnet i högre oell lägre kretsar , mode- och galanteri-handlares lösen , tidningarnes thema och poeternas ämne .	17	0:28	vara medelpunkt för hel den närvara berlinska lif veta $ samtalsämne i hög oell låg krets $ mode och $ lösen $ tidning thema och poet ämne $
mode		1823	1	bib11653828_18230613_144028_134_0004_alto.xml-8-24	 	man en lid för DonadieuS öde, och i staden säg man anflagSscdlar uppspikade, of inncbäll, att" en General a Ia mode gäll förlorad i Cataloniens berg; dea, svin tillrattastaffar honom, bar att nndsZ hederlig wedergällning."	111:115	0:222	man en lid för DonadieuS öde , och i staden säg man anflagSscdlar uppspikade , of inncbäll , att " en General a Ia mode gäll förlorad i Cataloniens berg ; dea , svin tillrattastaffar honom , bar att nndsZ hederlig wedergällning . "	24	0:44	man en lid för donadieus öde $ och i stad säga man anflagsscdlar $ $ of inncbäll $ att $ en general a ia mode gäll förlora i cataloniens berg $ dea $ svin tillrattastaffar han $ bära att nndsz hederlig wedergällning $ $
mode		1810	1	bib19277346_18100131_147394_1_0004_alto.xml-2-11	 	blott derpä att pikera och upreta hennes högmod och wara pä moden.	60:65	0:66	blott derpä att pikera och upreta hennes högmod och wara pä moden .	11	0:13	blott derpä att pikera och upreta hon högmod och wara pä mode $
mode		1821	1	bib11653828_18211213_144028_292_0001_alto.xml-6-50	 	i Constantinopel hofwa jÄledcs erhällik instruktioner i Kswerensstämmelse med detta be flut, till följe hwaraf dc ofördröjligen stola i en Note till Niis Effendi erbjuda fin heniedUng att förmä Ryfiland inställa hmarje fiendtlighet mot Porten, men tillika fordra, att denna i fina framtida ätgärdcr mätte iagttaqa klokheten^och mode, rationens söreffrifter, afstä frän alla förföljelser mot fina kr flin a, m de, sätare, filerställa freden genom förkunnandet af en allmän amnesti, samt noga uppfylla de nied Ryfiland bcstäende traktater.	328:332	0:537	i Constantinopel hofwa jÄledcs erhällik instruktioner i Kswerensstämmelse med detta be flut , till följe hwaraf dc ofördröjligen stola i en Note till Niis Effendi erbjuda fin heniedUng att förmä Ryfiland inställa hmarje fiendtlighet mot Porten , men tillika fordra , att denna i fina framtida ätgärdcr mätte iagttaqa klokheten^och mode , rationens söreffrifter , afstä frän alla förföljelser mot fina kr flin a , m de , sätare , filerställa freden genom förkunnandet af en allmän amnesti , samt noga uppfylla de nied Ryfiland bcstäende traktater .	50	0:88	i constantinopel hofwa jäledcs erhällik instruktion i kswerensstämmelse med denna be flut $ till följe hwaraf dc ofördröjligen stola i en note till niis effendi erbjuda fin heniedung att förmä ryfiland inställa hmarje fiendtlighet mot port $ men tillika fordra $ att denna i fin framtida ätgärdcr mäta iagttaqa $ mode $ ration söreffrifter $ afstä frän all förföljelse mot fin kr flin a $ m de $ sätare $ filerställa fred genom förkunnande af en allmän amnesti $ samt noga uppfylla en nied ryfiland bcstäende traktat $
mode		1822	1	bib19227291_18221106_145289_45_0001_alto.xml-1-8	 	efter att hafwa besökt Milano, Parma, Modena och Bologna.	38:44	0:57	efter att hafwa besökt Milano , Parma , Modena och Bologna .	8	0:12	efter att hafwa besöka milano $ parma $ mode och bologna $
mode		1826	1	bib19227291_18261206_145289_49_0001_alto.xml-5-2	 	hamnen för Moden; betz styrka belkper sig till, Li.	11:16	0:51	hamnen för Moden ; betz styrka belkper sig till , Li .	2	0:12	hamn för mode $ betz styrka belkper sig till $ li $
mode		1814	1	bib11653828_18140829_144028_198_0002_alto.xml-5-7	 	siller sig, att äfwen Parma, Modena och Guasialla siola afträdas till Napoleon, och att han stall framdeles flytta lill fasta landet.	29:35	0:133	siller sig , att äfwen Parma , Modena och Guasialla siola afträdas till Napoleon , och att han stall framdeles flytta lill fasta landet .	7	0:25	sille sig $ att äfwen parma $ mode och guasialla siola afträda till napoleon $ och att han stall framdeles flytta lill fast land $
mode		1798	1	bib11653828_17980301_144028_50_0002_alto.xml-2-7	 	— Har i London ar nu i mode bland Fruntimren al äswen	23:27	0:53	— Har i London ar nu i mode bland Fruntimren al äswen	7	0:12	$ ha i london ar nu i mode bland fruntimmer al äswen
mode		1797	1	bib19225772_17971205_148003_97_0002_alto.xml-2-26	 	en för hwardera könet, och desse stulle wara försedde med hyllor, pä hwilka man lunde ställa lädor, hwaruti beflrifning pä hwart och et mode förwarades, jamte alla de konstord och talesätt, som more hörande bartil, och det uti samma ordning, som böckerne uti ek Bibliotheqve, och desse rum stulle stängas med dubbla dörrar.	136:140	0:323	en för hwardera könet , och desse stulle wara försedde med hyllor , pä hwilka man lunde ställa lädor , hwaruti beflrifning pä hwart och et mode förwarades , jamte alla de konstord och talesätt , som more hörande bartil , och det uti samma ordning , som böckerne uti ek Bibliotheqve , och desse rum stulle stängas med dubbla dörrar .	26	0:62	en för hwardera kön $ och desse stulle wara förse med hylla $ pä hwilka man lunde ställa lädor $ hwaruti beflrifning pä hwart och et mode förwarades $ jamte all en konstord och talesätt $ som more höra bartil $ och den uti samma ordning $ som böckerne uti ek bibliotheqve $ och desse rum stulle stänga med dubbel dörr $
mode		1819	1	bib11653828_18190113_144028_9_0002_alto.xml-3-27	 	Det flulle säledes beteckna en Man, som icke frägar efter, om han tänker Kätt ' blott han ränker Nytt » följaktligen en raisonneur » Ia mode.	136:140	0:141	Det flulle säledes beteckna en Man , som icke frägar efter , om han tänker Kätt ' blott han ränker Nytt » följaktligen en raisonneur » Ia mode .	27	0:29	den flulle säledes beteckna en man $ som icke frägar efter $ om han tänka kätt $ blott han ränker ny $ följaktligen en raisonneur $ ia mode $
mode		1805	1	bib19225772_18051213_148004_144_0002_alto.xml-18-0	 	Moden är den fruktanswardaste därstaperncs moder, förmodeligen medan ho » sjelf ax en ärtsnarr.	0:5	0:95	Moden är den fruktanswardaste därstaperncs moder , förmodeligen medan ho » sjelf ax en ärtsnarr .	0	0:16	mode vara den fruktanswardaste därstaperncs moder $ förmodeligen medan ho $ sjelf ax en ärtsnarr $
mode		1792	1	bib19225772_17920918_148003_74_0002_alto.xml-3-7	 	Hemligheter och en blind tro aro okunnsghetens moden och wäldets grundwas.	47:52	0:74	Hemligheter och en blind tro aro okunnsghetens moden och wäldets grundwas .	7	0:12	hemlighet och en blind tro aro okunnsghetens mode och wäldets grundwas $
mode		1826	1	bib19277277_18261016_147682_240_0002_alto.xml-34-3	 	Uti Fru HaSselhuhnS Mode- och NipperhandelSbod wid Drottninggatan » li Grosth.	20:25	0:78	Uti Fru HaSselhuhnS Mode- och NipperhandelSbod wid Drottninggatan » li Grosth .	3	0:12	uti fru hasselhuhns mode och nipperhandelsbod wid drottninggatan $ lie grosth $
