lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
notis		1827	1	bib11653828_18271012_144028_239_0004_alto.xml-7-0	 	notis:" Den 5 Januari lemnade Kejsar Frans företräde Lt UniversttetsLärarne » och yttrade derwid:" Hällen Er, mina Herrar, wid det gamla, ty det weta wi är" godt, hwilke » wi ej kunna weta om det nya.	0:5	0:200	notis : " Den 5 Januari lemnade Kejsar Frans företräde Lt UniversttetsLärarne » och yttrade derwid : " Hällen Er , mina Herrar , wid det gamla , ty det weta wi är " godt , hwilke » wi ej kunna weta om det nya .	0	0:46	notis $ $ den 5 januari lemna kejsar frans företräde lt universttetslärarne $ och yttra derwid $ $ häll ni $ jag herre $ wid den gammal $ ty den weta wi vara $ god $ hwilke $ wi ej kunna weta om den ny $
notis		1825	1	bib11653828_18251223_144028_298_0004_alto.xml-1-24	 	bref, fons lästs i Bremkr-Z.-itung för den 7 dennes: - ' ' Dm man j inför de nyårs underratt-Iserna fran Paris med notiserna fran OTodrid, och drrroid konfidererar Étoilc ' é skdnaste, högfj märkwardiga yttranden, sä inser man latt, att flira mak » ter, förnäniligast Frankrike, ifrigt önska att befria sig lir de band, som de sjflfwa slinga!	115:124	0:342	bref , fons lästs i Bremkr-Z.-itung för den 7 dennes : - ' ' Dm man j inför de nyårs underratt-Iserna fran Paris med notiserna fran OTodrid , och drrroid konfidererar Étoilc ' é skdnaste , högfj märkwardiga yttranden , sä inser man latt , att flira mak » ter , förnäniligast Frankrike , ifrigt önska att befria sig lir de band , som de sjflfwa slinga !	24	0:68	bref $ fon läsa i $ för den 7 denna $ $ $ $ dm man j inför en nyår $ fran paris med notis fran otodrid $ och drrroid konfidererar étoilc $ é skdnaste $ högfj märkwardiga yttrande $ sä inse man latt $ att flira mak $ te $ förnäniligast frankrike $ ifrig önska att befria sig lir en band $ som en sjflfwa slinga $
notis		1829	1	bib11653828_18290529_144028_122_0002_alto.xml-13-13	 	Den litterära tidskriften Révue Encyclopedique meddelar i Juli-häftet för förledit år en biografisk notis örn den Franska Fären oell lnstitutsKedamoten Grefve Lanjuinais, sorn vid en ålder af år den i3 Januari!	100:105	0:210	Den litterära tidskriften Révue Encyclopedique meddelar i Juli-häftet för förledit år en biografisk notis örn den Franska Fären oell lnstitutsKedamoten Grefve Lanjuinais , sorn vid en ålder af år den i3 Januari !	13	0:33	den litterär tidskrift révue encyclopedique meddela i $ för förledit år en biografisk notis örn den fransk fären oell lnstitutskedamoten grefve lanjuinais $ sorn vid en ålder af år den i3 januari $
notis		1826	1	bib11653828_18260915_144028_214_0001_alto.xml-0-33	 	O, ' m Grekerna och deras kamp mot Tarkifla förtrycket äro redan Åtskilliga skrifter, sä originalarbeten som öfwersattningar, hos ost utkomna, och deKutom innedälla de allmänna tid^inganie nästan postdagligen notiser om händelsernas gäng pä fläde, platsen skr de kristnes och mahomedanernas fejd.	209:216	0:296	O , ' m Grekerna och deras kamp mot Tarkifla förtrycket äro redan Åtskilliga skrifter , sä originalarbeten som öfwersattningar , hos ost utkomna , och deKutom innedälla de allmänna tid^inganie nästan postdagligen notiser om händelsernas gäng pä fläde , platsen skr de kristnes och mahomedanernas fejd .	33	0:48	o $ $ m grek och de kamp mot tarkifla förtryck äro redan åtskillig skrift $ sä originalarbete som öfwersattningar $ hos ost $ $ och dekutom innedälla en allmän $ nästan postdagligen notis om händelse gäng pä fläde $ plats skr en kristen och mahomedanernas fejd $
notis		1806	1	bib19223423_18061122_145063_93_0004_alto.xml-1-17	 	Bränneri Direktion ' fiot Handelsman Ander » IaeobKon är till salu flera sortex Kottuner och Sttz&gt; notis en bemkomne, tamt Teer, till civilt pris.	102:107	0:149	Bränneri Direktion ' fiot Handelsman Ander » IaeobKon är till salu flera sortex Kottuner och Sttz&gt ; notis en bemkomne , tamt Teer , till civilt pris .	17	0:28	bränneri direktion $ fio handelsman ander $ iaeobkon vara till salu flera sortex kottuner och $ $ notis en bemkomne $ tam te $ till civil pris $
notis		1824	1	bib11653828_18240420_144028_90_0002_alto.xml-2-10	 	till en stor del redan känd », dels igenom notiser i andra tidningar, dels dä de, säsom af Styrelsen sanktionerade, utfärdats till allmän efterlefnad; nien wi häll » » ikwäl före, akt en framställning deraf i deras sammanhang stall wara af nägon nytta, icke endast som ett reperlorium för minnet, men i synnerhet för att lätta Uppfattningen af Riksdagens karakter för den som önskar reflektera derö / wer.	43:50	0:405	till en stor del redan känd » , dels igenom notiser i andra tidningar , dels dä de , säsom af Styrelsen sanktionerade , utfärdats till allmän efterlefnad ; nien wi häll » » ikwäl före , akt en framställning deraf i deras sammanhang stall wara af nägon nytta , icke endast som ett reperlorium för minnet , men i synnerhet för att lätta Uppfattningen af Riksdagens karakter för den som önskar reflektera derö / wer .	10	0:77	till en stor del redan känd $ $ dels igenom notis i andra tidning $ dels dä de $ säsom af styrelse sanktionera $ utfärda till allmän efterlefnad $ nia wi häll $ $ ikwäl före $ akt en framställning deraf i de sammanhang stall wara af nägon nytta $ icke endast som en reperlorium för minne $ men i synnerhet för att lätta uppfattning af riksdag karakter för den som önska reflektera derö $ wer $
notis		1829	1	bib11653828_18290905_144028_205_0002_alto.xml-5-16	 	I detta tillstånd förblefvo de en hel månads tid, utan att ÖfverRajan tog den ringaste notis om dem.	87:92	0:100	I detta tillstånd förblefvo de en hel månads tid , utan att ÖfverRajan tog den ringaste notis om dem .	16	0:20	i denna tillstånd förblefvo de en hel månad tid $ utan att öfverrajan ta den ringast notis om de $
notis		1828	1	bib19227291_18281217_145289_51_0004_alto.xml-12-0	 	Notiser, detta häfte säljes för zi § Banco, äswe » som de söregäende häfte » af samina arbete till lika pris i Gleerups Bokhandel.	0:7	0:130	Notiser , detta häfte säljes för zi § Banco , äswe » som de söregäende häfte » af samina arbete till lika pris i Gleerups Bokhandel .	0	0:27	notis $ denna häfte sälja för zi $ banco $ äswe $ som en söregäende häfte $ af samina arbete till lika pris i gleerups bokhandel $
notis		1821	1	bib19223423_18210113_145063_4_0002_alto.xml-12-1	 	införda notiser, angäende protektorats upprättande i Europa, en Italiensk federation, en Hstersjb federation m. m.	8:15	0:114	införda notiser , angäende protektorats upprättande i Europa , en Italiensk federation , en Hstersjb federation m . m .	1	0:20	införa notis $ angäende protektorat upprättande i europa $ en italiensk federation $ en hstersjb federation m $ m $
notis		1824	1	bib11653828_18241018_144028_242_0003_alto.xml-8-1	 	graflsta notiser örn nuwarande Kongl, famitfen: Carl Filip, Grefwe af Artois, loin nu regerar under namn af Carl X, föddes den Z Okt.	9:16	0:133	graflsta notiser örn nuwarande Kongl , famitfen : Carl Filip , Grefwe af Artois , loin nu regerar under namn af Carl X , föddes den Z Okt .	1	0:29	graflsta notis örn nuwarande kongl $ famitfen $ carl filip $ grefwe af artois $ loi nu regera under namn af carl x $ föda den z okt $
