lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
sittning		1806	1	bib13506739_18060311_144030_57_0009_alto.xml-10-6	 	Adrc§ om hyran fäs i samma Sittning bod Löjrnant Risberg	27:35	0:56	Adrc§ om hyran fäs i samma Sittning bod Löjrnant Risberg	6	0:10	$ om hyra fä i samma sittning bod löjrnant risberg
sittning		1801	1	bib13506739_18010629_144030_143_0008_alto.xml-2-17	 	I Snusboden pä Ssterlänggatan midt emot Brunn, fäs adres pä en bestcdelig Enka fem iiskar flg Sittning och SlSdkwäit, emot fria HuSrum, m. m. men innom Broarne.	94:102	0:160	I Snusboden pä Ssterlänggatan midt emot Brunn , fäs adres pä en bestcdelig Enka fem iiskar flg Sittning och SlSdkwäit , emot fria HuSrum , m . m . men innom Broarne .	17	0:33	i snusbod pä ssterlänggatan midt emot brunn $ fä adres pä en bestcdelig enka fem iiskar flg sittning och slsdkwäit $ emot fri husrum $ m $ m $ men innom bro $
sittning		1816	1	bib13506739_18160925_144030_223_0008_alto.xml-5-11	 	Ett omöbleradt Rum - ned eldning och städning, är nasta sittning att h » ra n.nd lilla Nygatan, Underrättelse fas uti Klädståndet wid lilla Nygatan, till wänster frän Kornhamn.	56:64	0:176	Ett omöbleradt Rum - ned eldning och städning , är nasta sittning att h » ra n.nd lilla Nygatan , Underrättelse fas uti Klädståndet wid lilla Nygatan , till wänster frän Kornhamn .	11	0:33	en omöbleradt rum $ ned eldning och städning $ vara nasta sittning att h $ ra $ liten nygatan $ underrättelse fas uti klädstånd wid liten nygatan $ till wänster frän kornhamn $
sittning		1805	1	bib11653828_18050123_144028_19_0002_alto.xml-5-37	 	^En Egendomsherre i Kurland har gjort till sitt enda wigtigaste och gladaste före » mäl, alt i alla hänseenden förbättra sina Bönders tillständ, att ej blott med uppoffrande af egen winning sätta dem i bi sittning af en lämplig frihet, utan äfwen göra dem skicklige att njuta densamma.	205:213	0:285	^En Egendomsherre i Kurland har gjort till sitt enda wigtigaste och gladaste före » mäl , alt i alla hänseenden förbättra sina Bönders tillständ , att ej blott med uppoffrande af egen winning sätta dem i bi sittning af en lämplig frihet , utan äfwen göra dem skicklige att njuta densamma .	37	0:52	$ egendomsherre i kurland ha göra till sig enda wigtigaste och glad före $ mäla $ alt i all hänseende förbättra sig bonde tillständ $ att ej blott med uppoffra af egen winning sätta de i bi sittning af en lämplig frihet $ utan äfwen göra de skicklig att njuta densamma $
sittning		1827	1	bib19225772_18270123_148004_9_0001_alto.xml-4-53	 	wid Reparationer ä 8artyg har Agenten att tillse, det insigtsfulla och i yrket erfarna personer blifwa utnämnde till besigtnings- och wärderingsmän, och att besigtnings- och wärderings-instrumentcr urstiljer sa noga, som ste kan, den stada, som fartyget lidit under resan, fran de bristfälligheter, hwilka böra tillstrifwas wänlig sittning eller aldre städar.	331:339	0:359	wid Reparationer ä 8artyg har Agenten att tillse , det insigtsfulla och i yrket erfarna personer blifwa utnämnde till besigtnings- och wärderingsmän , och att besigtnings- och wärderings-instrumentcr urstiljer sa noga , som ste kan , den stada , som fartyget lidit under resan , fran de bristfälligheter , hwilka böra tillstrifwas wänlig sittning eller aldre städar .	53	0:58	wid reparation ä 8artyg ha agent att tillse $ den insigtsfull och i yrke erfaren person blifwa utnämna till besigtning och wärderingsmän $ och att besigtning och $ urstiljer säga noga $ som så kunna $ den stada $ som fartyg lida under resa $ fran en bristfällighet $ hwilka böra tillstrifwas wänlig sittning eller aldre städa $
sittning		1802	1	bib19223423_18020925_145063_77_0001_alto.xml-0-0	 	sittning de Lander, lom, enligt de medlande Magternas visn, stola Konungen till ' alla.	0:8	0:87	sittning de Lander , lom , enligt de medlande Magternas visn , stola Konungen till ' alla .	0	0:18	sittning en lander $ lom $ enligt en medla magternas visn $ stola konung till $ all $
sittning		1823	1	bib11653828_18231002_144028_228_0004_alto.xml-7-61	 	dog, wet jag med säkerhet, att hwarken den nämnde flaskan eller nägot, svm k^nde tillkännagiswa nägra hemliga medel eller konster, efter honom faxms- Om det werkeligen skulle finnas och af menniskor kunna eigas cn säsan kraft, fsm den Björnram efter nägon anledning ägde, sä wore den, som de&gt; af wore i be » sittning, mycket att beklaga, om derwid nödwändigt jkulle mebföfja den egna, förbechällsamma, enstöriga, werkeligen olyckliga och missnöj-a lefnad, som jag säg Björn » - cam ständigt föra, och cn sädan kraft wore snarare att frukta, - än att önska sig.	311:319	0:563	dog , wet jag med säkerhet , att hwarken den nämnde flaskan eller nägot , svm k^nde tillkännagiswa nägra hemliga medel eller konster , efter honom faxms- Om det werkeligen skulle finnas och af menniskor kunna eigas cn säsan kraft , fsm den Björnram efter nägon anledning ägde , sä wore den , som de&gt ; af wore i be » sittning , mycket att beklaga , om derwid nödwändigt jkulle mebföfja den egna , förbechällsamma , enstöriga , werkeligen olyckliga och missnöj-a lefnad , som jag säg Björn » - cam ständigt föra , och cn sädan kraft wore snarare att frukta , - än att önska sig .	61	0:110	dö $ wet jag med säkerhet $ att hwarken den nämna flaska eller nägot $ svm $ tillkännagiswa nägra hemlig medel eller konst $ efter han $ om den werkeligen skola finna och af menniska kunna eigas cn säsan kraft $ fsm den björnram efter nägon anledning äga $ sä wore den $ som $ $ af wore i be $ sittning $ mycket att beklaga $ om derwid nödwändigt jkulle mebföfja den egen $ förbechällsamma $ enstörig $ werkeligen olycklig och $ lefnad $ som jag säga björn $ $ cam ständig föra $ och cn sädan kraft wore snar att frukta $ $ än att önska sig $
sittning		1798	1	bib13506739_17980718_144030_162_0007_alto.xml-2-10	 	En wacker Kammare med egen ingiing är st hyra instundande sittning.	58:66	0:67	En wacker Kammare med egen ingiing är st hyra instundande sittning .	10	0:12	en wacker kammare med egen ingiing vara st hyra instunda sittning $
sittning		1806	1	bib11653806_18060801_145120_80_0004_alto.xml-5-56	 	Olands varmsten, i 2:11c maningar och wind, läckt med kegel, samt pä ryggningcn längs takfoten, gaslarne och omkring luckvrne nied kopparplarar; marandes i betta hus anlagde 7 ö-imerfalls.qwarnar och lifa mänga par qw arn stenar frän och med ^ kill och med io qmarters diameter, hwaraf 2:ne inrättade Lfwen lill sittning, allt aspaffadt efter behvfmeii och föemänligt lill iverkctS behöriga driftDammen och Damplakcn, klädde med turst plankor, samt Wattenräniian imellan Q-wanihusek och Dammen öfwe » bvggd af fini, plankor nied fina Stambord.	312:320	0:543	Olands varmsten , i 2:11c maningar och wind , läckt med kegel , samt pä ryggningcn längs takfoten , gaslarne och omkring luckvrne nied kopparplarar ; marandes i betta hus anlagde 7 ö-imerfalls.qwarnar och lifa mänga par qw arn stenar frän och med ^ kill och med io qmarters diameter , hwaraf 2:ne inrättade Lfwen lill sittning , allt aspaffadt efter behvfmeii och föemänligt lill iverkctS behöriga driftDammen och Damplakcn , klädde med turst plankor , samt Wattenräniian imellan Q-wanihusek och Dammen öfwe » bvggd af fini , plankor nied fina Stambord .	56	0:93	olands varmsten $ i $ maning och wind $ läcka med kegel $ samt pä ryggningcn längs takfot $ gaslarne och omkring luckvrne nied kopparplarar $ marandes i bete hus anlägga 7 $ och lifa mänga par qw arn sten frän och med $ kille och med io qmarters diameter $ hwaraf $ inrätta lfwen lill sittning $ all aspaffadt efter behvfmeii och föemänligt lill iverkcts behörig driftdammen och damplakcn $ klä med turst planka $ samt wattenräniian imellan $ och damm öfwe $ bvggd af fini $ planka nied fin stambord $
sittning		1804	1	bib11653825_18040730_145134_91_0002_alto.xml-7-44	 	bestär af Konungar- Kurfbrstar och Förstår, sch lilläier ej mer än en Kkjsarewärdigvel m. w. Hade man sökt detta ledamot stop, h rru tätt hade man ej kunnat bibehälla de rättig » siettr dkrtiv, som Burgundista kretsen och be » sittningen af Maij gäfwo?	227:237	0:252	bestär af Konungar- Kurfbrstar och Förstår , sch lilläier ej mer än en Kkjsarewärdigvel m . w. Hade man sökt detta ledamot stop , h rru tätt hade man ej kunnat bibehälla de rättig » siettr dkrtiv , som Burgundista kretsen och be » sittningen af Maij gäfwo ?	44	0:49	bestär af $ kurfbrstar och förstå $ sch lilläier ej mer än en kkjsarewärdigvel m $ $ ha man söka denna ledamot stop $ h rru tät ha man ej kunna bibehälla en rättig $ siettr dkrtiv $ som burgundista krets och be $ sittning af maij gäfwo $
sittning		1813	1	bib11653828_18130506_144028_103_0001_alto.xml-0-19	 	forn följer:" Militairc.Conventionen försäkrade Kejsaren, intilldess akt eli ny öswcrenskominelss med Preussen uppgiorveS, om b« sittningen af GlogauS, KsistrinS och StettinS fällningar; men den förstnämdeS provianterande ställe ste pä Frankrike- bekostnad ifrän den - ag dä riva (konventionen undertcknades, och de begge aiidraS ifrän ben dag dä Konungen uppfyllt sin förbindelse i anseende lill contributionens betalande.	129:139	0:423	forn följer : " Militairc.Conventionen försäkrade Kejsaren , intilldess akt eli ny öswcrenskominelss med Preussen uppgiorveS , om b« sittningen af GlogauS , KsistrinS och StettinS fällningar ; men den förstnämdeS provianterande ställe ste pä Frankrike- bekostnad ifrän den - ag dä riva ( konventionen undertcknades , och de begge aiidraS ifrän ben dag dä Konungen uppfyllt sin förbindelse i anseende lill contributionens betalande .	19	0:65	forn följa $ $ $ försäkra kejsare $ intilldess akt eli ny öswcrenskominelss med preussen uppgiorves $ om $ sittning af glogaus $ ksistrins och stettins fällning $ men den förstnämd provianterande ställe så pä $ bekostnad ifrän den $ ag dä riva $ konvention undertcknades $ och de begge aiidras ifrän ben dag dä konung uppfylld sig förbindelse i anseende lill contributionens betala $
sittning		1817	1	bib13506739_18170123_144030_18_0011_alto.xml-1-6	 	En Flicka Kundar till » äiia Sittning Äaminar- eller Frökenpigc-tienst; hon kan sy Kläder och ar na » alt stöta Knare Kläder; hen lofwar att med flit och uppnnUfiambet uträtta Invad txunc blir anförtrott.	29:37	0:204	En Flicka Kundar till » äiia Sittning Äaminar- eller Frökenpigc-tienst ; hon kan sy Kläder och ar na » alt stöta Knare Kläder ; hen lofwar att med flit och uppnnUfiambet uträtta Invad txunc blir anförtrott .	6	0:37	en flicka kundar till $ äiia sittning $ eller $ $ hon kunna sy kläder och ar na $ alt stöta knare kläder $ hen lofwar att med flit och uppnnufiambet uträtta invad txunc bli anförtro $
sittning		1803	1	bib11653828_18030901_144028_198_0001_alto.xml-11-44	 	Regeringen underhäller stora Armeer uti Italien och H.lvetieu, och det underhällcr jcmwäl en Armee i norra Tyffland, helt wistt af ingen annan orsak än art försäkra sig emot de farm, sorn kunde hota dest i Norden för&gt; värflvade B&gt; sittningar."	237:247	0:249	Regeringen underhäller stora Armeer uti Italien och H.lvetieu , och det underhällcr jcmwäl en Armee i norra Tyffland , helt wistt af ingen annan orsak än art försäkra sig emot de farm , sorn kunde hota dest i Norden för&gt ; värflvade B&gt ; sittningar . "	44	0:47	regering underhälla stor armeer uti italien och $ $ och den underhällcr jcmwäl en armee i norra tyffland $ hel wistt af ingen annan orsak än art försäkra sig emot en farm $ sorn kunna hota dest i norden $ $ värflvade $ $ sittning $ $
sittning		1822	1	bib13506739_18220726_144030_171_0006_alto.xml-5-32	 	Twenne ljusa och w&gt;: ckra Ungkarlsrum wid Stortorget, samt 3:nc Rum och Kök, jemte Uthus wid Wc » Serlänggatan, nära Jerntorget, äro till in }, sittning att hyra.	147:155	0:165	Twenne ljusa och w&gt ; : ckra Ungkarlsrum wid Stortorget , samt 3:nc Rum och Kök , jemte Uthus wid Wc » Serlänggatan , nära Jerntorget , äro till in } , sittning att hyra .	32	0:36	twenne ljus och $ $ $ ckra ungkarlsrum wid stortorg $ samt $ rum och kök $ jemte uthus wid wc $ serlänggatan $ nära jerntorget $ äro till in $ $ sittning att hyra $
sittning		1812	1	bib11653828_18121214_144028_291_0001_alto.xml-5-0	 	sittning, hwarpä Mnandaö Armee retirerade till Maracap, hwilken plats likaledes snart besattes af te Kongl, tropparna, antingen genom förräderi eller uraktläienhet 5 Mirandaö sida.	0:8	0:180	sittning , hwarpä Mnandaö Armee retirerade till Maracap , hwilken plats likaledes snart besattes af te Kongl , tropparna , antingen genom förräderi eller uraktläienhet 5 Mirandaö sida .	0	0:29	sittning $ hwarpä mnandaö armee retirera till maracap $ hwilken plats likaledes snar besätta af te kongl $ tropp $ antingen genom förräderi eller uraktläienhet 5 mirandaö sida $
sittning		1804	1	bib19520388_18040215_147487_7_0003_alto.xml-0-8	 	Lennon, hwarigenom Porten ater kommit i be« sittning af Mzandria och Egypten.	44:52	0:77	Lennon , hwarigenom Porten ater kommit i be« sittning af Mzandria och Egypten .	8	0:14	lennon $ hwarigenom port ater komma i $ sittning af mzandria och egypten $
sittning		1808	1	bib11653828_18081003_144028_229_0002_alto.xml-4-46	 	i krig nied StorBrittonriien, och ännu oftare med Frankrike; att de alldrig bcfarat en intcrinediaire landfättning i ben Heliga Siolens Slater, ännu mindre trott fig kunna twjnga den lidens Päswar att förbinda och conftderera fig med dem, eller afhända dem Lerås b sittningar, j händelse de hade wägrat «tt deruti ingä.	265:275	0:319	i krig nied StorBrittonriien , och ännu oftare med Frankrike ; att de alldrig bcfarat en intcrinediaire landfättning i ben Heliga Siolens Slater , ännu mindre trott fig kunna twjnga den lidens Päswar att förbinda och conftderera fig med dem , eller afhända dem Lerås b sittningar , j händelse de hade wägrat «tt deruti ingä .	46	0:57	i krig nied storbrittonriien $ och ännu ofta med frankrike $ att de alldrig bcfarat en intcrinediaire landfättning i ben helig siolens slater $ ännu föga tro fig kunna twjnga den lid päswar att förbinda och conftderera fig med de $ eller afhända de lerås b sittning $ j händelse de ha wägrat $ deruti ingä $
sittning		1825	1	bib11653828_18250611_144028_132_0002_alto.xml-15-13	 	— För Lfrigc är^Spanska ^Spanska regeringen i ytterlig förlägenhet för sina be » sittningar i Westindien, och särdeles för Cuba.	81:91	0:128	— För Lfrigc är^Spanska ^Spanska regeringen i ytterlig förlägenhet för sina be » sittningar i Westindien , och särdeles för Cuba .	13	0:22	$ för lfrigc $ $ regering i ytterlig förlägenhet för sina be $ sittning i westindien $ och särdeles för cuba $
sittning		1811	1	bib11653828_18110118_144028_15_0004_alto.xml-3-0	 	sittningars produeter cch handelswaror, anwända dcn Lag som förbjuder alla handels » förbindelser, sä fromt England ivid denna tid ej Återkallat sina CabinetsordreS och alla Atter som äro de Föreme Slaternes Neutralile till ferfäng.	0:11	0:232	sittningars produeter cch handelswaror , anwända dcn Lag som förbjuder alla handels » förbindelser , sä fromt England ivid denna tid ej Återkallat sina CabinetsordreS och alla Atter som äro de Föreme Slaternes Neutralile till ferfäng .	0	0:37	sittning produeter cch handelswaror $ anwända dcn lag som förbjuda all handel $ förbindelse $ sä from england ivid denna tid ej återkalla sig cabinetsordres och all atter som äro de föreme slaternes neutralile till ferfäng $
sittning		1815	1	bib13506739_18150516_144030_110_0008_alto.xml-3-7	 	rimlige och säkra ti & gt; sittning a 40 (j.	27:35	0:44	rimlige och säkra ti & gt ; sittning a 40 ( j .	7	0:13	rimlig och säkra ti $ gt $ sittning a 40 $ j $
sittning		1803	1	bib11653828_18031121_144028_266_0003_alto.xml-11-13	 	En Kejserlig Kommistarie hade redan infunnit sig för att taga staden i b sittning.	73:81	0:82	En Kejserlig Kommistarie hade redan infunnit sig för att taga staden i b sittning .	13	0:15	en kejserlig kommistarie ha redan $ sig för att ta stad i b sittning $
sittning		1800	1	bib11653825_18001124_145134_130_0001_alto.xml-2-9	 	dan af Kornet förloras en tredjedel wid målningen och sittningen, fä har Konungen lillätit bakning af alla flags bröd, med förb » häll.	54:64	0:135	dan af Kornet förloras en tredjedel wid målningen och sittningen , fä har Konungen lillätit bakning af alla flags bröd , med förb » häll .	9	0:26	dag af korn förlora en tredjedel wid målning och sittning $ fä ha konung lil bakning af all flaga bröd $ med förb $ hälla $
sittning		1827	1	bib11653823_18270628_144010_148_0004_alto.xml-35-36	 	En drini^ och werksam Man, » ti sin bästa äkder, son » i flera är?gnat sin tid med dnfivande » ti » ariabVi arbeten, förenade & gt; » ed ' ' sittningar mi alla sorters Mekaller, i större och niintre genre, och således haft ett önstadt tillfälle, att förstaffa sig fullkomlig kännedom uri detta nrke; men en mindre gynnande conjunctur har satt honom nr ständ att fortsätta d&gt; ' t, och sramde ' eS beräkna si » bergning; föranledd af desta stäl, önstade han art blifiva emplojerad ivid nägor större Werk i Srad eller LandSor erna, wid nä on Fabriksinrättning, wid nägot Bruk, eller större omfattning, der det fordras u v re ' se och öfwerinseende öfwer mycket folk.	141:151	0:666	En drini^ och werksam Man , » ti sin bästa äkder , son » i flera är ?gnat sin tid med dnfivande » ti » ariabVi arbeten , förenade & gt ; » ed ' ' sittningar mi alla sorters Mekaller , i större och niintre genre , och således haft ett önstadt tillfälle , att förstaffa sig fullkomlig kännedom uri detta nrke ; men en mindre gynnande conjunctur har satt honom nr ständ att fortsätta d&gt ; ' t , och sramde ' eS beräkna si » bergning ; föranledd af desta stäl , önstade han art blifiva emplojerad ivid nägor större Werk i Srad eller LandSor erna , wid nä on Fabriksinrättning , wid nägot Bruk , eller större omfattning , der det fordras u v re ' se och öfwerinseende öfwer mycket folk .	36	0:137	en $ och werksam man $ $ ti sig bra äkder $ son $ i flera vara $ sig tid med dnfivande $ ti $ ariabvi arbete $ förena $ gt $ $ ed $ $ sittning mi all sort mekaller $ i stor och niintre genre $ och således ha en önstadt tillfälle $ att förstaffa sig fullkomlig kännedom uri denna nrke $ men en liten gynnande conjunctur ha sätta han nr ständ att fortsätta $ $ $ t $ och sramde $ e beräkna si $ bergning $ föranleda af desta stäl $ önstade han art blifiva emplojera ivid nägor stor werk i srad eller landsor erna $ wid nä on fabriksinrättning $ wid nägot bruk $ eller stor omfattning $ der den fordra u v re $ se och öfwerinseende öfwer mycket folk $
sittning		1820	1	bib13506739_18200115_144030_11_0007_alto.xml-5-2	 	Till instundande sittning Sr att hyra hos Bryggaren Rosenblad, uti Huset N:o 5, Qw, Bryggaren wid Göthgatan: En PZäning om 8 Rum och Kök, i den mäst eleganta och moderna smak, förenade med alla de komodileter som möiliaen af ett större Hushall san önskas.	17:25	0:255	Till instundande sittning Sr att hyra hos Bryggaren Rosenblad , uti Huset N:o 5 , Qw , Bryggaren wid Göthgatan : En PZäning om 8 Rum och Kök , i den mäst eleganta och moderna smak , förenade med alla de komodileter som möiliaen af ett större Hushall san önskas .	2	0:51	till instunda sittning sr att hyra hos bryggare rosenblad $ uti hus $ 5 $ qw $ bryggare wid göthgatan $ en pzäning om 8 rum och kök $ i den mäst elegant och modern smak $ förena med all en komodileter som möiliaen af en stor hushall san önska $
