lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
stöt		1828	1	bib13506739_18281105_144030_259_0001_alto.xml-5-34	 	^Elfsborgs Län känt en sä stark jordbäfning, att till och med tegelpannorna pa taken hörts bullra der, af, har i Pggestorvs Socken af detta Län ^örmärkrs en gamla bcrudlig jord, stöt.	178:182	0:183	^Elfsborgs Län känt en sä stark jordbäfning , att till och med tegelpannorna pa taken hörts bullra der , af , har i Pggestorvs Socken af detta Län ^örmärkrs en gamla bcrudlig jord , stöt .	34	0:36	$ län känna en sä stark jordbäfning $ att till och med tegelpanna pa tak höra bullra der $ af $ ha i pggestorvs socken af denna län $ en gammal bcrudlig jord $ stöt $
stöt		1811	1	bib11653825_18110315_145134_31_0002_alto.xml-1-31	 	Lorder gäfwo Hans Kongl- Höghet begge det räset, att strävt ester Regentstapcts tillträdande läka kalla Konungens Läkare, och inhämta deras yttrande öfwer Hans Maj-ts tillständ, innan han b stöt nägon förändring i Ministären.	190:194	0:225	Lorder gäfwo Hans Kongl- Höghet begge det räset , att strävt ester Regentstapcts tillträdande läka kalla Konungens Läkare , och inhämta deras yttrande öfwer Hans Maj-ts tillständ , innan han b stöt nägon förändring i Ministären .	31	0:37	lord gäfwo hans $ höghet begge den räset $ att sträv est regentstapcts tillträda läka kalla konung läkare $ och inhämta de yttrande öfwer hans $ tillständ $ innan han b stöt nägon förändring i ministär $
stöt		1811	1	bib11653828_18110813_144028_186_0001_alto.xml-13-3	 	_ I förgär stöt Lagstiftande Corpsen dess Sessioner, till följe af ett Kejserligt Dccr t, som öswcrleniiiades af nägra Deputerade utaf Scatsrädet.	11:15	0:146	_ I förgär stöt Lagstiftande Corpsen dess Sessioner , till följe af ett Kejserligt Dccr t , som öswcrleniiiades af nägra Deputerade utaf Scatsrädet .	3	0:25	$ i förgär stöt lagstifta corpsen den session $ till följe af en kejserlig dccr t $ som öswcrleniiiades af nägra deputera utaf scatsrädet $
stöt		1830	1	bib15650837_18300616_146391_48_0002_alto.xml-22-18	 	wörö de första ord hon förmädde säga, sprang till gösten, kastade sig ner öfwer honom, stöt honom!	87:91	0:98	wörö de första ord hon förmädde säga , sprang till gösten , kastade sig ner öfwer honom , stöt honom !	18	0:21	wörö en första ord hon förmädde säga $ springa till gösten $ kasta sig ner öfwer han $ stöt han $
stöt		1829	1	bib15650837_18290905_146391_71_0003_alto.xml-6-16	 	iiteligen kvinmer han till sekreterarens dörr: Hans Hvördighet, liggande wärdslöst pä en soffa, stöt • jj dricka sitt choklad.	96:100	0:126	iiteligen kvinmer han till sekreterarens dörr : Hans Hvördighet , liggande wärdslöst pä en soffa , stöt • jj dricka sitt choklad .	16	0:23	iiteligen kvinmer han till sekreterare dörr $ han hvördighet $ ligga wärdslöst pä en soffa $ stöt $ jj dricka sig choklad $
stöt		1791	1	bib11653828_17910107_144028_4_0001_alto.xml-4-48	 	bestående litt et Ur, et Silfwerbacken, Nätteldukar, fina Kläden, Theer, m. m. samt 6000 Realer i penningar til Utdelning ibland Kejsarens suitki Oen Maroccanste Prinsen emvltog alt delta, sittande til häst inwid ek för honom upstagit Tält, och man stöt a bada sidor nied Kanoner, under dek presenterne aflemnades och emotlogos.	249:253	0:328	bestående litt et Ur , et Silfwerbacken , Nätteldukar , fina Kläden , Theer , m . m . samt 6000 Realer i penningar til Utdelning ibland Kejsarens suitki Oen Maroccanste Prinsen emvltog alt delta , sittande til häst inwid ek för honom upstagit Tält , och man stöt a bada sidor nied Kanoner , under dek presenterne aflemnades och emotlogos .	48	0:62	bestå litt et ur $ et silfwerbacken $ nättelduk $ fin kläde $ the $ m $ m $ samt 6000 real i penning til utdelning ibland kejsare suitki o maroccanste prins emvltog alt delta $ sitta til häst inwid ek för han upstagit tält $ och man stöt a bada sida nied kanon $ under dek present aflemna och emotlogos $
stöt		1827	1	bib15650837_18270801_146391_61_0001_alto.xml-3-10	 	betydlig stada hafwa stjedt, men pä landet, där stöten lärer warit häftigare, frurrar man att stora olyckor inträffat.	48:54	0:118	betydlig stada hafwa stjedt , men pä landet , där stöten lärer warit häftigare , frurrar man att stora olyckor inträffat .	10	0:22	betydlig stada hafwa stjedt $ men pä land $ där stöt lärer warit häftig $ frurrar man att stor olycka inträffa $
stöt		1818	1	bib19227291_18181223_145289_52_0003_alto.xml-11-0	 	stöt man, att Maubreuil a nyo skalle arresteras an sec » et.	0:4	0:60	stöt man , att Maubreuil a nyo skalle arresteras an sec » et .	0	0:14	stöt man $ att maubreuil a nyo skalle arrestera an sec $ et $
stöt		1819	1	bib11653828_18190915_144028_213_0003_alto.xml-8-0	 	stöt derjemte » att den stulle öfwerlemnas till H.	0:4	0:50	stöt derjemte » att den stulle öfwerlemnas till H .	0	0:10	stöt derjemte $ att den stulle öfwerlemnas till h $
stöt		1828	1	bib11653828_18280110_144028_8_0003_alto.xml-3-10	 	limningarna af sin slingrade division, och frän alla kanter stöt, rekryter till honom.	60:64	0:86	limningarna af sin slingrade division , och frän alla kanter stöt , rekryter till honom .	10	0:16	limning af sig slingra division $ och frän all kant stöt $ rekryt till han $
