lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
studie		1818	1	bib11653828_18180520_144028_112_0001_alto.xml-2-32	 	har likwäl med mod be, egrat stu, ' ern ' ern s möda, och här framställt prosafssu fört-cnst, som mägtigt böra werka ntt äita unga Konstnärer wid grundliga studier, ock förmå dem att ej rakna de swarigieler, sorn möta pä den bana, der, sedan de blinvit be, segrade, belöningen Med den störstft tills-edoställUsen kan ernäs.	156:163	0:323	har likwäl med mod be , egrat stu , ' ern ' ern s möda , och här framställt prosafssu fört-cnst , som mägtigt böra werka ntt äita unga Konstnärer wid grundliga studier , ock förmå dem att ej rakna de swarigieler , sorn möta pä den bana , der , sedan de blinvit be , segrade , belöningen Med den störstft tills-edoställUsen kan ernäs .	32	0:66	ha likwäl med mod be $ egrat stu $ $ ern $ ern s möda $ och här framställa prosafssu $ $ som mägtigt böra werka ntt äita ung konstnär wid grundlig studie $ ock förmå de att ej rakna en swarigieler $ sorn möta pä den bana $ der $ sedan de blinvit be $ segra $ belöning med den störstft $ kunna ernäs $
studie		1792	1	bib11653828_17920221_144028_43_0002_alto.xml-12-6	 	förmanade alla Prester at fortsatta fina Studier, at göra fig bekaitte nied ben nya kiteraturen och lara känna de i senare rider gjorde anfall emot ben Christna Religionen, samt dem wederlagga".	41:48	0:194	förmanade alla Prester at fortsatta fina Studier , at göra fig bekaitte nied ben nya kiteraturen och lara känna de i senare rider gjorde anfall emot ben Christna Religionen , samt dem wederlagga " .	6	0:35	förmana all prest at fortsätta fin studie $ at göra fig bekaitte nied ben ny kiteraturen och lara känna de i sen rida göra anfall emot ben christna religion $ samt de wederlagga $ $
studie		1818	1	bib11653828_18181009_144028_233_0001_alto.xml-4-22	 	Skola har likwäl delta företag lyckats, utan bäve lärares och lärjungars betungande, och utan att tiden bliswit borttagen för angelägnare studier.	138:145	0:146	Skola har likwäl delta företag lyckats , utan bäve lärares och lärjungars betungande , och utan att tiden bliswit borttagen för angelägnare studier .	22	0:24	skola ha likwäl delta företag lyckas $ utan bäve lärare och lärjunge betunga $ och utan att tid bliswit bortta för angelägen studie $
studie		1817	1	bib13506739_18170224_144030_45_0011_alto.xml-13-12	 	För en hederlig Son, fom är någorlunda sir sig kommen i studier, ästundas eo studerad, bessedtig Man, so! » bar tillfälle att wiga dagar i » veckan g ' f.ra u.iderwi-S ' ing i Cdristeudome » samt räkna och flrifwa i » ni.	56:63	0:221	För en hederlig Son , fom är någorlunda sir sig kommen i studier , ästundas eo studerad , bessedtig Man , so ! » bar tillfälle att wiga dagar i » veckan g ' f.ra u.iderwi-S ' ing i Cdristeudome » samt räkna och flrifwa i » ni .	12	0:49	för en hederlig son $ få vara någorlunda sir sig komma i studie $ ästundas eo studerad $ bessedtig man $ so $ $ bära tillfälle att wiga dag i $ vecka g $ $ $ $ ing i cdristeudome $ samt räkna och flrifwa i $ ni $
studie		1815	1	bib19223423_18150114_145063_4_0002_alto.xml-8-21	 	bchöfs, för alt erin-a ren goda mannen om en cklcr annan fbrrälniing sam han g r na glömmer för sino studier, font ock fur att efter fe hans pä klädning, när han skall ut, om den är ordentlig, hwilkct just icke alltid är tillfället.	101:108	0:232	bchöfs , för alt erin-a ren goda mannen om en cklcr annan fbrrälniing sam han g r na glömmer för sino studier , font ock fur att efter fe hans pä klädning , när han skall ut , om den är ordentlig , hwilkct just icke alltid är tillfället .	21	0:50	bchöfs $ för alt $ ren god man om en cklcr annan fbrrälniing simma han g r na glömma för sino studie $ font ock fur att efter fe han pä klädning $ när han skola ut $ om den vara ordentlig $ hwilkct just icke alltid vara tillfälle $
studie		1804	1	bib11653806_18040829_145120_97_0003_alto.xml-1-45	 	berättlgsde ac&gt; detta rum söka, wara födde i Stockholm, helst af TestatorS flugt, samt 10 Le gamla, och tillika storka akt de wid Upsala Akademi fin tid i 7 ar berömligen tillbragk och wisst eller kunna wisa sådana framsteg t studier, att d« med nytta kunna besöka utrikes Akademier.	229:236	0:286	berättlgsde ac&gt ; detta rum söka , wara födde i Stockholm , helst af TestatorS flugt , samt 10 Le gamla , och tillika storka akt de wid Upsala Akademi fin tid i 7 ar berömligen tillbragk och wisst eller kunna wisa sådana framsteg t studier , att d« med nytta kunna besöka utrikes Akademier .	45	0:56	berättlgsde $ $ denna rum söka $ wara föda i stockholm $ gärna af testators flugt $ samt 10 le gammal $ och tillika storka akt de wid upsala akademi fin tid i 7 ar berömligen tillbragk och wisst eller kunna wisa sån framsteg t studie $ att $ med nytta kunna besöka utrikes akademi $
studie		1830	1	bib11653823_18300428_144010_96_0004_alto.xml-30-31	 	Uti ett alftvarsämt och barnlöst Hus pä Landet Senast ut&gt; chelpengon emottagas z a 4 Gastar, om h a 7 Lrs alder, och miderwisaS i lvanl iza Skol studier, lenrjc.	148:155	0:164	Uti ett alftvarsämt och barnlöst Hus pä Landet Senast ut&gt ; chelpengon emottagas z a 4 Gastar , om h a 7 Lrs alder , och miderwisaS i lvanl iza Skol studier , lenrjc .	31	0:35	uti en alftvarsämt och barnlös hus pä land sen $ $ chelpengon emotta z a 4 gast $ om h a 7 lrs alder $ och miderwisas i lvanl iza skola studie $ lenrjc $
studie		1830	1	bib11653823_18300901_144010_201_0003_alto.xml-17-36	 	6) Genast efter hwarje Termins sint bör Stipendiaten till RiddarhusDirectionen insända betyg af ben Ordinarie Profesor, under hwarS speciella tillsyn han kommer att stä, hnruwida Stipendiaten under samma Termin gjort widare framsteg i studier, än under den näst förntgäende, samt likaledes striftlig af Profesiorrn undertecknad underrättelse, om han witz alla uppropen warit tillstädes, elför, i widrigt fall, uppgift pä de dagar, han det icke warit.	235:242	0:450	6 ) Genast efter hwarje Termins sint bör Stipendiaten till RiddarhusDirectionen insända betyg af ben Ordinarie Profesor , under hwarS speciella tillsyn han kommer att stä , hnruwida Stipendiaten under samma Termin gjort widare framsteg i studier , än under den näst förntgäende , samt likaledes striftlig af Profesiorrn undertecknad underrättelse , om han witz alla uppropen warit tillstädes , elför , i widrigt fall , uppgift pä de dagar , han det icke warit .	36	0:76	6 $ genast efter hwarje termin sint böra stipendiat till riddarhus insända betyg af ben ordinarie profesor $ under hwars speciell tillsyn han komma att stä $ hnruwida stipendiat under samma termin göra widare framsteg i studie $ än under den näst förntgäende $ samt likaledes striftlig af profesiorrn underteckna underrättelse $ om han witz all upprop warit tillstädes $ elför $ i widrigt fall $ uppgift pä en dag $ han den icke warit $
studie		1793	1	bib11653828_17930927_144028_221_0004_alto.xml-10-20	 	" Den store Lon dö koni en dag in uti Konungens Eabinett, dä Hans Maj:t war syflosalt med fina studier.	95:102	0:103	" Den store Lon dö koni en dag in uti Konungens Eabinett , dä Hans Maj:t war syflosalt med fina studier .	20	0:22	$ den stor lo dö koni en dag in uti konung eabinett $ dä hans $ war syflosalt med fin studie $
studie		1825	1	bib13506739_18250917_144030_215_0008_alto.xml-10-40	 	HoS en glft Pcestmau i Upfala fiinna bättre Föräldrars barn i ett för allt inackorderas, antinoen for hcla äret eller ock kör de Afademista Lästecminerna och derjemtc, om fä önstaS, erhälla tillsy » och biträLe i sina studier.	218:225	0:226	HoS en glft Pcestmau i Upfala fiinna bättre Föräldrars barn i ett för allt inackorderas , antinoen for hcla äret eller ock kör de Afademista Lästecminerna och derjemtc , om fä önstaS , erhälla tillsy » och biträLe i sina studier .	40	0:42	hos en glft pcestmau i upfala fiinna bra förälder barn i en för all inackordera $ antinoen fara hcla äret eller ock köra en afademista lästecminerna och derjemtc $ om fä önstas $ erhälla tillsy $ och biträle i sig studie $
