lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
undertrycka		1812	1	bib11653825_18120512_145134_55_0002_alto.xml-1-33	 	scil-orderne af rgvy intogo deras ställe, och Brittista reprcssalierne upphörde att wcrkstallas mot alla de Länder i hwilka fiendens system gällde, och inskränktes till Frankrike samt de Länder som moro mest undertryckte af samma Rike och pä det sältet utgjorde werk » liga delar deraf.	208:220	0:286	scil-orderne af rgvy intogo deras ställe , och Brittista reprcssalierne upphörde att wcrkstallas mot alla de Länder i hwilka fiendens system gällde , och inskränktes till Frankrike samt de Länder som moro mest undertryckte af samma Rike och pä det sältet utgjorde werk » liga delar deraf .	33	0:48	$ af rgvy intogo de ställe $ och brittista reprcssalierne upphöra att wcrkstallas mot all en land i hwilka fiende system gälla $ och inskränka till frankrike samt en land som moro mycket undertrycka af samma rike och pä den sältet utgöra werk $ liga del deraf $
undertrycka		1820	1	bib11653825_18200330_145134_36_0004_alto.xml-7-32	 	för densamma, och fade:" Faran är för stor att ej motas; inskränka cnstilte personers frihet är ej att lägga fjcttrar pä nationen; inskränka tryckfriheten ar ej att undertrycka förnuftet, rc." Hr Dupont de I ' Eure röstade mot förstaget, hwarwid han Pttrade:" Jag will hafwa lagarnes diktatur, » aldrig menniskjors; jag förtror ej dictaturn Zt Carilina, men icke heller ät Cicero, 0. s.	165:176	0:386	för densamma , och fade : " Faran är för stor att ej motas ; inskränka cnstilte personers frihet är ej att lägga fjcttrar pä nationen ; inskränka tryckfriheten ar ej att undertrycka förnuftet , rc. " Hr Dupont de I ' Eure röstade mot förstaget , hwarwid han Pttrade : " Jag will hafwa lagarnes diktatur , » aldrig menniskjors ; jag förtror ej dictaturn Zt Carilina , men icke heller ät Cicero , 0 . s .	32	0:79	för densamma $ och fade $ $ fara vara för stor att ej mota $ inskränka cnstilte person frihet vara ej att lägga fjcttrar pä nation $ inskränka tryckfrihet ar ej att undertrycka förnuft $ $ $ hr dupont de i $ eure rösta mot förstag $ hwarwid han pttrade $ $ jag will hafwa lag diktatur $ $ aldrig menniskjors $ jag förtro ej dictaturn z carilina $ men icke heller äta cicero $ 0 $ s $
undertrycka		1794	1	bib11653828_17940327_144028_70_0002_alto.xml-3-15	 	Det anstod således icke en fri Nation at förbinda sig nied deni, för at undertrycka Friheten hos en annan Nation.	72:83	0:113	Det anstod således icke en fri Nation at förbinda sig nied deni , för at undertrycka Friheten hos en annan Nation .	15	0:22	den anstå således icke en fri nation at förbinda sig nied deni $ för at undertrycka frihet hos en annan nation $
undertrycka		1822	1	bib19225772_18220821_148004_95_0001_alto.xml-7-3	 	San Martin att undertrycka Konstitutionen af Cadix, i hwars ställe de wille sätta en grundlag fädan som Fransyffa Chartan med twä Kamrar.	15:26	0:137	San Martin att undertrycka Konstitutionen af Cadix , i hwars ställe de wille sätta en grundlag fädan som Fransyffa Chartan med twä Kamrar .	3	0:24	san martin att undertrycka konstitution af cadix $ i hwars ställe de wille sätta en grundlag fädan som fransyffa charta med twä kammare $
undertrycka		1804	1	bib11653825_18040512_145134_57_0001_alto.xml-5-15	 	troe, att Beglerbegcn af Rumelien torde fä befallning att öterställa lugnet i Servien, undertrycka Deperne, som tillffansat sig makten	87:98	0:134	troe , att Beglerbegcn af Rumelien torde fä befallning att öterställa lugnet i Servien , undertrycka Deperne , som tillffansat sig makten	15	0:22	troe $ att beglerbegcn af rumelien torde fä befallning att öterställa lugn i servi $ undertrycka deperne $ som tillffansat sig makt
undertrycka		1827	1	bib15650837_18270519_146391_40_0009_alto.xml-4-37	 	öst att denna Bokförings-method, i afseende pä de§ redighet^ och fullständighet, icke lemnar nägon önstan öfrig, men att densamma afwen uptager sä mycken lid och fordrar sä mycken fficklighet, att wi icke kunne undertrycka den önstan, att Directionen mätte finna Bankens tillgångar medgifwa möjligheten att öka Bokförandens arfwode till ett belopp, som nägorlunda mä kunna motswara hans möda och tidspillan.	211:222	0:407	öst att denna Bokförings-method , i afseende pä de§ redighet^ och fullständighet , icke lemnar nägon önstan öfrig , men att densamma afwen uptager sä mycken lid och fordrar sä mycken fficklighet , att wi icke kunne undertrycka den önstan , att Directionen mätte finna Bankens tillgångar medgifwa möjligheten att öka Bokförandens arfwode till ett belopp , som nägorlunda mä kunna motswara hans möda och tidspillan .	37	0:67	öst att denna $ $ i afseende pä $ $ och fullständighet $ icke lemna nägon önstan öfrig $ men att densamma afwen uptager sä mycken lid och fordra sä mycken fficklighet $ att wi icke kunna undertrycka den önstan $ att directionen mäta finna bank tillgång medgifwa möjlighet att öka bokförande arfwode till en belopp $ som nägorlunda mä kunna motswara han möda och tidspillan $
undertrycka		1822	1	bib11653823_18221111_144010_263_0002_alto.xml-14-16	 	Slutligen beropar Porren sig pä de fem stora allierade Makternas egna grundsats, nemligen:" undertryckande af alia rebellioner".	92:106	0:128	Slutligen beropar Porren sig pä de fem stora allierade Makternas egna grundsats , nemligen : " undertryckande af alia rebellioner " .	16	0:22	slutligen beropar porr sig pä en fem stor alliera makt egen grundsats $ nemligen $ $ undertrycka af alia rebellion $ $
undertrycka		1830	1	bib19277277_18300618_147682_138_0001_alto.xml-29-10	 	är icke fråga om folket stall » vara fritt eller undertryckt, » - an fr8gan är, antingen det ena eller andra militärpartiet stall trampa det andra under föttcrne.	49:60	0:162	är icke fråga om folket stall » vara fritt eller undertryckt , » - an fr8gan är , antingen det ena eller andra militärpartiet stall trampa det andra under föttcrne .	10	0:31	vara icke fråga om folk stall $ vara fri eller undertrycka $ $ $ an fr8gan vara $ antingen den ena eller andra militärpartiet stall trampa den andra under föttcrne $
undertrycka		1828	1	bib19277277_18281115_147682_268_0001_alto.xml-7-103	 	••••vn-iyv vfv * * ali, efter behag och pa blotta » listtankar, kaka i fangclss hiveiN de för godt finna; huru denne usukparör, svin körebär stg strida för lagarne och le rättrogna, understödd af ilstna, hamtgiriga, snäla och fanalista Catbolsta Prester och Munkar, likasom ängsligt siker efter atr förolämpa och ' uiisthandla icke allenast den nation, hwars öde fo: räooricr och prcstwäldct spelt honom i händerna, utan äftvln ben wärnldse främliugen som räkar besinna sig inom dest stater; burn flclfwa dee liberala England pä Äilkenn y uppbjuder allt, för att undertrycka Len anda as förnufti.a sördrugsamhet cch liberalitet som räder hos nationen, & gt; u.	563:574	0:660	••••vn-iyv vfv * * ali , efter behag och pa blotta » listtankar , kaka i fangclss hiveiN de för godt finna ; huru denne usukparör , svin körebär stg strida för lagarne och le rättrogna , understödd af ilstna , hamtgiriga , snäla och fanalista Catbolsta Prester och Munkar , likasom ängsligt siker efter atr förolämpa och ' uiisthandla icke allenast den nation , hwars öde fo : räooricr och prcstwäldct spelt honom i händerna , utan äftvln ben wärnldse främliugen som räkar besinna sig inom dest stater ; burn flclfwa dee liberala England pä Äilkenn y uppbjuder allt , för att undertrycka Len anda as förnufti.a sördrugsamhet cch liberalitet som räder hos nationen , & gt ; u .	103	0:121	$ vfv $ $ ali $ efter behag och pa blott $ listtankar $ kaka i fangclss hivein de för god finna $ huru denna usukparör $ svin körebär stg strida för lag och le rättrogen $ understödd af ilstna $ hamtgiriga $ snäla och fanalista catbolsta prest och munk $ likasom ängslig siker efter atr förolämpa och $ uiisthandla icke allenast den nation $ hwars öde fo $ räooricr och prcstwäldct spela han i hand $ utan äftvln ben wärnldse främliugen som räkar besinna sig inom dest stat $ burn flclfwa dee liberal england pä äilkenn y uppbjuda all $ för att undertrycka len anda as $ sördrugsamhet cch liberalitet som räd hos nation $ $ gt $ u $
undertrycka		1820	1	bib11653825_18200506_145134_52_0002_alto.xml-20-11	 	stola bestydda allt det, som bör bestyddas; de stola undertrycka allt det, font bör undertryckas.	53:64	0:97	stola bestydda allt det , som bör bestyddas ; de stola undertrycka allt det , font bör undertryckas .	11	0:19	stola bestydda all den $ som böra bestyddas $ de stola undertrycka all den $ font böra undertrycka $
undertrycka		1829	1	bib13506739_18290304_144030_52_0001_alto.xml-10-16	 	mot har man sett länder, där ett mäqtigt varti ansträngt alla krafter, för att undertrycka alla den obetydligare medborgarens rättigheter, men dock icke lyckats, endast ock allenast af det skäl.	79:90	0:194	mot har man sett länder , där ett mäqtigt varti ansträngt alla krafter , för att undertrycka alla den obetydligare medborgarens rättigheter , men dock icke lyckats , endast ock allenast af det skäl .	16	0:35	mot ha man se land $ där en mäqtigt varti anstränga all kraft $ för att undertrycka all den obetydlig medborgare rättighet $ men dock icke lyckas $ endast ock allenast af den skäl $
undertrycka		1810	1	bib13506739_18100713_144030_161_0002_alto.xml-15-18	 	i likhet med den der rä&gt; tsin&gt; a ock modiga mannen, som e, kunde undertrycka sin hemliga önstan, al.- FvU ket mät.e U ' ida till waKsainhct, de » dagen höll sig pa afständ; men tzwarföre icke nu inför Domftele » srvmtrada » om er.	71:82	0:236	i likhet med den der rä&gt ; tsin&gt ; a ock modiga mannen , som e , kunde undertrycka sin hemliga önstan , al.- FvU ket mät.e U ' ida till waKsainhct , de » dagen höll sig pa afständ ; men tzwarföre icke nu inför Domftele » srvmtrada » om er .	18	0:53	i likhet med den der $ $ $ $ a ock modig man $ som e $ kunna undertrycka sig hemlig önstan $ $ fvu k $ u $ ida till waksainhct $ en $ dag hålla sig pa afständ $ men tzwarföre icke nu inför domftele $ srvmtrada $ om ni $
