lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
uppfattning		1828	1	bib19227306_18280722_147700_30_0003_alto.xml-24-19	 	icke fäga, att henncs talang inftranker sig endast dertill; men hon-utmärker sig icke genom s » djupare uppfattning af musikens a » da, eller genom sume för det grandiosa och sublinia, hwarigenom Mad.	104:115	0:200	icke fäga , att henncs talang inftranker sig endast dertill ; men hon-utmärker sig icke genom s » djupare uppfattning af musikens a » da , eller genom sume för det grandiosa och sublinia , hwarigenom Mad .	19	0:38	icke fäga $ att henncs talang inftranker sig endast dertill $ men $ sig icke genom s $ djup uppfattning af musik a $ da $ eller genom sume för den grandios och sublinia $ hwarigenom mad $
uppfattning		1821	1	bib11653828_18210904_144028_206_0002_alto.xml-19-3	 	t!ti Skriftfpräkets uppfattning, som denne Talare ökmerallt wisar, uppdelar han här sitt tal ur detta spräk fälunda: 1) & lt; Dm någon talar han tale så¬ som Guds ord — till inuehället — till sättet.	20:31	0:199	t !ti Skriftfpräkets uppfattning , som denne Talare ökmerallt wisar , uppdelar han här sitt tal ur detta spräk fälunda : 1 ) & lt ; Dm någon talar han tale så¬ som Guds ord — till inuehället — till sättet .	3	0:42	t $ skriftfpräkets uppfattning $ som denna talare ökmerallt wisar $ uppdela han här sig tal ur denna spräk fälunda $ 1 $ $ lt $ dm någon tala han tale $ som gud ord $ till inuehället $ till sätt $
uppfattning		1827	1	bib19227306_18271030_147700_18_0003_alto.xml-3-13	 	uppmärksamhet hos ästädaren, ty ett ord förloradt gör en lucka i händelsens uppfattning, som betydligt stör njutningen af det hela.	76:87	0:131	uppmärksamhet hos ästädaren , ty ett ord förloradt gör en lucka i händelsens uppfattning , som betydligt stör njutningen af det hela .	13	0:23	uppmärksamhet hos ästädaren $ ty en ord förloradt göra en lucka i händelse uppfattning $ som betydlig störa njutning af den hel $
uppfattning		1829	1	bib19227291_18290128_145289_5_0006_alto.xml-6-37	 	honom bilda sina lärlingars uttal, och fanste till en början äfwen sitt eget; men han« b.stut mä blifwa i denna del hwilket som deist, war öfwerrygelse är lika » rpggclig alt han förfelat sin uppfattning af ämnet.	192:203	0:213	honom bilda sina lärlingars uttal , och fanste till en början äfwen sitt eget ; men han« b.stut mä blifwa i denna del hwilket som deist , war öfwerrygelse är lika » rpggclig alt han förfelat sin uppfattning af ämnet .	37	0:41	han bilda sig lärling uttal $ och fanste till en början äfwen sig egen $ men $ $ mä blifwa i denna del hwilket som deist $ war öfwerrygelse vara lika $ rpggclig alt han förfela sig uppfattning af ämne $
uppfattning		1829	1	bib19227306_18291209_147700_49_0002_alto.xml-16-124	 	— Hans stil mäste behaga en hwar, som icke af fördomar är blind för hwarje behandlingssätt, hwilket ej öfwerensstämmer meo det, han walt sör sig sjelf: den mäste behaga alla, som weta, att" i mänga former trifs det stöna, och stönt ar allt som snillrikt ar '" Om man ock uägon gäng kan lägga hans framställning till last nägot stelt, sökt, en twungen betydlighet, en icke alltid naturlig nyhet, sä kan man, ur en annan synpunkt, aldrig utan stor o« rärtwisa sränkänna densamma originalitet i tankegäng, i satsernas sammanbindning och gruppering, energi i argumentation och uttryck, glans och lis » lighet i föredrag, klarhet i uppfattningen.	627:640	0:641	— Hans stil mäste behaga en hwar , som icke af fördomar är blind för hwarje behandlingssätt , hwilket ej öfwerensstämmer meo det , han walt sör sig sjelf : den mäste behaga alla , som weta , att " i mänga former trifs det stöna , och stönt ar allt som snillrikt ar ' " Om man ock uägon gäng kan lägga hans framställning till last nägot stelt , sökt , en twungen betydlighet , en icke alltid naturlig nyhet , sä kan man , ur en annan synpunkt , aldrig utan stor o« rärtwisa sränkänna densamma originalitet i tankegäng , i satsernas sammanbindning och gruppering , energi i argumentation och uttryck , glans och lis » lighet i föredrag , klarhet i uppfattningen .	124	0:126	$ han stil mäste behaga en hwar $ som icke af fördom vara blind för hwarje behandlingssätt $ hwilket ej öfwerensstämmer meo den $ han walt sör sig sjelf $ den mäste behaga all $ som weta $ att $ i mänga form trifs den stöna $ och stönt ar all som snillrik ar $ $ om man ock uägon gäng kunna lägga han framställning till last nägot stel $ söka $ en twungen betydlighet $ en icke alltid naturlig nyhet $ sä kunna man $ ur en annan synpunkt $ aldrig utan stor $ rärtwisa sränkänna densamma originalitet i tankegäng $ i sats sammanbindning och gruppering $ energi i argumentation och uttryck $ glans och lie $ lighet i föredrag $ klarhet i uppfattning $
uppfattning		1814	1	bib11653828_18140423_144028_92_0004_alto.xml-4-22	 	trpcket ulroimntl och sälicS i olla Bokltidor för 12 si B co. Af Irpckei bar npligm utkommit: Försök till en ny uppfattning af bufwudgrunderna för Allmänna SpräklZran med 8 Tabell, r; ar Kammarh eren m m, Ar, l Äabr.	112:123	0:216	trpcket ulroimntl och sälicS i olla Bokltidor för 12 si B co. Af Irpckei bar npligm utkommit : Försök till en ny uppfattning af bufwudgrunderna för Allmänna SpräklZran med 8 Tabell , r ; ar Kammarh eren m m , Ar , l Äabr .	22	0:45	trpcket ulroimntl och sälics i olla bokltidor för 12 si b $ af irpckei bära npligm utkomma $ försöka till en ny uppfattning af bufwudgrunderna för allmän spräklzran med 8 tabell $ r $ ar kammarh eren m m $ ar $ l äabr $
uppfattning		1820	1	bib19223423_18201209_145063_98_0002_alto.xml-4-19	 	wlshet, ett fä rent system of prakrist moraliks: en bok med sedeläror, sä rena i sin uppfattning, sä enkla uti medlen, sä kraftfulla och lyckliga i sino werkningar: — och örn han set ej fan, fä ropar jag till honom, i namnet af hans egen favo« rik-politik: o!	85:96	0:259	wlshet , ett fä rent system of prakrist moraliks : en bok med sedeläror , sä rena i sin uppfattning , sä enkla uti medlen , sä kraftfulla och lyckliga i sino werkningar : — och örn han set ej fan , fä ropar jag till honom , i namnet af hans egen favo« rik-politik : o !	19	0:58	wlshet $ en fä ren system of prakrist moraliks $ en bok med sedelära $ sä ren i sig uppfattning $ sä enkel uti medel $ sä kraftfull och lycklig i sino werkningar $ $ och örn han set ej fan $ fä ropa jag till han $ i namn af han egen $ $ $ o $
uppfattning		1824	1	bib11653828_18240420_144028_90_0002_alto.xml-2-64	 	till en stor del redan känd », dels igenom notiser i andra tidningar, dels dä de, säsom af Styrelsen sanktionerade, utfärdats till allmän efterlefnad; nien wi häll » » ikwäl före, akt en framställning deraf i deras sammanhang stall wara af nägon nytta, icke endast som ett reperlorium för minnet, men i synnerhet för att lätta Uppfattningen af Riksdagens karakter för den som önskar reflektera derö / wer.	327:340	0:405	till en stor del redan känd » , dels igenom notiser i andra tidningar , dels dä de , säsom af Styrelsen sanktionerade , utfärdats till allmän efterlefnad ; nien wi häll » » ikwäl före , akt en framställning deraf i deras sammanhang stall wara af nägon nytta , icke endast som ett reperlorium för minnet , men i synnerhet för att lätta Uppfattningen af Riksdagens karakter för den som önskar reflektera derö / wer .	64	0:77	till en stor del redan känd $ $ dels igenom notis i andra tidning $ dels dä de $ säsom af styrelse sanktionera $ utfärda till allmän efterlefnad $ nia wi häll $ $ ikwäl före $ akt en framställning deraf i de sammanhang stall wara af nägon nytta $ icke endast som en reperlorium för minne $ men i synnerhet för att lätta uppfattning af riksdag karakter för den som önska reflektera derö $ wer $
uppfattning		1821	1	bib11653828_18210124_144028_19_0003_alto.xml-2-55	 	spräk och nied walda uttryck har han pröfwat de grundsatser, som herrska i den för nära tu är sedan- ulgifna boken n Dessin edy Dessiniana: och hans afsigt har warit, hwarken att förklena boken, eller derk person, hwarom den handlar, utan endast att reda nägra hufwudbegrepp, hwilkas rätta uppfattning ar wigtig inom cn Stat, som ager cn fri författning: Tessin framst alles ii oftvannä » inde bok fästom en hjeltemodig förstwarare stör deir obegränsade magt, som genom 1720 ärs regeringsform, och under dess successiva utwcckiing, tilldelades det Swensta Rädct.	290:301	0:562	spräk och nied walda uttryck har han pröfwat de grundsatser , som herrska i den för nära tu är sedan- ulgifna boken n Dessin edy Dessiniana : och hans afsigt har warit , hwarken att förklena boken , eller derk person , hwarom den handlar , utan endast att reda nägra hufwudbegrepp , hwilkas rätta uppfattning ar wigtig inom cn Stat , som ager cn fri författning : Tessin framst alles ii oftvannä » inde bok fästom en hjeltemodig förstwarare stör deir obegränsade magt , som genom 1720 ärs regeringsform , och under dess successiva utwcckiing , tilldelades det Swensta Rädct .	55	0:102	spräk och nied walda uttryck ha han pröfwat en grundsats $ som herrska i den för nära tu vara sedan ulgifna bok n dessin edy dessiniana $ och han afsigt ha warit $ hwarken att förklena bok $ eller derk person $ hwarom den handla $ utan endast att reda nägra hufwudbegrepp $ hwilkas rätt uppfattning ar wigtig inom cn stat $ som ager cn fri författning $ tessin framst all ii oftvannä $ inde bok fästom en hjeltemodig förstwarare störa deir obegränsad magt $ som genom 1720 ära regeringsform $ och under den successiv utwcckiing $ tilldela den swensta rädct $
uppfattning		1814	1	bib11653828_18140429_144028_97_0004_alto.xml-3-6	 	Gilwifstctpe: Försök till en ny uppfattning af hufwudgrundeina för Allmänn »	32:43	0:76	Gilwifstctpe : Försök till en ny uppfattning af hufwudgrundeina för Allmänn »	6	0:12	gilwifstctpe $ försöka till en ny uppfattning af hufwudgrundeina för allmänn $
