lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
uppfostran		1829	1	bib13506739_18291222_144030_297_0004_alto.xml-11-24	 	Perspecrif-Rirning Att rita » väl, har länge wari » ansc » t säsom en af de lysande talanger, hwilka utmärka en god uppfostran; men Damerna hinna i allmänhet sällan till högre grad a » fullkomlighet i denna stöna konst än att copier », af den orsak, att de ej känna Peripcetif-ritningeiiS grundlagar, hwilka allenast kunna gifwa form och proportion ät ritning och förklara effecren förorsakad af localite », storlek och distans, samt förestäl, la objeeter pä papperet, säsom de i Naturen » visa sig för ästädarens öga.	116:126	0:518	Perspecrif-Rirning Att rita » väl , har länge wari » ansc » t säsom en af de lysande talanger , hwilka utmärka en god uppfostran ; men Damerna hinna i allmänhet sällan till högre grad a » fullkomlighet i denna stöna konst än att copier » , af den orsak , att de ej känna Peripcetif-ritningeiiS grundlagar , hwilka allenast kunna gifwa form och proportion ät ritning och förklara effecren förorsakad af localite » , storlek och distans , samt förestäl , la objeeter pä papperet , säsom de i Naturen » visa sig för ästädarens öga .	24	0:98	$ att rita $ väl $ ha länge wari $ ansc $ t säsom man af en lysa talang $ hwilka utmärka en god uppfostran $ men dam hinna i allmänhet sällan till hög grad a $ fullkomlighet i denna stöna konst än att copier $ $ af den orsak $ att de ej känna $ grundlag $ hwilka allenast kunna gifwa form och proportion äta ritning och förklara effecren förorsaka af localite $ $ storlek och distans $ samt förestäl $ lägga objeeter pä papper $ säsom de i natur $ visa sig för ästädarens öga $
uppfostran		1825	1	bib19277277_18251115_147682_265_0001_alto.xml-6-5	 	hjertliga tacksägelse för hans Sons uppfostran, och stall dä Grek land en gäng icke mer behöswer honom, personligen förklara si » ^krkänfla.	36:46	0:140	hjertliga tacksägelse för hans Sons uppfostran , och stall dä Grek land en gäng icke mer behöswer honom , personligen förklara si » ^krkänfla .	5	0:25	hjertlig tacksägelse för han son uppfostran $ och stall dä grek land en gäng icke mer behöswer han $ personligen förklara si $ $ $
uppfostran		1830	1	bib19277277_18301109_147682_260_0004_alto.xml-25-6	 	För det billigaste pris qstnndas till uppfostran en ung Flicka ömkring s till 9 är, uti ett hus, der ej behofwrt utan ijanan och begäret att i detta kall werka, ger anledning till denna annons, och der den alfivarfammare tillika med de » finare bildning, sa ml ktnistaper, kan winnas Swar afwaktas uti förseglad biljett till E.	38:48	0:327	För det billigaste pris qstnndas till uppfostran en ung Flicka ömkring s till 9 är , uti ett hus , der ej behofwrt utan ijanan och begäret att i detta kall werka , ger anledning till denna annons , och der den alfivarfammare tillika med de » finare bildning , sa ml ktnistaper , kan winnas Swar afwaktas uti förseglad biljett till E .	6	0:64	för den billig pris qstnndas till uppfostran en ung flicka ömkring s till 9 vara $ uti en hus $ der ej behofwrt utan ijanan och begär att i denna kall werka $ ge anledning till denna annons $ och der den alfivarfammare tillika med en $ fin bildning $ säga ml ktnistaper $ kunna winnas swar afwaktas uti försegla biljett till e $
uppfostran		1830	1	bib19227291_18301215_145289_50_0003_alto.xml-5-25	 	en faderlös yngling af Presterlig fämille, 14 att alber, rena seder och sädane framsteg i nödiga infigier, som, under en wärdad Uppfostran, kunna wäntas wid nämnde älder.	128:138	0:170	en faderlös yngling af Presterlig fämille , 14 att alber , rena seder och sädane framsteg i nödiga infigier , som , under en wärdad Uppfostran , kunna wäntas wid nämnde älder .	25	0:33	en faderlös yngling af presterlig fämille $ 14 att alber $ ren sed och sädane framsteg i nödig infigier $ som $ under en wärdad uppfostran $ kunna wäntas wid nämna älder $
uppfostran		1821	1	bib13506739_18210312_144030_59_0016_alto.xml-2-25	 	& gt; Alwcn c, mottag » s äldre Barn, för att meddela dem undenvisning t allt hwad hörer tiU e » god uppfostran.	101:111	0:112	& gt ; Alwcn c , mottag » s äldre Barn , för att meddela dem undenvisning t allt hwad hörer tiU e » god uppfostran .	25	0:27	$ gt $ alwcn c $ motta $ s gammal barn $ för att meddela de undenvisning t allt hwad hörer tiu e $ god uppfostran $
uppfostran		1811	1	bib13506739_18110123_144030_19_0008_alto.xml-10-37	 	Twenne Fader- och Moderlösa Flickor, födde as oeserl^a Föräldrar, den ena 12 och den andra z £e, as naturen rrät bildade, äga en owar, lig qwlckbet ech himi » haft en ordentlig uppfostran!	177:187	0:188	Twenne Fader- och Moderlösa Flickor , födde as oeserl^a Föräldrar , den ena 12 och den andra z £e , as naturen rrät bildade , äga en owar , lig qwlckbet ech himi » haft en ordentlig uppfostran !	37	0:39	twenne fader och moderlös flicka $ föda as $ förälder $ den ena 12 och den andra z $ $ as natur rrät bilda $ äga en owar $ lig qwlckbet ech himi $ ha en ordentlig uppfostran $
uppfostran		1825	1	bib19277277_18250615_147682_135_0004_alto.xml-16-9	 	En Kypare-Goste, stor till verten, af god uppfostran och försedd med hedrande betyg, som nära i 6 ärS tid konditionerat, Sstundar dvlik kondition,, u förr dest heldre linder loppet of innevarande sommar, sist innan Oktober, hos en aos Husbondepa en, bättre, bättre Källare, der hail nied säkerhet kali räkna pä att sä lära ut sin äter st sen de lärotid.	42:52	0:353	En Kypare-Goste , stor till verten , af god uppfostran och försedd med hedrande betyg , som nära i 6 ärS tid konditionerat , Sstundar dvlik kondition , , u förr dest heldre linder loppet of innevarande sommar , sist innan Oktober , hos en aos Husbondepa en , bättre , bättre Källare , der hail nied säkerhet kali räkna pä att sä lära ut sin äter st sen de lärotid .	9	0:72	en $ $ stor till verten $ af god uppfostran och förse med hedra betyg $ som nära i 6 ära tid konditionera $ sstundar dvlik kondition $ $ u förr dest heldre linder lopp of innevarande sommar $ sist innan oktober $ hos en aos husbondepa en $ bra $ bra källare $ der hail nied säkerhet kali räkna pä att sä lära ut sig äta st sen en lärotid $
uppfostran		1805	1	bib19225772_18051227_148004_149_0004_alto.xml-4-50	 	Sa wäl i Bokstånden här i Staden fom i Uddewalla finnes fölljande inbundna Böcker: Samling af Bibliska sprak och verfar sör 1806; Luthers Tankar om Förwallningen af det Evangelilka Prediko-ämbetet; Betraktelser öfwer en förståndig och Kristelig Barna-uppfostran; vstenheims Bref om Barna-uppfostran; Uppsats om Barna&gt; uppfostran; Barnasänger; Höga Wifan, till förmän för de fattige i härwaranbe Garnisensförsamling; Samlingar för Hlerc«r,?	321:331	0:442	Sa wäl i Bokstånden här i Staden fom i Uddewalla finnes fölljande inbundna Böcker : Samling af Bibliska sprak och verfar sör 1806 ; Luthers Tankar om Förwallningen af det Evangelilka Prediko-ämbetet ; Betraktelser öfwer en förståndig och Kristelig Barna-uppfostran ; vstenheims Bref om Barna-uppfostran ; Uppsats om Barna&gt ; uppfostran ; Barnasänger ; Höga Wifan , till förmän för de fattige i härwaranbe Garnisensförsamling ; Samlingar för Hlerc«r , ?	50	0:71	säga wäl i bokstånd här i stad få i uddewalla finna fölljande $ bok $ samling af biblisk sprak och verfar sör 1806 $ luther tank om förwallningen af den evangelilka $ $ betraktelse öfwer en förståndig och kristelig $ $ vstenheims bref om $ $ uppsats om $ $ uppfostran $ barnasänger $ hög wifan $ till förman för en fattig i härwaranbe garnisensförsamling $ samling för $ $ $
uppfostran		1803	1	bib11653806_18030802_145120_79_0007_alto.xml-9-3	 	Till en solid uppfostran, förent nied bildning i alla finare yrken kan nu genast ett bättre mans barn mottagas pä ett, säkert ställe ä Landet, ber under ben fnAsta walmägans ward den moraiifra utroef [ fris gea kan befordras af - era gynnande omständigheter.	14:24	0:258	Till en solid uppfostran , förent nied bildning i alla finare yrken kan nu genast ett bättre mans barn mottagas pä ett , säkert ställe ä Landet , ber under ben fnAsta walmägans ward den moraiifra utroef [ fris gea kan befordras af - era gynnande omständigheter .	3	0:48	till en solid uppfostran $ förena nied bildning i all fin yrke kunna nu genast en bra man barn motta pä en $ säker ställe ä land $ be under ben fnasta walmägans ward den moraiifra utroef $ fris gea kunna befordra af $ ni gynnande omständighet $
uppfostran		1810	1	bib19277346_18101215_147394_48_0003_alto.xml-8-21	 	PotakveS; huShällar för sine Drängar, ' sine Pigor; man fpavav —; men ofta mindre för sina Barnk uppfostran och ben Nödlidandes understöd, än för ott Lllfw » omtald för en wacker Klädning, en lysande Souper: eller, sam det till » gär i de lägsta kretsar, — ber Nöden makar wid dörren och Fattigdomen med bister uppsyn presiderar i det nästan tomma rummet — man dricker Raff » pL&gt; sängen, och tigger till midd„gka.	97:107	0:416	PotakveS ; huShällar för sine Drängar , ' sine Pigor ; man fpavav — ; men ofta mindre för sina Barnk uppfostran och ben Nödlidandes understöd , än för ott Lllfw » omtald för en wacker Klädning , en lysande Souper : eller , sam det till » gär i de lägsta kretsar , — ber Nöden makar wid dörren och Fattigdomen med bister uppsyn presiderar i det nästan tomma rummet — man dricker Raff » pL&gt ; sängen , och tigger till midd„gka .	21	0:85	potakves $ hushällar för sine dräng $ $ sine piga $ man fpavav $ $ men ofta föga för sig barnk uppfostran och ben nödlidandes understöd $ än för otta lllfw $ omtald för en wacker klädning $ en lysa souper $ eller $ simma den till $ gär i en låg krets $ $ be nöd make wid dörr och fattigdom med bister uppsyn presidera i den nästan tom rum $ man dricka raff $ $ $ säng $ och tigga till $ $
