lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
uppläggning		1810	1	bib19225792_18100407_147359_14_0005_alto.xml-2-10	 	genast ästundas få hyra ett större Magasin för torra warors uppläggning; swar afwakras uti förseglad billet till B. soln inlenmas pä Tryckeriet.	60:71	0:144	genast ästundas få hyra ett större Magasin för torra warors uppläggning ; swar afwakras uti förseglad billet till B . soln inlenmas pä Tryckeriet .	10	0:25	genast ästundas få hyra en stor magasin för torr warors uppläggning $ swar afwakras uti försegla bill till b $ soln inlenmas pä tryckeri $
uppläggning		1819	1	bib13506739_18190127_144030_21_0007_alto.xml-0-6	 	Wind, pahande till torra Sakcrs uppläggning, del i Bagarstuga med inmurad Panna, samt Brunn midt emot rå gatan, belägne nara Hötorget, Äro att hyra.	32:43	0:148	Wind , pahande till torra Sakcrs uppläggning , del i Bagarstuga med inmurad Panna , samt Brunn midt emot rå gatan , belägne nara Hötorget , Äro att hyra .	6	0:30	wind $ pahande till torr sakcrs uppläggning $ del i bagarstuga med $ panna $ samt brunn midt emot rå gata $ belägen nara hötorget $ äro att hyra $
uppläggning		1817	1	bib13506739_18170514_144030_110_0005_alto.xml-5-32	 	Till salu stnnes ett Magasinshus med Källare derunder, beläget i Staden nära Skeppsbron, utom det att laget & gt;: r i onlcende till WindarneS indelning inrättadt för Spanmals uppläggning, är det patzan » de för Viltualiehandel eller dylikt.	176:187	0:241	Till salu stnnes ett Magasinshus med Källare derunder , beläget i Staden nära Skeppsbron , utom det att laget & gt ; : r i onlcende till WindarneS indelning inrättadt för Spanmals uppläggning , är det patzan » de för Viltualiehandel eller dylikt .	32	0:44	till salu stnnes en magasinshus med källare derunder $ belägen i stad nära skeppsbron $ utom den att lag $ gt $ $ r i onlcende till windarnes indelning inrättadt för spanmals uppläggning $ vara den patzan $ en för viltualiehandel eller dylik $
uppläggning		1826	1	bib19277277_18261218_147682_294_0004_alto.xml-35-19	 	Moderna FruntlmmsrSkläder efter mitt, samt Fruntimmers » hattar, förfärdigas fir billigaste pris, äftven emottagsg Löslockar till uppläggning för Z jk.	130:141	0:151	Moderna FruntlmmsrSkläder efter mitt , samt Fruntimmers » hattar , förfärdigas fir billigaste pris , äftven emottagsg Löslockar till uppläggning för Z jk .	19	0:24	modern fruntlmmsrskläder efter jag $ samt fruntimmer $ hatt $ förfärdiga fir billig pris $ äftven emottagsg löslock till uppläggning för z jk $
uppläggning		1817	1	bib13506739_18170512_144030_108_0009_alto.xml-4-29	 	Till salu sinnes ett MagasinSbus mcd Källare Sernndcr, beläget i Staden nära Skeppsbron, utom det att läget är i anseende till Mndariies indelning, inrättadt för Spanmäls uppläggning, är det pa^ande för Vittualiedandel eller dylikt.- llnderrättelse fäs af Stads-Mäklaren Sake.	171:182	0:276	Till salu sinnes ett MagasinSbus mcd Källare Sernndcr , beläget i Staden nära Skeppsbron , utom det att läget är i anseende till Mndariies indelning , inrättadt för Spanmäls uppläggning , är det pa^ande för Vittualiedandel eller dylikt.- llnderrättelse fäs af Stads-Mäklaren Sake .	29	0:44	till salu sinne en magasinsbus mcd källare sernndcr $ belägen i stad nära skeppsbron $ utom den att läge vara i anseende till mndariies indelning $ inrättadt för spanmäls uppläggning $ vara den $ för vittualiedandel eller $ llnderrättelse fä af $ sake $
uppläggning		1810	1	bib19225772_18100620_148004_68_0002_alto.xml-5-87	 	* * Som genom nedrasntngen förlcdne gärdås af sä tvål Quaymuren och en del af Wästra Hamnega an framför Winhandlaren Borgens hus, som ock ena armen as Stadens derintill belägna Brygga, all fart öfwer samma Brygga tills widare och intin dest reparation hara hunnit werkstallas, kommer att upphöra; sä warder sädant till Allmänhetens kunstap lemnadt, med sörestrift, att de som hofwa nödigt färdas till Lilla Torget och widare ät stora Bommen, icke fä, under Quay- och Brygg » nurarncs uppläggning, betjena sig af nämnde Brygga, utan bör wägen tågås genom någon af de Söder om lilla Torget belägna gator litt Magasinsgatan.	484:495	0:621	* * Som genom nedrasntngen förlcdne gärdås af sä tvål Quaymuren och en del af Wästra Hamnega an framför Winhandlaren Borgens hus , som ock ena armen as Stadens derintill belägna Brygga , all fart öfwer samma Brygga tills widare och intin dest reparation hara hunnit werkstallas , kommer att upphöra ; sä warder sädant till Allmänhetens kunstap lemnadt , med sörestrift , att de som hofwa nödigt färdas till Lilla Torget och widare ät stora Bommen , icke fä , under Quay- och Brygg » nurarncs uppläggning , betjena sig af nämnde Brygga , utan bör wägen tågås genom någon af de Söder om lilla Torget belägna gator litt Magasinsgatan .	87	0:112	$ $ som genom nedrasntngen förlcdne gärdås af sä tvål quaymuren och en del af wästra hamnega an framför winhandlaren borg hus $ som ock ena arm as stad derintill belägen brygga $ all fart öfwer samma brygga tills widare och intin dest reparation hara hinna werkstallas $ komma att upphöra $ sä warder sädant till allmänhet kunstap lemnadt $ med sörestrift $ att de som hofwa nödig färdas till liten torg och widare äta stor bom $ icke fä $ under $ och brygg $ nurarncs uppläggning $ betjena sig af nämna brygga $ utan böra wägen tågå genom någon af en söder om liten torg belägen gata litt magasinsgatan $
uppläggning		1821	1	bib19225792_18211013_147359_40_0004_alto.xml-1-26	 	Uti Stora Theåker huset äro twenne Rum uti andra wäningen ar gatan med tillhörande Kök, att genast fa hyra, jemte twenne Magasiner för warors uppläggning och katr närmare öfwerenskommelse träffas tued Hr Fred.	142:153	0:209	Uti Stora Theåker huset äro twenne Rum uti andra wäningen ar gatan med tillhörande Kök , att genast fa hyra , jemte twenne Magasiner för warors uppläggning och katr närmare öfwerenskommelse träffas tued Hr Fred .	26	0:36	uti stor theåker hus äro twenne rum uti andra wäningen ar gata med tillhöra kök $ att genast fa hyra $ jemte twenne magasiner för warors uppläggning och katr nära öfwerenskommelse träffa tued hr fred $
uppläggning		1808	1	bib19225792_18081022_147359_43_0006_alto.xml-1-2	 	torra warors uppläggning, ett godt Stall för 2:ne hastar med tillräcklig Höwind deröfwer samt commod gäng frän stallet till höwinden, 2:ne stora och «äl försedda Spannemälswindar med 2 uppgångar aro nu genast lediga att sä hyras; adretz fä pä Tryck.	13:24	0:249	torra warors uppläggning , ett godt Stall för 2:ne hastar med tillräcklig Höwind deröfwer samt commod gäng frän stallet till höwinden , 2:ne stora och «äl försedda Spannemälswindar med 2 uppgångar aro nu genast lediga att sä hyras ; adretz fä pä Tryck .	2	0:44	torr warors uppläggning $ en god stall för $ hastar med tillräcklig höwind deröfwer samt commod gäng frän stall till höwinden $ $ stor och $ förse spannemälswindar med 2 uppgång aro nu genast ledig att sä hyra $ adretz fä pä tryck $
uppläggning		1803	1	bib19225772_18030629_148004_73_0003_alto.xml-13-33	 	Uri stenhuset midt emot Kvmedihnset äro till nästa Michelis lediga ali fä hyra 2:ne Ungkarlsrum med eller utan Modier, samt en stor ywalfd Källare, jemte en Wind, tjenlig för Epanmals uppläggning.	184:195	0:196	Uri stenhuset midt emot Kvmedihnset äro till nästa Michelis lediga ali fä hyra 2:ne Ungkarlsrum med eller utan Modier , samt en stor ywalfd Källare , jemte en Wind , tjenlig för Epanmals uppläggning .	33	0:35	uri stenhus midt emot kvmedihnset äro till nästa michelis ledig ali fä hyra $ ungkarlsrum med eller utan modier $ samt en stor ywalfd källare $ jemte en wind $ tjenlig för epanmals uppläggning $
uppläggning		1803	1	bib19225772_18030701_148004_74_0004_alto.xml-0-33	 	Uti stenhuset midt emot Komedihuiet ärv till nästa Michelis lediga att fS hura aine Ungkarlsrum med eller utan Möbler, samt en stor hivalfd Källare, jemte en Wind, tjenlig sol Epanmäls uppläggning.	185:196	0:197	Uti stenhuset midt emot Komedihuiet ärv till nästa Michelis lediga att fS hura aine Ungkarlsrum med eller utan Möbler , samt en stor hivalfd Källare , jemte en Wind , tjenlig sol Epanmäls uppläggning .	33	0:35	uti stenhus midt emot komedihuiet ärva till nästa michelis ledig att få hura aine ungkarlsrum med eller utan möbel $ samt en stor hivalfd källare $ jemte en wind $ tjenlig sol epanmäls uppläggning $
uppläggning		1807	1	bib11653806_18070609_145120_61_0003_alto.xml-7-54	 	är pä begge, men stogen kan säljas, och ler och sand fäs för inter, och än mer der timret stall köpas dyrt och föras längwäga ifrån, men ler och sand ar nära till hands, finner man lätt, att om nägot mer beswar stulie wara med murbrukets tillredning och uppläggning lill wagg än med timrets, besparar man dock peiminge-utgiften pä inköpet, och far tillika såsom en winst dragfria rum, som trotsa tiden och elden, och gagnar pä dubbelt sätt sig och det allmänna.	254:265	0:461	är pä begge , men stogen kan säljas , och ler och sand fäs för inter , och än mer der timret stall köpas dyrt och föras längwäga ifrån , men ler och sand ar nära till hands , finner man lätt , att om nägot mer beswar stulie wara med murbrukets tillredning och uppläggning lill wagg än med timrets , besparar man dock peiminge-utgiften pä inköpet , och far tillika såsom en winst dragfria rum , som trotsa tiden och elden , och gagnar pä dubbelt sätt sig och det allmänna .	54	0:93	vara pä begge $ men stogen kunna sälja $ och le och sand fä för inter $ och än mer der timmer stall köpa dyr och föra längwäga ifrån $ men le och sand ar nära till hands $ finna man lätt $ att om nägot mer beswar stulie wara med murbruk tillredning och uppläggning lill wagg än med timmer $ bespara man dock $ pä inköp $ och fara tillika såsom en winst dragfri rum $ som trotsa tid och eld $ och gagna pä dubbel sätt sig och den allmän $
uppläggning		1808	1	bib19225792_18081001_147359_40_0005_alto.xml-2-12	 	Uti huset N:o 80 tvid Wallgatan är ett Hwalf torra » varors uppläggning nu genast ledigt ali pras; widare bested fas pä stallet.	60:71	0:128	Uti huset N:o 80 tvid Wallgatan är ett Hwalf torra » varors uppläggning nu genast ledigt ali pras ; widare bested fas pä stallet .	12	0:25	uti hus $ 80 tvid wallgatan vara en hwalf torr $ vara uppläggning nu genast ledig ali pras $ widare bested fas pä stall $
