identifier1	identifier2	annotator	judgment	comment	lemma	round
bib11653815_18950917_146944_110_0002_alto.xml-6-2	bib19225772_18041017_148004_121_0002_alto.xml-7-19	annotator2	1.0	 	uppslag	3
bib15873371_18950606_145112_151_0003_alto.xml-36-5	bib19225758_18950720_144022_166_0006_alto.xml-203-5	annotator2	4.0	 	uppslag	3
bib19520388_18090215_147487_7_0007_alto.xml-4-21	bib11653828_18290103_144028_2_0004_alto.xml-2-5	annotator2	1.0	 	uppslag	3
bib11653823_18291014_0_238_0004_alto.xml-5-20	bib19225772_18041017_148004_121_0002_alto.xml-7-19	annotator2	1.0	 	uppslag	3
bib11653825_18200612_145134_66_0003_alto.xml-8-13	bib11653790_18991003_145648_77_0002_alto.xml-11-23	annotator2	1.0	 	uppslag	3
bib11653823_18280508_144010_107_0003_alto.xml-9-6	bib11653823_18270414_144010_87_0003_alto.xml-6-62	annotator2	4.0	 	uppslag	3
bib13506739_18200608_144030_130_0010_alto.xml-11-37	bib11653790_18991003_145648_77_0002_alto.xml-11-23	annotator2	1.0	 	uppslag	3
bib11653811_19021115_145317_176_0002_alto.xml-112-9	bib11653828_18280715_144028_159_0003_alto.xml-0-5	annotator2	1.0	 	uppslag	3
bib11653823_18270427_144010_97_0003_alto.xml-10-60	bib11653790_18991003_145648_77_0002_alto.xml-11-23	annotator2	1.0	 	uppslag	3
bib11653790_18980617_145648_46_0008_alto.xml-22-5	bib19225772_18041017_148004_121_0002_alto.xml-7-19	annotator2	1.0	 	uppslag	3
bib11653838_19010405_147024_14_0001_alto.xml-21-25	bib19227291_18960307_145289_29_0002_alto.xml-16-7	annotator2	4.0	 	uppslag	3
bib11653823_18300712_144010_157_0002_alto.xml-10-2	bib11653823_18291215_0_291_0002_alto.xml-4-2	annotator2	4.0	 	uppslag	3
bib13506739_18300220_144030_42_0004_alto.xml-8-12	bib11653823_18240909_144010_209_0007_alto.xml-10-31	annotator2	1.0	 	uppslag	3
bib11653828_18040920_144028_219_0002_alto.xml-11-7	bib11653828_18280715_144028_159_0003_alto.xml-0-5	annotator2	1.0	 	uppslag	3
bib11653838_19000406_147024_14_0001_alto.xml-37-46	bib19277277_18250430_147682_98_0002_alto.xml-10-22	annotator2	1.0	 	uppslag	3
bib15873936_18960118_147385_7_0004_alto.xml-61-17	bib19277277_18950329_147683_86_0003_alto.xml-139-31	annotator2	4.0	 	uppslag	3
bib19223423_18290107_145063_2_0001_alto.xml-2-34	bib11653828_18290103_144028_2_0004_alto.xml-2-5	annotator2	1.0	 	uppslag	3
bib11653828_18270814_144028_188_0003_alto.xml-5-18	bib11653823_18291121_0_271_0003_alto.xml-6-2	annotator2	1.0	 	uppslag	3
