lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
uppslag		1821	1	bib11653823_18211103_144010_258_0002_alto.xml-2-19	 	de ännu befintlige inwänarne i Barcelona, att lemna staden, och intaga ett lager, soln ar ' uppslaget för dem emellan cordonen och staren. — En Lyonst tidning sager, att gula febern aswen stall wara i Livorno; men detta bchöfwer bekräftelse.	92:101	0:241	de ännu befintlige inwänarne i Barcelona , att lemna staden , och intaga ett lager , soln ar ' uppslaget för dem emellan cordonen och staren . — En Lyonst tidning sager , att gula febern aswen stall wara i Livorno ; men detta bchöfwer bekräftelse .	19	0:47	en ännu befintlig inwänarne i barcelona $ att lemna stad $ och inta en lager $ soln ar $ uppslag för de emellan cordonen och stare $ $ en lyonst tidning sager $ att gul feber aswen stall wara i livorno $ men denna bchöfwer bekräftelse $
uppslag		1811	1	bib13506739_18110322_144030_69_0010_alto.xml-7-24	 	sjelf ej ägde synnerlig kunskap derom, så vida auktionen under lians inseende sålunda tillgått, att Herr Commerce-Bådet Broms först inropat egendomen i uppslag för 27, 000, och sedermera i afslag för 7,600 B:drB:ko: att denna vara således, emot Auktions-författningarnes tydliga föreskrift och allt ' stadgadt bruk, till och med vid auktioner hos Allmogen, blifvit föryttrad genom 2:ne, i stället för ett, klubbslag; och ändtligen, att grödan, som uti ingen kungörelse klifvit till salu utbuden, likväl fått åtfölja köpet och uiig helt knapphändigt frånskiljas.	152:159	0:561	sjelf ej ägde synnerlig kunskap derom , så vida auktionen under lians inseende sålunda tillgått , att Herr Commerce-Bådet Broms först inropat egendomen i uppslag för 27 , 000 , och sedermera i afslag för 7,600 B:drB:ko : att denna vara således , emot Auktions-författningarnes tydliga föreskrift och allt ' stadgadt bruk , till och med vid auktioner hos Allmogen , blifvit föryttrad genom 2:ne , i stället för ett , klubbslag ; och ändtligen , att grödan , som uti ingen kungörelse klifvit till salu utbuden , likväl fått åtfölja köpet och uiig helt knapphändigt frånskiljas .	24	0:98	sjelf ej äga synnerlig kunskap derom $ så vida auktion under lian inseende sålunda tillgå $ att herr $ broms först inropa egendom i uppslag för 27 $ 000 $ och sedermera i afslag för $ $ $ att denna vara således $ emot $ tydlig föreskrift och allt $ stadgadt bruk $ till och med vid auktion hos allmoge $ blifvit föryttra genom $ $ i ställ för en $ klubbslag $ och ändtligen $ att gröda $ som uti ingen kungörelse klifvit till salu utbud $ likväl få åtfölja köp och uiig hel knapphändig frånskilja $
uppslag		1828	1	bib11653828_18281229_144028_298_0004_alto.xml-6-26	 	med dem Regementerne nu nyttja, med a räder nummer-knappar, 7 st. i hvarje rad, röd krage, röd uppslags-klaft samt röd passepoil omkring uppslagens Öfversta kant och gula upp veck på skärten.	137:147	0:191	med dem Regementerne nu nyttja , med a räder nummer-knappar , 7 st. i hvarje rad , röd krage , röd uppslags-klaft samt röd passepoil omkring uppslagens Öfversta kant och gula upp veck på skärten .	26	0:36	med de regementerne nu nyttja $ med a räd $ $ 7 $ i hvarje rad $ röd krage $ röd $ samt röd passepoil omkring uppslag öfverse kant och gul upp veck på skärten $
uppslag		1819	1	bib11653828_18190312_144028_59_0004_alto.xml-10-6	 	I snisffoqen är ett stort tält uppslaget, i hwilket Buo,	31:40	0:56	I snisffoqen är ett stort tält uppslaget , i hwilket Buo ,	6	0:12	i snisffoqen vara en stor tält uppslag $ i hwilket buo $
uppslag		1826	1	bib13506739_18260218_144030_29_0003_alto.xml-1-9	 	Auktion, som anställes ä Wärdshuset Sandsborg, i uppslag till de » inestbiudande försäljas att genast tillträdas.	49:56	0:113	Auktion , som anställes ä Wärdshuset Sandsborg , i uppslag till de » inestbiudande försäljas att genast tillträdas .	9	0:19	auktion $ som anställa ä wärdshuset sandsborg $ i uppslag till en $ inestbiudande försälja att genast tillträda $
uppslag		1803	1	bib19225772_18031230_148004_151_0003_alto.xml-7-16	 	tillkännagifives härmed, att genom öppen auktion genom uvp och af, lag samt sedan genom uppslag till den mästdjudande kommer under d.	88:95	0:133	tillkännagifives härmed , att genom öppen auktion genom uvp och af , lag samt sedan genom uppslag till den mästdjudande kommer under d .	16	0:24	tillkännagifives härmed $ att genom öppen auktion genom uvp och af $ lag samt sedan genom uppslag till den mästdjudande komma under d $
uppslag		1804	1	bib19225772_18040620_148004_70_0004_alto.xml-10-10	 	Han ivar tläkd i ara räck med swart krage ocb uppslag.	46:53	0:54	Han ivar tläkd i ara räck med swart krage ocb uppslag .	10	0:12	han ivar tläkd i ara räck med swart krage ocb uppslag $
uppslag		1830	1	bib11653823_18301104_144010_256_0003_alto.xml-19-2	 	da uti uppslag och.emot betalning i Baneomyut, lill försäljning tredje gängen utvibludne, först hwar för sig och sedan samfäldt, följande afträdde Boet efter framl.	7:14	0:164	da uti uppslag och.emot betalning i Baneomyut , lill försäljning tredje gängen utvibludne , först hwar för sig och sedan samfäldt , följande afträdde Boet efter framl .	2	0:28	da uti uppslag $ betalning i baneomyut $ lill försäljning tredje gäng utvibludne $ först hwar för sig och sedan samfäldt $ följa afträda bo efter framl $
uppslag		1820	1	bib19277346_18200219_147394_8_0003_alto.xml-1-3	 	sol » i uppslag högst bjudeS, utan afseende pä huru ringa det fan blifwa.	8:15	0:73	sol » i uppslag högst bjudeS , utan afseende pä huru ringa det fan blifwa .	3	0:16	sol $ i uppslag högst bjuda $ utan afseende pä huru ringa den fan blifwa $
uppslag		1825	1	bib19277277_18250430_147682_98_0002_alto.xml-10-22	 	A WardShliset Lilljeholmen kommer den Z°:de innewarande April kl. 12 8 dagen genvin offcnteligt » trop till den Mestbjud^ide endast » t-i uppslag att firsjliaS: zzj- ärs atetstäeiidc Besittningsrätt s Lägenheten Fredriks^borg, belä^n i mil utom Horns Tull, strart hitom Nvbodabackc; Ä dcuna lägcnhct wid stora Landswägcn, som i anseende till sitt sunda läge är tjenligast till sommarnöje, befiniies c » Karaktersbyggnad, bestäende af 6 Rnni ock Kok, c » mindre byggnad för tjenstefolk, detzutom Wagn-, Stall- och Fähus, samt utom 2:11c stcnlagde Brunnar, en ständigt rinnande Källa med aodl och klart wattcn.	138:145	0:608	A WardShliset Lilljeholmen kommer den Z°:de innewarande April kl. 12 8 dagen genvin offcnteligt » trop till den Mestbjud^ide endast » t-i uppslag att firsjliaS : zzj- ärs atetstäeiidc Besittningsrätt s Lägenheten Fredriks^borg , belä^n i mil utom Horns Tull , strart hitom Nvbodabackc ; Ä dcuna lägcnhct wid stora Landswägcn , som i anseende till sitt sunda läge är tjenligast till sommarnöje , befiniies c » Karaktersbyggnad , bestäende af 6 Rnni ock Kok , c » mindre byggnad för tjenstefolk , detzutom Wagn- , Stall- och Fähus , samt utom 2:11c stcnlagde Brunnar , en ständigt rinnande Källa med aodl och klart wattcn .	22	0:106	a wardshliset lilljeholmen komma den $ innewarande april $ 12 8 dag genvin offcnteligt $ trop till den $ endast $ $ uppslag att firsjlias $ $ ärs atetstäeiidc besittningsrätt s lägenhet $ $ $ i mil utom horn tull $ strart hitom nvbodabackc $ ä dcuna lägcnhct wid stor landswägcn $ som i anseende till sig sund läge vara tjenlig till sommarnöje $ befiniies c $ karaktersbyggnad $ bestäende af 6 rnni ock kok $ c $ liten byggnad för tjenstefolk $ detzutom $ $ stalla och fähus $ samt utom $ stcnlagde brunn $ en ständig rinna källa med aodl och klar wattcn $
