identifier1	identifier2	annotator	judgment	comment	lemma	round
bib11653823_18291201_0_279_0002_alto.xml-15-117	bib13506739_18040302_144030_52_0009_alto.xml-14-9	annotator2	4.0	 	uträtta	3
bib11653828_18210804_144028_180_0003_alto.xml-3-24	bib19277346_18240911_147394_37_0002_alto.xml-10-10	annotator2	4.0	 	uträtta	3
bib15873371_18950801_145112_206_0001_alto.xml-105-32	bib11653811_18951214_145317_194_0006_alto.xml-123-24	annotator2	4.0	 	uträtta	3
bib11653790_19020923_145648_74_0004_alto.xml-108-17	bib11653790_18981227_145648_100_0003_alto.xml-29-35	annotator2	4.0	 	uträtta	3
bib19227291_18971102_145289_132_0003_alto.xml-2-28	bib15873371_18950717_145112_191_0002_alto.xml-94-28	annotator2	4.0	 	uträtta	3
bib11653811_19030808_145317_121_0001_alto.xml-100-11	bib15761570_18950327_146176_54_0001_alto.xml-37-28	annotator2	4.0	 	uträtta	3
bib19277277_18290515_147682_111_0006_alto.xml-8-64	bib11653815_18970616_146944_67_0002_alto.xml-80-99	annotator2	4.0	 	uträtta	3
bib11653828_17901102_144028_254_0003_alto.xml-10-4	bib11653790_18990217_145648_13_0001_alto.xml-53-48	annotator2	3.0	 	uträtta	3
bib19277180_18951104_147374_90_0004_alto.xml-28-21	bib19227462_18951005_147640_232_0002_alto.xml-91-10	annotator3	4.0	 	uträtta	3
bib19227291_18221127_145289_48_0002_alto.xml-4-33	bib15650835_18960404_146472_52_0003_alto.xml-38-48	annotator3	4.0	 	uträtta	3
bib15650837_18090204_146391_10_0002_alto.xml-6-11	bib11653828_17990605_144028_126_0003_alto.xml-2-1	annotator3	4.0	 	uträtta	3
bib11653828_17911207_144028_284_0002_alto.xml-8-0	bib11653830_18960513_146968_39_0003_alto.xml-119-18	annotator3	3.0	 	uträtta	3
bib13506739_17960616_144030_134_0001_alto.xml-9-20	bib13506739_18211019_144030_245_0015_alto.xml-15-10	annotator3	4.0	 	uträtta	3
bib19223423_17990403_145063_27_0004_alto.xml-3-9	bib19227462_18950116_147640_13_0003_alto.xml-144-30	annotator3	4.0	 	uträtta	3
bib11653815_18960118_146944_5_0004_alto.xml-0-44	bib13506739_18270919_144030_219_0004_alto.xml-11-11	annotator3	4.0	 	uträtta	3
bib19277330_18950829_0_102_0003_alto.xml-34-7	bib13506739_18040424_144030_93_0012_alto.xml-3-34	annotator3	4.0	 	uträtta	3
bib15650837_18950426_146391_96_0003_alto.xml-162-2	bib11653790_18950802_145648_32_0006_alto.xml-30-12	annotator3	4.0	 	uträtta	3
bib19277277_18290515_147682_111_0006_alto.xml-8-64	bib11653815_18970616_146944_67_0002_alto.xml-80-99	annotator4	4.0	 	uträtta	3
bib11653815_18960118_146944_5_0004_alto.xml-0-44	bib13506739_18270919_144030_219_0004_alto.xml-11-11	annotator4	4.0	 	uträtta	3
bib15975087_18951223_145596_199_0008_alto.xml-14-78	bib11653828_17980915_144028_213_0003_alto.xml-2-17	annotator4	4.0	 	uträtta	3
bib15761097_18951112_145020_134_0002_alto.xml-119-13	bib15873936_18950205_147385_16_0004_alto.xml-84-24	annotator4	4.0	 	uträtta	3
bib11653823_18291201_0_279_0002_alto.xml-15-117	bib19277277_18270512_147682_110_0004_alto.xml-35-8	annotator4	4.0	 	uträtta	3
bib13506739_18211019_144030_245_0015_alto.xml-15-10	bib15650835_18960404_146472_52_0003_alto.xml-38-48	annotator4	4.0	 	uträtta	3
bib15650837_17940813_146391_64_0003_alto.xml-2-15	bib19227291_18971102_145289_132_0003_alto.xml-2-28	annotator4	2.0	 	uträtta	3
bib15650837_18090204_146391_10_0002_alto.xml-6-11	bib11653828_17990605_144028_126_0003_alto.xml-2-1	annotator4	4.0	 	uträtta	3
bib11653828_18190203_144028_27_0001_alto.xml-16-21	bib11653806_18070701_145120_70_0002_alto.xml-2-16	annotator4	4.0	 	uträtta	3
bib19223423_17990403_145063_27_0004_alto.xml-3-9	bib19227462_18950116_147640_13_0003_alto.xml-144-30	annotator0	4.0	 	uträtta	3
bib11653828_18210804_144028_180_0003_alto.xml-3-24	bib19277346_18240911_147394_37_0002_alto.xml-10-10	annotator0	3.0	 	uträtta	3
bib15650837_17940813_146391_64_0003_alto.xml-2-15	bib19227291_18971102_145289_132_0003_alto.xml-2-28	annotator0	0.0	OCR-error (sent 1 is probably “upprätta”)	uträtta	3
bib13506739_17960616_144030_134_0001_alto.xml-9-20	bib13506739_18211019_144030_245_0015_alto.xml-15-10	annotator0	3.0	 	uträtta	3
bib15650837_18950426_146391_96_0003_alto.xml-162-2	bib11653790_18950802_145648_32_0006_alto.xml-30-12	annotator0	4.0	 	uträtta	3
bib19227462_18951018_147640_243_0002_alto.xml-75-14	bib11653825_18090627_145134_75_0002_alto.xml-10-16	annotator0	4.0	 	uträtta	3
bib15873371_18950801_145112_206_0001_alto.xml-105-32	bib11653828_18100628_144028_148_0002_alto.xml-6-90	annotator0	4.0	 	uträtta	3
bib11653811_19030304_145317_36_0004_alto.xml-43-14	bib19227291_18950129_145289_12_0004_alto.xml-0-17	annotator0	4.0	 	uträtta	3
