lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
vaktmästare		1802	1	bib13506739_18021109_144030_256_0006_alto.xml-1-25	 	f?t (la Inteckningen eller ock den sirsta ester RikSse«s Ständers Banijue uti någon större Stenhus.Egendom här i Staden, behagade anmäla sig hos Vaktmästaren Sjöblom, boendes t Kgl.	145:157	0:181	f ?t ( la Inteckningen eller ock den sirsta ester RikSse«s Ständers Banijue uti någon större Stenhus.Egendom här i Staden , behagade anmäla sig hos Vaktmästaren Sjöblom , boendes t Kgl .	25	0:32	f $ $ lägga inteckning eller ock den sir est $ stånd banijue uti någon stor $ här i stad $ behaga anmäla sig hos vaktmästare sjöblom $ boende t kgl $
vaktmästare		1827	1	bib11653823_18271103_144010_258_0004_alto.xml-16-1	 	' Vaktmästaren Eric BomanS gäldbundna Bo behagade, lördagen d.	2:14	0:62	' Vaktmästaren Eric BomanS gäldbundna Bo behagade , lördagen d .	1	0:11	$ vaktmästare eric bomans gäldbunden bo behaga $ lördag d $
vaktmästare		1830	1	bib19277277_18300726_147682_169_0003_alto.xml-45-15	 	Frälseräntan af 3:ne Mantal i Westmanland är till salu, hwarett närmare underrättelse erhälles af Vaktmästare » Forsmark i Ägt.	98:109	0:127	Frälseräntan af 3:ne Mantal i Westmanland är till salu , hwarett närmare underrättelse erhälles af Vaktmästare » Forsmark i Ägt .	15	0:21	frälseränta af $ mantal i westmanland vara till salu $ hwarett nära underrättelse erhälles af vaktmästare $ forsmark i äga $
vaktmästare		1806	1	bib11653806_18060502_145120_46_0004_alto.xml-21-7	 	I anseende till förestående Bouppteckning efter ailidne Vaktmästaren Jonas Sandström, behagade den eller de som äro ffyldige eller tro sig haswa nägot att fordra uti des Sterbhus, inom den 17 nästr.	56:68	0:198	I anseende till förestående Bouppteckning efter ailidne Vaktmästaren Jonas Sandström , behagade den eller de som äro ffyldige eller tro sig haswa nägot att fordra uti des Sterbhus , inom den 17 nästr .	7	0:34	i anseende till förestå bouppteckning efter ailidne vaktmästare jonas sandström $ behaga den eller de som äro ffyldige eller tro sig haswa nägot att fordra uti des sterbhus $ inom den 17 nästr $
vaktmästare		1808	1	bib11653825_18080326_145134_38_0008_alto.xml-4-12	 	De som öro skyldige eller äga någon bewistig fordra » Uti aflidne Vaktmästarens wid Konql.	66:79	0:90	De som öro skyldige eller äga någon bewistig fordra » Uti aflidne Vaktmästarens wid Konql .	12	0:16	de som öro skyldig eller äga någon bewistig fordra $ uti aflidne vaktmästare wid konql $
vaktmästare		1818	1	bib13506739_18181027_144030_248_0004_alto.xml-3-39	 	En bär i Staden i Soinmar förkommen Gcometriss Karta öfwer östra Elleholms Bys Agor i Blekinge, warder härigenom efterlyst, med begäran, att om någon tagit bcrörde Karta t förwar, hon matte med första aflemnas till Vaktmästaren Berggren wid Kongl.	215:227	0:247	En bär i Staden i Soinmar förkommen Gcometriss Karta öfwer östra Elleholms Bys Agor i Blekinge , warder härigenom efterlyst , med begäran , att om någon tagit bcrörde Karta t förwar , hon matte med första aflemnas till Vaktmästaren Berggren wid Kongl .	39	0:44	man bära i stad i soinmar förkomma gcometriss karta öfwer östra elleholms by aga i blekinge $ warder härigenom efterlysa $ med begäran $ att om någon ta bcrörde karta t förwar $ hon matte med första aflemna till vaktmästare berggren wid kongl $
vaktmästare		1801	1	bib11653806_18010204_145120_14_0002_alto.xml-1-0	 	Vaktmästaren Jonas, Bergman, död den 14 Juni », i en älder af 41 är.	0:12	0:68	Vaktmästaren Jonas , Bergman , död den 14 Juni » , i en älder af 41 är .	0	0:18	vaktmästare jonas $ bergman $ död den 14 juni $ $ i en älder af 41 vara $
vaktmästare		1795	1	bib13506739_17950205_144030_29_0004_alto.xml-10-12	 	De som nitta sig wara skyldige eller haswa at fordra uti afledne Vaktmästarens wid Kgl.	65:78	0:87	De som nitta sig wara skyldige eller haswa at fordra uti afledne Vaktmästarens wid Kgl .	12	0:16	de som nitta sig wara skyldig eller haswa at fordra uti afledne vaktmästare wid kgl $
vaktmästare		1797	1	bib13506739_17970603_144030_125_0004_alto.xml-4-15	 	Er hwit Span, k Hund är tilwara tagen, som kan lgenfä » hos Vaktmästaren Westberg wid Skeppsbron och Utrikes SkeppSbro-Contoiret.	60:72	0:129	Er hwit Span , k Hund är tilwara tagen , som kan lgenfä » hos Vaktmästaren Westberg wid Skeppsbron och Utrikes SkeppSbro-Contoiret .	15	0:23	ni hwit spa $ k hund vara til ta $ som kunna lgenfä $ hos vaktmästare westberg wid skeppsbron och utrikes $ $
vaktmästare		1805	1	bib13506739_18051210_144030_286_0004_alto.xml-15-5	 	RonkursMäl: Herrar Kreditorer uti Vaktmästaren S. Lundins Konkurs, behagade sammanträda pä Malmens Kallare" den 12 Dee.	34:46	0:119	RonkursMäl : Herrar Kreditorer uti Vaktmästaren S. Lundins Konkurs , behagade sammanträda pä Malmens Kallare " den 12 Dee .	5	0:20	ronkursmäl $ herre kreditor uti vaktmästare $ lundin konkurs $ behaga sammanträda pä malm kallare $ den 12 dee $
vaktmästare		1805	1	bib13506739_18050207_144030_32_0003_alto.xml-10-7	 	Om denna Nipp igenfinnes och lämnas til Vaktmästaren i Kongl.	40:52	0:61	Om denna Nipp igenfinnes och lämnas til Vaktmästaren i Kongl .	7	0:11	om denna nipp igenfinna och lämna til vaktmästare i kongl $
vaktmästare		1818	1	bib13506739_18180603_144030_124_0007_alto.xml-15-6	 	I anseende till förestående Bouppteckning efter Vaktmästaren wid Kongl.	48:60	0:71	I anseende till förestående Bouppteckning efter Vaktmästaren wid Kongl .	6	0:10	i anseende till förestå bouppteckning efter vaktmästare wid kongl $
vaktmästare		1827	1	bib13506739_18270214_144030_37_0004_alto.xml-14-4	 	Witare anivi-uwg lem tiar Vaktmästaren I. Nyström i LäiieBanken.	26:38	0:64	Witare anivi-uwg lem tiar Vaktmästaren I . Nyström i LäiieBanken .	4	0:11	witare $ lem tiar vaktmästare i $ nyström i läiiebanken $
vaktmästare		1810	1	bib13506739_18100623_144030_144_0005_alto.xml-1-5	 	pare kunna anmäla sig hos Vaktmästaren Ljungmaa i Justitiä - Lollegio.	26:38	0:70	pare kunna anmäla sig hos Vaktmästaren Ljungmaa i Justitiä - Lollegio .	5	0:12	para kunna anmäla sig hos vaktmästare ljungmaa i justitiä $ lollegio $
