identifier1	identifier2	annotator	judgment	comment	lemma	round
bib11653823_18270626_144010_146_0001_alto.xml-12-42	bib11653815_18961104_146944_88_0002_alto.xml-58-31	annotator2	3.0	 	vegetation	3
bib11653806_18110827_145120_99_0002_alto.xml-3-75	bib19277277_18270517_147682_114_0001_alto.xml-10-7	annotator2	4.0	 	vegetation	3
bib19227462_18950808_147640_182_0005_alto.xml-56-12	bib11653811_19030916_145317_143_0003_alto.xml-78-15	annotator2	4.0	 	vegetation	3
bib19277301_18960629_145146_52_0003_alto.xml-60-22	bib11653811_18990410_145317_53_0003_alto.xml-51-16	annotator2	4.0	 	vegetation	3
bib11653828_18300302_144028_50_0001_alto.xml-3-9	bib11653830_18950422_146968_46_0004_alto.xml-36-10	annotator2	4.0	 	vegetation	3
bib13506739_18300607_144030_128_0001_alto.xml-7-15	bib11653823_18250531_144010_122_0002_alto.xml-7-5	annotator2	4.0	 	vegetation	3
bib11653828_18300419_144028_88_0004_alto.xml-4-25	bib19225772_18051112_148004_130_0004_alto.xml-0-13	annotator2	3.0	 	vegetation	3
bib19227462_18950221_147640_44_0003_alto.xml-192-25	bib11653828_18300302_144028_50_0001_alto.xml-6-24	annotator2	4.0	 	vegetation	3
bib11653823_18260714_144010_160_0002_alto.xml-4-21	bib11653815_18961104_146944_88_0002_alto.xml-58-31	annotator2	4.0	 	vegetation	3
bib19225792_17950314_147359_11_0001_alto.xml-0-57	bib19227462_18950822_147640_194_0003_alto.xml-38-26	annotator2	4.0	 	vegetation	3
bib19227291_18961121_145289_141_0003_alto.xml-116-21	bib11653828_18290527_144028_121_0002_alto.xml-11-21	annotator2	4.0	 	vegetation	3
bib11653828_18150919_144028_217_0001_alto.xml-10-40	bib19225772_18191005_148004_114_0002_alto.xml-11-9	annotator3	4.0	 	vegetation	3
bib11653811_19030822_145317_129_0003_alto.xml-26-15	bib19227291_18170115_145289_3_0002_alto.xml-6-9	annotator3	4.0	 	vegetation	3
bib15873936_18950813_147385_94_0003_alto.xml-15-25	bib15873371_18951101_145112_298_0003_alto.xml-41-8	annotator3	4.0	 	vegetation	3
bib19277301_18960827_145146_70_0002_alto.xml-138-5	bib15978012_18951025_148361_249_0003_alto.xml-48-26	annotator3	4.0	 	vegetation	3
bib11653828_18040911_144028_211_0002_alto.xml-2-23	bib19277277_18300608_147682_129_0001_alto.xml-5-7	annotator3	4.0	 	vegetation	3
bib19277301_18960827_145146_70_0002_alto.xml-138-5	bib11653825_18110712_145134_79_0003_alto.xml-9-6	annotator3	4.0	 	vegetation	3
bib19227291_18961121_145289_141_0003_alto.xml-116-21	bib11653828_18290527_144028_121_0002_alto.xml-11-21	annotator3	4.0	 	vegetation	3
bib11653811_18991111_145317_174_0002_alto.xml-65-25	bib11653828_18280513_144028_110_0003_alto.xml-3-3	annotator3	4.0	 	vegetation	3
bib19225772_18110712_148004_77_0001_alto.xml-16-7	bib19227462_18950822_147640_194_0003_alto.xml-98-56	annotator3	4.0	 	vegetation	3
bib15761097_18950427_145020_50_0006_alto.xml-90-8	bib11653790_18950712_145648_29_0003_alto.xml-56-16	annotator3	4.0	 	vegetation	3
bib11653828_18240524_144028_119_0004_alto.xml-10-20	bib19227291_18961121_145289_141_0003_alto.xml-116-21	annotator3	4.0	 	vegetation	3
bib19225758_18950514_144022_111_0003_alto.xml-228-16	bib11653823_18291110_0_261_0002_alto.xml-9-1	annotator4	4.0	 	vegetation	3
bib11653828_18240805_144028_179_0003_alto.xml-9-8	bib19225772_18191005_148004_114_0002_alto.xml-11-9	annotator4	0.0	 	vegetation	3
bib19277277_18270820_147682_193_0001_alto.xml-23-15	bib15760600_18951017_146401_123_0004_alto.xml-50-26	annotator4	4.0	 	vegetation	3
bib11653828_18240524_144028_119_0004_alto.xml-10-20	bib19227291_18961121_145289_141_0003_alto.xml-116-21	annotator4	4.0	 	vegetation	3
bib11653806_18110827_145120_99_0002_alto.xml-3-75	bib19277277_18270517_147682_114_0001_alto.xml-10-7	annotator4	4.0	 	vegetation	3
bib15873936_18950813_147385_94_0003_alto.xml-15-25	bib15873371_18951101_145112_298_0003_alto.xml-41-8	annotator4	4.0	 	vegetation	3
bib19225792_17950314_147359_11_0001_alto.xml-0-57	bib19227462_18950822_147640_194_0003_alto.xml-38-26	annotator4	4.0	 	vegetation	3
bib11653828_18300302_144028_50_0002_alto.xml-0-24	bib11653828_18180221_144028_43_0002_alto.xml-10-41	annotator4	4.0	 	vegetation	3
bib11653828_18300302_144028_50_0001_alto.xml-6-24	bib11653828_18300301_144028_49_0002_alto.xml-9-32	annotator4	4.0	 	vegetation	3
bib11653823_18270626_144010_146_0001_alto.xml-12-42	bib11653815_18961104_146944_88_0002_alto.xml-58-31	annotator4	4.0	 	vegetation	3
bib11653828_18300302_144028_50_0001_alto.xml-3-9	bib11653830_18950422_146968_46_0004_alto.xml-36-10	annotator0	4.0	 	vegetation	3
bib15650814_18950606_146365_130_0003_alto.xml-34-12	bib19227462_18950606_147640_129_0004_alto.xml-102-12	annotator0	4.0	 	vegetation	3
bib11653830_18950814_146968_92_0002_alto.xml-2-20	bib11653828_18300219_144028_41_0001_alto.xml-3-17	annotator0	4.0	 	vegetation	3
bib15761097_18950427_145020_50_0006_alto.xml-90-8	bib11653790_18950712_145648_29_0003_alto.xml-56-16	annotator0	4.0	 	vegetation	3
bib15873936_18950813_147385_94_0003_alto.xml-15-25	bib15873371_18951101_145112_298_0003_alto.xml-41-8	annotator0	4.0	 	vegetation	3
bib19225772_18110712_148004_77_0001_alto.xml-16-7	bib19227462_18950822_147640_194_0003_alto.xml-98-56	annotator0	4.0	 	vegetation	3
bib19225772_18051112_148004_130_0004_alto.xml-0-13	bib19225758_18950809_144022_183_0001_alto.xml-22-48	annotator0	4.0	 	vegetation	3
bib11653811_18971227_145317_200_0004_alto.xml-71-12	bib19227462_18951214_147640_292_0007_alto.xml-87-24	annotator0	4.0	 	vegetation	3
bib19225758_18950514_144022_111_0003_alto.xml-228-16	bib11653823_18291110_0_261_0002_alto.xml-9-1	annotator0	4.0	 	vegetation	3
