lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
vegetation		1815	1	bib11653825_18150704_145134_71_0002_alto.xml-8-48	 	Pä utdikad sank mark ar kalkens wälgörande werkan annu mera synbar, än pä ben förut hasdade jorden; besia fält, forn förut i ärtusende warit wattendruckna, hysa en mängd lemningar af wäxt- och djur-ämnen^ som i första början ej äro stickliga att imber » hälla vegetation, men gcuom ben branda kai » fens äwerkan, nu pä en gäng begynna blifwcr bärande, hwarjcmte här, äfwen forn 1 ' annan » jord, mastar, msccter och deras ägg, af kalken förstöras.	260:270	0:447	Pä utdikad sank mark ar kalkens wälgörande werkan annu mera synbar , än pä ben förut hasdade jorden ; besia fält , forn förut i ärtusende warit wattendruckna , hysa en mängd lemningar af wäxt- och djur-ämnen^ som i första början ej äro stickliga att imber » hälla vegetation , men gcuom ben branda kai » fens äwerkan , nu pä en gäng begynna blifwcr bärande , hwarjcmte här , äfwen forn 1 ' annan » jord , mastar , msccter och deras ägg , af kalken förstöras .	48	0:89	pä utdika sank mark ar kalk wälgörande werkan annu mera synbar $ än pä ben förut hasdade jord $ besia fält $ forn förut i ärtusende warit wattendruckna $ hysa en mängd lemning af $ och $ som i första början ej äro stickliga att imber $ hälla vegetation $ men gcuom ben branda kai $ fe äwerkan $ nu pä en gäng begynna blifwcr bära $ hwarjcmte här $ äfwen forn 1 $ annan $ jord $ masta $ msccter och de ägg $ af kalk förstöra $
vegetation		1824	1	bib11653828_18240524_144028_119_0004_alto.xml-10-20	 	net blir han klar derigenom, att sw.ifwelfyran förenar sig med jordrartiklarne, och nu dödar wattnet Marne, tillintetgör vegetationen och uppfräter stenarne, som ligga pä flodens botten.	121:133	0:186	net blir han klar derigenom , att sw.ifwelfyran förenar sig med jordrartiklarne , och nu dödar wattnet Marne , tillintetgör vegetationen och uppfräter stenarne , som ligga pä flodens botten .	20	0:31	n bli han klar derigenom $ att $ förena sig med jordrartiklarne $ och nu döda wattn marne $ tillintetgöra vegetation och uppfräta stenarne $ som ligga pä flod botten $
vegetation		1830	1	bib13506739_18300603_144030_125_0001_alto.xml-1-33	 	för 8rstiden owanligt kylig luft, och som landtmannen ansett för största för » man i miftcnde till 8rswexten, tyckas med dagen sol och sommartid wil&gt; a 8terkomma; imellertid har vegetationen med en förmanande hastighet sortskyndat i de sednare daaarne, och lofwar allt godt.	181:193	0:277	för 8rstiden owanligt kylig luft , och som landtmannen ansett för största för » man i miftcnde till 8rswexten , tyckas med dagen sol och sommartid wil&gt ; a 8terkomma ; imellertid har vegetationen med en förmanande hastighet sortskyndat i de sednare daaarne , och lofwar allt godt .	33	0:49	för 8rstiden owanligt kylig luft $ och som landtmannen anse för stor för $ man i miftcnde till 8rswexten $ tycka med dag sol och sommartid $ $ a 8terkomma $ imellertid ha vegetation med en förmana hastighet sortskyndat i en sednare daaarne $ och lofwar all god $
vegetation		1825	1	bib15650837_18251001_146391_78_0001_alto.xml-5-3	 	har förstört all vegetation; rörliga sandkullar, som ckro en lek för de ifrän det gränslösa hafwet obehindradt framrusande stormarna, uppstä, bortföras och samla sig än pä det cna, än pä det andra stallet.	17:27	0:205	har förstört all vegetation ; rörliga sandkullar , som ckro en lek för de ifrän det gränslösa hafwet obehindradt framrusande stormarna , uppstä , bortföras och samla sig än pä det cna , än pä det andra stallet .	3	0:39	ha förstöra all vegetation $ rörlig sandkulle $ som ckro en lek för en ifrän den gränslös hafwet obehindrad framrusande storm $ uppstä $ bortföra och samla sig än pä den c $ än pä den andra stall $
vegetation		1823	1	bib11653828_18230211_144028_34_0002_alto.xml-3-1	 	som Vegetation antyda en yngre formation än den gamla kontinenten.	4:14	0:66	som Vegetation antyda en yngre formation än den gamla kontinenten .	1	0:11	som vegetation antyda en ung formation än den gammal kontinent $
vegetation		1822	1	bib13506739_18221211_144030_289_0005_alto.xml-14-25	 	Hö 170 till 200 last; Betet tillräckligt; Skog och Timmer till husbehof; mycket löftäckt; stor Trädgärd med firmänlig belägenhet och tidig vegetation.	139:149	0:150	Hö 170 till 200 last ; Betet tillräckligt ; Skog och Timmer till husbehof ; mycket löftäckt ; stor Trädgärd med firmänlig belägenhet och tidig vegetation .	25	0:27	hö 170 till 200 last $ bete tillräcklig $ skog och timmer till husbehof $ mycket löftäckt $ stor trädgärd med firmänlig belägenhet och tidig vegetation $
vegetation		1816	1	bib11653828_18160430_144028_99_0003_alto.xml-10-8	 	kjusa, listiga färg — ett beivir pä vegetationens wanmagt; ty under söderns himmel är ben dunklare och Msom fullblodig ger en sällsam anblick mot det för hfrigt rädande stränga lynnet i ben nordista naturen.	36:49	0:207	kjusa , listiga färg — ett beivir pä vegetationens wanmagt ; ty under söderns himmel är ben dunklare och Msom fullblodig ger en sällsam anblick mot det för hfrigt rädande stränga lynnet i ben nordista naturen .	8	0:37	kjusa $ listig färg $ en beivir pä vegetation wanmagt $ ty under söder himmel vara ben dunkel och msom fullblodig ge en sällsam anblick mot den för hfrigt rädande sträng lynne i ben nordista natur $
vegetation		1830	1	bib15650837_18300609_146391_46_0001_alto.xml-9-34	 	Den irona naturen ar nu isin fägring, och, it jusi soln man önskade det, inträffade sedan i förrsigarS ett sakta regn, som förherrligar den och allt » mer nopli sivar vegetationen.	167:179	0:180	Den irona naturen ar nu isin fägring , och , it jusi soln man önskade det , inträffade sedan i förrsigarS ett sakta regn , som förherrligar den och allt » mer nopli sivar vegetationen .	34	0:36	den irona natur ar nu isi fägring $ och $ it jusi soln man önska den $ inträffa sedan i förrsigars en sakta regn $ som förherrliga den och allt $ mer nopli sivar vegetation $
vegetation		1829	1	bib11653828_18290527_144028_121_0002_alto.xml-11-21	 	Kolonien har fatt till skänks en stor landsträcka, och hennes subsistens är betryggad genom en fruktbar mark och en kraftig vegetation.	124:134	0:135	Kolonien har fatt till skänks en stor landsträcka , och hennes subsistens är betryggad genom en fruktbar mark och en kraftig vegetation .	21	0:23	koloni ha fatt till skänk en stor landsträcka $ och hon subsistens vara betrygga genom en fruktbar mark och en kraftig vegetation $
vegetation		1830	1	bib11653828_18300302_144028_50_0001_alto.xml-0-0	 	Vegetationen i förhållande till jordmånen Ilar gitvit förf. anledning till en vext-geologi, nied högst upplysande undersökningar, men af för vidsträckt omfattning, att upptagas i en öfversigt sorn denna.	0:12	0:203	Vegetationen i förhållande till jordmånen Ilar gitvit förf. anledning till en vext-geologi , nied högst upplysande undersökningar , men af för vidsträckt omfattning , att upptagas i en öfversigt sorn denna .	0	0:32	vegetation i förhållande till jordmån ila gitvit $ anledning till en $ $ nied hög upplysa undersökning $ men af för vidsträckt omfattning $ att uppta i en öfversigt sorn denna $
vegetation		1828	1	bib11653828_18280517_144028_113_0004_alto.xml-4-1	 	drak vegetationen » men den numera inträffade wackra wäderleken eksätter förlusten, och en enda nalle regn kan herrligt fruktbargSra wäk i alla hänseenden bördiga jordmän.	5:17	0:171	drak vegetationen » men den numera inträffade wackra wäderleken eksätter förlusten , och en enda nalle regn kan herrligt fruktbargSra wäk i alla hänseenden bördiga jordmän .	1	0:27	drake vegetation $ men den numera inträffa wackra wäderleken eksätter förlust $ och en enda nalle regn kunna herrlig fruktbargsra wäk i all hänseende bördig jordman $
vegetation		1830	1	bib11653828_18300219_144028_41_0001_alto.xml-3-17	 	staden St James, sorn ligger i en bergsklyfta emellan två höga, stela, på ali vegetation blottade lavaklippor, och genom sitt vänliga utseende göra det dystra i dess omgifning så mycket märkbarare, förde oss en slingrande, i klippan inhuggen väg, uppföre de stela, af naturen ogängliga bergsafsatserna.	78:88	0:302	staden St James , sorn ligger i en bergsklyfta emellan två höga , stela , på ali vegetation blottade lavaklippor , och genom sitt vänliga utseende göra det dystra i dess omgifning så mycket märkbarare , förde oss en slingrande , i klippan inhuggen väg , uppföre de stela , af naturen ogängliga bergsafsatserna .	17	0:55	stad st james $ sorn ligga i en bergsklyfta emellan två hög $ stel $ på ali vegetation blotta lavaklippor $ och genom sig vänlig utseende göra den dyster i den omgifning så mycket märkbar $ föra vi en slingra $ i klippa inhuggen väg $ uppföre en stel $ af natur ogängliga bergsafsatserna $
vegetation		1827	1	bib19277277_18270702_147682_151_0001_alto.xml-32-1	 	för vegetationen tyckeS Kornet dock cj lofwa nägon rik störd, och öfwcrhufwud har säden drisivit Men i halm dit ax.	4:16	0:115	för vegetationen tyckeS Kornet dock cj lofwa nägon rik störd , och öfwcrhufwud har säden drisivit Men i halm dit ax .	1	0:22	för vegetation tyckes korn dock cj lofwa nägon rik störa $ och öfwcrhufwud ha säd drisivit men i halm dit ax $
vegetation		1820	1	bib11653806_18200829_145120_96_0002_alto.xml-4-42	 	Landet togs, pä manligt satt, 1 ' brsitttung, ä Hans Sror-Britanniffa Maj:rs wägner, och fick namn af VZya Södra Shetland éthnafft war tempereradt; stränderne wörö bergige och, efter allt utseende, obebodde, rilen saknade icke vegetation, ty pä mänga skallen wäxtc grall och furuträd; i det hela liknade landet mycket Norrsta kusten.	227:237	0:333	Landet togs , pä manligt satt , 1 ' brsitttung , ä Hans Sror-Britanniffa Maj:rs wägner , och fick namn af VZya Södra Shetland éthnafft war tempereradt ; stränderne wörö bergige och , efter allt utseende , obebodde , rilen saknade icke vegetation , ty pä mänga skallen wäxtc grall och furuträd ; i det hela liknade landet mycket Norrsta kusten .	42	0:62	land ta $ pä manlig sitta $ 1 $ brsitttung $ ä hans $ $ wägner $ och få namn af vzya södra shetland éthnafft war tempereradt $ stränderne wörö bergig och $ efter all utseende $ obebodd $ ril sakna icke vegetation $ ty pä mänga skalle wäxtc grall och furuträd $ i den hel likna land mycket norrsta kust $
vegetation		1830	1	bib19277277_18300505_147682_102_0001_alto.xml-9-14	 	med kylig luft, har denne nu anragit en blidare temperatur, sein fortffynbar vegetationen.	77:89	0:90	med kylig luft , har denne nu anragit en blidare temperatur , sein fortffynbar vegetationen .	14	0:16	med kylig luft $ ha denna nu anragit en blid temperatur $ sein fortffynbar vegetation $
vegetation		1819	1	bib19225772_18191005_148004_114_0002_alto.xml-11-9	 	föl staffa de ljuset en finare paffage och befordra vegetationen pä planeterne m. Et » Mayn, d.	52:64	0:95	föl staffa de ljuset en finare paffage och befordra vegetationen pä planeterne m . Et » Mayn , d .	9	0:20	föl staffa de ljus en fin paffage och befordra vegetation pä planet m $ et $ mayn $ d $
vegetation		1825	1	bib11653823_18250704_144010_150_0003_alto.xml-14-6	 	Aore-nen är bekant för en yppig vegetation, srngtbar tordmon, en oä Idag wärling & gt; af fiskrika matten, bördiga statler, stogskladda högber och berg, b emaria än nied wackra löfträd, än med moget byggnadsmirke; den är tillika känd för hälsosam lnst och best innemänare tor ett måttligt och arbetsfamt lefnadssätt samt tor en särdeles färdighet i stöld, och qwinnvrua äga en » imärki sticklighet imid BofiapSstokfel, span - och mäfnad.	32:42	0:437	Aore-nen är bekant för en yppig vegetation , srngtbar tordmon , en oä Idag wärling & gt ; af fiskrika matten , bördiga statler , stogskladda högber och berg , b emaria än nied wackra löfträd , än med moget byggnadsmirke ; den är tillika känd för hälsosam lnst och best innemänare tor ett måttligt och arbetsfamt lefnadssätt samt tor en särdeles färdighet i stöld , och qwinnvrua äga en » imärki sticklighet imid BofiapSstokfel , span - och mäfnad .	6	0:81	$ vara bekant för en yppig vegetation $ srngtbar tordmon $ en oä idag wärling $ gt $ af fiskrik matte $ bördig statler $ stogskladda högber och berg $ b emaria än nied wackra löfträd $ än med mogen byggnadsmirke $ den vara tillika känd för hälsosam lnst och best innemänare tor en måttlig och arbetsfamt lefnadssätt samt tor en särdeles färdighet i stöld $ och qwinnvrua äga en $ imärki sticklighet imid bofiapsstokfel $ spa $ och mäfnad $
vegetation		1830	1	bib11653828_18301122_144028_271_0002_alto.xml-0-10	 	landsträckornas kalkartade eller granithaltiga jordmån är mindre gynnande för deras vegetation, hvarföre de här stå mera isolerade och blandade med Catingas eller på vissa tider bladlösa skogar.	84:94	0:194	landsträckornas kalkartade eller granithaltiga jordmån är mindre gynnande för deras vegetation , hvarföre de här stå mera isolerade och blandade med Catingas eller på vissa tider bladlösa skogar .	10	0:29	landsträcka kalkartade eller granithaltiga jordmån vara liten gynnande för de vegetation $ hvarföre de här stå mera isolera och blanda med catingas eller på viss tid bladlös skog $
