context_id	word	gold_sense_id	positions	context
1	aktiv	0	133-138	"Lord Holland:"" Man har försökt att af en Man, fom stundom och i roifja f ll » varit inkallad i hemliga Konseljen, göra en wcrkeligen aktiv Minister; och jemwäl har man bc&gt;.iödat si q ritt fasta answarighet wid personer, i anseende rill hwilka den icke äger rum."
2	aktiv	0	220-225	— Lord Cochrane har akgätt till Paris, sör att söka förmä Grck-kommilt6erna pä kontinenten att befordra hans plan till hämmande af fjörösiverierna i Levanten, — T&gt; ll Chatbam bfl order ankommit att ofördröjligen till aktiv tjenstgöring utrusta ätta liniestcpp.
3	aktiv	0	109-115	& gt; Frankrike för nästa ar, kommer likasom i ar att bestä af 60, coo Man, hwaraf hälften är bestämd för de aktiva arméerna, öst) hälften för Reserf-armeen.
4	aktiv	0	87-93	dtktS Intit, thuru it had- fij uppdraget att göra för Brittiska handeln sanssa fördel, aktiva propositioner, och deribland den, att för 20 är erbjusa Stora LZritannien en rxclufiv handel med Nya Grenada och Benezuela; detta oartadt, kunde Lon Ivs« Maria del Real, pä sin fira gånger férnpace anhällan, icke fS en » onserence n.cd Mmistern för uliifeé ärenverna.
5	aktiv	1	102-107	11 Hwar och en stom angifwer förbrytelser emot detta Decret., erhäller «n trevje:idrk af warorne, som aktiv wid hivarje öswerträdelse komma at confisqueraS.
6	aktiv	0	146-152	Konungen en kraftig föreställning häremot, tillkännagifwande att medel wäl sunneS till utbetalande - af solden för manflap och underbefäl wld den aktiva armen, men att Lfficerarne mäste, i sörhällande t B stna grader, i&to en del af fina löner innesiKx tillika beswärade sig Hr Remisa öfwer widcrbörandes mistbrttk att tillsanda honom i Konungens namn utfärdade befallningar rörande mänadtliga gratifikationers utbeta, lande tit wisia flyddlingar och andra obehöriga personer, äsivensom han skildrade nödwändigheten att minsta utgifterna för bäsh^llningen.
7	aktiv	0	73-79	regclmästigt, och man pästär alt 20,000 man stola wara bestämda till ben aktiva Arln^en wid Donau och 30,000 man till Livadien.
8	aktiv	0	57-62	infallande krig tvänna klasser beväring genast ingingo i aktiv tjenst, så återstode trenne.
9	aktiv	0	35-41	häruti skaffa sig ett värn mot den aktiva armén.
10	aktiv	0	25-31	nägot befäl, förr än det aktiva kriget utbröt, i följd hwaraf referenten tagit stg anledning att göra ett flags panegyrik öfwer framlidne H. E. Fältmarffalken Grefwe Esten, utan att jag med ett enda ord i biografien för dest » missöden beffyllt nämnde Fältmarskalk, eller ali dan ens rimligen till General Vegesacks owerkfamhet, i Tuffland ätminstone, kunnat föranleda.
