context_id	word	gold_sense_id	positions	context
2532889X_1985-09-13_01_183.tcf.xml-19-36	Rezeption	0	276-285	Zum 65. Geburtstag beglückwünscht das Zentralkomitee der SED herzlichst Prof. Dr. Johannes Irmscher, dessen vielfältige publizierte Forschungsergebnisse zu Fragen der Entwicklung der griechischen Literatur, zur Ideologie-und Kulturgeschichte von Byzanz sowie zu Problemen der Rezeption des antiken Erbes in der deutschen Klassik und der Antikerezeption der sozialistischen Geselschaft hohe nationale und internationale Anerkennung fanden.
26120215_1976_05_28_01_195.tcf.xml-26-7	Rezeption	0	45-54	Durch assoziative Technik, die eine einfache Rezeption erschwert, beabsichtigt Szabo, die schöpferische Phantasie der Zuschauer mehr als üblich anzusprechen.
2532889X_1985-03-09_01_422.tcf.xml-5-4	Rezeption	0	25-34	Entstehung, Methodik und Rezeption von „Materialismus und Empiriokritizismus.
26120215_1977_04_20_01_084.tcf.xml-6-15	Rezeption	0	112-121	Fragen der nationalen Produktion, ihre Interessantheit und Wirksamkeit beantworten sich schließlich auch in der Rezeption des Kinozuschauers.
2532889X_1971-04-19_01_063.tcf.xml-52-32	Rezeption	0	205-214	Über Heinrich Manns Beziehungen zur Tschechoslowakei, deren Staatsbürgerschaft er im Jahre 1936 erworben hatte, berichtete Dr. sc. Alois Hofman aus Prag, Dr. Karol Rosenbaum aus Bratislava sprach über die Rezeption Heinrich Manns in der Slowakei, Dr. Vasil Kolewskl aus Sofia über die in Bulgarien.
2532889X_1987-05-02_01_133.tcf.xml-12-21	Rezeption	0	154-163	Zu welch fruchtbaren Ergebnissen ein solches differenziertes Herangehen führen kann, demonstrierte Professor Buhr u. a. an Erfahrungen bei der kritischen Rezeption von Arbeiten Sigmund Freuds in der DDR
2532889X_1982-03-20_01_258.tcf.xml-10-33	Rezeption	0	207-216	„In diesem Buch wird versucht, auf der Basis des kulturhistorischen Ansatzes der sowjetischen Psychologie und der daraus... entwickelten Positionen einer Kritischen Psychologie, unter (teilweise kritischer) Rezeption von marxistischen Motivationslehren, besonders aus den sozialistischen Ländern, eine Neubegründung der Motivationsforschung in den bürgerlichen Gesellschaften zu leisten.
26120215_1978_02_24_01_052.tcf.xml-4-24	Rezeption	0	144-153	Die Miami-Universität in Oxfort (Ohio) und das Theater Center Dallas im Staate Texas haben Bennewitz zu Vorträgen und Seminaren über die Brecht-Rezeption an den Bühnen der DDR und über die Adaptionserfahrungen mit Werken von. Bertolt Brecht in fremde Nationalkulturen eingeladen.
2532889X_1988-10-24_01_189.tcf.xml-5-44	Rezeption	0	296-305	"In einem Kolloquium zum Thema „Barlach inszenieren"" berichteten am Sonntag der Intendant des Deutschen Theateis, Dieter Mann, Regisseur Rolf Winkelgrund und Dramaturg Michael Hamburger vor Regisseuren,, Autoren und Literaturwissenschaftlern der BRD über Erfahrungen des Deutschen Theaters in der Rezeption des komplizierten dramatischen Werkes Barlachs."
2532889X_1977-12-17_01_331.tcf.xml-3-19	Rezeption	0	124-133	Sie reiht sich ein in die Bemühungen des Kulturbundes, Kunst und Kultur der sozialistischen Bruderländer für die praktische Rezeption zu erschließen und die Erkenntnisse über kulturpolitische Tendenzen und Prozesse der Nachbarländer zu vertiefen.
26120215_1983_07_13_01_078.tcf.xml-8-20	Rezeption	0	130-139	Mit dieser Schau korrespondiert die 35. Studioausstellung in der Nationalgalerie, in der sich bildende Künstler der DDR mit ihrer Rezeption frühbürgerlicher Kunst vorstellen.
2532889X_1968-02-25_01_067.tcf.xml-32-37	Rezeption	0	243-252	"Das Moskauer Dramatische Theater am Taganga-Platz, über dessen Aufführung „Der gute Mensch von Sezuan"" Regisseur Juri Ljubimow auf dem Dialog sprach, und eine Reihe anderer Bühnen sozialistischer Länder leisteten wertvolle Beiträge zur Brecht-Rezeption."
26120215_1975_03_26_01_101.tcf.xml-5-20	Rezeption	0	141-150	Und da der Inhalt des berühmten Shakespeareschen Schauspiels ja allgemein bekannt ist, bestanden für die Zuschauer keine Schwierigkeiten der Rezeption, was von der Vorstellung des erstgenannten Werkes nicht ohne weiteres behauptet werden kann.
26120215_1979_12_05_01_177.tcf.xml-15-19	Rezeption	0	125-134	Brecht-Forschern der sozialistischen Länder sollen die Brecht-Tage im Februar 1981 fordern, die sich speziell mit der Brecht-Rezeption in diesen Ländern befassen werden.
2532889X_1973-06-08_01_026.tcf.xml-5-13	Rezeption	0	106-115	Hans Jürgen Geerdts erhielt den Preis für seinen bedeutenden wissenschaftlichen Beitrag zur marxistischen Rezeption der klassischen deutschen Literatur und der literaturtheoretischen und -kritischen Förderung der sozialistischen Gegenwartsliteratur unserer Republik.
