context_id	word	gold_sense_id	positions	context
2532889X_1985-09-13_01_183.tcf.xml-19-36	Rezeption	0	276-285	Zum 65. Geburtstag beglückwünscht das Zentralkomitee der SED herzlichst Prof. Dr. Johannes Irmscher, dessen vielfältige publizierte Forschungsergebnisse zu Fragen der Entwicklung der griechischen Literatur, zur Ideologie-und Kulturgeschichte von Byzanz sowie zu Problemen der Rezeption des antiken Erbes in der deutschen Klassik und der Antikerezeption der sozialistischen Geselschaft hohe nationale und internationale Anerkennung fanden.
savigny_system01_1840-915-1	Rezeption	0	4-13	Die Reception aber ist eine Thatsache, die sich nicht verbergen läßt, die aber auch nicht ohne wichtige Gründe eintritt.
26120215_1976_05_28_01_195.tcf.xml-26-7	Rezeption	0	45-54	Durch assoziative Technik, die eine einfache Rezeption erschwert, beabsichtigt Szabo, die schöpferische Phantasie der Zuschauer mehr als üblich anzusprechen.
wilamowitz_aristoteles02_1893-647-248	Rezeption	0	1441-1450	507 hat Kleisthenes in Athen 10 phylen mit hilfe des delphischen gottes gemacht. es war ein act der willkür, aber es gieng sehr bequem. die alten vier mochten als cultverbände weiter existiren, das kümmerte ihn nicht; den Ion behielt er aber natürlich bei, denn Ionier wollten die Athener bleiben. die vier phylen sind nicht mehr wert als die zehn. also schliesse ich, dass sie ebenso künstlich gemacht sind. wenn jeder Athener einen Ἀπόλλων πατϱῷος haben muss, trotz seinem geschlechte und dessen ahnherrn, so ist der ihnen allen einmal verliehen, künstlich, durch einen act. als Attika eine einheit geworden war, bedurfte es allerdings einer gliederung; der regionalismus war damals ungleich gefährlicher als 507, die bestehenden geschlechterverbände ungleich machtvoller. die ideelle einheit lag im dienste Athenas, aber die jungfrau bot keine bequeme gentilicische anknüpfung. da hat man die vier phylen erfunden und die phratrien dazu, oder besser die trittyen; denn phratrien, d. h. gruppen engverbundener geschlechter, haben gewiss vorher nicht gefehlt. die geschlechter aber wurden in diese fächer eingereiht; es ist ganz gut möglich, dass man für sie eine schematische zahl wenigstens prinzipiell aufgestellt hat, wie die Atthis 360 zählt. bewerkstelligt konnte eine solche massregel noch 507 nur durch die sanction eines gottes werden. dass die vier phylen von demselben pythischen Apollon gemacht sind wie die zehn, folgt aus der reception seines cultes als πατϱῷος, den die Ionier doch auch haben müssten, wenn sie die phylen aus Athen mitgenommen hätten. es wird am klarsten sein, wenn ich erzählend darlege, wie ich mir die tatsachen geworden denke. das geeinigte Attika braucht eine organisation, die den formen des geschlechterstaates gemäss in φυλὰς φυλάξαι und ὠβὰς ὠβάξαι bestehen muss. über das prinzip hat man sich geeinigt, ganz wie durch die rhetra in Sparta. die ausführung wird gemacht wie 507; man fragt den gott, und ein staatsmann, der ihm soufflirt, wird auch diesmal nicht gefehlt haben. der gott sagt“ ihr habt vergessen meines lieben sohnes Ion und seiner vier söhne, die doch zuerst euer volk zusammen wohnen gelehrt haben (συνῴκισαν sagt auch Aristoteles), durch sie seid ihr meine kinder, und wenn ihr nach ihnen euch gliedert, wird es euch wol ergehen. ” und so führen die Athener die vierteilung durch und darunter die zwölfteilung; es ist ein ganz äusserlicher auf die verwaltung berechneter schematismus, das leben war und ist nur in den einzelnen gliedern, den geschlechtern und allenfalls den phratrien.
2532889X_1985-03-09_01_422.tcf.xml-5-4	Rezeption	0	25-34	Entstehung, Methodik und Rezeption von „Materialismus und Empiriokritizismus.
26120215_1977_04_20_01_084.tcf.xml-6-15	Rezeption	0	112-121	Fragen der nationalen Produktion, ihre Interessantheit und Wirksamkeit beantworten sich schließlich auch in der Rezeption des Kinozuschauers.
2532889X_1971-04-19_01_063.tcf.xml-52-32	Rezeption	0	205-214	Über Heinrich Manns Beziehungen zur Tschechoslowakei, deren Staatsbürgerschaft er im Jahre 1936 erworben hatte, berichtete Dr. sc. Alois Hofman aus Prag, Dr. Karol Rosenbaum aus Bratislava sprach über die Rezeption Heinrich Manns in der Slowakei, Dr. Vasil Kolewskl aus Sofia über die in Bulgarien.
beseler_volksrecht_1843-337-14	Rezeption	0	84-93	Vergleicht man mit solchen Erscheinungen die Lehre der Romanisten zur Zeit, als die Reception des fremden Rechts in Deutschland begründet ward, so stellt sich recht deutlich heraus, wie verschieden der Einfluß ist, den dieses Ereigniß früher gehabt hat und den es auf das heutige deutsche Recht ausübt.
beseler_volksrecht_1843-601-31	Rezeption	0	177-186	Besonders bezeichnend ist aber die Art, wie der Fall behandelt wird, wenn ein Irrthum der Juristen die Veranlassung eines Rechtssatzes geworden ist, — worauf sich etwa auch die Reception des römischen Rechts in Deutschland zurückführen ließe.
2532889X_1987-05-02_01_133.tcf.xml-12-21	Rezeption	0	154-163	Zu welch fruchtbaren Ergebnissen ein solches differenziertes Herangehen führen kann, demonstrierte Professor Buhr u. a. an Erfahrungen bei der kritischen Rezeption von Arbeiten Sigmund Freuds in der DDR
