context_id	word	gold_sense_id	positions	context
2532889X_1961-04-10_01_051.tcf.xml-4-2	überspannen	sense3	19-29	"Der Handlungsbogen überspannt vier Jahrzehnte, geht vom Ausbruch des ersten Weltkrieges bis in unsere Zeit doch er verläuft immer an der „gleichen Strecke"", am Arbeitsplatz und im kargen Milieu des Bahnwärters Paul der auf der Suche nach dem Glück sein Leben fast verwirkt ehe er im späten Alter begreift"
2532889X_1964-11-23_01_007.tcf.xml-3-10	überspannen	sense3	50-60	Die Brücke, die Insgesamt 4,8 Kilometer lang ist, überspannt in ihrem Mittelteil zwischen zwei Pfeilern von je 211 Meter Höhe eine lichte weite von 1300 Metern und gestattet selbst den größten Seeschiffen, ungehindert in den Hafen einzulaufen.
2532889X_1975-10-22_01_155.tcf.xml-2-23	überspannen	sense3	140-150	• Mit der Fertigstellung der ersten 143 Meter, langen Brükkenhälfte, die in Höhe des Fern-und S-Bahnhofs Berlin-Lichtenberg das Bahngelände überspannt, ist die erste Etappe des größten. Verkehrsbauvorhabens der Hauptstadt erfolgreich abgeschlossen.
2532889X_1975-11-24_01_038.tcf.xml-2-22	überspannen	sense3	117-127	Eine 460 Meter lange Brücke, die das künftige neue Flußbett der Mulde bei Pouch im Kreis Bitterfeld in 22 Meter Höhe überspannt, wurde nach nur sechsmonatiger Bauzeit am Wochenende für den Verkehr freigegeben.
2532889X_1980-05-10_01_109.tcf.xml-5-7	überspannen	sense3	48-58	Die Kadin-Brücke wurde 1470 fertiggestellt, sie überspannt auf einer Länge von 150 Metern mit ihren fünf Bögen die Struma in der Nähe von Kjustendil.
2532889X_1981-02-14_01_071.tcf.xml-7-20	überspannen	sense3	148-159	So entstand das dichteste Theaternetz, das je einen durch gemeinsame Sprache, Kultur und Geschichte zusammengehaltenen Bereich europäischer Prägung überspannte.
2532889X_1981-03-17_01_086.tcf.xml-42-16	überspannen	sense0	104-115	Jürgen Hentsch als Harra zeigte Kauzigkeit und Intelligenz, vollkommen unaneestrengt, ohne den Bogen zu überspannen.
2532889X_1987-11-30_01_052.tcf.xml-106-18	überspannen	sense3	95-105	Rechts die drei Bagger, links die Förderbrücke, die den Tagebau in einer Breite von 580 Meiern überspannt.
26120215_1961_08_10_01_204.tcf.xml-26-15	überspannen	sense4	94-104	Er war ein schwerer Büssing-Lastkraftwagen mit einem hohen Anhänger, beide mit starken Planen überspannt.
26120215_1966_10_16_01_006.tcf.xml-38-16	überspannen	sense3	126-137	Eine dieser Brücken wird den künftigen Durchbruch Grunerstraße, die anderen den Durchbruch Prenzlauer Allee /Liebknechtstraße überspannen.
26120215_1967_06_18_01_186.tcf.xml-2-9	überspannen	sense3	70-80	In kühner Stahlkonstruktion, von schlanken Betonpfeilern unterstützt. überspannt sie in 50 Meter Höhe über dem Wasserspiegel die Moldau.
26120215_1973_08_22_01_144.tcf.xml-17-18	überspannen	sense3	111-122	Immer dann, wenn ein Bauernhof mit den für den Spreewald typischen. strohgedeckten Blockhäusern sichtbar wird, überspannen schmale Brücken die Wasserstraße.
26120215_1978_11_27_01_139.tcf.xml-13-12	überspannen	sense3	71-81	Eine acht Kilometer lange Brücke, die die sibirische Angara in Irkutsk überspannt, wurde am Wochenende dem Verkehr übergeben.
26120215_1979_01_09_01_052.tcf.xml-67-14	überspannen	sense2	60-70	Sie verlangte auch viel — viel Geld, meine ich, und sie war überspannt.
2532889X_1947-07-13_02_059.tcf.xml-16-12	Manschette	sense1	62-73	Mürrisch und knurrig legt er den Gummikragen ab, « treift die Manschetten zum Ellenbogen.
2532889X_1949-10-09_01_039.tcf.xml-11-13	Manschette	sense1	68-79	Der Wolle Dtät lit bekannt: den Kadetten traten sie auf mitsamt den Manschetten.
2532889X_1953-04-22_01_051.tcf.xml-37-29	Manschette	sense1	154-165	Als ich schon einige Jahre in der Lehre war und mithalf, Maschinen zu bauen, kamen mir die Volontäre, die in gebügelten Monteuranzügen, weißen Kragen und Manschetten überall den Arbeitern 'm Wege standen, so lächerlich vor, daß ich mich geschämt hätte, Volontär zu sein.
2532889X_1965-10-24_01_236.tcf.xml-10-3	Manschette	sense1	17-28	Es gibt karierte Manschetten zu einfarbigen Kleidern, es gibt Spitze auf Tuch, Pelz auf Tweed, Perlen auf Seide.
2532889X_1966-11-27_01_243.tcf.xml-5-14	Manschette	sense1	111-122	"KONTEX-KAUFHAUS ^SOLIDARITÄT"",, KÖPENICK. GRUNSTRASSE 24 Damen-Mäntel aus Streichgarnwolle mit Schalkragen und Manschetten aus-Otterkanin, Gr. 76 — 94... 281,60 Damen-Kostüme au& vStreichgarnwolle mit Lammfell-. kragen 231,10 Pullover, sportlich, aus reiner Wolle, mit Rollkrageneinsatz, in Grau und*Blau, Gr. 46 — 50 -. i. i. 152,65"
2532889X_1967-01-15_01_271.tcf.xml-29-5	Manschette	sense4	16-27	"„Du, Purzel hat Manschetten vor die Leitung."""
2532889X_1972-09-02_01_044.tcf.xml-9-23	Manschette	sense4	113-124	Die ganze Zeit hast du dich zusammen mit der FDJ-Leitung dafür eingesetzt, und nun, da es soweit ist, kriegst du Manschetten.
2532889X_1988-08-27_01_200.tcf.xml-20-10	Manschette	sense4	48-59	"„Wir haben alle miteinander, auch ich, wirklich Manschetten davor gehabt, einen deutschen Beitrag zur Teilung Deutschlands zu leisten."""
26120215_1949_11_02_01_037.tcf.xml-38-18	Manschette	sense1	114-124	Drittens aber wußte jeder, daß Leutnant Perl, trotz seines schmalen weißen Kragenrandes und einer fein gestärkten Manschette, ein orthodoxer Jude war, der sich auch an der Front — er verdankte sein E. K. gewissen Monaten am Tivul-Sumpf — unter Entbehrungen unerlaubter Nahrung enthalten hatte.
26120215_1960_08_21_01_550.tcf.xml-1-12	Manschette	sense3	66-77	Ich habe auf meinem Laubengrundstück eine Pumpe, für die ich neue Manschetten und Scheiben brauche.
