context_id	word	gold_sense_id	positions	context
2532889X_1961-04-10_01_051.tcf.xml-4-2	überspannen	sense3	19-29	"Der Handlungsbogen überspannt vier Jahrzehnte, geht vom Ausbruch des ersten Weltkrieges bis in unsere Zeit doch er verläuft immer an der „gleichen Strecke"", am Arbeitsplatz und im kargen Milieu des Bahnwärters Paul der auf der Suche nach dem Glück sein Leben fast verwirkt ehe er im späten Alter begreift"
2532889X_1964-11-23_01_007.tcf.xml-3-10	überspannen	sense3	50-60	Die Brücke, die Insgesamt 4,8 Kilometer lang ist, überspannt in ihrem Mittelteil zwischen zwei Pfeilern von je 211 Meter Höhe eine lichte weite von 1300 Metern und gestattet selbst den größten Seeschiffen, ungehindert in den Hafen einzulaufen.
2532889X_1975-10-22_01_155.tcf.xml-2-23	überspannen	sense3	140-150	• Mit der Fertigstellung der ersten 143 Meter, langen Brükkenhälfte, die in Höhe des Fern-und S-Bahnhofs Berlin-Lichtenberg das Bahngelände überspannt, ist die erste Etappe des größten. Verkehrsbauvorhabens der Hauptstadt erfolgreich abgeschlossen.
2532889X_1975-11-24_01_038.tcf.xml-2-22	überspannen	sense3	117-127	Eine 460 Meter lange Brücke, die das künftige neue Flußbett der Mulde bei Pouch im Kreis Bitterfeld in 22 Meter Höhe überspannt, wurde nach nur sechsmonatiger Bauzeit am Wochenende für den Verkehr freigegeben.
2532889X_1980-05-10_01_109.tcf.xml-5-7	überspannen	sense3	48-58	Die Kadin-Brücke wurde 1470 fertiggestellt, sie überspannt auf einer Länge von 150 Metern mit ihren fünf Bögen die Struma in der Nähe von Kjustendil.
2532889X_1981-02-14_01_071.tcf.xml-7-20	überspannen	sense3	148-159	So entstand das dichteste Theaternetz, das je einen durch gemeinsame Sprache, Kultur und Geschichte zusammengehaltenen Bereich europäischer Prägung überspannte.
2532889X_1981-03-17_01_086.tcf.xml-42-16	überspannen	sense0	104-115	Jürgen Hentsch als Harra zeigte Kauzigkeit und Intelligenz, vollkommen unaneestrengt, ohne den Bogen zu überspannen.
2532889X_1987-11-30_01_052.tcf.xml-106-18	überspannen	sense3	95-105	Rechts die drei Bagger, links die Förderbrücke, die den Tagebau in einer Breite von 580 Meiern überspannt.
26120215_1961_08_10_01_204.tcf.xml-26-15	überspannen	sense4	94-104	Er war ein schwerer Büssing-Lastkraftwagen mit einem hohen Anhänger, beide mit starken Planen überspannt.
26120215_1966_10_16_01_006.tcf.xml-38-16	überspannen	sense3	126-137	Eine dieser Brücken wird den künftigen Durchbruch Grunerstraße, die anderen den Durchbruch Prenzlauer Allee /Liebknechtstraße überspannen.
26120215_1967_06_18_01_186.tcf.xml-2-9	überspannen	sense3	70-80	In kühner Stahlkonstruktion, von schlanken Betonpfeilern unterstützt. überspannt sie in 50 Meter Höhe über dem Wasserspiegel die Moldau.
26120215_1973_08_22_01_144.tcf.xml-17-18	überspannen	sense3	111-122	Immer dann, wenn ein Bauernhof mit den für den Spreewald typischen. strohgedeckten Blockhäusern sichtbar wird, überspannen schmale Brücken die Wasserstraße.
26120215_1978_11_27_01_139.tcf.xml-13-12	überspannen	sense3	71-81	Eine acht Kilometer lange Brücke, die die sibirische Angara in Irkutsk überspannt, wurde am Wochenende dem Verkehr übergeben.
26120215_1979_01_09_01_052.tcf.xml-67-14	überspannen	sense2	60-70	Sie verlangte auch viel — viel Geld, meine ich, und sie war überspannt.
beck_eisen01_1884-5529-19	überspannen	sense4	118-128	Die weiteren Öffnungen der Thonröhren, die bei richtiger Stellung sich befinden, sind oben mit einer sackartigen Haut überspannt, in deren Mitte eine Öffnung ist.
beck_eisen04_1899-5268-44	überspannen	sense3	271-282	Als es sich 1801 als Notwendigkeit herausstellte, die alte London-bridge abzureissen und eine neue Brücke an ihrer Stelle zu errichten, arbeitete Telford den Entwurf einer gusseisernen Brücke aus, welche in einem Bogen von 600 Fuss Spannweite die ganze Breite der Themse überspannen sollte: ein Entwurf, der an Schönheit alle anderen Brücken Londons übertroffen haben würde.
burckhardt_cicerone_1855-1498-18	überspannen	sense3	110-121	S. Prassede (IX. Jahrhundert), ein merkwürdiger Versuch, in das Organische einzulenken; grosse Backsteinbögen überspannen das Mittelschiff; dazwischen je drei Intervalle und zwei Säulen mit geradem Gebälk.
lehnert_seehaefen01_1891-6505-33	überspannen	sense3	162-173	Valencia, die Stadt der Blumen, hat in einen immensen Garten sich gebettet; und die Promenade entlang der Ufer des Turia, der Blick auf die fünf Brücken, die ihn überspannen, und nach dem prächtigen Grün der Landschaft, gehören zu den höchsten Genüssen, welche der Aufenthalt in der schönen eleganten Stadt zu bieten vermag.
ludwig_himmel_1856-3855-12	überspannen	sense2	74-85	In jenem überwucherte die Selbstsucht, die schlimme Anlage; in Apollonius überspannte sich, was Gutes in ihm war, seine Gewissenhaftigkeit, Anhänglichkeit und sein Sauberkeitsbedürfniß.
muellner_kaliber_1829-736-4	überspannen	sense2	27-37	Sie sind leidenschaftlich, überspannt, schwärmerisch in Ihren Gefühlen.
rosegger_waldschulmeister_1875-504-12	überspannen	sense2	57-67	Der gute Mann hat mir mit ruhigen Worten gesagt, daß ich überspannt und wol krank sein müsse.
rosenkranz_aesthetik_1853-1698-0	überspannen	sense2	0-11	Ueberspannt sie sich, so wird sie freilich mit eben diesem Wagniß Effect machen, denn sie bringt ja dann etwas hervor, was sie nicht hervorbringen sollte und was als eine seltsame Erscheinung immerhin interessant sein kann, jedenfalls aber die Gesetze der wahren Kunst verletzt.
siemens_telegraphie_1866-270-10	überspannen	sense3	70-80	Fast alle europäischen Bänder sind jetzt von einem eisernen Drahtnetz überspannt, durch welches der electrische Bote die Gedanken und Nachrichten der Menschen in wunderbarer Geschwindigkeit von Ort zu Ort, vom atlantischen Meere zum indischen und stillen Ocean befördert!
