context_id	word	gold_sense_id	positions	context
bib11653811_18990203_145317_18_0001_alto.xml-7-25	bolagsstämma	0	136-148	inom Kalmar län kallas att sammanträda å Ryssby gästgifvaregård tisdagen den 14 februari 1899, kl. li f.m., för val af ombud till årets bolagsstämma.
bib15975090_18960528_148377_66_0001_alto.xml-6-9	bolagsstämma	0	78-90	Delegare i Mellersta Blekinge Jernvägsaktiebolag kallas härmed till ordinarie bolagsstämma fredagen den 26 instundande juni kl. 12 pä dagen å härvarande Jernvägsbyrå.
bib19277277_18950307_147683_65_0001_alto.xml-7-9	bolagsstämma	0	67-79	D.iegarne i Mälare provinsernas Enskilda Bank kallas Mil ordinarie Bolagsstämma, sorn börjas i bankens hus härstädes Fredagen den 8 instundande Mars kl. li f. m., och behagade de Herrar lottegare, spm ämna Bolagsstämman bevista, derförijruan anmäla.ig ho.
bib19225758_18951104_144022_257_0001_alto.xml-49-4	bolagsstämma	0	29-41	kallas härmed till ordinarie bolagsstämma å Hotel Eggers härstädes, onsdagen den 20 Nov.
bib19277277_18950504_147683_120_0008_alto.xml-131-16	bolagsstämma	0	96-108	Brandförsäkring sbolaget Tor hade den 2 dennes i bolagets lokal, Klara Bergsgatan 23, ordinarie bolagsstämma under ordförandeskap af kontreamiralen 0.
bib11653790_18990324_145648_23_0003_alto.xml-211-1	bolagsstämma	0	15-27	Konstituerande bolagsstämma med aktietecknare i bryggeriaktiebolaget Dalpilen & järnvägshotellet i Borlänge.
bib15761570_18950228_146176_38_0002_alto.xml-11-4	bolagsstämma	0	25-37	kallas härmed till extra bolagsstämma å bolagets kontor härstädes Tisdagen den 26 nästa Mars kl. 5 e. m. för behandling af framstäldt förslag örn ändring af § 18 i bolagsordningen.
bib19227462_18950805_147640_179_0001_alto.xml-4-4	bolagsstämma	0	32-44	kallas härigenom till ordinarie bolagsstämma å Börsen i Stockholm Fredagen den 13 nästkommande September, kl. XI f. m. Revisionsberättelsen tillhandahållas å Stockholms enskilda banks afdelningskontor.
bib15650835_18960612_146472_89_0001_alto.xml-37-4	bolagsstämma	0	32-44	kallas härigenom till ordinarie bolagsstämma å Stadshuset i Piteå Måndagen den 22 Juni 1896 kl. 5 e. m.
bib15978012_18950419_148361_90_0004_alto.xml-12-10	bolagsstämma	0	86-98	Delägame i Aktiebolaget Skånska Konservfabriken kallas att sammanträda till ordinarie bolagsstämma å Länsresidenset härstädes lördagen den 27 april 1895 kl. 1 eftermiddagen.
bib11653830_18980714_146968_54_0002_alto.xml-72-11	bolagsstämma	0	60-73	åt styrelsen att bestämma den plats inom Elfsborgs län, där bolagsstämman hvartannat år skall hållas.
bib11653811_18981203_145317_187_0002_alto.xml-32-7	bolagsstämma	0	56-69	Jernvägens styrelse hemställer med anledning häraf till bolagsstämman: att i det bolag, som må komma att bildas för åstadkommande och trafikerande af jernväg från Emmaboda station å Karlskrona — Wexiö jernväg till Mörlunda station å Nässjö — Oskarshamns jernväg, teckna aktier till ett belopp af 500,000 kr.
bib19227291_18970603_145289_66_0003_alto.xml-12-11	bolagsstämma	0	79-91	— Kristianstad — Hessleholms jernvägsaktiebolag har vid i går hållen ordinarie bolagsstämma beslutit en utdelning af 8 procent samt att till konungens jubileumsfond öfverlemna 1000 kronor.
bib19225758_18950308_144022_57_0001_alto.xml-24-8	bolagsstämma	0	70-82	Delegarne i Angfartygs-Aktiebolaget Ajna kallas härmed till ordinarie Bolagsstämma i Göteborg å Hr Th. Ahrenbergs kontor Torsdagen den 28 Slars 1895 kl. 5,30 e. m. Göteborg den 7 Mars 1895.
bib11653790_18980705_145648_50_0003_alto.xml-29-22	bolagsstämma	0	151-164	föreslog en resolution af ungefär den lydelse, att » bolagsstämman tacksamt godkänner styrelsens åtgärder och uppdrager åt styrelsen att utan särskild bolagsstämmas hörande anskaffa nödiga medel för arbetets påbörjande, så snart koncession erhållits ».
bib11653811_18980406_145317_53_0002_alto.xml-24-10	bolagsstämma	0	61-74	4:o) Till ombud att bevaka kommunens intressen vid blifvande bolagsstämmor med Kalmar läns östra jernvägsaktiebolag utsågs enhälligt komminister E. Möllerberg och till suppleant landtbrukaren P. O. Nilsson i Oppeboda.
