context_id	word	gold_sense_id	positions	context
bib19223423_18120418_145063_31_0002_alto.xml-11-3	bolagsstämma	0	25-37	Jnnewarande års allmänna Bolagsstämma för Respective Lott-ägare uti Skepps-Warfwet Gustaf Adolph i Landskrona, är utfatt att hällas härstädes, Måndagen ben r nästkommande Junis, klockan y förmiddagen; font härmed Eungöres.
bib13506739_18280426_144030_97_0002_alto.xml-9-58	bolagsstämma	0	312-324	förklara, arr iiiter hinder förekommer, del Eommirreradc, äfwen i den händelse att leclningarne till delaktighet i nämnde Bolag ej, wid berörde mänadS stut, upp gä till fulla 10 millioner, mä, genom kungörelse i Allmänna Tidningarne, pä sätl 6:!e puncrcn i de för Bolager öflrcrenskomne grunder iunehäller, till Bolagsstämma sammankalla alla dem, som i teckningen deltagit, för att besluta, buruwida Bolaget stall träda i wetksamher, eller icke, samt derjemte förordnat, att teckninearnc borde under liten, och äfwcn ' efter ' efter kungörelsens utfärdande, pä lika sätt som förnr, sorrgä; narda alla de, som i teckningen redan deltagit eller före d.
bib11653806_18180317_145120_31_0004_alto.xml-0-13	bolagsstämma	0	92-104	jprr fottågart i Stockholms CiJäjjernrar-eSÄll » stay, kallas där-redelst till den allmänna Bolagsstämma, som uti de of Kon, l.
bib19520388_18120527_147487_22_0004_alto.xml-6-13	bolagsstämma	0	85-97	Discont werkö förwoltning och räkensiaper för sistledit är igl » samt derpä följande Bolagsstämma, kommer att uppskjutas till Riksdagens stut, dä företagandet deraf, innan, behörig tid, stoll i tidningarne kungöras, sä » varder detta respeciiwe Actieägare tillkännagifwit.
bib19225772_18271107_148004_130_0002_alto.xml-10-21	bolagsstämma	0	118-131	Om Städerne Götheborg, Malmö, Norrköping och Upsala, hwilka tillsammans utgöra mera än f:öel af hela Stadsfonden, wid Bolagsstämman blif, wa representerade genom hwar sin Fullmäktig, sä kunna besia 4 Deputerade, hwilka tala för Brandförsäkrade egendomar till ett belopp af 6£ millioner R.d. Banko, enligt Reglementet icke tillsammans fa mera än 64 röster.
bib11653825_18071001_145134_116_0007_alto.xml-1-5	bolagsstämma	0	42-54	Wid Adolphbergs hclsvbrunn blifwcr altman Bolagsstämma fjällen ben 17 nästinstundande November, hwarwid samielige Interessenterne erinra?, akt antingen sjelfire eller genom laga ombud sig infinna till öfwerläggning uti nägra Brunnen rörande angelägenheter, drebro dcn 4 September » «07.
bib19225772_18291208_148004_140_0002_alto.xml-4-40	bolagsstämma	0	179-191	i afseende pa den insätt,, ing, som för Aknerne är i fragg, och att rådgöra i ämnet, samt öfwerenskomma om det yttrande, fom wid den till den 16 i denna månad i Stockholm steende Bolagsstämma, kan böra i frägan afgifwaS.
bib11653823_18300329_144010_72_0003_alto.xml-32-10	bolagsstämma	0	79-92	Resp. Uetieägäre r Westerns RcderiBolag kallas härmedelst till andra ordinarie Bolagsstämman för inneiv.
bib11653823_18300614_144010_134_0003_alto.xml-18-17	bolagsstämma	0	110-123	Jttlercficnterne i Sareby Jerngrufwa, belägen i JernflogS Socken och Wcrm » lq«d, behagade faniinanträda till Bolagsstämmas hällande i Frimurarchuick i Cael » städ d.
bib13506739_18271130_144030_281_0001_alto.xml-15-52	bolagsstämma	0	316-329	Såwida nuwarande Delägare i Brandförfäkringowerktts Stadsfond, i all, mänhet fortfara med dellagande uti werket, vch endast ett mindre betydligt antal bland dem afträda frän delaktigheten uti denna inrättning, så anse wi äfwen Delägarne » ti Lunds Sta » deruti böra fortfara, under förbehåll att följande wilkor wid Bolagsstämman d.
bib11653823_18280213_144010_37_0003_alto.xml-17-12	bolagsstämma	0	40-52	23 i denne månad, kl. li f. m., ntlyste Bolagsstämma kommer att hallas
bib19277277_18270303_147682_52_0002_alto.xml-10-4	bolagsstämma	0	22-34	Sedan wid här hälleii Bolagsstämma med Iobaniiesborgs Herrar Jnterrepeiiter ett tillflott af & gt; 20 R:dr B:ko pr Aktie till WerketS bedrifwande ansetts nödigt, sä » är Direktionen härigenom anmoda Herrar Jnterrepeiiter, att sä snart fle kan och senast inom nästa Mars mänads stut, wid de » päfölid.
