context_id	word	gold_sense_id	positions	context
gerstner_mechanik01_1831-7908-49	überspannen		247-257	Wenn wir zu dieser Absicht den halben Kreis in vier gleiche Theile theilen, und jeden Theil als ein für sich bestehendes Prisma betrachten, so wird der Winkel A B F, den das erste Viertheil mit dem Horizonte macht, weil er einen Bogen von 45 Grad überspannt = 22,5° und der Winkel B D N, den das untere Viertheil mit dem Horizonte bildet = 67,5° seyn.
arnimb_guenderode01_1840-770-48	überspannen		305-315	Der Hohenfeld sagte mir, Ebel erzähle Du habest aus überreiztem Widerwillen gegen die Philosophie starkes Erbrechen gehabt, daraus sich ein galliges Nervenfieber gebildet habe; er warnte mich und sagte Du seiest ein unbedeutendes Mädchen und kein philosophischer Kopf, der Deine könne zwar übermüthig und überspannt, weiser aber nicht werden rc.
lehnert_seehaefen01_1891-13579-13	überspannen		81-92	Von den erwähnten Brücken ist die niedrigere eine Drehbrücke; die beiden anderen überspannen den Fluss aber in Höhen von 26 ·5 m und 36 ·5 m, so dass sie der Schiffahrt nicht hinderlich sind.
pocci_komoedienbuechlein01_1859-3910-27	überspannen		149-159	Sie windet Blumen in den dunklen Kranz, Der ernst sich oft um unsre Stirne wölbt; Jst sie nicht auch der Regenbogenschimmer, Der düstre Lebenswolken überspannt?
schweiger_armenien_1878-1425-15	überspannen		87-97	Zu Dschumba am Zarbstrome (der sich tief durch diese ganze Alpenmasse durchwindet, nur überspannt von einigen Brücken aus schwankem Flechtwerk) wurde der Bürgermeister (Malek)
stifter_nachsommer01_1857-1009-9	überspannen		50-60	Oben schloß gewölbtes Glas, das mit feinem Drahte überspannt war, die Räume.
berg_ostasien01_1864-4003-26	überspannen		149-159	Dieser Strom ist etwa so breit wie die Elbe bei Dresden, aber wasserreicher, und in seinem Lauf durch die Hauptstadt von vier mächtigen Pfahlbrücken überspannt.
baumstark_encyclopaedie_1835-10729-28	überspannen		186-196	Die Wachsbänder kommen hierauf auf die Tafeln, Plane oder Carré's, d. h. Holzgerüste auf einem windstillen, rauch-und staubfreien Grasplatze, welche mit lang-viereckigen Leinwandstücken überspannt und am Rande eingefaßt sind.
rosegger_waldschulmeister_1875-504-12	überspannen		57-67	Der gute Mann hat mir mit ruhigen Worten gesagt, daß ich überspannt und wol krank sein müsse.
menzel_maurer_1847-1252-19	überspannen		92-103	Kommen Risse und Spalten im Felsen vor, so muß man sie mit Mauerwerk füllen, oder mit Bögen überspannen.
berlepsch_alpen_1861-1071-7	überspannen		39-49	Ein Umstand ists, der manche Erwartung überspannt und zugleich die späteren Effekte merklich abschwächt; — das ist die Introduktion zur italienischen Reise, es ist der erste Tag jenseit der Alpen.
vischer_aesthetik030201_1852-574-37	überspannen		222-232	Daher fordert der §. als höhere Form den mit der geraden Linie, die nun die Gegensätze des erfüllten Lebens andeutet, zusammengestellten Kreis-und Kugel-Ausschnitt: dieser erscheint dann als die Einheit, welche Gegensätze überspannt, zusammenfaßt, auflöst.
dilthey_geisteswissenschaften_1883-2172-1	überspannen		11-21	Parmenides überspannt die Tragweite des als Grundsatz des Naturerkennens gültigen ex nihilo nihil fit und konstruirt ein ewiges, kontinuirlich im Raume sich erstreckendes, jede Veränderung und Bewegung ausschließendes Sein, in welches ihm alle Vollkommenheit der göttlichen Weltordnung aufgeht.
herbart_psychologie02_1825-45-36	überspannen		207-219	Und dieses findet sich um desto gewisser, da die Kirche nicht bloss dem Pantheismus abgeneigt ist, welcher das Princip der Endlichkeit in Gott hineinversetzt, sondern auch, und zwar nicht minder, demjenigen überspannten Theismus, der, um jenes für lästig gehaltene Princip zu verflüchtigen, oder vielmehr zu ignoriren, (denn das Verflüchtigen gelingt nicht,) sich von der Erfahrung absichtlich hinwegwendet, und in allerley Formen sich durch eine vorgeschützte Unwissenheit zu helfen sucht.
krafft_landwirthschaft02_1876-2967-25	überspannen		148-158	Dasselbe wird mit einem Holzrahmen umgeben, um das Beet schnell durch Auflegen von Brettern, Strohmatten oder von Rahmen, welche mit geöltem Papier überspannt sind, bedecken zu können.
samter_erfindungen_1896-1513-14	überspannen		83-93	Durch diese Rute f sind dann die Sprossen k hindurchgesteckt, welche mit Segeltuch überspannt werden und auf diese Weise den Winddruck aufnehmen, infolge dessen die Welle a sich dreht und das eigentliche Mühlenwerk in Bewegung setzt.
menzel_literatur02_1828-938-3	überspannen		18-28	Auch Hoffmann war überspannt, wie Werner, und gemüthskrank.
siemens_telegraphie_1866-270-10	überspannen		70-80	Fast alle europäischen Bänder sind jetzt von einem eisernen Drahtnetz überspannt, durch welches der electrische Bote die Gedanken und Nachrichten der Menschen in wunderbarer Geschwindigkeit von Ort zu Ort, vom atlantischen Meere zum indischen und stillen Ocean befördert!
nn_nrhz233_1849-281-53	überspannen		336-347	Alle Tugenden und Personagen, wie sie der alt-neue Bundestag braucht, sind in Hülle und Fülle vorhanden; es fehlt weder an Volksverräthern, Hofintriganten, gottbegnadeten Rittern, noch an dem besten Willen die 36 deutschen Nationen und Natiönchen, Vaterländer und Vaterländchen so zu maulkorben und mit metternich'schen Zwangsnetzen zu überspannen, daß die erste Periode des Bundestags noch wie Tag vor der nachfolgenden Nacht dastehen soll.
