context_id	word	gold_sense_id	positions	context
bib19277277_18271108_147682_262_0001_alto.xml-12-5	bedömande		22-31	ej inläta ost i något bedömande af ConseNen hwarkcn af det hela eller dekaljeradt; ty nian kan wara försäkrad, alt hwar för sig gör fin flit,, och kan säledcS aldrig tadel
bib11653823_18280522_144010_118_0008_alto.xml-2-11	bedömande		89-98	Undkligen uppläses ofwanberördc Oocumenter, HwilkaS giltighet un, derkastaS ElectorerneS bedömande och afgörande, bock sä, att icke nägon voterar i sin egen sak.
bib19277277_18280512_147682_110_0002_alto.xml-15-1	bedömande		7-17	bättre bedömande- i förwäg, med försäkringar olli denna Bad-Inrättnings fördelar framför andra, bwitka för samma ändamål, under senare äeen bllswit anlaggda pä Rikets westra kust: en blick pä kartan torde funna lemna öfivertpgelse derom, att Arswidswik, belägen helt udra Marstrand, tjär en ypperlig lokal såsom inrättning sör Bad utur salta hafwet.
bib15650837_18261129_146391_95_0002_alto.xml-3-13	bedömande		96-105	I afseende pä närwarande wattenbrist, framsialles k fy^merhet till Ot Heirar Wattenwerks-egares bedömande, som hafwa sine Wnttenwerk belägne i strömmen, som faller ur sjön Glan genom Norrköpings Stad, om icke det wore nyttigt, att wid Fiskeby utsätta en Kajdam öfwer hela utloppet, för att tillstängas d.
bib11653823_18300914_144010_212_0001_alto.xml-0-13	bedömande		81-91	senaste händelserna i Frankrike till fm princip, gro likwäl gansta stiliaktjga i bedömandet af äcstilliga detailförhällanden.
bib11653823_18270227_144010_48_0004_alto.xml-9-24	bedömande		133-142	försåld Skeppspart, men h, vilken Rättegång, enligt Sivarandcns begäran, blif&gt; v!t nedlagd, för att hänstjutaS till Creditvrerncs bedömande och afgörande.
bib13506739_18280331_144030_76_0003_alto.xml-19-26	bedömande		132-141	för dem der är tillegnadt, som för musiklärare wid deras wal as stycken for sina elcver, och wägar för öfrigt ntbedja sig ett mildt bedömande öfwer ett företag, som mäste wara enkelt och anspråkslöst för art ej & lt; y°i °i ifrån sin bcstämmeise.
bib13506739_18230604_144030_125_0003_alto.xml-3-26	bedömande		163-172	blifwit for första gängen införd, stola ofmannämnde Afhandlingar, som lära komma att utgöra 3 ark tillsantmans, läggas under Bokprcxcn, till Allmenhetens upplyfta bedömande; annars icke.
bib19227306_18281210_147700_50_0002_alto.xml-6-19	bedömande		121-130	"Mi återtaga icke detta yttrande; men förklara att H:r Prosten Gullander wisscrligen ej särstildt warit föremål för detta bedömande, utan att wi berunber inbegripit samtlige Deputerade frän Stadsförsamlingarne: och wär"" förundran"" och"" förtrytelse"" minstas ingalunda wid eftersinnande af ordalydelsen i den äberopade K:gl."
bib11653825_18190403_145134_40_0006_alto.xml-7-23	bedömande		116-125	att strisiva om sin samtid., fastän det är fwärare för » länga att dä alldeles nndwika smickret, eller ett omoqnadt bedömande.
bib11653828_18201129_144028_278_0003_alto.xml-4-27	bedömande		133-143	moralifta sinnet finne. » wal hos alla menn iskor, men icke hos alla till den grad af s-yrka och ' frihets som mäste förutsättas wid bedömandet af dylika händelser.
bib13506739_18271006_144030_234_0001_alto.xml-10-59	bedömande		329-338	Af Ledamoten Anders Danielson: Jag har wijZerligen icke i fonväg nägon kännedom af den i fråga warande Ansökningens innehall och kan således icke afgöra, huruvida der » finnes något, som wjsendtligen bidrager till lju » t saken; men jag kan också as samma stal icke obesedt antaga, att denna handling är öfwerflödig wid Ärendets bedömande i dejZ hela sammanhang.
bib11653823_18300104_144010_2_0004_alto.xml-7-29	bedömande		176-185	Om man börjat mod an utsända Littleraturens förposter — Tidningarna, sa star man derigenom fästat uppmärksamheten ä företeelserna för dagen, och dc olika asitp terna för deras bedömande blifwit angifna.
bib13506739_18290321_144030_67_0002_alto.xml-16-21	bedömande		129-139	sigt ö&gt; wer Creditivnnedlens anwändande oel, Rik^gäldS-Contoirets FnllmigtigeS handlingssätt i denna fräga, pä det R. St. wid bedömandet af ämnet mätte ä / z » en ledning och för framtiden liUwägabringa nägot uttryckligt stadgande i det, ta hänseende.
bib19227306_18271030_147700_18_0002_alto.xml-0-34	bedömande		212-221	konstnär, han inZ wara det ihwilken genre som helst, som offentcligen framställer sina konstprodueter, har redan, genom blotta anmälandet as sin exposition, tillkännagifwit att han underkastar sig ett offentligt bedömande, och han bör också derföre alltid wara beredd pä ett sädanc, om an han såsom konstnär srainleswat flere decennier utan att om sin konst kanffe hört annat än hwad smidige loftalare enskildt taxlat, - och en konstnär, som icke tal eritiken, är antingen en charlatan, hwars yrke icke uthärdar någon anmärkning för att ej mchcrediteras, eller är han sä egenkär att han anser s, g ' öfwer all critik; har han deremot ett rent konstsinne, sä begagnar han, för konstens skull, hwad han finner wara med fog anmärkt, hwareinot han lemnar det öfriga utan all uppmärksamhet.
bib13506739_18260316_144030_51_0004_alto.xml-29-7	bedömande		60-69	De§a fräaor underställa^ wördsamt den tänkande Allmänhetens bedömande — Drk don sint stall oliviswelaktigt utfalla med en owäld, som ej synes hafwa styrt den cinmäldc Artikelns Författares penna — Ocksä lära hans äsigter troligen ej af rätt mänga delas.
bib13506739_18271203_144030_283_0001_alto.xml-22-30	bedömande		216-225	förwaltningen och interims-anwändan^del ^del af detza medel bleiwo Reviforeina meddelade; men afsiglen med detta nädiga nieddelande har sä myckel mindre kunnat wara alt derigenom sör Revisorerna öppna tillfälle till bedömande af Regeringens i detza fall widtagna åtgärder, som Kongl.
bib11653828_18100413_144028_87_0002_alto.xml-6-103	bedömande		517-526	"hwad Herr T. pästatt, men bekänner mig uppriktigt ej kunnat finna en sädan mening dragas as Hr T:s ord i N:o 40 af Journalen för Litterat, och Teatern:"" Jag wägar tro att i nödfall — (man ser hwilken wnrdighet Herr T. här som eljest brukat) — » et wöse mycket mindre farligt för staken att kata Klockaren predika, än det were w » ventyrligt att läka honom kurera kroppen: anwändandct af en wal ssrifwen Postilla wore i förra fallet mera säkert, an i det senare en Medicinst handbok eller empirist kur, utan rationell bedömande."
