,context_id,word,gold_sense_id,predict_sense_id,positions,context
0,1,балка,1,,95-100," маленькая комната. он быть очень высокий, наклонить голова, словно подпирать плечо потолочный балка, посмотреть на сьянов серьёзный чёрный глаз. -- я из москва. быть испытывать здесь"
1,2,балка,1,,69-74," пантюхин в склиф сейчас. он выползти на улица успеть, а на золотков балка обрушиться. эх, душа компания парень быть! 28-летний геннадий так и не"
2,3,балка,1,,114-119," равнозначный обеспечивать и меланхоличный езда. цельнометаллический тело, усиленный передний и задний поперечный балка, наряду с работа подвеска превращать машина в глыба, весь плоскость врасти в"
3,4,балка,1,,86-91," верхний часть закрытый, замкнутый, многократно обрамить и в конец конец, как тяжёлый балка, придавить широкий многоступенчатый карниз. роль архитектурный небо выполнять здесь не лёгкий, стрельчатый,"
4,5,балка,1,,67-72," по телевизор: наш гол забить, я вскочить от радость и врезаться в балка, поскольку дело быть в низенький мансарда. но ни в кой случай не"
5,6,балка,1,,71-77," вы взглянуть на стен наш театр возле цум, то увидеть торчать железный балки— это стяжка, который пронзать здание насквозь. идти по коридор и натыкаться на"
6,7,балка,1,,86-91," плита приварить стойка 13, на который смонтировать дисковый батарея 6. на продольный балка 14 рама 7 смонтировать кронштейн 15 с вертикальный регулировочный тяга 16, на"
7,8,балка,1,,59-64," засунуть свой свёртка? да в один и тот же место: либо под балка, либо под изгиб печный труба ... в квартира- это почти всегда печный дымоход"
8,9,балка,1,,104-109," активно идти работа по переработка металлолом, который затем использоваться для изготовление арматура, балка и труба. генеральный директор « укрметалл » анатолий колесник заявлять, что переработка металлолом из"
9,10,балка,1,,103-108," основание, находиться место, где частенько собираться подросток – рисунок граффити, пошлый надпись на балка и несущий опор, банка пиво ... вверху, под самый свод, надпись « ц ... артём"
10,11,балка,1,,97-102," ценить исторический архитектура и бережно подходить к весь материал: собирать старое деревянный балка, чугунный колонна, кирпич. весь это интегрироваться в здание », — отмечать александр подусков, директор"
11,12,балка,1,,87-92," дело следствие переход к конкурентный рынок. по вагон, по колёсный пара, надрессорный балка и т.д. сегодня уже есть несколько покупатель, но в ряд случай"
12,13,балка,1,,105-110," дом, упаковать весь проблема современный биохимия, биофизик, цитология, фармакология ... тот же опорный балка -- мембрана, тот же лифт -- ионный канал клетка, тот же входной дверь -- рецептор,"
13,14,балка,1,,71-76,", удар колесо о стык рельс стать звонкий, и мимо окно понестись ржавый балка мост, за который быть видный широкий голубой полоса неизвестный река. 8"
14,15,балка,1,,87-92,". глушков работать с безумный исступление, и только безумие помочь он ворочать тяжёлый балка, совершить работа, который быть бы по сила десятеро. берёзкина снова увидеть неприглядный"
