adjusted_rand_score,parameters,model_hyperparameters
0.49184455504884744,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.49293115506169594,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.49184455504884744,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.442557437495061,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.442557437495061,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.5331924386992014,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.4354972026302983,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.4354972026302983,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.46502572213684434,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.46113371300213263,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.46113371300213263,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.46113371300213263,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.2916666666666667,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.2916666666666667,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.30836253894080995,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.32114147909967844,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.2916666666666667,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
