adjusted_rand_score,parameters,model_hyperparameters
0.6733409732182981,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6330718482317365,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6207610195662276,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6004740885196651,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.20833333333333334,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.20833333333333334,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4156908162711697,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.3537464530385331,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4007149166047767,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.3585223503092734,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6400499614526697,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5393765283498213,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6204098270674427,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5588074218529985,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.665743086743776,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6454440241155411,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.587325327689373,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6771574110417719,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5766368411550401,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5909081626601886,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4755546018112129,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6223593867533554,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5563523201232543,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.49911712904297084,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.48707276199029576,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5565035472735526,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4751065227931733,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4953641908451866,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.44219580769245126,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5035296482692277,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.303208741011863,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.3569089320478158,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.30585349874887663,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.3313033350001087,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.18312882991891544,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.15977580871454436,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.1501409394496286,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.2517944224205153,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6733409732182981,"{'binarize': False, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6330718482317365,"{'binarize': False, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6207610195662276,"{'binarize': False, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6004740885196651,"{'binarize': False, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5812150758744016,"{'binarize': False, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6085157535684761,"{'binarize': False, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6361677809930057,"{'binarize': False, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.770184339082693,"{'binarize': False, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5931671262790212,"{'binarize': False, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5134184470747007,"{'binarize': False, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6595982952408319,"{'binarize': False, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.7432728418526264,"{'binarize': False, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6726784620821791,"{'binarize': False, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6646237124206805,"{'binarize': False, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6204098270674427,"{'binarize': False, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6004740885196651,"{'binarize': False, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.665743086743776,"{'binarize': False, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6454440241155411,"{'binarize': False, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.587325327689373,"{'binarize': False, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6771574110417719,"{'binarize': False, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5766368411550401,"{'binarize': False, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5909081626601886,"{'binarize': False, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4755546018112129,"{'binarize': False, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.6223593867533554,"{'binarize': False, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5563523201232543,"{'binarize': False, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.49911712904297084,"{'binarize': False, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.48707276199029576,"{'binarize': False, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5565035472735526,"{'binarize': False, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4751065227931733,"{'binarize': False, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4953641908451866,"{'binarize': False, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.44219580769245126,"{'binarize': False, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5035296482692277,"{'binarize': False, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.303208741011863,"{'binarize': False, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.3569089320478158,"{'binarize': False, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.30585349874887663,"{'binarize': False, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.3313033350001087,"{'binarize': False, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.18312882991891544,"{'binarize': False, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5378196778052731, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.15977580871454436,"{'binarize': False, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48778792626991585, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.1501409394496286,"{'binarize': False, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.4754095574739985, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.2517944224205153,"{'binarize': False, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.5021339258936734, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
