adjusted_rand_score,parameters,model_hyperparameters
0.5282578844549474,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.5282578844549474,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.555490580791145,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.4583333333333333,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.4583333333333333,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.565945335014096,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.4563407722281261,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.4563407722281261,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.5025791880350854,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.5396741055614594,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.5396741055614594,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.5585002406666643,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.4485724106462052,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.4485724106462052,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.46025811284586676,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.4485724106462052,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.4485724106462052,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.4485724106462052,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.4902390773128718,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.4902390773128718,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.4902390773128718,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.4485724106462052,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.4485724106462052,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.4485724106462052,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.5401454443540704,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.5401454443540704,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.5401454443540704,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.5338983050847458,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.5338983050847458,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.6214941404448088,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.4563407722281261,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.4563407722281261,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.5176513580146263,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.49800743889479276,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.49800743889479276,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.5399210056939867,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.5282578844549474,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.5282578844549474,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.5120123199215798,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.4583333333333333,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.5,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.5258490067117174,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.5268789682314818,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.5268789682314818,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
0.5387750224546991,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-binomial'}
0.4618295878549659,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-geometric'}
0.5034962545216326,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-poisson'}
0.4141385331245953,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}",{'distribution': 'discrete-binomial'}
0.4912373422292613,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-geometric'}
0.4912373422292613,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-poisson'}
0.5347156030988265,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}",{'distribution': 'discrete-binomial'}
0.5005355684194366,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-geometric'}
0.49331653642599926,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-poisson'}
0.46821208001786474,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}",{'distribution': 'discrete-binomial'}
0.4179315556130431,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-geometric'}
0.4179315556130431,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'ru-ru'}",{'distribution': 'discrete-poisson'}
