jsd,freq_clusters_1,freq_clusters_2,parameters
0.3758572342933052,"{2: 0, 0: 6, 1: 5}","{2: 2, 0: 10, 1: 2}","{'word': 'überspannen', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.23396980263771833,"{0: 22, 1: 0}","{0: 17, 1: 2}","{'word': 'Manschette', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.7586434416043085,"{0: 7, 2: 0, 3: 2, 6: 0, 4: 0, 7: 0, 5: 0, 1: 12}","{0: 6, 2: 5, 3: 2, 6: 1, 4: 3, 7: 1, 5: 1, 1: 0}","{'word': 'Fuß', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.39307390891881766,"{0: 19, 1: 0, 3: 0, 2: 2}","{0: 19, 1: 4, 3: 1, 2: 0}","{'word': 'Rezeption', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.8166380632616623,"{1: 1, 0: 23}","{1: 22, 0: 2}","{'word': 'abgebrüht', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.5946642729055968,"{0: 4, 1: 9}","{0: 17, 1: 1}","{'word': 'Dynamik', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.8302961801327811,"{0: 3, 1: 18}","{0: 24, 1: 0}","{'word': 'Engpaß', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.924660694787462,"{1: 0, 0: 20, 2: 0}","{1: 18, 0: 1, 2: 1}","{'word': 'abbauen', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 19},{0: 17},"{'word': 'Mißklang', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 22},{0: 9},"{'word': 'Abgesang', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 2},{0: 21},"{'word': 'Knotenpunkt', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.0,{0: 23},{0: 23},"{'word': 'Spielball', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.2318490096397192,"{0: 3, 1: 1}","{0: 16, 1: 1}","{'word': 'zersetzen', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
0.8152710542573384,"{1: 2, 0: 23}","{1: 21, 0: 1}","{'word': 'Armenhaus', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
1.0,"{1: 0, 0: 16}","{1: 19, 0: 0}","{'word': 'Ohrwurm', 'quantile': 0, 'dataset': 'rusemshift-finetune', 'binarize': True}"
